,coordinates,elevation
0,"(44.247283, -71.4680717)",792.0060424804688
1,"(44.247327350000006, -71.46795395)",788.7642822265625
2,"(44.2473717, -71.4678362)",786.071533203125
3,"(44.2473833, -71.46774275)",785.2543334960938
4,"(44.2473949, -71.4676493)",783.8758544921875
5,"(44.2474129, -71.4675125)",781.5593872070312
6,"(44.247422, -71.4673838)",779.3980102539062
7,"(44.2474311, -71.4672551)",776.5137939453125
8,"(44.2474258, -71.4671104)",774.1194458007812
9,"(44.2474205, -71.4669657)",771.0416259765625
10,"(44.2474116, -71.4668061)",768.67138671875
11,"(44.2474027, -71.4666465)",767.2025756835938
12,"(44.247403500000004, -71.4664749)",764.428955078125
13,"(44.2474043, -71.46630329999999)",760.1690673828125
14,"(44.247405099999995, -71.4661317)",756.5155029296875
15,"(44.2474059, -71.4659601)",753.6074829101562
16,"(44.24741675, -71.46584)",751.7918090820312
17,"(44.2474276, -71.4657199)",749.8043823242188
18,"(44.247455, -71.4655844)",746.72509765625
19,"(44.2474824, -71.4654489)",743.6862182617188
20,"(44.24751905, -71.46534274999999)",741.5133056640625
21,"(44.2475557, -71.4652366)",739.4636840820312
22,"(44.247635849999995, -71.46511939999999)",737.3699340820312
23,"(44.247716, -71.4650022)",735.0122680664062
24,"(44.2477791, -71.46489944999999)",732.819091796875
25,"(44.2478422, -71.4647967)",730.2506713867188
26,"(44.2479199, -71.4646432)",727.7561645507812
0,"(44.2515487, -71.4652414)",676.8112182617188
1,"(44.25163275, -71.46511175)",673.4478759765625
2,"(44.2517168, -71.4649821)",670.43896484375
3,"(44.251785075, -71.46488740000001)",668.0003051757812
4,"(44.25185335, -71.4647927)",665.6426391601562
5,"(44.251921624999994, -71.464698)",663.5272216796875
6,"(44.2519899, -71.4646033)",661.1624755859375
7,"(44.252063324999995, -71.46452755)",659.0919189453125
8,"(44.25213675, -71.4644518)",656.9109497070312
9,"(44.252210175, -71.46437605)",654.5355224609375
10,"(44.2522836, -71.4643003)",652.2327880859375
11,"(44.252361275, -71.46424544999999)",649.749267578125
12,"(44.25243895, -71.4641906)",647.2420043945312
13,"(44.252516625, -71.46413575)",644.5089111328125
14,"(44.2525943, -71.4640809)",642.2774047851562
15,"(44.2526989375, -71.46401957500001)",639.4605102539062
16,"(44.252803575, -71.46395825)",636.3150024414062
17,"(44.2529082125, -71.463896925)",633.379638671875
18,"(44.25301285, -71.46383560000001)",631.622314453125
19,"(44.25311748749999, -71.463774275)",629.7789916992188
20,"(44.25322212499999, -71.46371295)",627.5073852539062
21,"(44.253326762499995, -71.46365162500001)",625.0642700195312
22,"(44.2534314, -71.4635903)",622.91552734375
23,"(44.253551175, -71.463538)",620.47509765625
24,"(44.25367095, -71.4634857)",617.73876953125
25,"(44.253790725, -71.46343340000001)",615.161376953125
26,"(44.2539105, -71.4633811)",612.522705078125
27,"(44.254022000000006, -71.46336865)",610.20263671875
28,"(44.2541335, -71.46335619999999)",607.987060546875
29,"(44.254245, -71.46334374999999)",606.3536376953125
30,"(44.2543565, -71.4633313)",605.17919921875
31,"(44.254448499999995, -71.4633191)",603.3201293945312
32,"(44.2545405, -71.4633069)",600.8253784179688
33,"(44.2546325, -71.46327070000001)",598.4354858398438
34,"(44.2547245, -71.4632345)",596.5055541992188
35,"(44.254792050000006, -71.4631809)",594.8084716796875
36,"(44.2548596, -71.4631273)",593.008056640625
