coordinates,elevation
"(45.8500511, -95.6302787)",443.0911254882813
"(45.850129100000004, -95.63030485000002)",442.8258666992188
"(45.8502071, -95.63033100000001)",442.11376953125
"(45.850285099999994, -95.63035715000001)",441.2900695800781
"(45.850363099999996, -95.6303833)",440.4458618164063
"(45.8504411, -95.63040945)",439.6740417480469
"(45.8505191, -95.6304356)",438.9080200195313
"(45.8505971, -95.63046175)",438.4361267089844
"(45.8506751, -95.6304879)",438.3630676269531
"(45.8501857, -95.6300936)",441.904296875
"(45.850312325, -95.63011697499999)",441.2598571777344
"(45.85043895, -95.63014035)",440.188232421875
"(45.850565575, -95.630163725)",439.1188659667969
"(45.8506922, -95.6301871)",438.7261657714844
"(45.8497296, -95.6296675)",451.131591796875
"(45.84980805, -95.6297225)",448.9621276855469
"(45.8498865, -95.6297775)",447.083740234375
"(45.8499775, -95.6298256)",445.2703857421875
"(45.8500946, -95.629875)",443.4156799316406
"(45.85015995, -95.62990055)",442.5966491699219
"(45.8502253, -95.6299261)",442.199951171875
"(45.850339149999996, -95.6299572)",441.4492492675781
"(45.850453, -95.6299883)",440.32666015625
"(45.8505657, -95.630002)",439.3038940429688
"(45.85065, -95.63000675)",439.1094665527344
"(45.8507343, -95.6300115)",438.9909057617188
"(45.8497296, -95.6296675)",451.131591796875
"(45.8498045, -95.6297771)",448.6087341308594
"(45.849855, -95.6299112)",446.5865478515625
"(45.8498886, -95.6300426)",444.8515625
"(45.84990075, -95.63014319999999)",443.692138671875
"(45.8499129, -95.6302438)",442.6336059570313
"(45.8499334, -95.6303699)",441.273681640625
"(45.8499671, -95.6304584)",440.84381103515625
"(45.8500143, -95.6305242)",440.42181396484375
"(45.8500922, -95.6305818)",439.8812561035156
"(45.8501726, -95.6306193)",439.3740234375
"(45.8485472, -95.6289241)",490.3136291503906
"(45.8486051, -95.6290422)",490.7703552246094
"(45.8486649, -95.6291119)",491.3943176269531
"(45.8487676, -95.6291736)",490.74749755859375
"(45.848837599999996, -95.62919930000001)",487.7320251464844
"(45.8489076, -95.629225)",484.0252075195313
"(45.848991749999996, -95.62924755)",480.8724365234375
"(45.8490759, -95.6292701)",478.3118286132813
"(45.8491469, -95.6292956)",475.8024291992188
"(45.8492179, -95.6293211)",473.0489196777344
"(45.8492945, -95.6293627)",469.1888427734375
"(45.8493711, -95.6294043)",465.4406433105469
"(45.8494477, -95.6294566)",462.2222290039063
"(45.8495243, -95.6295089)",459.05804443359375
"(45.84962695, -95.6295882)",454.8980712890625
"(45.8497296, -95.6296675)",451.131591796875
"(45.8486275, -95.6292058)",487.11663818359375
"(45.8485957, -95.6293023)",483.2469787597656
"(45.8485563, -95.6293993)",480.1385192871094
"(45.848478, -95.6295303)",476.1236877441406
"(45.848422, -95.6296162)",473.8299865722656
"(45.8483715, -95.6297073)",472.0437316894531
"(45.8483435, -95.6297905)",470.5581665039063
"(45.8483323, -95.6298656)",469.2420043945313
"(45.8483304, -95.62993)",468.0440979003906
"(45.848336, -95.6299783)",467.33782958984375
"(45.8483431, -95.6300247)",466.7954406738281
"(45.84841805, -95.63008595)",465.2613830566406
"(45.848493, -95.6301472)",463.7505798339844
"(45.8485616, -95.630216375)",462.3595886230469
"(45.8486302, -95.63028555)",461.0294799804688
"(45.8486988, -95.63035472499999)",459.4520263671875
"(45.8487674, -95.6304239)",457.9295349121094
"(45.8488368, -95.6305281)",456.2322692871094
"(45.8489169, -95.6306117)",454.8802795410156
"(45.8489907, -95.630668)",453.8708190917969
"(45.8490645, -95.6307243)",452.6852111816406
"(45.84913745, -95.6307657)",451.794921875
"(45.8492104, -95.6308071)",450.7930908203125
"(45.8492667, -95.6308229)",450.0331115722656
"(45.849358, -95.6308326)",448.6629333496094
"(45.8494028, -95.6308312)",447.917236328125
"(45.8494923, -95.6308155)",446.49847412109375
"(45.849591450000005, -95.63078715)",444.75390625
"(45.8496906, -95.6307588)",443.4187927246094
"(45.8497895, -95.63071875)",442.2541809082031
"(45.8498884, -95.6306787)",441.4199523925781
"(45.8500044, -95.6306408)",440.5686645507813
"(45.8500997, -95.630622)",439.8372192382813
"(45.8501726, -95.6306193)",439.3740234375
"(45.8502509, -95.6306251)",439.10552978515625
"(45.8503555, -95.6306492)",438.71527099609375
"(45.8504732, -95.6306921)",438.4233703613281
"(45.8505423, -95.6307216)",438.2867736816406
"(45.8506114, -95.6307511)",438.2213134765625
"(45.8486723, -95.6288222)",492.8849182128906
"(45.84868435, -95.62871915)",491.4313659667969
"(45.8486964, -95.6286161)",489.7254943847656
"(45.8487207, -95.6284471)",487.3620910644531
"(45.8487413, -95.6283318)",486.0743713378906
"(45.8487749, -95.6282164)",484.6201477050781
"(45.8488198, -95.6281279)",483.55029296875
"(45.8488983, -95.6280264)",482.0489807128906
"(45.848959, -95.62797789999999)",481.3919677734375
"(45.8490197, -95.6279294)",480.8479309082031
"(45.8490589, -95.6279241)",480.3340148925781
"(45.8490908, -95.6279478)",479.6473693847656
"(45.8491151, -95.6280041)",478.6914367675781
"(45.8491245, -95.6280739)",477.3706665039063
"(45.8491301, -95.6281704)",475.5069274902344
"(45.8491394, -95.6282268)",474.4354553222656
"(45.8491656, -95.6282992)",472.81292724609375
"(45.8492011, -95.6283528)",471.29534912109375
"(45.8492459, -95.6283931)",469.6720275878906
"(45.8493674, -95.6284467)",466.1411437988281
"(45.849445849999995, -95.62848025)",463.9976196289063
"(45.8495243, -95.6285138)",462.0534362792969
"(45.8496009, -95.6285594)",460.4505004882813
"(45.8496775, -95.628605)",459.2460632324219
"(45.84974185, -95.6286521)",458.1945495605469
"(45.8498062, -95.6286992)",457.2339477539063
"(45.8498942, -95.6287927)",455.5721435546875
"(45.8499818, -95.6289004)",453.6766357421875
"(45.850053, -95.6290046)",451.9040832519531
"(45.8501408, -95.6290985)",450.2420654296875
"(45.8502509, -95.6291955)",448.42877197265625
"(45.850319999999996, -95.62924375)",447.1289367675781
"(45.8503891, -95.629292)",446.2863464355469
"(45.850447475, -95.629347)",445.3395080566406
"(45.850505850000005, -95.629402)",444.1578063964844
"(45.850564225, -95.629457)",442.9606628417969
"(45.8506226, -95.629512)",441.8506774902344
"(45.8507125, -95.6296188)",440.4614562988281
"(45.85076575, -95.6296832)",440.1115112304688
"(45.850819, -95.6297476)",440.01080322265625
"(45.8486275, -95.6287686)",492.4886474609375
"(45.8486405, -95.62866149999999)",490.9658203125
"(45.8486535, -95.6285544)",489.3070068359375
"(45.8486854, -95.6283823)",486.9847412109375
"(45.8487151, -95.628254)",485.5447082519531
"(45.8487581, -95.6281252)",484.0895080566406
"(45.8488085, -95.6280394)",483.0318908691406
"(45.8488627, -95.6279616)",482.1692504882813
"(45.8489638, -95.62787)",481.0160217285156
"(45.8490264, -95.62782575)",480.6064147949219
"(45.849089, -95.6277815)",479.7930603027344
"(45.849188, -95.6277064)",479.0645446777344
"(45.8492457, -95.6276478)",478.743896484375
"(45.8492943, -95.6275915)",478.4888305664063
"(45.8493449, -95.6275133)",478.1914367675781
"(45.8493952, -95.6274145)",477.5842895507813
"(45.8494251, -95.6273608)",477.1844787597656
"(45.8494645, -95.6273121)",477.0431823730469
"(45.8495073, -95.627283)",476.8460693359375
"(45.8495559, -95.6272777)",476.4188232421875
"(45.8496065, -95.6272934)",475.7400207519531
"(45.8496551, -95.6273229)",474.7495422363281
"(45.8497092, -95.6273792)",472.9623107910156
"(45.8497672, -95.6274597)",470.8405151367188
"(45.8498382, -95.6275911)",468.2611083984375
"(45.84989515, -95.6277024)",466.3932800292969
"(45.8499521, -95.6278137)",464.7685852050781
"(45.8500091, -95.627925)",462.71295166015625
"(45.8500661, -95.6280363)",460.602783203125
"(45.850112025, -95.628119225)",459.0055541992188
"(45.850157949999996, -95.62820214999999)",457.5013427734375
"(45.850203875, -95.628285075)",456.21728515625
"(45.8502498, -95.628368)",455.0047912597656
"(45.85030365, -95.628457)",453.5336608886719
"(45.8503575, -95.628546)",452.2004699707031
"(45.85041545, -95.6286211)",451.0539245605469
"(45.8504734, -95.6286962)",449.9113464355469
"(45.8505724, -95.6288088)",448.1482849121094
"(45.8506546, -95.6288812)",446.8291320800781
"(45.8507573, -95.6289429)",445.5172424316406
"(45.8479699, -95.6321911)",484.3582763671875
"(45.8479624, -95.6320221)",483.6062927246094
"(45.8479661, -95.6318424)",482.3563537597656
"(45.8479661, -95.6317351)",481.3801574707031
"(45.8479661, -95.6316278)",480.1921081542969
"(45.847964149999996, -95.63146975000001)",478.3823547363281
"(45.8479622, -95.6313117)",476.7629699707031
"(45.84796685, -95.6312138)",475.8539123535156
"(45.8479715, -95.6311159)",475.0316162109375
"(45.8479923, -95.6309278)",473.556396484375
"(45.848010900000006, -95.63083275)",472.889404296875
"(45.8480295, -95.6307377)",472.3087463378906
"(45.8480745, -95.6305818)",471.4345703125
"(45.8481119, -95.6304315)",470.4794921875
"(45.8481658, -95.6302952)",469.3348693847656
"(45.848209, -95.6302331)",468.57513427734375
"(45.8482594, -95.6301928)",467.871826171875
"(45.8483116, -95.6301825)",466.9674682617188
"(45.8483697, -95.6301875)",465.7199401855469
"(45.8484218, -95.6302147)",464.6030883789063
"(45.8485098, -95.6302948)",462.6470336914063
"(45.84859845, -95.6303969)",460.4646911621094
"(45.8486871, -95.630499)",458.3971557617188
"(45.8487693, -95.63059319999999)",456.9656066894531
"(45.8488515, -95.6306874)",455.3861083984375
"(45.8489171, -95.6307516)",454.4159851074219
"(45.8489827, -95.6308158)",453.3595581054688
"(45.849076, -95.6308934)",452.0155334472656
"(45.8491587, -95.6309448)",451.0589904785156
"(45.849242, -95.6309764)",450.3192443847656
"(45.8493167, -95.6309898)",449.5505676269531
"(45.8494215, -95.6309921)",448.0949401855469
"(45.8495467, -95.6309707)",446.0262145996094
"(45.849655049999996, -95.63093715)",444.3876953125
"(45.8497634, -95.6309036)",443.10986328125
"(45.849871750000005, -95.63086605000001)",442.0491943359375
"(45.8499801, -95.6308285)",440.9924926757813
"(45.8500846, -95.6308021)",440.0618591308594
"(45.8501576, -95.630791)",439.5266723632813
"(45.850234, -95.6307914)",438.9955749511719
"(45.8502903, -95.6308017)",438.8498840332031
"(45.8503688, -95.6308378)",438.5686950683594
"(45.8504547, -95.630909)",438.2723388671875
"(45.8480184, -95.6321696)",484.2233276367188
"(45.848067, -95.6320865)",483.2966918945313
"(45.8481098, -95.6320359)",482.4306640625
"(45.8481733, -95.6319876)",481.1824035644531
"(45.8482482, -95.6319389)",479.3895263671875
"(45.8483118, -95.6319014)",477.8493041992188
"(45.8483678, -95.6318531)",476.35455322265625
"(45.8484033, -95.6317995)",475.1538391113281
"(45.8484332, -95.6317458)",474.0451354980469
"(45.8484706, -95.6316788)",472.7564697265625
"(45.8485135, -95.6316198)",471.5803527832031
"(45.8485713, -95.6315665)",470.282958984375
"(45.8486404, -95.6315182)",468.66839599609375
"(45.8487265, -95.6314588)",466.7330017089844
"(45.8488067, -95.6314244)",464.7433776855469
"(45.8489171, -95.6313945)",461.9045715332031
"(45.8490497, -95.6313676)",458.2007751464844
"(45.8491805, -95.6313274)",454.6279602050781
"(45.849245800000006, -95.63129945)",452.92974853515625
"(45.8493111, -95.6312715)",451.3283386230469
"(45.8493944, -95.631225)",449.581787109375
"(45.8494777, -95.6311785)",448.0389099121094
"(45.8495691, -95.63112305)",446.5270385742188
"(45.8496605, -95.6310676)",444.98388671875
"(45.8497578, -95.631019)",443.66107177734375
"(45.84982695, -95.63097875)",442.8938598632813
"(45.8498961, -95.6309385)",442.10986328125
"(45.8500109, -95.63089174999999)",440.8297424316406
"(45.8501257, -95.630845)",439.46575927734375
"(45.8502137, -95.6308312)",438.9191589355469
"(45.850292, -95.6308316)",438.7267456054688
"(45.8503517, -95.6308504)",438.569580078125
"(45.850436, -95.6309117)",438.2803955078125
"(45.8479885, -95.632183)",484.3161315917969
"(45.8479904, -95.6320006)",483.3040161132813
"(45.8480052, -95.6318187)",482.0016174316406
"(45.8480278, -95.6316546)",479.7835998535156
"(45.8480595, -95.6315259)",478.0928039550781
"(45.8481103, -95.6314102)",477.1169738769531
"(45.8481719, -95.6313206)",476.1828918457031
"(45.8482378, -95.6312437)",475.6517333984375
"(45.8483216, -95.6311681)",475.1844177246094
"(45.8484143, -95.6311105)",473.4223937988281
"(45.8485246, -95.6310623)",469.1088562011719
"(45.8486516, -95.631022)",463.3224182128906
"(45.848740649999996, -95.6309996)",460.3497619628906
"(45.8488297, -95.6309772)",457.5580139160156
"(45.8489114, -95.6309645)",455.1326599121094
