coordinates,elevation
"(39.6323606, -105.8757858)",3686.36
"(39.63231645, -105.87568295)",3681.39
"(39.6322723, -105.8755801)",3676.50
"(39.63223789, -105.87549988)",3672.86
"(39.63220347, -105.87541965)",3669.41
"(39.63216906, -105.87533942)",3665.63
"(39.63213465, -105.8752592)",3662.21
"(39.63210024, -105.87517897)",3659.00
"(39.63206582, -105.87509875)",3655.86
"(39.63203141, -105.87501853)",3652.94
"(39.631997, -105.8749383)",3649.88
"(39.63198565, -105.87481087)",3643.94
"(39.6319743, -105.87468345)",3636.98
"(39.63196295, -105.87455603)",3630.02
"(39.6319516, -105.8744286)",3622.87
"(39.6319567, -105.87426185)",3612.95
"(39.6319618, -105.8740951)",3602.45
"(39.63196495, -105.87399095)",3596.21
"(39.6319681, -105.8738868)",3590.43
"(39.6320085, -105.87372325)",3581.91
"(39.6320489, -105.8735597)",3575.10
"(39.63207622, -105.87344702)",3571.05
"(39.63210355, -105.87333435)",3567.36
"(39.63213088, -105.87322167)",3564.34
"(39.6321582, -105.873109)",3562.57
"(39.63217055, -105.8729454)",3562.06
"(39.6321829, -105.8727818)",3563.09
"(39.6321912, -105.87269325)",3564.70
"(39.6321995, -105.8726047)",3566.20
"(39.6321995, -105.8724411)",3568.23
"(39.6321995, -105.8722775)",3569.07
"(39.63219535, -105.87214875)",3568.48
"(39.6321912, -105.87202)",3566.82
"(39.6321758, -105.8718991)",3564.46
"(39.624947, -105.875504)",3798.66
"(39.6249904, -105.87560615)",3794.73
"(39.6250338, -105.8757083)",3791.86
"(39.6250545, -105.8758746)",3792.51
"(39.6250885, -105.8759599)",3791.14
"(39.6251341, -105.8760746)",3789.27
"(39.62519277, -105.87612716)",3788.95
"(39.62525145, -105.87617972)",3789.07
"(39.62531012, -105.87623229)",3789.39
"(39.6253688, -105.87628485)",3788.39
"(39.62542747, -105.87633741)",3787.61
"(39.62548615, -105.87638997)",3786.59
"(39.62554482, -105.87644254)",3785.19
"(39.6256035, -105.8764951)",3783.48
"(39.62567457, -105.87653373)",3780.73
"(39.62574565, -105.87657235)",3778.12
"(39.62581672, -105.87661098)",3775.25
"(39.6258878, -105.8766496)",3773.69
"(39.62599852, -105.87663245)",3770.94
"(39.62610925, -105.8766153)",3768.51
"(39.62621997, -105.87659815)",3766.86
"(39.6263307, -105.876581)",3765.09
"(39.6263951, -105.87661263)",3763.97
"(39.6264595, -105.87664425)",3761.97
"(39.6265239, -105.87667587)",3759.47
"(39.6265883, -105.8767075)",3759.38
"(39.6267041, -105.8767644)",3758.66
"(39.6268199, -105.8768213)",3756.14
"(39.62689098, -105.8768492)",3755.17
"(39.62696205, -105.8768771)",3752.71
"(39.62703312, -105.876905)",3750.02
"(39.6271042, -105.8769329)",3747.98
"(39.62722485, -105.87689642)",3745.54
"(39.6273455, -105.87685995)",3743.50
"(39.62746615, -105.87682347)",3740.89
"(39.6275868, -105.876787)",3738.18
"(39.6276595, -105.87674838)",3736.15
"(39.6277322, -105.87670975)",3734.10
"(39.6278049, -105.87667113)",3733.71
"(39.6278776, -105.8766325)",3733.24
"(39.62796025, -105.8765638)",3732.16
"(39.6280429, -105.8764951)",3729.83
"(39.62811231, -105.87648116)",3727.21
"(39.62818172, -105.87646722)",3725.09
"(39.62825114, -105.87645329)",3722.66
"(39.62832055, -105.87643935)",3720.35
"(39.62838996, -105.87642541)",3717.85
"(39.62845937, -105.87641147)",3714.38
"(39.62852879, -105.87639754)",3712.87
"(39.6285982, -105.8763836)",3711.57
"(39.62866844, -105.87633961)",3710.70
"(39.62873868, -105.87629562)",3707.78
"(39.62880891, -105.87625164)",3707.35
"(39.62887915, -105.87620765)",3705.75
"(39.62894939, -105.87616366)",3703.87
"(39.62901962, -105.87611967)",3700.81
"(39.62908986, -105.87607569)",3698.36
"(39.6291601, -105.8760317)",3696.08
"(39.62926918, -105.8760038)",3693.07
"(39.62937825, -105.8759759)",3690.35
"(39.62948732, -105.875948)",3685.91
"(39.6295964, -105.8759201)",3683.09
"(39.6297187, -105.87590078)",3679.68
"(39.629841, -105.87588145)",3677.00
"(39.6299633, -105.87586212)",3676.74
"(39.6300856, -105.8758428)",3676.21
"(39.6301902, -105.8757941)",3673.36
"(39.6302315, -105.8757566)",3672.22
"(39.6324132, -105.8764507)",3687.64
"(39.63252517, -105.8765088)",3682.65
"(39.63263715, -105.8765669)",3676.26
"(39.63274913, -105.876625)",3669.42
"(39.6328611, -105.8766831)",3663.29
"(39.6329869, -105.87671765)",3655.09
"(39.6331127, -105.8767522)",3646.45
"(39.6332385, -105.87678675)",3636.98
"(39.6333643, -105.8768213)",3628.88
"(39.63345519, -105.87683739)",3623.81
"(39.63354607, -105.87685347)",3617.99
"(39.63363696, -105.87686956)",3611.98
"(39.63372785, -105.87688565)",3605.83
"(39.63381874, -105.87690174)",3600.36
"(39.63390963, -105.87691782)",3595.03
"(39.63400051, -105.87693391)",3589.29
"(39.6340914, -105.87695)",3583.95
"(39.63420543, -105.87693927)",3576.02
"(39.63431945, -105.87692855)",3568.20
"(39.63443347, -105.87691782)",3559.82
