coordinates,elevation
"(39.1803908, -106.8798915)",2992.97802734375
"(39.180481825, -106.87981587499999)",2991.11474609375
"(39.18057285, -106.87974025)",2989.333740234375
"(39.18066387499999, -106.879664625)",2987.77978515625
"(39.1807549, -106.87958900000001)",2986.406005859375
"(39.180845925, -106.87951337500002)",2985.056640625
"(39.18093695, -106.87943775000001)",2983.592041015625
"(39.181027975000006, -106.879362125)",2981.93505859375
"(39.181119, -106.8792865)",2980.239990234375
"(39.1811803375, -106.8792020125)",2978.870849609375
"(39.181241675, -106.879117525)",2977.433837890625
"(39.1813030125, -106.8790330375)",2975.625
"(39.18136435, -106.87894855)",2973.429443359375
"(39.1814256875, -106.87886406250001)",2971.1298828125
"(39.181487025, -106.87877957500001)",2968.79248046875
"(39.1815483625, -106.8786950875)",2966.5390625
"(39.1816097, -106.8786106)",2964.50390625
"(39.1816575125, -106.8785127)",2962.935302734375
"(39.181705325, -106.8784148)",2961.533203125
"(39.1817531375, -106.8783169)",2960.137451171875
"(39.18180095, -106.878219)",2958.711669921875
"(39.1818487625, -106.8781211)",2957.1865234375
"(39.181896575, -106.8780232)",2955.71240234375
"(39.1819443875, -106.8779253)",2954.3876953125
"(39.1819922, -106.8778274)",2953.190185546875
"(39.18207017500001, -106.877792525)",2951.9931640625
"(39.18214815, -106.87775765)",2950.8701171875
"(39.182226125, -106.877722775)",2949.716064453125
"(39.1823041, -106.8776879)",2948.48046875
"(39.18238207500001, -106.877653025)",2947.021728515625
"(39.18246005, -106.87761814999999)",2945.376220703125
"(39.182538025, -106.87758327499999)",2943.7412109375
"(39.182616, -106.8775484)",2942.677734375
"(39.182735975, -106.877572225)",2940.866943359375
"(39.182855950000004, -106.87759605)",2939.589599609375
"(39.182975925, -106.877619875)",2938.543212890625
"(39.1830959, -106.8776437)",2937.470703125
"(39.1831565, -106.8776557)",2936.85498046875
"(39.183239674999996, -106.87767447499999)",2935.884033203125
"(39.183322849999996, -106.87769325)",2934.821533203125
"(39.183406025, -106.877712025)",2933.667236328125
"(39.1834892, -106.8777308)",2932.338134765625
"(39.1834892, -106.8777308)",2932.338134765625
"(39.183537025, -106.8778354)",2930.58203125
"(39.18358485, -106.87794)",2928.83056640625
"(39.183632675, -106.8780446)",2927.291259765625
"(39.1836805, -106.8781492)",2926.093505859375
"(39.18372415, -106.878296725)",2925.177490234375
"(39.1837678, -106.87844425)",2924.271484375
"(39.18381145, -106.878591775)",2923.315185546875
"(39.1838551, -106.8787393)",2922.53662109375
"(39.18392995000001, -106.878872075)",2921.285400390625
"(39.184004800000004, -106.87900485)",2920.244384765625
"(39.18407965, -106.879137625)",2919.51513671875
"(39.184154500000005, -106.8792704)",2918.599609375
