coordinates,elevation
"(44.0685439, -71.2196118)",695.92
"(44.06865398, -71.21956745)",694.98
"(44.06876405, -71.2195231)",693.70
"(44.06887413, -71.21947875)",692.69
"(44.0689842, -71.2194344)",691.43
"(44.06909673, -71.21937388)",690.89
"(44.06920925, -71.21931335)",690.53
"(44.06932177, -71.21925282)",689.82
"(44.0694343, -71.2191923)",688.26
"(44.06951755, -71.21915368)",687.12
"(44.0696008, -71.21911505)",686.04
"(44.06968405, -71.21907642)",684.97
"(44.0697673, -71.2190378)",683.78
"(44.06985055, -71.21899917)",683.11
"(44.0699338, -71.21896055)",682.79
"(44.07001705, -71.21892192)",682.32
"(44.0701003, -71.2188833)",681.40
"(44.07019085, -71.21885077)",679.75
"(44.0702814, -71.21881825)",677.31
"(44.07037195, -71.21878573)",674.56
"(44.0704625, -71.2187532)",672.46
"(44.07054867, -71.21877962)",671.11
"(44.07063485, -71.21880605)",669.47
"(44.07072102, -71.21883247)",667.67
"(44.0708072, -71.2188589)",666.41
"(44.07088167, -71.21893005)",665.41
"(44.07095615, -71.2190012)",664.25
"(44.07103062, -71.21907235)",662.66
"(44.0711051, -71.2191435)",660.38
"(44.07117812, -71.21921465)",658.01
"(44.07125115, -71.2192858)",656.23
"(44.07132418, -71.21935695)",654.36
"(44.0713972, -71.2194281)",652.82
"(44.07147315, -71.2195277)",650.84
"(44.0715491, -71.2196273)",649.03
"(44.07162505, -71.2197269)",647.38
"(44.071701, -71.2198265)",645.43
"(44.071793, -71.21992407)",643.35
"(44.071885, -71.22002165)",642.20
"(44.071977, -71.22011923)",641.69
"(44.072069, -71.2202168)",641.12
"(44.0721155, -71.2203271)",641.14
"(44.072162, -71.2204374)",640.95
"(44.0722267, -71.2205908)",638.69
"(44.0722488, -71.2207178)",638.55
"(44.0722709, -71.2208448)",638.20
"(44.0723119, -71.2209499)",637.08
"(44.0723906, -71.221046)",635.51
"(44.0724693, -71.2211421)",634.26
"(44.0725316, -71.22130665)",634.22
"(44.0725939, -71.2214712)",632.67
"(44.0726409, -71.22160215)",631.03
"(44.0726879, -71.2217331)",627.54
"(44.07274195, -71.2218066)",626.43
"(44.072796, -71.2218801)",625.85
"(44.07285842, -71.22192736)",624.90
"(44.07292085, -71.22197463)",623.27
