coordinates,elevation
"(45.2788021, -111.4326144)",2736.0703125
"(45.2787992875, -111.43246780000001)",2735.4462890625
"(45.278796475, -111.4323212)",2734.738037109375
"(45.2787936625, -111.4321746)",2733.60546875
"(45.27879085, -111.432028)",2731.787841796875
"(45.2787880375, -111.43188140000001)",2729.2978515625
"(45.278785225, -111.4317348)",2726.47216796875
"(45.2787824125, -111.4315882)",2723.68408203125
"(45.2787796, -111.4314416)",2721.00634765625
"(45.278753425000005, -111.43129295)",2718.513427734375
"(45.27872725, -111.4311443)",2715.8330078125
"(45.278701075, -111.43099565)",2712.163818359375
"(45.2786749, -111.430847)",2708.578857421875
"(45.278663574999996, -111.43072361875)",2705.51953125
"(45.27865225, -111.4306002375)",2701.223388671875
"(45.278640925000005, -111.43047685625001)",2696.783203125
"(45.2786296, -111.430353475)",2694.0908203125
"(45.278618275, -111.43023009375)",2692.1689453125
"(45.27860695, -111.4301067125)",2689.787109375
"(45.278595624999994, -111.42998333125001)",2687.060791015625
"(45.2785843, -111.42985995000001)",2684.047607421875
"(45.278572975, -111.42973656875)",2679.618408203125
"(45.27856165, -111.42961318750001)",2674.411376953125
"(45.278550325, -111.42948980625002)",2670.245361328125
"(45.278538999999995, -111.42936642500001)",2666.11083984375
"(45.27852767499999, -111.42924304375)",2661.607177734375
"(45.27851635, -111.4291196625)",2658.289794921875
"(45.278505025, -111.42899628125)",2655.677490234375
"(45.2784937, -111.4288729)",2652.168701171875
"(45.278541825, -111.42873074375001)",2647.70068359375
"(45.27858995, -111.4285885875)",2645.70849609375
"(45.278638074999996, -111.42844643125)",2644.441162109375
"(45.278686199999996, -111.428304275)",2643.4873046875
"(45.278734324999995, -111.42816211875001)",2641.80029296875
"(45.278782449999994, -111.4280199625)",2639.232666015625
"(45.278830575, -111.42787780625)",2637.129150390625
"(45.2788787, -111.42773565)",2635.5146484375
"(45.278926825, -111.42759349375001)",2634.5
"(45.278974950000006, -111.4274513375)",2633.810791015625
"(45.279023075000005, -111.42730918125)",2633.156005859375
"(45.279071200000004, -111.427167025)",2632.560302734375
"(45.279119325, -111.42702486875001)",2631.748291015625
"(45.27916745, -111.4268827125)",2630.889404296875
"(45.279215575, -111.42674055625)",2629.396728515625
"(45.2792637, -111.4265984)",2627.426513671875
"(45.279280687500005, -111.4265005)",2626.071044921875
"(45.279297675, -111.4264026)",2624.90673828125
"(45.2793146625, -111.4263047)",2623.859375
"(45.27933165, -111.4262068)",2622.312744140625
"(45.27934863750001, -111.4261089)",2619.222900390625
"(45.279365625000004, -111.426011)",2614.9306640625
"(45.2793826125, -111.4259131)",2611.24755859375
"(45.279399600000005, -111.4258152)",2608.73583984375
"(45.27941658750001, -111.4257173)",2607.34033203125
