coordinates,elevation
"(44.5780585, -70.6208903)",418.1317138671875
"(44.57805085, -70.62077225)",415.8506774902344
"(44.5780432, -70.6206542)",414.5796203613281
"(44.5780367, -70.6204745)",413.19580078125
"(44.5780302, -70.6202948)",411.8840637207031
"(44.5779978, -70.6201599)",409.92474365234375
"(44.577967, -70.62003155)",407.5504760742188
"(44.5779362, -70.6199032)",405.68658447265625
"(44.577890350000004, -70.61973155)",401.486328125
"(44.5778445, -70.6195599)",396.63421630859375
"(44.577840675, -70.61945259999999)",394.1072082519531
"(44.57783685, -70.61934529999999)",391.223876953125
"(44.577833025, -70.619238)",388.08929443359375
"(44.5778292, -70.6191307)",384.4884643554688
"(44.577806275, -70.6190127)",380.73138427734375
"(44.57778335, -70.6188947)",377.3143615722656
"(44.577760424999994, -70.6187767)",374.1770324707031
"(44.5777375, -70.6186587)",369.9202270507813
"(44.5777075, -70.6185581)",366.5271606445313
"(44.5776775, -70.6184575)",362.9342041015625
"(44.5776475, -70.61835690000001)",359.0545654296875
"(44.5776175, -70.6182563)",355.70977783203125
"(44.5775984, -70.61814365000001)",352.3297424316406
"(44.5775793, -70.618031)",349.0066223144531
"(44.57756019999999, -70.61791835)",345.09619140625
"(44.5775411, -70.6178057)",341.1386413574219
"(44.57750994999999, -70.61768635000001)",336.8880615234375
"(44.577478799999994, -70.61756700000001)",333.8598022460937
"(44.577447649999996, -70.61744765)",331.2440185546875
"(44.5774165, -70.6173283)",329.28436279296875
"(44.5774165, -70.61719955)",327.0478820800781
"(44.5774165, -70.6170708)",324.7498474121094
"(44.5774165, -70.61694205)",322.8769226074219
"(44.5774165, -70.6168133)",321.004150390625
"(44.577412675, -70.616711375)",319.44537353515625
"(44.57740885, -70.61660945)",318.0908203125
"(44.577405025, -70.616507525)",316.7777709960937
"(44.5774012, -70.6164056)",315.6235046386719
"(44.577397975, -70.616229925)",313.7706604003906
"(44.577394749999996, -70.61605424999999)",311.8656005859375
"(44.577391524999996, -70.615878575)",310.01763916015625
"(44.5773883, -70.6157029)",308.39483642578125
"(44.577360975000005, -70.6155567)",307.64910888671875
"(44.57733365, -70.6154105)",306.44061279296875
"(44.577306324999995, -70.6152643)",305.2071228027344
"(44.577279, -70.6151181)",304.08966064453125
"(44.5772637, -70.61496790000001)",302.6429443359375
"(44.5772484, -70.6148177)",301.3583679199219
"(44.5772331, -70.6146675)",299.847412109375
"(44.5772178, -70.6145173)",298.5425720214844
"(44.5787333, -70.6260455)",539.7789306640625
"(44.57864045, -70.62592425)",537.3333129882812
"(44.5785476, -70.625803)",534.5414428710938
"(44.57849525, -70.6257311)",532.8400268554688
"(44.5784429, -70.6256592)",531.1038208007812
"(44.5783806, -70.62555995)",528.6814575195312
"(44.5783183, -70.6254607)",525.9117431640625
"(44.57828125, -70.62536685)",523.2256469726562
"(44.5782442, -70.625273)",520.1345825195312
"(44.5782507, -70.6251523)",516.0240478515625
"(44.5782572, -70.6250316)",511.5224304199219
"(44.57826540000001, -70.624936375)",508.6719665527344
"(44.5782736, -70.62484115000001)",506.2923583984375
"(44.5782818, -70.62474592500001)",503.9624328613281
"(44.57829, -70.6246507)",502.07904052734375
"(44.5783053, -70.62451125000001)",499.1321411132813
"(44.5783206, -70.6243718)",495.8213195800781
"(44.57830475, -70.6242739)",492.8387756347656
"(44.578288900000004, -70.624176)",489.8150329589844
"(44.57827305000001, -70.6240781)",487.0528564453125
"(44.5782572, -70.6239802)",484.8670349121094
"(44.5782419, -70.62387827500001)",482.77056884765625
"(44.5782266, -70.62377635)",480.5639953613281
"(44.5782113, -70.62367442499999)",478.4278564453125
"(44.578196, -70.6235725)",476.4689331054688
"(44.5781731, -70.6234008)",473.0031127929688
"(44.5781502, -70.6232291)",469.2468872070313
"(44.578097850000006, -70.62306015)",465.1192932128906
"(44.5780455, -70.6228912)",461.2001647949219
"(44.577991425, -70.6228094)",459.0299072265625
"(44.57793735, -70.62272759999999)",456.8035278320313
"(44.577883275, -70.62264579999999)",454.4527587890625
"(44.5778292, -70.622564)",452.4153747558594
"(44.577771874999996, -70.62246207499999)",450.02490234375
"(44.577714549999996, -70.62236014999999)",447.1263732910156
"(44.577657224999996, -70.622258225)",444.4780883789063
"(44.5775999, -70.6221563)",442.1130981445313
"(44.5775235, -70.6220597)",439.4713745117188
"(44.5774471, -70.6219631)",437.6971740722656
"(44.5789216, -70.6205893)",396.7169494628906
"(44.5789442, -70.6204396)",394.4495239257813
"(44.578956425, -70.6203444)",393.2515258789063
"(44.57896865, -70.62024919999999)",392.2667846679688
"(44.578980875, -70.62015399999999)",391.7518310546875
"(44.5789931, -70.6200588)",391.736328125
"(44.578999975, -70.61995017499999)",391.7605895996094
"(44.57900685, -70.61984154999999)",390.6178588867188
"(44.579013724999996, -70.619732925)",389.2199096679688
"(44.5790206, -70.6196243)",387.3185729980469
"(44.57902215, -70.61944455)",383.1237182617188
"(44.5790237, -70.6192648)",377.923583984375
"(44.578993125, -70.61911997499999)",372.6710205078125
"(44.57896255, -70.61897515)",367.6387939453125
"(44.578931975, -70.618830325)",363.3504943847656
"(44.5789014, -70.6186855)",359.7675476074219
"(44.57885555, -70.61855675)",356.87677001953125
"(44.5788097, -70.618428)",353.33465576171875
"(44.5794026, -70.6296305)",614.9578857421875
"(44.57941795, -70.62947650000001)",614.4249877929688
"(44.5794333, -70.6293225)",613.545166015625
"(44.579454299999995, -70.6291911)",612.883056640625
"(44.5794753, -70.6290597)",611.5650024414062
"(44.579483499999995, -70.6289433)",610.137451171875
"(44.5794917, -70.6288269)",608.2420654296875
"(44.579484725, -70.62873075)",606.7628173828125
"(44.579477749999995, -70.6286346)",604.5961303710938
"(44.579470775, -70.62853845000001)",602.6317749023438
"(44.5794638, -70.6284423)",600.3580322265625
"(44.579450449999996, -70.62831514999999)",596.9138793945312
"(44.5794371, -70.628188)",593.0977783203125
"(44.5794367, -70.62805015)",589.5402221679688
"(44.5794363, -70.6279123)",585.9571533203125
"(44.579432475, -70.62773527499999)",581.93798828125
"(44.57942865, -70.62755824999999)",578.7677612304688
"(44.579424825000004, -70.627381225)",575.0015869140625
"(44.579421, -70.6272042)",571.2086181640625
"(44.57940995, -70.62707915)",568.51220703125
"(44.5793989, -70.6269541)",566.0170288085938
"(44.57937305, -70.62685594999999)",563.7791748046875
"(44.5793472, -70.6267578)",561.4336547851562
"(44.57929565, -70.62665725)",558.7385864257812
"(44.5792441, -70.6265567)",556.0017700195312
"(44.5791902, -70.6264915)",553.9212036132812
"(44.5791363, -70.6264263)",552.0928955078125
"(44.579068899999996, -70.62636005)",549.8556518554688
"(44.5790015, -70.6262938)",547.9254760742188
"(44.57893445, -70.626231725)",546.1243286132812
"(44.5788674, -70.62616965000001)",543.902587890625
"(44.57880035, -70.626107575)",541.9470825195312
"(44.5787333, -70.6260455)",539.7789306640625
"(44.578718, -70.62593285)",538.3257446289062
"(44.5787027, -70.62582019999999)",536.7437744140625
"(44.5786874, -70.62570754999999)",534.8311767578125
"(44.5786721, -70.6255949)",532.61962890625
"(44.5786633, -70.62542055)",528.4202880859375
"(44.5786545, -70.6252462)",523.9824829101562
