coordinates,elevation
"(45.8168557, -110.8983247)",1874.89
"(45.8169153, -110.8982789)",1874.30
"(45.8169749, -110.8982331)",1873.53
"(45.8170459, -110.898099)",1871.30
"(45.8170534, -110.89793535)",1869.26
"(45.8170609, -110.8977717)",1868.48
"(45.81703285, -110.89764835)",1869.81
"(45.8170048, -110.897525)",1871.28
"(45.8170122, -110.8973801)",1871.33
"(45.8170571, -110.8972031)",1869.17
"(45.817102, -110.8970797)",1867.07
"(45.81711135, -110.89698045)",1866.20
"(45.8171207, -110.8968812)",1865.47
"(45.817063, -110.8967983)",1865.94
"(45.8170053, -110.8967154)",1866.33
"(45.8005262, -110.9206353)",2150.27
"(45.8006502, -110.9206288)",2151.20
"(45.8007742, -110.9206223)",2152.87
"(45.8008866, -110.92064885)",2155.18
"(45.800999, -110.9206754)",2157.78
"(45.8011114, -110.92070195)",2160.49
"(45.8012238, -110.9207285)",2162.90
"(45.80131305, -110.92073797)",2164.10
"(45.8014023, -110.92074745)",2164.94
"(45.80149155, -110.92075693)",2165.59
"(45.8015808, -110.9207664)",2166.57
"(45.80164887, -110.9207683)",2167.59
"(45.80171695, -110.9207702)",2168.92
"(45.80178503, -110.9207721)",2170.93
"(45.8018531, -110.920774)",2172.77
"(45.80192615, -110.9207581)",2173.78
"(45.8019992, -110.9207422)",2173.87
"(45.8020665, -110.9207556)",2173.56
"(45.8021338, -110.920769)",2172.43
"(45.8022497, -110.9208441)",2169.14
"(45.80230205, -110.9209192)",2166.94
"(45.8023544, -110.9209943)",2164.05
"(45.80241615, -110.9210828)",2163.25
"(45.8024779, -110.9211713)",2163.20
"(45.8025328, -110.9212178)",2162.01
"(45.8026068, -110.9212064)",2160.46
"(45.802657, -110.9211192)",2160.04
"(45.80269405, -110.92098455)",2160.30
"(45.8027311, -110.9208499)",2160.84
"(45.8027959, -110.920688)",2159.81
"(45.80287187, -110.92058414)",2159.02
"(45.80294785, -110.92048027)",2157.99
"(45.80302382, -110.92037641)",2156.38
"(45.8030998, -110.92027255)",2154.92
"(45.80317577, -110.92016869)",2154.33
"(45.80325175, -110.92006482)",2153.64
"(45.80332773, -110.91996096)",2151.78
"(45.8034037, -110.9198571)",2149.58
"(45.8034811, -110.9197273)",2149.11
"(45.8035585, -110.9195975)",2150.01
"(45.80354727, -110.91948482)",2148.03
"(45.80353605, -110.91937215)",2146.21
"(45.80352483, -110.91925947)",2145.23
"(45.8035136, -110.9191468)",2145.17
"(45.80352483, -110.9190277)",2146.15
"(45.80353605, -110.9189086)",2146.80
"(45.80354727, -110.9187895)",2146.47
"(45.8035585, -110.9186704)",2144.79
"(45.80360787, -110.91855775)",2143.24
"(45.80365725, -110.9184451)",2142.60
"(45.80370663, -110.91833245)",2143.02
"(45.803756, -110.9182198)",2143.36
"(45.80378518, -110.9181168)",2142.09
"(45.80381435, -110.9180138)",2140.82
"(45.80384352, -110.9179108)",2139.78
"(45.8038727, -110.9178078)",2139.36
"(45.80381885, -110.91774342)",2137.08
"(45.803765, -110.91767905)",2135.74
"(45.80371115, -110.91761468)",2135.23
"(45.8036573, -110.9175503)",2135.10
"(45.8035451, -110.91747305)",2134.05
"(45.8034329, -110.9173958)",2131.59
"(45.8034329, -110.91722195)",2131.14
"(45.8034329, -110.9170481)",2128.51
"(45.8035047, -110.91698695)",2128.82
"(45.8035765, -110.9169258)",2127.18
"(45.8036483, -110.91686465)",2124.62
"(45.8037201, -110.9168035)",2122.33
"(45.80380985, -110.91676488)",2122.13
"(45.8038996, -110.91672625)",2122.18
"(45.80398935, -110.91668763)",2122.32
"(45.8040791, -110.916649)",2121.83
"(45.80416663, -110.91657498)",2119.62
"(45.80425415, -110.91650095)",2118.15
"(45.80434168, -110.91642692)",2117.82
"(45.8044292, -110.9163529)",2118.43
"(45.80451895, -110.91627564)",2119.36
"(45.8046087, -110.91619837)",2119.94
"(45.80469845, -110.91612111)",2119.54
"(45.8047882, -110.91604385)",2118.65
"(45.80487795, -110.91596659)",2118.27
"(45.8049677, -110.91588932)",2118.35
"(45.80505745, -110.91581206)",2118.00
"(45.8051472, -110.9157348)",2116.10
"(45.80523471, -110.91568009)",2113.84
"(45.80532222, -110.91562537)",2110.97
"(45.80540974, -110.91557066)",2108.18
"(45.80549725, -110.91551595)",2106.25
"(45.80558476, -110.91546124)",2105.22
"(45.80567228, -110.91540653)",2105.41
"(45.80575979, -110.91535181)",2106.61
"(45.8058473, -110.9152971)",2108.01
"(45.80590873, -110.91522583)",2107.97
"(45.80597015, -110.91515455)",2107.61
"(45.80603157, -110.91508328)",2106.87
"(45.806093, -110.915012)",2105.79
"(45.8061915, -110.9149265)",2103.88
"(45.80629, -110.914841)",2101.40
"(45.806321, -110.91471225)",2097.98
"(45.806352, -110.9145835)",2095.41
"(45.806383, -110.91445475)",2094.33
"(45.806414, -110.914326)",2094.27
"(45.8064785, -110.91416265)",2095.47
"(45.806543, -110.9139993)",2095.25
"(45.80663905, -110.91387985)",2094.88
"(45.8067351, -110.9137604)",2093.36
"(45.8068225, -110.9136822)",2092.62
"(45.8069099, -110.913604)",2092.08
"(45.80698483, -110.91356133)",2092.13
"(45.80705975, -110.91351865)",2092.13
"(45.80713468, -110.91347597)",2092.01
"(45.8072096, -110.9134333)",2091.66
"(45.8072876, -110.91338905)",2091.19
"(45.8073656, -110.9133448)",2090.93
"(45.8074436, -110.91330055)",2090.85
"(45.8075216, -110.9132563)",2090.24
"(45.80759502, -110.9132179)",2089.11
"(45.80766845, -110.9131795)",2087.64
"(45.80774188, -110.9131411)",2086.24
"(45.8078153, -110.9131027)",2085.48
"(45.807863, -110.9130736)",2085.22
"(45.80794355, -110.9130246)",2084.73
"(45.8080241, -110.9129756)",2084.29
"(45.8081458, -110.9129165)",2083.71
"(45.8082675, -110.9128574)",2082.90
"(45.80835695, -110.9128153)",2082.33
"(45.8084464, -110.9127732)",2081.66
"(45.8085545, -110.9127296)",2080.56
"(45.80864512, -110.91271995)",2079.52
"(45.80873575, -110.9127103)",2078.33
"(45.80882637, -110.91270065)",2077.44
"(45.808917, -110.912691)",2076.74
