coordinates,elevation
"(40.5973846, -111.5806845)",2709.60888671875
"(40.5974087, -111.5806608)",2709.27783203125
"(40.5974927, -111.5807319)",2707.402587890625
"(40.5975888, -111.58085255)",2704.902587890625
"(40.5976849, -111.5809732)",2702.03125
"(40.59774494999999, -111.581076)",2699.545166015625
"(40.597804999999994, -111.5811788)",2697.226318359375
"(40.597865049999996, -111.58128160000001)",2694.970947265625
"(40.5979251, -111.5813844)",2693.31640625
"(40.59799565, -111.58146745)",2691.622802734375
"(40.5980662, -111.5815505)",2689.942626953125
"(40.598124, -111.58170175000001)",2687.96728515625
"(40.5981818, -111.581853)",2685.8359375
"(40.5982396, -111.58200425)",2682.907958984375
"(40.5982974, -111.5821555)",2680.369384765625
"(40.5983732, -111.58228894999999)",2678.4912109375
"(40.598449, -111.5824224)",2676.866943359375
"(40.5985248, -111.58255585)",2675.98974609375
"(40.5986006, -111.5826893)",2675.503173828125
"(40.59864715, -111.5827674)",2674.632568359375
"(40.5986937, -111.58284549999999)",2673.763916015625
"(40.59874025, -111.58292359999999)",2673.08935546875
"(40.5987868, -111.5830017)",2672.811279296875
"(40.5973336, -111.5807952)",2708.673583984375
"(40.5973276, -111.580902)",2706.962158203125
"(40.5973156, -111.5810087)",2705.78076171875
"(40.5973441, -111.58112735)",2704.04296875
"(40.5973726, -111.581246)",2702.688720703125
"(40.5973997, -111.5813963)",2700.877197265625
"(40.597450699999996, -111.58147935)",2699.593017578125
"(40.5975017, -111.5815624)",2698.344970703125
"(40.5975888, -111.581681)",2696.0625
"(40.5976759, -111.5817996)",2693.21728515625
"(40.59775845, -111.58186484999999)",2690.810302734375
"(40.597841, -111.5819301)",2688.580810546875
"(40.5978973, -111.581993375)",2687.259033203125
"(40.5979536, -111.58205665)",2685.840087890625
"(40.598009899999994, -111.582119925)",2684.46240234375
"(40.5980662, -111.5821832)",2683.346923828125
"(40.5981225, -111.5822603)",2682.227783203125
"(40.5981788, -111.5823374)",2681.078125
