coordinates,elevation
"(42.7424671, -77.4111441)",444.1265869140625
"(42.742536775, -77.411130525)",443.23974609375
"(42.74260645, -77.41111695000001)",442.3771057128906
"(42.742676125, -77.41110337500001)",441.5071105957031
"(42.7427458, -77.4110898)",440.6198120117188
"(42.74282265, -77.4110764)",439.66058349609375
"(42.7428995, -77.411063)",438.8688049316406
"(42.7430059, -77.4110147)",437.4772644042969
"(42.7430886, -77.4109289)",435.6275329589844
"(42.743133900000004, -77.41084575)",433.93011474609375
"(42.7431792, -77.4107626)",432.2822265625
"(42.7432366, -77.4107142)",431.3789367675781
"(42.743294, -77.4106658)",430.4419555664063
"(42.743409625, -77.41070575)",430.8941955566406
"(42.743525250000005, -77.4107457)",431.2488708496094
"(42.743640875000004, -77.41078565000001)",431.534423828125
"(42.7437565, -77.4108256)",431.8883056640625
"(42.743848825, -77.41086064999999)",432.2543029785156
"(42.74394115, -77.4108957)",432.5616455078125
"(42.744033474999995, -77.41093075)",432.9231872558594
"(42.7441258, -77.4109658)",433.5479736328125
"(42.7452287, -77.418529)",637.9634399414062
"(42.745327375, -77.41842820000001)",636.0591430664062
"(42.74542605, -77.41832740000001)",634.1280517578125
"(42.745524724999996, -77.4182266)",631.9575805664062
"(42.7456234, -77.4181258)",629.6162719726562
"(42.74562845, -77.4179525)",626.4554443359375
"(42.7456335, -77.4177792)",622.6603393554688
"(42.7456295625, -77.4176571625)",620.3099365234375
"(42.745625624999995, -77.417535125)",618.0933227539062
"(42.74562168749999, -77.4174130875)",615.6195678710938
"(42.745617749999994, -77.41729104999999)",612.4928588867188
"(42.7456138125, -77.41716901249998)",608.9813842773438
"(42.745609875, -77.41704697499999)",605.474365234375
"(42.7456059375, -77.4169249375)",601.3433227539062
"(42.745602, -77.4168029)",596.9462280273438
"(42.745598062499994, -77.4167103625)",594.0455932617188
"(42.745594125, -77.416617825)",591.4464721679688
"(42.7455901875, -77.41652528750001)",588.9373779296875
"(42.74558625, -77.41643275)",586.406494140625
"(42.745582312500005, -77.41634021249999)",583.984130859375
"(42.745578375, -77.416247675)",581.7018432617188
"(42.7455744375, -77.4161551375)",579.2898559570312
"(42.7455705, -77.4160626)",576.4765014648438
"(42.745578375, -77.41592045)",571.8521118164062
"(42.74558625, -77.4157783)",567.515625
"(42.745594125, -77.41563615)",563.3635864257812
"(42.745602, -77.415494)",559.0989379882812
"(42.7456493, -77.41534379999999)",554.1510620117188
"(42.7456966, -77.4151936)",549.5319213867188
"(42.7457596, -77.4151024)",546.642333984375
"(42.7458226, -77.4150112)",543.73095703125
"(42.745901399999994, -77.41492)",540.5156860351562
"(42.7459802, -77.4148288)",537.2808227539062
"(42.746023550000004, -77.41474835)",534.7691040039062
"(42.7460669, -77.4146679)",532.4322509765625
"(42.7460866, -77.41456595)",529.5880126953125
