coordinates,elevation
"(44.5804648, -71.9050028)",541.80
"(44.58052215, -71.9048553)",541.69
"(44.5805795, -71.9047078)",544.52
"(44.58062535, -71.90463)",545.26
"(44.5806712, -71.9045522)",545.74
"(44.5807285, -71.90448647)",545.47
"(44.5807858, -71.90442075)",545.10
"(44.5808431, -71.90435503)",544.35
"(44.5809004, -71.9042893)",543.64
"(44.5837225, -71.9107885)",454.14
"(44.58372287, -71.91088428)",453.51
"(44.58372325, -71.91098005)",452.77
"(44.58372362, -71.91107583)",452.36
"(44.583724, -71.9111716)",450.75
"(44.5837297, -71.9113272)",446.07
"(44.5837354, -71.9114828)",440.31
"(44.58374783, -71.91158875)",437.04
"(44.58376025, -71.9116947)",434.75
"(44.58377267, -71.91180065)",432.75
"(44.5837851, -71.9119066)",432.84
"(44.5838367, -71.9120112)",432.80
"(44.5838883, -71.9121158)",432.13
"(44.5839914, -71.9121479)",428.49
"(44.5840812, -71.9121211)",427.43
"(44.584171, -71.9120943)",428.09
"(44.5842436, -71.9120219)",427.56
"(44.5843162, -71.9119495)",426.86
"(44.58440975, -71.9118439)",427.72
"(44.5845033, -71.9117383)",428.42
"(44.5799919, -71.9040826)",564.94
"(44.58000125, -71.9042161)",562.87
"(44.5800106, -71.9043496)",559.92
"(44.58001995, -71.9044831)",556.74
"(44.5800293, -71.9046166)",554.32
"(44.580056, -71.90480165)",553.14
"(44.5800827, -71.9049867)",549.94
"(44.58014575, -71.9051262)",546.54
"(44.5802088, -71.9052657)",543.93
"(44.58027377, -71.90532737)",542.37
"(44.58033875, -71.90538905)",540.69
"(44.58040372, -71.90545073)",539.62
"(44.5804687, -71.9055124)",538.54
"(44.58052792, -71.90557143)",537.23
"(44.58058715, -71.90563045)",536.21
"(44.58064638, -71.90568948)",535.10
"(44.5807056, -71.9057485)",534.07
"(44.5807629, -71.90585575)",532.64
"(44.5808202, -71.905963)",531.28
"(44.58086415, -71.9061052)",529.98
"(44.5809081, -71.9062474)",528.68
"(44.58094918, -71.90632652)",527.51
"(44.58099025, -71.90640565)",526.28
"(44.58103132, -71.90648477)",524.97
"(44.5810724, -71.9065639)",523.57
"(44.58113735, -71.90662557)",521.87
"(44.5812023, -71.90668725)",520.48
"(44.58126725, -71.90674893)",519.08
"(44.5813322, -71.9068106)",517.84
"(44.58141052, -71.906879)",516.25
"(44.58148885, -71.9069474)",514.61
"(44.58156718, -71.9070158)",512.99
"(44.5816455, -71.9070842)",511.20
"(44.58171522, -71.9071687)",509.39
"(44.58178495, -71.9072532)",507.64
"(44.58185468, -71.9073377)",505.90
"(44.5819244, -71.9074222)",504.27
"(44.58198935, -71.90756435)",501.94
"(44.5820543, -71.9077065)",499.54
"(44.5820839, -71.90783928)",497.91
"(44.5821135, -71.90797205)",496.59
"(44.5821431, -71.90810483)",495.13
"(44.5821727, -71.9082376)",493.52
"(44.58219373, -71.90841193)",491.85
"(44.58221475, -71.90858625)",490.55
"(44.58223578, -71.90876058)",489.56
"(44.5822568, -71.9089349)",488.55
"(44.58228355, -71.90904353)",487.50
"(44.5823103, -71.90915215)",486.53
"(44.58233705, -71.90926078)",485.72
"(44.5823638, -71.9093694)",484.90
"(44.58241443, -71.90944445)",483.73
"(44.58246505, -71.9095195)",482.62
"(44.58251568, -71.90959455)",481.45
"(44.5825663, -71.9096696)",479.99
"(44.58265228, -71.90976482)",477.56
"(44.58273825, -71.90986005)",475.29
"(44.58282423, -71.90995527)",473.18
"(44.5829102, -71.9100505)",472.13
"(44.5829675, -71.91011887)",471.00
"(44.5830248, -71.91018725)",469.45
"(44.5830821, -71.91025563)",467.57
"(44.5831394, -71.910324)",466.15
"(44.5804648, -71.9050028)",541.80
"(44.58059425, -71.9049693)",541.43
"(44.5807237, -71.9049358)",539.86
"(44.58080035, -71.9049445)",538.88
"(44.580877, -71.9049532)",537.85
"(44.58095365, -71.9049619)",536.35
"(44.5810303, -71.9049706)",534.79
"(44.58112488, -71.90500145)",532.22
"(44.58121945, -71.9050323)",529.85
"(44.58131403, -71.90506315)",527.50
"(44.5814086, -71.905094)",524.94
"(44.5815108, -71.9051302)",522.11
"(44.581613, -71.9051664)",519.75
"(44.5817152, -71.9052026)",516.61
"(44.5818174, -71.9052388)",513.87
"(44.5819301, -71.9052442)",511.29
"(44.5820428, -71.9052496)",508.80
"(44.58211635, -71.90526167)",507.12
"(44.5821899, -71.90527375)",505.57
"(44.58226345, -71.90528582)",504.16
"(44.582337, -71.9052979)",502.86
"(44.5824077, -71.90533275)",501.66
"(44.5824784, -71.9053676)",500.49
"(44.5825491, -71.90540245)",499.23
"(44.5826198, -71.9054373)",498.09
"(44.58268475, -71.90551107)",496.62
"(44.5827497, -71.90558485)",495.46
"(44.58281465, -71.90565863)",494.81
"(44.5828796, -71.9057324)",494.02
"(44.58295315, -71.9058531)",492.95
"(44.5830267, -71.9059738)",491.89
"(44.58310025, -71.9060945)",490.45
"(44.5831738, -71.9062152)",488.82
"(44.58325308, -71.90631713)",487.31
"(44.58333235, -71.90641905)",486.06
"(44.58341162, -71.90652098)",484.98
"(44.5834909, -71.9066229)",483.88
"(44.58356255, -71.9066752)",483.13
"(44.5836342, -71.9067275)",482.20
"(44.58370585, -71.9067798)",480.91
"(44.5837775, -71.9068321)",479.38
"(44.58389497, -71.90688305)",476.47
"(44.58401245, -71.906934)",473.60
"(44.58412992, -71.90698495)",471.09
"(44.5842474, -71.9070359)",468.09
"(44.58435055, -71.90707885)",465.56
"(44.5844537, -71.9071218)",463.79
"(44.58451675, -71.9071808)",462.78
"(44.5845798, -71.9072398)",461.51
"(44.58464285, -71.9072988)",460.07
"(44.5847059, -71.9073578)",458.59
"(44.58477515, -71.90743559)",456.47
"(44.5848444, -71.90751338)",454.21
