coordinates,elevation
"(44.1579921, -71.6978855)",1219.89
"(44.15806575, -71.69791943)",1218.27
"(44.1581394, -71.69795335)",1216.84
"(44.15821305, -71.69798728)",1215.48
"(44.1582867, -71.6980212)",1214.09
"(44.15836725, -71.69803975)",1212.41
"(44.1584478, -71.6980583)",1210.37
"(44.1585478, -71.6980922)",1207.42
"(44.15861788, -71.69804025)",1205.53
"(44.15868795, -71.6979883)",1203.53
"(44.15875802, -71.69793635)",1201.40
"(44.1588281, -71.6978844)",1199.07
"(44.15894535, -71.69787035)",1195.33
"(44.1590626, -71.6978563)",1191.34
"(44.15912542, -71.69781427)",1188.69
"(44.15918825, -71.69777225)",1186.06
"(44.15925108, -71.69773023)",1183.29
"(44.1593139, -71.6976882)",1180.78
"(44.1593943, -71.6976672)",1177.41
"(44.1594747, -71.6976462)",1174.03
"(44.159597, -71.69759015)",1169.27
"(44.1597193, -71.6975341)",1164.72
"(44.15977625, -71.69745705)",1162.22
"(44.1598332, -71.69738)",1159.53
"(44.15989015, -71.69730295)",1156.96
"(44.1599471, -71.6972259)",1154.52
"(44.16003061, -71.69714932)",1150.94
"(44.16011412, -71.69707275)",1147.12
"(44.16019764, -71.69699618)",1142.97
"(44.16028115, -71.6969196)",1138.90
"(44.16036466, -71.69684302)",1134.72
"(44.16044817, -71.69676645)",1130.90
"(44.16053169, -71.69668988)",1127.36
"(44.1606152, -71.6966133)",1123.82
"(44.16071183, -71.69651615)",1120.22
"(44.16080845, -71.696419)",1116.03
"(44.16090508, -71.69632185)",1111.40
"(44.1610017, -71.6962247)",1107.20
"(44.16109832, -71.69612755)",1102.65
"(44.16119495, -71.6960304)",1097.37
"(44.16129157, -71.69593325)",1092.33
"(44.1613882, -71.6958361)",1088.03
"(44.1614909, -71.6958019)",1085.32
"(44.1615936, -71.6957677)",1083.09
"(44.1616393, -71.6957494)",1081.91
"(44.16171137, -71.69573138)",1080.00
"(44.16178345, -71.69571335)",1077.98
"(44.16185553, -71.69569533)",1075.79
"(44.1619276, -71.6956773)",1073.48
"(44.16204275, -71.6956451)",1069.58
"(44.1621579, -71.6956129)",1065.39
