coordinates,elevation
"(44.3934843, -72.9823816)",133.5904541015625
"(44.3935964, -72.9823615)",131.40997314453125
"(44.3937085, -72.9823414)",129.03433227539062
"(44.393829249999996, -72.9823025)",126.70858764648438
"(44.39395, -72.9822636)",124.38037109375
"(44.394019, -72.98223139999999)",123.18093872070312
"(44.394087999999996, -72.9821992)",121.88678741455078
"(44.394157, -72.982167)",120.6697998046875
"(44.394226, -72.9821348)",119.6160125732422
"(44.39429355, -72.98209457499999)",118.57083129882812
"(44.3943611, -72.98205435)",117.87110900878906
"(44.394428649999995, -72.982014125)",117.20331573486328
"(44.3944962, -72.9819739)",116.52774810791016
"(44.3899583, -72.9812542)",213.8311462402344
"(44.390072, -72.98129349999999)",211.388900756836
"(44.3901857, -72.9813328)",208.47740173339844
"(44.39025775, -72.981358075)",206.7715759277344
"(44.3903298, -72.98138335)",205.20571899414065
"(44.39040185, -72.981408625)",203.7139434814453
"(44.3904739, -72.9814339)",202.1737365722656
"(44.3905825, -72.98144819999999)",200.0872039794922
"(44.3906911, -72.98146249999999)",197.9791259765625
"(44.3907997, -72.9814768)",195.3539276123047
"(44.3909083, -72.9814911)",192.6905212402344
"(44.39100845, -72.98150385)",190.06512451171875
"(44.391108599999995, -72.98151659999999)",187.32606506347656
"(44.39120875, -72.98152934999999)",184.58612060546875
"(44.3913089, -72.9815421)",181.762435913086
"(44.3914088, -72.9815427625)",178.51541137695312
"(44.3915087, -72.981543425)",175.1331329345703
"(44.3916086, -72.9815440875)",172.44088745117188
"(44.3917085, -72.98154475)",169.96018981933594
"(44.3918084, -72.9815454125)",167.6044464111328
"(44.3919083, -72.981546075)",165.325439453125
"(44.3920082, -72.9815467375)",162.79222106933594
"(44.3921081, -72.9815474)",160.35182189941406
"(44.392183325000005, -72.981546075)",158.41786193847656
"(44.39225855, -72.98154475)",156.44918823242188
"(44.392333775, -72.981543425)",154.73666381835938
"(44.392409, -72.9815421)",153.1327362060547
"(44.39250675, -72.98153537499999)",151.2229461669922
"(44.392604500000004, -72.98152865)",149.7110137939453
"(44.39270225, -72.98152192500001)",148.52577209472656
"(44.3928, -72.9815152)",147.29397583007812
"(44.3928719, -72.98150315000001)",146.133056640625
"(44.3929438, -72.9814911)",144.79269409179688
"(44.393051099999994, -72.9814844)",142.4261474609375
"(44.3931584, -72.9814777)",139.5188751220703
"(44.39323602499999, -72.9814864)",137.01602172851562
"(44.393313649999996, -72.98149509999999)",134.44784545898438
"(44.393391275, -72.98150379999998)",132.2863311767578
"(44.3934689, -72.9815125)",130.44691467285156
"(44.393550850000004, -72.98152927499999)",129.0353240966797
"(44.393632800000006, -72.98154604999999)",127.9620590209961
"(44.39371475, -72.981562825)",126.78937530517578
"(44.3937967, -72.9815796)",125.47599029541016
"(44.393884850000006, -72.98155410000001)",123.75018310546876
"(44.393973, -72.9815286)",121.90672302246094
"(44.39404775, -72.9815085)",120.4083480834961
"(44.3941225, -72.9814884)",118.76419830322266
"(44.394197250000005, -72.9814683)",117.40299224853516
"(44.394272, -72.9814482)",116.73332214355467
"(44.3901857, -72.9813328)",208.47740173339844
"(44.3902087, -72.9812376)",208.0213317871093
"(44.3902317, -72.9811424)",207.6137084960937
"(44.39027675, -72.9809922)",207.6235198974609
"(44.3903218, -72.980842)",208.2932281494141
"(44.390394650000005, -72.98077359999999)",207.2095489501953
"(44.3904675, -72.9807052)",206.09413146972656
"(44.3905633, -72.98067165)",204.60220336914065
"(44.3906591, -72.9806381)",202.8867645263672
"(44.39076645, -72.98061665)",200.30880737304688
"(44.3908738, -72.9805952)",197.1416473388672
"(44.39098115, -72.98057374999999)",193.7132568359375
"(44.3910885, -72.9805523)",190.67477416992188
"(44.391204450000004, -72.9805275)",188.34332275390625
"(44.3913204, -72.9805027)",185.8887939453125
"(44.39143635, -72.98047790000001)",183.3744506835937
"(44.3915523, -72.9804531)",180.2957763671875
"(44.391638549999996, -72.980435)",176.81500244140625
"(44.3917248, -72.9804169)",172.7357940673828
"(44.39181105, -72.98039879999999)",168.68423461914062
"(44.3918973, -72.9803807)",165.9891357421875
"(44.39201995, -72.9804075)",162.52085876464844
"(44.3921426, -72.9804343)",159.87107849121094
"(44.39226145, -72.9805094)",156.97669982910156
"(44.3923803, -72.9805845)",154.29237365722656
"(44.392453125, -72.98061870000001)",152.8589630126953
"(44.39252595, -72.9806529)",151.44593811035156
"(44.392598774999996, -72.9806871)",149.9307861328125
"(44.3926716, -72.9807213)",148.4509735107422
"(44.39279235, -72.9807347)",146.42051696777344
"(44.3929131, -72.9807481)",144.47213745117188
"(44.392984975000005, -72.9807394)",143.1620330810547
"(44.39305685, -72.98073070000001)",141.95188903808594
"(44.393128725, -72.98072200000001)",140.8086700439453
"(44.3932006, -72.9807133)",139.74900817871094
"(44.393311749999995, -72.9806945)",138.2400665283203
"(44.3934229, -72.9806757)",135.8692626953125
"(44.3935398, -72.98066495)",133.26589965820312
"(44.3936567, -72.9806542)",131.4769744873047
"(44.3937794, -72.98066225)",130.11459350585938
"(44.3939021, -72.9806703)",128.14639282226562
"(44.393975850000004, -72.98071995000001)",126.17400360107422
"(44.3940496, -72.9807696)",123.74657440185548
"(44.39409465, -72.98085005)",122.07814025878906
"(44.3941397, -72.9809305)",120.72888946533205
"(44.3898702, -72.9812998)",214.7630310058593
"(44.38988935, -72.98143125)",214.3143768310547
"(44.3899085, -72.9815627)",213.45925903320312
"(44.3899296, -72.98168605000001)",212.773666381836
"(44.3899507, -72.9818094)",212.06204223632807
"(44.3899756, -72.98195154999999)",211.01760864257807
"(44.3900005, -72.9820937)",210.3013458251953
"(44.3900532, -72.9821876)",209.27471923828125
"(44.3901059, -72.9822815)",207.88131713867188
"(44.39021325, -72.98234585)",206.0575408935547
"(44.3903206, -72.9824102)",203.8359222412109
"(44.39041640000001, -72.9824102)",201.4902801513672
"(44.3905122, -72.9824102)",199.36834716796875
"(44.39059445, -72.982379525)",197.99757385253903
"(44.3906767, -72.98234885)",196.59149169921875
"(44.39075895, -72.98231817499999)",194.89505004882807
"(44.3908412, -72.9822875)",193.1537475585937
"(44.3909067, -72.98223619999999)",191.7962646484375
"(44.3909722, -72.9821849)",190.45887756347656
"(44.391022050000004, -72.98210979999999)",189.42495727539065
"(44.3910719, -72.9820347)",188.42010498046875
"(44.39113115, -72.98191155)",186.90823364257807
"(44.3911904, -72.9817884)",185.5431060791016
"(44.39124965, -72.98166524999999)",183.8366851806641
"(44.3913089, -72.9815421)",181.762435913086
"(44.3909722, -72.9821849)",190.45887756347656
"(44.3910144, -72.98232974999999)",189.87535095214844
"(44.3910566, -72.9824746)",188.9366607666016
"(44.3911211, -72.982623)",187.816650390625
"(44.3911792, -72.9827428)",187.4642791748047
"(44.391221375, -72.98282327499999)",187.3522491455078
"(44.391263550000005, -72.98290374999999)",187.0697631835937
"(44.391305725, -72.982984225)",186.5770874023437
"(44.3913479, -72.9830647)",185.6903533935547
"(44.391428399999995, -72.98314515)",184.09706115722656
"(44.3915089, -72.9832256)",181.654037475586
"(44.39159515, -72.98324975)",179.7490997314453
"(44.391681399999996, -72.9832739)",177.61354064941406
"(44.39176765, -72.98329805)",175.3155059814453
"(44.3918539, -72.9833222)",173.02688598632812
"(44.39192465, -72.9833043)",171.4951171875
"(44.3919954, -72.9832864)",169.87852478027344
"(44.39206615, -72.98326850000001)",168.36618041992188
"(44.3921369, -72.9832506)",166.9129180908203
"(44.39224419999999, -72.98316745)",164.35064697265625
"(44.3923515, -72.9830843)",161.4333038330078
"(44.39240325, -72.9830072)",159.77548217773438
"(44.392455, -72.9829301)",158.09605407714844
"(44.392506749999995, -72.982853)",156.21798706054688
"(44.3925585, -72.9827759)",154.43475341796875
"(44.3926457, -72.98267799999999)",151.71640014648438
"(44.3927329, -72.9825801)",149.121826171875
"(44.39282875, -72.98249155)",146.63421630859375
"(44.3929246, -72.982403)",144.27671813964844
"(44.393029999999996, -72.98236545)",141.7489776611328
"(44.3931354, -72.9823279)",139.2126922607422
"(44.3932159, -72.98234135)",137.66845703125
"(44.3932964, -72.9823548)",136.47100830078125
"(44.39339035, -72.9823682)",134.60116577148438
"(44.3934843, -72.9823816)",133.5904541015625
"(44.3911211, -72.982623)",187.816650390625
"(44.391196324999996, -72.98263775000001)",186.9832763671875
"(44.39127155, -72.9826525)",186.27456665039065
"(44.391346775, -72.98266724999999)",185.51727294921875
"(44.391422, -72.982682)",184.84165954589844
"(44.391493874999995, -72.98269272499999)",183.8905487060547
"(44.39156575, -72.98270345)",182.9573974609375
"(44.391637625, -72.982714175)",182.25721740722656
"(44.3917095, -72.9827249)",181.99856567382807
"(44.3918293, -72.98271955)",179.7506561279297
"(44.3919491, -72.9827142)",175.95318603515625
"(44.3920698, -72.98265384999999)",172.815185546875
"(44.3921905, -72.9825935)",166.22943115234375
"(44.392256149999994, -72.98255125)",162.92332458496094
"(44.3923218, -72.982509)",159.71835327148438
"(44.39238745, -72.98246674999999)",157.23622131347656
"(44.3924531, -72.9824245)",155.10055541992188
"(44.39257865, -72.9824178)",152.39093017578125
"(44.3927042, -72.9824111)",149.37994384765625
"(44.3928144, -72.98240705)",146.6637725830078
"(44.3929246, -72.982403)",144.27671813964844
"(44.3924531, -72.9824245)",155.10055541992188
"(44.392499, -72.9822618)",153.46678161621094
"(44.3925449, -72.9820991)",152.05661010742188
"(44.39258895, -72.98196229999999)",150.819091796875
"(44.392633, -72.9818255)",150.20692443847656
"(44.39267475, -72.98174792500001)",149.7365264892578
"(44.3927165, -72.98167035)",149.18960571289062
"(44.39275825, -72.981592775)",148.28366088867188
"(44.3928, -72.9815152)",147.29397583007812
"(44.3931354, -72.9823279)",139.2126922607422
"(44.393224399999994, -72.9822001)",137.19187927246094
"(44.3933134, -72.9820723)",135.5102081298828
"(44.393370899999994, -72.98200455)",134.50613403320312
