coordinates,elevation
"(38.8943125, -106.9437743)",3256.14
"(38.8944106, -106.9438216)",3254.28
"(38.8944286, -106.9439857)",3253.53
"(38.89444035, -106.9440926)",3252.09
"(38.8944521, -106.9441995)",3250.28
"(38.8944486, -106.94429055)",3249.41
"(38.8944451, -106.9443816)",3248.60
"(38.8944415, -106.9444735)",3247.85
"(38.8943954, -106.94456905)",3248.62
"(38.8943493, -106.9446646)",3248.40
"(38.89428685, -106.94476095)",3247.15
"(38.8942244, -106.9448573)",3244.38
"(38.8941588, -106.9449175)",3242.80
"(38.8940932, -106.9449777)",3241.19
"(38.8940226, -106.9450595)",3238.94
"(38.8939683, -106.9451206)",3237.52
"(38.893914, -106.9451817)",3236.12
"(38.89385795, -106.9452495)",3234.73
"(38.8938019, -106.9453173)",3233.64
"(38.89375755, -106.94546605)",3230.18
"(38.8937132, -106.9456148)",3229.60
"(38.8936932, -106.945776)",3229.00
"(38.893692, -106.94590645)",3227.67
"(38.8936908, -106.9460369)",3226.58
"(38.8936896, -106.94616735)",3225.75
"(38.8936884, -106.9462978)",3225.02
"(38.89369326, -106.9463846)",3224.29
"(38.89369813, -106.9464714)",3223.66
"(38.89370299, -106.9465582)",3223.06
"(38.89370785, -106.946645)",3222.42
"(38.89371271, -106.9467318)",3221.76
"(38.89371757, -106.9468186)",3221.14
"(38.89372244, -106.9469054)",3220.49
"(38.8937273, -106.9469922)",3219.78
"(38.89371827, -106.94709787)",3219.30
"(38.89370925, -106.94720355)",3218.51
"(38.89370023, -106.94730922)",3217.34
"(38.8936912, -106.9474149)",3215.83
"(38.8936401, -106.9475484)",3215.61
"(38.893589, -106.9476819)",3215.21
"(38.89357162, -106.94777692)",3213.80
"(38.89355425, -106.94787195)",3212.42
"(38.89353687, -106.94796697)",3211.23
"(38.8935195, -106.948062)",3210.30
"(38.89351118, -106.94817045)",3208.77
"(38.89350285, -106.9482789)",3207.17
"(38.89349452, -106.94838735)",3205.51
"(38.8934862, -106.9484958)",3204.12
"(38.89345805, -106.94864865)",3203.53
"(38.8934299, -106.9488015)",3203.09
"(38.89340813, -106.9489411)",3202.47
"(38.89338635, -106.9490807)",3201.78
"(38.89336457, -106.9492203)",3201.00
"(38.8933428, -106.9493599)",3199.87
"(38.89332365, -106.9494803)",3198.61
"(38.8933045, -106.9496007)",3197.06
"(38.89326705, -106.9497492)",3195.39
"(38.8932296, -106.9498977)",3193.63
"(38.89320685, -106.94998122)",3192.73
"(38.8931841, -106.95006475)",3191.58
"(38.89316135, -106.95014828)",3190.41
"(38.8931386, -106.9502318)",3189.31
"(38.8930794, -106.95029983)",3190.48
"(38.8930202, -106.95036785)",3191.72
"(38.892961, -106.95043587)",3192.60
"(38.8929018, -106.9505039)",3193.35
"(38.89283275, -106.95059815)",3193.69
"(38.8927637, -106.9506924)",3193.67
"(38.8926943, -106.95077115)",3194.02
"(38.8926249, -106.9508499)",3194.33
"(38.89261395, -106.9509362)",3191.52
"(38.892603, -106.9510225)",3188.69
"(38.8926655, -106.9511188)",3182.90
"(38.8927654, -106.9510907)",3180.79
"(38.89282555, -106.95104052)",3180.48
"(38.8928857, -106.95099035)",3180.12
"(38.89294585, -106.95094017)",3179.69
"(38.893006, -106.95089)",3179.26
"(38.89309505, -106.95079165)",3178.91
"(38.8931841, -106.9506933)",3178.20
"(38.8932747, -106.9506572)",3176.18
"(38.8933653, -106.9506211)",3174.08
"(38.8934465, -106.95055285)",3172.56
"(38.8935277, -106.9504846)",3171.04
"(38.893573, -106.9503903)",3170.79
"(38.8936183, -106.950296)",3170.56
"(38.8936933, -106.9501635)",3169.60
"(38.89374485, -106.95005915)",3169.02
"(38.8937964, -106.9499548)",3168.18
"(38.8938292, -106.94985145)",3167.88
"(38.893862, -106.9497481)",3167.54
"(38.8938948, -106.94964475)",3167.18
"(38.8939276, -106.9495414)",3166.82
"(38.8939838, -106.94939085)",3166.01
"(38.89404, -106.9492403)",3165.20
"(38.89408042, -106.94916604)",3164.26
"(38.89412084, -106.94909179)",3163.32
