coordinates,elevation
"(46.9276897, -121.4899046)",1646.039794921875
"(46.9277694, -121.489969675)",1642.68603515625
"(46.9278491, -121.49003475)",1641.1395263671875
"(46.927928800000004, -121.490099825)",1639.4410400390625
"(46.9280085, -121.4901649)",1635.3681640625
"(46.92813305, -121.490180975)",1628.7823486328125
"(46.928257599999995, -121.49019705)",1620.6231689453125
"(46.92838215, -121.490213125)",1614.4703369140625
"(46.9285067, -121.4902292)",1612.488037109375
"(46.928547, -121.49012192500001)",1610.852294921875
"(46.928587300000004, -121.49001465)",1609.5728759765625
"(46.9286276, -121.489907375)",1608.1358642578125
"(46.9286679, -121.4898001)",1606.7674560546875
"(46.928675225000006, -121.489623075)",1604.8863525390625
"(46.928682550000005, -121.48944605)",1603.2838134765625
"(46.928689875, -121.489269025)",1602.4049072265625
"(46.9286972, -121.489092)",1601.6368408203125
"(46.9287259, -121.48892515)",1600.9866943359375
"(46.9287546, -121.4887583)",1601.52001953125
"(46.9287833, -121.48866635)",1601.759765625
"(46.928812, -121.4885744)",1601.9853515625
"(46.92884785, -121.48845940000001)",1602.315185546875
"(46.9288837, -121.4883444)",1602.0318603515625
"(46.9291723, -121.4883828)",1602.6827392578125
"(46.929120999999995, -121.4882701)",1602.0968017578125
"(46.9290697, -121.4881574)",1601.1881103515625
"(46.9291048, -121.48805845000001)",1599.0765380859375
"(46.929139899999996, -121.4879595)",1597.3232421875
"(46.929175, -121.48786055)",1596.029541015625
"(46.9292101, -121.4877616)",1594.8778076171875
"(46.9292064375, -121.4876409)",1593.392822265625
"(46.92920277499999, -121.4875202)",1591.54296875
"(46.929199112499994, -121.48739950000001)",1589.3551025390625
"(46.929195449999995, -121.4872788)",1587.0701904296875
"(46.929191787499995, -121.48715809999999)",1584.1466064453125
"(46.929188124999996, -121.48703739999999)",1580.92578125
"(46.9291844625, -121.4869167)",1578.4122314453125
"(46.9291808, -121.486796)",1577.0653076171875
"(46.92912162499999, -121.4866883)",1575.1697998046875
"(46.929062449999996, -121.4865806)",1573.5653076171875
"(46.929003275, -121.4864729)",1572.2723388671875
"(46.928944099999995, -121.4863652)",1571.008056640625
"(46.928884925, -121.4862575)",1569.6763916015625
"(46.92882575, -121.48614979999999)",1567.7637939453125
"(46.928766575, -121.48604209999999)",1566.6190185546875
"(46.9287074, -121.4859344)",1565.55078125
"(46.928598050000005, -121.485827525)",1563.321044921875
"(46.9284887, -121.48572065)",1562.8751220703125
"(46.92837935, -121.485613775)",1563.6727294921875
"(46.92827, -121.4855069)",1563.72998046875
"(46.928160649999995, -121.485400025)",1563.2716064453125
"(46.9280513, -121.48529315)",1562.648681640625
"(46.927941950000005, -121.485186275)",1562.2408447265625
"(46.9278326, -121.4850794)",1561.32470703125
"(46.927751675, -121.485050425)",1560.9593505859375
"(46.927670750000004, -121.48502145)",1560.3302001953125
"(46.927589825, -121.484992475)",1560.2908935546875
"(46.9275089, -121.48496349999999)",1559.29248046875
"(46.927427975, -121.484934525)",1557.4884033203125
"(46.927347049999995, -121.48490555)",1555.656982421875
"(46.927266124999996, -121.48487657499999)",1554.1715087890625
"(46.9271852, -121.4848476)",1553.325439453125
"(46.927124, -121.4847977125)",1552.619384765625
"(46.9270628, -121.484747825)",1552.21142578125
"(46.9270016, -121.4846979375)",1551.696044921875
"(46.9269404, -121.48464805)",1550.9622802734375
"(46.9268792, -121.4845981625)",1550.2642822265625
"(46.926818, -121.48454827500001)",1550.06103515625
"(46.9267568, -121.4844983875)",1550.12255859375
"(46.9266956, -121.4844485)",1550.2960205078125
"(46.9266344, -121.4843986125)",1550.615966796875
"(46.9265732, -121.48434872499999)",1550.6719970703125
