coordinates,elevation
"(40.6107024, -111.5240379)",2768.615478515625
"(40.61078035, -111.5239854)",2767.888671875
"(40.6108583, -111.5239329)",2767.0146484375
"(40.61093832499999, -111.52385405000001)",2764.9208984375
"(40.611018349999995, -111.5237752)",2762.278564453125
"(40.611098375, -111.52369635)",2759.357666015625
"(40.6111784, -111.5236175)",2756.784423828125
"(40.611238925, -111.523531375)",2754.5283203125
"(40.611299450000004, -111.52344525000001)",2752.48583984375
"(40.611359975, -111.52335912500001)",2750.257568359375
"(40.6114205, -111.523273)",2747.62158203125
"(40.61149775, -111.5231631)",2743.619384765625
"(40.611575, -111.5230532)",2739.352783203125
"(40.6116401625, -111.522988825)",2736.6953125
"(40.611705325, -111.52292445)",2734.116943359375
"(40.6117704875, -111.52286007500001)",2731.824951171875
"(40.61183565, -111.5227957)",2729.680419921875
"(40.611900812500004, -111.522731325)",2727.676025390625
"(40.611965975000004, -111.52266695)",2725.864013671875
"(40.6120311375, -111.52260257500001)",2724.191650390625
"(40.6120963, -111.5225382)",2722.63525390625
"(40.612158574999995, -111.522462625)",2720.884521484375
"(40.61222085, -111.52238704999999)",2719.41796875
"(40.612283125000005, -111.522311475)",2718.4267578125
"(40.6123454, -111.5222359)",2717.751220703125
"(40.612432600000005, -111.5221301)",2716.7158203125
"(40.6125198, -111.5220243)",2715.59814453125
"(40.61258495, -111.52187409999999)",2713.975341796875
"(40.612650099999996, -111.5217239)",2712.408203125
"(40.612715249999994, -111.5215737)",2710.70263671875
"(40.6127804, -111.5214235)",2709.12744140625
"(40.612823774999995, -111.521296075)",2707.7607421875
"(40.61286715, -111.52116864999999)",2706.430419921875
"(40.612910525000004, -111.521041225)",2704.987060546875
"(40.6129539, -111.5209138)",2703.51171875
"(40.613000125, -111.52075690000001)",2701.4052734375
"(40.613046350000005, -111.5206)",2699.258544921875
"(40.613092575, -111.5204431)",2696.866455078125
"(40.6131388, -111.5202862)",2694.631591796875
"(40.613155087500004, -111.520195)",2693.350830078125
"(40.613171375, -111.5201038)",2692.143798828125
"(40.613187662499996, -111.5200126)",2690.91259765625
"(40.61320395, -111.5199214)",2689.77685546875
"(40.6132202375, -111.5198302)",2688.66845703125
"(40.613236525, -111.519739)",2687.429931640625
"(40.613252812499994, -111.5196478)",2685.962890625
"(40.6132691, -111.5195566)",2684.296142578125
"(40.613291499999995, -111.51944395000001)",2682.410888671875
"(40.613313899999994, -111.5193313)",2680.92919921875
"(40.6133363, -111.51921865)",2679.12451171875
"(40.6133587, -111.519106)",2677.2333984375
"(40.6133811, -111.51899334999999)",2675.451416015625
"(40.613403500000004, -111.5188807)",2673.861572265625
"(40.6134259, -111.51876805)",2672.06298828125
"(40.6134483, -111.5186554)",2670.2578125
"(40.6134727, -111.5184945)",2667.867919921875
"(40.6134971, -111.5183336)",2665.846923828125
"(40.61353986249999, -111.5182450875)",2664.48681640625
