coordinates,elevation
"(43.6723919, -74.0479613)",1082.05
"(43.67246248, -74.04780478)",1081.75
"(43.67253305, -74.04764825)",1081.45
"(43.67260363, -74.04749173)",1081.33
"(43.6726742, -74.0473352)",1081.02
"(43.67266722, -74.04723916)",1080.66
"(43.67266024, -74.04714311)",1080.19
"(43.67265326, -74.04704707)",1079.21
"(43.67264628, -74.04695102)",1077.42
"(43.67263929, -74.04685498)",1075.20
"(43.67263231, -74.04675894)",1072.40
"(43.67262533, -74.04666289)",1069.12
"(43.67261835, -74.04656685)",1066.23
"(43.67261137, -74.04647081)",1063.53
"(43.67260439, -74.04637476)",1059.82
"(43.67259741, -74.04627872)",1055.35
"(43.67259042, -74.04618268)",1051.47
"(43.67258344, -74.04608663)",1048.56
"(43.67257646, -74.04599059)",1046.06
"(43.67256948, -74.04589454)",1042.06
"(43.6725625, -74.0457985)",1036.37
"(43.67257058, -74.04567603)",1029.71
"(43.67257866, -74.04555355)",1024.07
"(43.67258674, -74.04543107)",1018.62
"(43.67259482, -74.0453086)",1013.38
"(43.67260291, -74.04518613)",1006.75
"(43.67261099, -74.04506365)",998.02
"(43.67261907, -74.04494118)",989.76
"(43.67262715, -74.0448187)",984.95
"(43.67263523, -74.04469623)",982.54
"(43.67264331, -74.04457375)",980.85
"(43.67265139, -74.04445128)",978.82
"(43.67265948, -74.0443288)",975.47
"(43.67266756, -74.04420633)",971.04
"(43.67267564, -74.04408385)",966.49
"(43.67268372, -74.04396137)",961.81
"(43.6726918, -74.0438389)",957.32
"(43.67271093, -74.0436693)",950.75
"(43.67273005, -74.0434997)",941.80
"(43.67274917, -74.0433301)",933.22
"(43.6727683, -74.0431605)",927.74
"(43.67278743, -74.0429909)",922.91
"(43.67280655, -74.0428213)",915.86
"(43.67282567, -74.0426517)",909.55
"(43.6728448, -74.0424821)",904.03
"(43.6720125, -74.0482148)",1082.35
"(43.67200827, -74.04808987)",1081.78
"(43.67200405, -74.04796495)",1081.22
"(43.67199983, -74.04784002)",1080.72
"(43.6719956, -74.0477151)",1080.22
"(43.671972, -74.047533)",1078.34
"(43.6719112, -74.0473976)",1076.07
"(43.6718031, -74.0473415)",1073.95
"(43.67170345, -74.0472598)",1071.69
"(43.6716038, -74.0471781)",1069.68
"(43.671543, -74.047038)",1066.66
"(43.6715548, -74.04689555)",1063.54
"(43.6715666, -74.0467531)",1059.32
"(43.6715659, -74.04664363)",1055.67
"(43.6715652, -74.04653415)",1052.70
"(43.6715645, -74.04642467)",1049.98
"(43.6715638, -74.0463152)",1047.08
"(43.67154887, -74.04619522)",1043.47
"(43.67153395, -74.04607525)",1039.77
"(43.67151902, -74.04595527)",1036.22
"(43.6715041, -74.0458353)",1032.70
"(43.6714465, -74.04568665)",1027.43
"(43.6713889, -74.045538)",1021.81
"(43.6713313, -74.04538935)",1017.15
"(43.6712737, -74.0452407)",1013.21
"(43.67123147, -74.04513275)",1010.73
"(43.67118925, -74.0450248)",1007.79
"(43.67114702, -74.04491685)",1003.46
"(43.6711048, -74.0448089)",998.98
"(43.6711355, -74.0446355)",992.47
"(43.6711662, -74.0444621)",987.77
"(43.67124427, -74.04434178)",984.80
"(43.67132235, -74.04422145)",982.17
"(43.67140043, -74.04410112)",979.10
"(43.6714785, -74.0439808)",973.33
"(43.6715489, -74.04389762)",968.40
"(43.6716193, -74.04381445)",964.14
"(43.6716897, -74.04373127)",959.55
"(43.6717601, -74.0436481)",954.62
"(43.67182025, -74.04353307)",947.72
"(43.6718804, -74.04341805)",941.57
"(43.67194055, -74.04330303)",935.91
"(43.6720007, -74.043188)",930.92
"(43.67206087, -74.04305172)",926.80
"(43.67212105, -74.04291545)",923.14
"(43.67218123, -74.04277918)",919.94
"(43.6722414, -74.0426429)",915.32
"(43.67230922, -74.04248718)",908.71
"(43.67237705, -74.04233145)",902.12
"(43.67244487, -74.04217572)",895.27
"(43.6725127, -74.04202)",888.51
"(43.6719547, -74.0482915)",1082.58
"(43.6718369, -74.0483163)",1082.58
"(43.6717319, -74.048203)",1082.02
"(43.6716628, -74.04808975)",1081.34
"(43.6715937, -74.0479765)",1080.72
"(43.6715246, -74.04782785)",1079.36
"(43.6714555, -74.0476792)",1076.13
"(43.67136715, -74.04756595)",1073.09
"(43.6712788, -74.0474527)",1070.25
"(43.67121545, -74.04737837)",1068.16
"(43.6711521, -74.04730405)",1065.72
"(43.67108875, -74.04722972)",1062.90
"(43.6710254, -74.0471554)",1059.43
"(43.67100875, -74.0470174)",1054.90
"(43.6709921, -74.0468794)",1050.94
"(43.6709793, -74.04671127)",1047.18
"(43.6709665, -74.04654315)",1042.74
"(43.6709537, -74.04637503)",1036.87
"(43.6709409, -74.0462069)",1032.50
"(43.67087242, -74.0461193)",1029.20
"(43.67080395, -74.0460317)",1025.18
"(43.67073548, -74.0459441)",1019.40
"(43.670667, -74.0458565)",1013.39
"(43.67064715, -74.04574325)",1009.39
"(43.6706273, -74.04563)",1004.80
"(43.67060745, -74.04551675)",999.90
"(43.6705876, -74.0454035)",996.08
"(43.67058027, -74.04522833)",993.84
"(43.67057295, -74.04505315)",992.86
"(43.67056563, -74.04487797)",991.42
"(43.6705583, -74.0447028)",989.61
"(43.6705728, -74.04456725)",989.17
"(43.6705873, -74.0444317)",988.77
"(43.6706018, -74.04429615)",988.08
"(43.6706163, -74.0441606)",987.18
"(43.67065082, -74.04401115)",986.04
"(43.67068535, -74.0438617)",984.91
"(43.67071988, -74.04371225)",982.84
"(43.6707544, -74.0435628)",978.82
"(43.67074327, -74.04345342)",974.34
"(43.67073215, -74.04334405)",968.78
"(43.67072102, -74.04323468)",964.25
"(43.6707099, -74.0431253)",960.43
"(43.67067535, -74.0430244)",956.94
"(43.6706408, -74.0429235)",953.88
"(43.67060625, -74.0428226)",951.61
"(43.6705717, -74.0427217)",949.52
"(43.67053715, -74.0426208)",947.09
"(43.6705026, -74.0425199)",944.08
"(43.67046805, -74.042419)",940.71
"(43.6704335, -74.0423181)",937.12
"(43.6703624, -74.042175)",931.51
"(43.6702913, -74.0420319)",927.17
"(43.6702202, -74.0418888)",922.81
"(43.6701491, -74.0417457)",917.36
"(43.67012195, -74.0415888)",912.05
"(43.6700948, -74.0414319)",908.19
"(43.67006765, -74.041275)",903.82
"(43.6700405, -74.0411181)",899.35
"(43.67007832, -74.04100007)",895.00
"(43.67011615, -74.04088205)",889.49
"(43.67015397, -74.04076402)",883.71
"(43.6701918, -74.040646)",877.77
"(43.67029752, -74.04054675)",873.11
"(43.67040325, -74.0404475)",869.31
"(43.67050898, -74.04034825)",864.85
"(43.6706147, -74.040249)",860.04
"(43.67064477, -74.04012965)",853.95
"(43.67067485, -74.0400103)",848.08
"(43.67070492, -74.03989095)",842.79
"(43.670735, -74.0397716)",838.73
"(43.67073258, -74.03966632)",835.72
"(43.67073015, -74.03956105)",833.36
"(43.67072772, -74.03945577)",831.36
"(43.6707253, -74.0393505)",829.13
"(43.67072288, -74.03924523)",826.31
"(43.67072045, -74.03913995)",822.27
"(43.67071802, -74.03903467)",816.96
"(43.6707156, -74.0389294)",811.96
"(43.67072675, -74.03878455)",807.03
"(43.6707379, -74.0386397)",803.67
"(43.67074905, -74.03849485)",799.88
"(43.6707602, -74.03835)",796.34
"(43.6709838, -74.0435839)",974.34
"(43.6709838, -74.0435839)",974.34
"(43.67106315, -74.04359095)",972.33
"(43.6711425, -74.043598)",970.00
"(43.6711963, -74.0435166)",965.24
"(43.6712501, -74.0434352)",961.49
"(43.67127058, -74.04333699)",957.68
"(43.67129105, -74.04323878)",953.65
"(43.67131153, -74.04314056)",949.86
"(43.671332, -74.04304235)",945.84
"(43.67135247, -74.04294414)",941.88
"(43.67137295, -74.04284592)",938.64
"(43.67139342, -74.04274771)",935.12
"(43.6714139, -74.0426495)",931.04
"(43.6714027, -74.04254708)",928.28
"(43.6713915, -74.04244467)",926.47
"(43.6713803, -74.04234225)",924.60
"(43.6713691, -74.04223984)",922.49
"(43.6713579, -74.04213742)",920.17
"(43.6713467, -74.04203501)",917.55
"(43.6713355, -74.04193259)",914.52
"(43.6713243, -74.04183018)",911.49
"(43.6713131, -74.04172776)",909.06
"(43.6713019, -74.04162534)",906.86
"(43.6712907, -74.04152293)",904.09
"(43.6712795, -74.04142051)",901.06
"(43.6712683, -74.0413181)",897.95
"(43.6712571, -74.04121568)",894.35
"(43.6712459, -74.04111327)",890.42
"(43.6712347, -74.04101085)",886.62
"(43.6712235, -74.04090843)",882.91
"(43.6712123, -74.04080602)",878.59
"(43.6712011, -74.0407036)",874.55
"(43.6711899, -74.04060119)",871.30
"(43.6711787, -74.04049877)",867.25
"(43.6711675, -74.04039636)",862.82
"(43.6711563, -74.04029394)",858.91
"(43.6711451, -74.04019152)",855.50
"(43.6711339, -74.04008911)",851.93
"(43.6711227, -74.03998669)",848.11
"(43.6711115, -74.03988428)",844.28
"(43.6711003, -74.03978186)",840.63
"(43.6710891, -74.03967945)",837.44
"(43.6710779, -74.03957703)",834.71
"(43.6710667, -74.03947462)",832.14
"(43.6710555, -74.0393722)",829.64
"(43.6709838, -74.0393333)",828.42
"(43.6709121, -74.0392944)",827.23
"(43.67089675, -74.03946605)",831.02
"(43.6708814, -74.0396377)",834.76
"(43.67086605, -74.03980935)",840.62
"(43.6708507, -74.039981)",847.83
"(43.67081358, -74.04008362)",852.59
"(43.67077645, -74.04018625)",857.42
"(43.67073932, -74.04028888)",862.02
"(43.6707022, -74.0403915)",866.70
"(43.6705819, -74.04044105)",868.90
"(43.6704616, -74.0404906)",870.98
"(43.6703899, -74.04058265)",874.22
"(43.6703182, -74.0406747)",878.54
"(43.6702619, -74.04081625)",886.44
"(43.6702056, -74.0409578)",893.05
"(43.67019535, -74.04109585)",898.22
"(43.6701851, -74.0412339)",902.40
"(43.67021582, -74.04138785)",906.55
"(43.67024655, -74.0415418)",910.01
"(43.67027728, -74.04169575)",914.54
"(43.670308, -74.0418497)",921.05
"(43.670372, -74.0420072)",926.43
"(43.670436, -74.0421647)",931.07
"(43.6705, -74.0423222)",936.84
"(43.670564, -74.0424797)",942.21
"(43.6706075, -74.0425788)",945.28
"(43.670651, -74.0426779)",947.74
"(43.6707278, -74.04275575)",949.18
"(43.6708046, -74.0428336)",950.50
"(43.6709838, -74.0435839)",974.34
"(43.67098269, -74.04344792)",968.01
"(43.67098158, -74.04331194)",962.78
"(43.67098048, -74.04317596)",958.42
"(43.67097937, -74.04303997)",954.20
"(43.67097826, -74.04290399)",950.54
"(43.67097715, -74.04276801)",946.21
"(43.67097604, -74.04263203)",941.28
"(43.67097493, -74.04249605)",936.76
"(43.67097383, -74.04236007)",930.75
"(43.67097272, -74.04222408)",927.35
"(43.67097161, -74.0420881)",924.64
"(43.6709705, -74.04195212)",921.13
"(43.67096939, -74.04181614)",915.94
"(43.67096828, -74.04168016)",910.78
"(43.67096718, -74.04154418)",907.78
"(43.67096607, -74.0414082)",904.01
"(43.6709627, -74.04127608)",899.50
"(43.67095932, -74.04114397)",895.02
"(43.67095595, -74.04101186)",890.11
"(43.67095258, -74.04087975)",884.81
"(43.6709492, -74.04074763)",878.63
"(43.67094583, -74.04061552)",873.75
"(43.67094246, -74.04048341)",869.27
"(43.67093908, -74.0403513)",863.18
"(43.67093571, -74.04021919)",857.81
"(43.67093234, -74.04008707)",852.54
"(43.67092897, -74.03995496)",847.10
"(43.67092559, -74.03982285)",841.66
"(43.67092222, -74.03969074)",836.67
"(43.67091885, -74.03955862)",833.04
"(43.67091547, -74.03942651)",830.28
"(43.6709121, -74.0392944)",827.23
"(43.6709121, -74.0392944)",827.23
"(43.6699017, -74.0419053)",929.21
"(43.6699017, -74.0419053)",929.21
"(43.6698359, -74.0417582)",926.65
"(43.6697701, -74.0416111)",924.04
"(43.66973522, -74.0414891)",920.54
"(43.66970035, -74.0413671)",916.56
"(43.66966548, -74.0412451)",911.81
"(43.6696306, -74.0411231)",906.51
"(43.66963812, -74.04098856)",898.88
"(43.66964565, -74.04085402)",893.85
"(43.66965317, -74.04071949)",888.79
"(43.6696607, -74.04058495)",883.86
"(43.66966822, -74.04045041)",878.04
"(43.66967575, -74.04031588)",872.10
"(43.66968327, -74.04018134)",865.27
"(43.6696908, -74.0400468)",857.76
"(43.66971847, -74.03995389)",852.67
"(43.66974615, -74.03986099)",848.16
"(43.66977382, -74.03976808)",844.49
"(43.6698015, -74.03967517)",840.96
"(43.66982918, -74.03958227)",837.48
"(43.66985685, -74.03948936)",834.40
"(43.66988453, -74.03939646)",831.92
"(43.6699122, -74.03930355)",829.72
"(43.66993987, -74.03921064)",826.99
"(43.66996755, -74.03911774)",823.21
"(43.66999522, -74.03902483)",819.01
"(43.6700229, -74.03893192)",815.15
"(43.67005058, -74.03883902)",811.44
"(43.67007825, -74.03874611)",807.27
"(43.67010593, -74.03865321)",802.98
"(43.6701336, -74.0385603)",799.84
"(43.67012765, -74.03841145)",795.66
"(43.6701217, -74.0382626)",791.45
"(43.6701409, -74.0381405)",788.33
"(43.6701601, -74.0380184)",785.54
"(43.67021492, -74.03809902)",788.86
"(43.67026975, -74.03817965)",792.23
"(43.67032458, -74.03826027)",794.54
"(43.6703794, -74.0383409)",796.24
"(43.67043188, -74.03847185)",798.79
"(43.67048435, -74.0386028)",801.53
"(43.67053682, -74.03873375)",805.42
"(43.6705893, -74.0388647)",810.65
"(43.67058418, -74.03904695)",819.29
"(43.67057905, -74.0392292)",827.26
"(43.67057392, -74.03941145)",832.20
"(43.6705688, -74.0395937)",836.49
"(43.67054395, -74.03971777)",840.07
"(43.6705191, -74.03984185)",844.21
"(43.67049425, -74.03996593)",848.69
"(43.6704694, -74.04009)",853.51
"(43.6704153, -74.04022545)",859.29
"(43.6703612, -74.0403609)",865.62
"(43.67028655, -74.040377)",866.76
"(43.6702119, -74.0403931)",868.12
"(43.67014007, -74.04050445)",873.30
"(43.67006825, -74.0406158)",878.72
"(43.66999643, -74.04072715)",883.73
"(43.6699246, -74.0408385)",888.96
"(43.66990235, -74.04099395)",895.46
"(43.6698801, -74.0411494)",901.20
"(43.6698891, -74.0412776)",906.87
"(43.6698981, -74.0414058)",912.06
"(43.66994475, -74.0414858)",913.57
"(43.6699914, -74.0415658)",915.23
"(43.6700708, -74.0416512)",915.91
"(43.6700855, -74.0417488)",919.56
"(43.6699017, -74.0419053)",929.21
"(43.66991102, -74.0417837)",925.94
"(43.66992034, -74.04166211)",921.57
"(43.66992965, -74.04154051)",916.25
"(43.66993897, -74.04141891)",911.21
"(43.66994829, -74.04129731)",906.27
"(43.66995761, -74.04117572)",901.53
"(43.66996693, -74.04105412)",897.37
"(43.66997625, -74.04093252)",892.49
