coordinates,elevation
"(43.7829232, -110.9533636)",2508.83447265625
"(43.78289609375, -110.953465325)",2506.943603515625
"(43.782868987499995, -110.95356705)",2504.243896484375
"(43.78284188124999, -110.953668775)",2501.112060546875
"(43.782814775, -110.95377049999999)",2496.937744140625
"(43.782787668750004, -110.953872225)",2492.021728515625
"(43.7827605625, -110.95397394999999)",2488.021728515625
"(43.78273345625, -110.95407567499998)",2484.946044921875
"(43.78270635, -110.95417739999999)",2482.09423828125
"(43.782679243749996, -110.954279125)",2479.325439453125
"(43.782652137499994, -110.95438084999999)",2476.36083984375
"(43.78262503124999, -110.95448257499999)",2472.5546875
"(43.782597925, -110.9545843)",2468.100830078125
"(43.78257081875, -110.954686025)",2463.9013671875
"(43.7825437125, -110.95478775)",2460.22412109375
"(43.78251660625, -110.95488947499999)",2456.76708984375
"(43.7824895, -110.9549912)",2453.268798828125
"(43.782444962499994, -110.9551655375)",2447.4697265625
"(43.782400425, -110.95533987499999)",2441.85546875
"(43.7823558875, -110.95551421249999)",2436.301025390625
"(43.78231135, -110.95568854999999)",2430.65283203125
"(43.7822668125, -110.95586288749999)",2425.077392578125
"(43.782222274999995, -110.95603722499999)",2419.603515625
"(43.78217773749999, -110.95621156249999)",2414.554443359375
"(43.7821332, -110.9563859)",2407.96142578125
"(43.7820847875, -110.95654683750001)",2402.092041015625
"(43.782036375, -110.95670777500001)",2396.419677734375
"(43.7819879625, -110.95686871250001)",2391.4658203125
"(43.78193955, -110.95702965000001)",2385.06884765625
"(43.7818911375, -110.95719058750001)",2378.529296875
"(43.781842725, -110.957351525)",2370.6337890625
"(43.7817943125, -110.9575124625)",2363.533935546875
"(43.7817459, -110.9576734)",2357.808837890625
"(43.7816974875, -110.95782092500001)",2352.267333984375
"(43.781649075, -110.95796845000001)",2345.238037109375
"(43.7816006625, -110.958115975)",2338.595458984375
"(43.78155225, -110.9582635)",2332.396728515625
"(43.7815038375, -110.958411025)",2326.66357421875
"(43.781455425, -110.95855854999999)",2321.11572265625
"(43.7814070125, -110.958706075)",2316.942138671875
"(43.7813586, -110.9588536)",2314.588134765625
"(43.7787948, -110.9441907)",2708.93505859375
"(43.778843018749996, -110.94430194374999)",2707.36376953125
"(43.7788912375, -110.9444131875)",2705.28759765625
"(43.77893945625, -110.94452443125)",2703.6513671875
"(43.778987674999996, -110.944635675)",2701.5888671875
"(43.77903589375, -110.94474691875)",2699.864990234375
"(43.7790841125, -110.9448581625)",2698.048095703125
"(43.77913233125, -110.94496940625)",2696.0068359375
"(43.77918055, -110.94508065)",2693.2490234375
"(43.77922876875, -110.94519189374999)",2690.757080078125
"(43.7792769875, -110.94530313749999)",2688.385009765625
"(43.77932520625, -110.94541438124999)",2686.218994140625
"(43.779373425, -110.94552562499999)",2683.750244140625
"(43.77942164375, -110.94563686874999)",2680.89013671875
"(43.7794698625, -110.94574811249998)",2677.597412109375
"(43.77951808125, -110.94585935625)",2674.28466796875
"(43.7795663, -110.9459706)",2671.20068359375
"(43.77962826875, -110.9461342125)",2667.05419921875
"(43.7796902375, -110.94629782499999)",2662.86083984375
"(43.779752206249995, -110.94646143749999)",2657.063720703125
"(43.779814175, -110.94662505)",2650.339111328125
"(43.77987614375, -110.9467886625)",2643.96435546875
"(43.7799381125, -110.946952275)",2638.0966796875
"(43.780000081249995, -110.9471158875)",2632.300048828125
"(43.78006205, -110.94727950000001)",2626.451171875
"(43.78012401875, -110.94744311250001)",2620.9697265625
"(43.7801859875, -110.94760672500001)",2614.740966796875
"(43.780247956249994, -110.9477703375)",2608.37939453125
