coordinates,elevation
"(43.5338451, -71.3752584)",493.55
"(43.5339326, -71.3753845)",496.44
"(43.5340357, -71.3754757)",498.10
"(43.5341485, -71.3755749)",500.18
"(43.5342554, -71.37565)",502.25
"(43.5343225, -71.3756916)",503.63
"(43.5343896, -71.3757332)",504.69
"(43.5345082, -71.3757788)",506.14
"(43.5346132, -71.3757949)",506.91
"(43.534726, -71.3758029)",506.89
"(43.5348485, -71.375768)",506.28
"(43.5349729, -71.3757224)",506.09
"(43.5350429, -71.3756862)",506.05
"(43.5351129, -71.37565)",506.07
"(43.53518095, -71.37562855)",506.44
"(43.535249, -71.3756071)",506.90
"(43.5353657, -71.3755883)",507.37
"(43.5354464, -71.3755749)",507.56
"(43.5355271, -71.3755615)",507.68
"(43.535599, -71.3755401)",508.00
"(43.5356982, -71.3756339)",507.74
"(43.53575655, -71.37572645)",505.95
"(43.5358149, -71.375819)",503.90
"(43.5359121, -71.375878)",502.30
"(43.53601225, -71.37595175)",501.33
"(43.5361124, -71.3760255)",500.00
"(43.5361843, -71.3760926)",498.23
"(43.53626595, -71.3761717)",496.64
"(43.5363476, -71.3762508)",494.33
"(43.5364429, -71.3763447)",492.54
"(43.5364838, -71.3763849)",492.24
"(43.5334464, -71.3760314)",519.59
"(43.53349358, -71.3759602)",518.02
"(43.53354075, -71.375889)",516.26
"(43.53358792, -71.3758178)",514.15
"(43.5336351, -71.3757466)",511.76
"(43.5336876, -71.37562455)",507.67
"(43.5337401, -71.3755025)",502.86
"(43.5337926, -71.37538045)",498.19
"(43.5338451, -71.3752584)",493.55
"(43.53390635, -71.3751471)",488.97
"(43.5339676, -71.3750358)",484.71
"(43.53402885, -71.3749245)",481.15
"(43.5340901, -71.3748132)",478.01
"(43.5341815, -71.37472735)",474.73
"(43.5342729, -71.3746415)",471.62
"(43.53434778, -71.37458383)",469.35
"(43.53442265, -71.37452615)",467.45
"(43.53449752, -71.37446848)",465.69
"(43.5345724, -71.3744108)",464.16
"(43.5346443, -71.37434645)",463.01
"(43.5347162, -71.3742821)",461.67
"(43.5347658, -71.37417213)",459.11
"(43.5348154, -71.37406215)",456.63
"(43.534865, -71.37395217)",454.10
"(43.5349146, -71.3738422)",451.59
"(43.53492918, -71.3737148)",448.83
"(43.53494375, -71.3735874)",446.18
"(43.53495832, -71.37346)",443.32
"(43.5349729, -71.3733326)",440.04
"(43.53497778, -71.37320117)",436.55
"(43.53498265, -71.37306975)",433.79
"(43.53498753, -71.37293833)",430.52
"(43.5349924, -71.3728069)",427.47
"(43.535006, -71.37269022)",424.98
"(43.5350196, -71.37257355)",422.44
"(43.5350332, -71.37245687)",419.66
"(43.5350468, -71.3723402)",417.13
"(43.53510418, -71.37219535)",413.54
"(43.53516155, -71.3720505)",410.40
"(43.53521892, -71.37190565)",407.53
"(43.5352763, -71.3717608)",405.16
"(43.53533463, -71.37166828)",403.41
"(43.53539295, -71.37157575)",401.40
"(43.53545127, -71.37148323)",399.76
"(43.5355096, -71.3713907)",397.99
"(43.53556988, -71.37129815)",396.33
"(43.53563015, -71.3712056)",394.94
"(43.53569042, -71.37111305)",393.46
"(43.5357507, -71.3710205)",392.03
"(43.53579543, -71.37092128)",389.96
"(43.53584015, -71.37082205)",388.09
"(43.53588488, -71.37072283)",386.51
"(43.5359296, -71.3706236)",384.65
"(43.5359821, -71.37047338)",381.80
"(43.5360346, -71.37032315)",378.06
"(43.5360871, -71.37017293)",374.56
"(43.5361396, -71.3700227)",371.58
"(43.536211, -71.3699309)",370.26
"(43.53630206, -71.36981389)",369.24
"(43.53639313, -71.36969687)",368.39
"(43.53648419, -71.36957986)",367.08
"(43.53657525, -71.36946285)",365.40
"(43.53666631, -71.36934584)",363.79
"(43.53675738, -71.36922882)",362.36
"(43.53684844, -71.36911181)",361.22
"(43.5369395, -71.3689948)",360.13
"(43.53699995, -71.3689171)",359.16
"(43.5370604, -71.3688394)",357.68
"(43.53713696, -71.36874101)",354.76
"(43.53721352, -71.36864263)",351.92
"(43.53729009, -71.36854424)",349.35
"(43.53736665, -71.36844585)",347.20
"(43.53744321, -71.36834746)",345.11
"(43.53751977, -71.36824907)",342.42
"(43.53759634, -71.36815069)",339.55
"(43.5376729, -71.3680523)",336.82
"(43.5377378, -71.36795105)",334.17
"(43.5378027, -71.3678498)",331.63
"(43.5378676, -71.36774855)",329.25
"(43.5379325, -71.3676473)",326.87
"(43.53795655, -71.36749945)",323.93
"(43.5379806, -71.3673516)",321.04
"(43.5379393, -71.3671833)",319.27
"(43.5366309, -71.3716581)",406.92
"(43.536744, -71.37157265)",406.24
"(43.5368571, -71.3714872)",405.61
"(43.5369378, -71.3714403)",405.10
"(43.5370185, -71.3713934)",404.71
"(43.53712835, -71.37133705)",404.02
"(43.5372382, -71.3712807)",403.24
"(43.5373364, -71.3712311)",402.07
"(43.5374346, -71.3711815)",401.16
"(43.53753765, -71.37113855)",399.84
"(43.5376407, -71.3710956)",399.03
"(43.537735, -71.3710554)",397.56
"(43.5378293, -71.3710152)",394.37
"(43.5378925, -71.37094545)",392.08
"(43.5379557, -71.3708757)",389.72
"(43.5380675, -71.37077847)",384.94
"(43.5381793, -71.37068125)",379.74
"(43.5382911, -71.37058402)",374.50
"(43.5384029, -71.3704868)",370.45
"(43.53848065, -71.3704224)",366.96
"(43.5385584, -71.370358)",363.73
"(43.53865465, -71.37028155)",359.60
"(43.5387509, -71.3702051)",355.77
"(43.5388593, -71.37013402)",352.37
"(43.5389677, -71.37006295)",348.85
"(43.5390761, -71.36999188)",345.06
"(43.5391845, -71.3699208)",342.39
"(43.53928708, -71.36986247)",340.23
"(43.53938965, -71.36980415)",337.51
"(43.53949223, -71.36974582)",335.11
"(43.5395948, -71.3696875)",332.75
"(43.53968473, -71.3696325)",330.47
"(43.53977465, -71.3695775)",326.77
"(43.53986457, -71.3695225)",323.42
"(43.5399545, -71.3694675)",320.64
"(43.54003517, -71.36940312)",317.77
"(43.54011585, -71.36933875)",314.50
"(43.54019652, -71.36927438)",312.13
"(43.5402772, -71.36921)",310.17
"(43.54038705, -71.3691349)",307.83
"(43.5404969, -71.3690598)",305.77
"(43.54059655, -71.36897733)",302.08
"(43.5406962, -71.36889485)",299.02
"(43.54079585, -71.36881238)",296.73
"(43.5408955, -71.3687299)",295.55
"(43.5409499, -71.3686897)",294.78
"(43.5371254, -71.3697411)",373.86
"(43.5372351, -71.36963955)",371.75
"(43.5373448, -71.369538)",368.62
"(43.53741766, -71.36945664)",365.84
"(43.53749052, -71.36937529)",363.74
"(43.53756339, -71.36929393)",361.58
"(43.53763625, -71.36921258)",358.85
"(43.53770911, -71.36913122)",356.22
"(43.53778198, -71.36904986)",353.87
"(43.53785484, -71.36896851)",351.65
"(43.5379277, -71.36888715)",349.44
"(43.53800056, -71.36880579)",347.45
"(43.53807343, -71.36872444)",345.70
"(43.53814629, -71.36864308)",344.14
"(43.53821915, -71.36856173)",342.68
"(43.53829201, -71.36848037)",341.34
"(43.53836487, -71.36839901)",340.57
"(43.53843774, -71.36831766)",339.09
"(43.5385106, -71.3682363)",337.25
"(43.53857794, -71.36817613)",335.62
"(43.53864529, -71.36811596)",333.84
"(43.53871263, -71.36805579)",331.34
"(43.53877997, -71.36799563)",328.80
"(43.53884732, -71.36793546)",326.83
"(43.53891466, -71.36787529)",325.12
"(43.53898201, -71.36781512)",322.96
"(43.53904935, -71.36775495)",320.96
"(43.53911669, -71.36769478)",319.30
"(43.53918404, -71.36763461)",317.66
"(43.53925138, -71.36757444)",316.29
"(43.53931873, -71.36751428)",315.17
"(43.53938607, -71.36745411)",313.63
"(43.53945341, -71.36739394)",311.82
"(43.53952076, -71.36733377)",310.11
"(43.5395881, -71.3672736)",308.64
"(43.53966378, -71.36719575)",306.64
"(43.53973945, -71.3671179)",304.40
"(43.53981513, -71.36704005)",302.03
"(43.5398908, -71.3669622)",299.73
"(43.53995879, -71.36690291)",298.01
"(43.54002678, -71.36684363)",296.42
"(43.54009476, -71.36678434)",295.10
"(43.54016275, -71.36672505)",293.92
"(43.54023074, -71.36666576)",292.87
"(43.54029872, -71.36660647)",291.96
"(43.54036671, -71.36654719)",291.21
"(43.5404347, -71.3664879)",290.22
"(43.5372382, -71.3712807)",403.24
"(43.5372668, -71.3711964)",401.94
"(43.5372954, -71.3711121)",400.60
"(43.537324, -71.3710278)",398.73
"(43.5373526, -71.3709435)",396.82
"(43.53738467, -71.37084291)",395.13
"(43.53741675, -71.37074233)",392.93
"(43.53744882, -71.37064174)",390.60
"(43.5374809, -71.37054115)",388.13
"(43.53751297, -71.37044056)",386.24
"(43.53754505, -71.37033998)",384.26
"(43.53757712, -71.37023939)",381.91
"(43.5376092, -71.3701388)",379.60
"(43.53770545, -71.37004628)",376.60
"(43.5378017, -71.36995375)",372.29
"(43.53789795, -71.36986123)",367.48
