coordinates,elevation
"(42.2556289, -78.6658753)",622.63
"(42.25569264, -78.66591198)",622.35
"(42.25575638, -78.66594865)",621.57
"(42.25582013, -78.66598533)",620.35
"(42.25588387, -78.66602201)",618.49
"(42.25594761, -78.66605868)",615.52
"(42.25601135, -78.66609536)",612.08
"(42.2560751, -78.66613204)",608.54
"(42.25613884, -78.66616871)",605.43
"(42.25620258, -78.66620539)",601.90
"(42.25626632, -78.66624207)",598.19
"(42.25633006, -78.66627874)",594.49
"(42.25639381, -78.66631542)",591.02
"(42.25645755, -78.6663521)",587.88
"(42.25652129, -78.66638877)",585.21
"(42.25658503, -78.66642545)",582.79
"(42.25664878, -78.66646213)",580.52
"(42.25671252, -78.6664988)",578.63
"(42.25677626, -78.66653548)",576.96
"(42.25684, -78.66657215)",575.22
"(42.25690374, -78.66660883)",573.52
"(42.25696749, -78.66664551)",571.82
"(42.25703123, -78.66668218)",570.08
"(42.25709497, -78.66671886)",568.38
"(42.25715871, -78.66675554)",566.82
"(42.25722245, -78.66679221)",565.32
"(42.2572862, -78.66682889)",563.86
"(42.25734994, -78.66686557)",562.29
"(42.25741368, -78.66690224)",560.54
"(42.25747742, -78.66693892)",558.58
"(42.25754117, -78.6669756)",556.40
"(42.25760491, -78.66701227)",554.21
"(42.25766865, -78.66704895)",552.03
"(42.25773239, -78.66708563)",549.80
"(42.25779613, -78.6671223)",547.38
"(42.25785988, -78.66715898)",544.73
"(42.25792362, -78.66719566)",542.09
"(42.25798736, -78.66723233)",540.00
"(42.2580511, -78.66726901)",537.81
"(42.25811485, -78.66730569)",535.47
"(42.25817859, -78.66734236)",533.31
"(42.25824233, -78.66737904)",531.23
"(42.25830607, -78.66741572)",529.20
"(42.25836981, -78.66745239)",527.23
"(42.25843356, -78.66748907)",525.43
"(42.2584973, -78.66752575)",523.66
"(42.25856104, -78.66756242)",521.85
"(42.25862478, -78.6675991)",519.91
"(42.25868852, -78.66763578)",518.17
"(42.25875227, -78.66767245)",516.69
"(42.25881601, -78.66770913)",515.27
"(42.25887975, -78.6677458)",513.98
"(42.25894349, -78.66778248)",512.81
"(42.25900724, -78.66781916)",511.67
"(42.25907098, -78.66785583)",510.49
"(42.25913472, -78.66789251)",509.39
"(42.25919846, -78.66792919)",508.33
"(42.2592622, -78.66796586)",506.86
"(42.25932595, -78.66800254)",505.45
"(42.25938969, -78.66803922)",504.19
"(42.25945343, -78.66807589)",503.07
"(42.25951717, -78.66811257)",501.83
"(42.25958092, -78.66814925)",500.45
"(42.25964466, -78.66818592)",499.21
"(42.2597084, -78.6682226)",498.16
"(42.25978111, -78.66823701)",497.02
"(42.25985381, -78.66825141)",495.87
"(42.25992652, -78.66826582)",494.97
"(42.25999923, -78.66828023)",494.46
"(42.26007193, -78.66829463)",493.97
"(42.26014464, -78.66830904)",492.85
"(42.26021734, -78.66832344)",491.22
"(42.26029005, -78.66833785)",490.09
"(42.26036276, -78.66835226)",489.14
"(42.26043546, -78.66836666)",488.30
"(42.26050817, -78.66838107)",487.47
"(42.26058088, -78.66839547)",486.69
"(42.26065358, -78.66840988)",486.33
"(42.26072629, -78.66842429)",486.14
"(42.26079899, -78.66843869)",485.80
"(42.2608717, -78.6684531)",484.86
"(42.2563682, -78.6640008)",618.86
"(42.25650295, -78.66400406)",617.46
