coordinates,elevation
"(42.2023005, -74.2284115)",942.14
"(42.20229945, -74.2282596)",942.71
"(42.2022984, -74.2281077)",940.80
"(42.2022357, -74.2280035)",937.56
"(42.202173, -74.2278993)",932.79
"(42.2021199, -74.22778205)",927.69
"(42.2020668, -74.2276648)",922.11
"(42.20207165, -74.22751175)",915.95
"(42.2020765, -74.2273587)",908.73
"(42.20211902, -74.22724389)",905.82
"(42.20216154, -74.22712909)",903.24
"(42.20220406, -74.22701428)",900.86
"(42.20224658, -74.22689947)",898.03
"(42.20228909, -74.22678467)",894.68
"(42.20233161, -74.22666986)",890.59
"(42.20237413, -74.22655506)",885.41
"(42.20241665, -74.22644025)",881.04
"(42.20245917, -74.22632544)",876.39
"(42.20250169, -74.22621064)",871.95
"(42.20254421, -74.22609583)",867.47
"(42.20258673, -74.22598102)",862.23
"(42.20262924, -74.22586622)",856.85
"(42.20267176, -74.22575141)",852.62
"(42.20271428, -74.22563661)",849.34
"(42.2027568, -74.2255218)",846.90
"(42.20281107, -74.22542572)",845.44
"(42.20286535, -74.22532965)",843.73
"(42.20291963, -74.22523358)",841.36
"(42.2029739, -74.2251375)",838.86
"(42.2030728, -74.2250268)",836.23
"(42.2031717, -74.2249161)",831.01
"(42.2032055, -74.22478255)",823.96
"(42.2032393, -74.224649)",814.48
"(42.2032176, -74.2244764)",800.91
"(42.2031959, -74.2243038)",792.14
"(42.2042996, -74.2289737)",835.76
"(42.2043536, -74.2288695)",831.09
"(42.20436422, -74.22875485)",829.95
"(42.20437485, -74.2286402)",828.82
"(42.20438547, -74.22852555)",827.65
"(42.2043961, -74.2284109)",826.35
"(42.2044318, -74.2282585)",823.17
"(42.2044675, -74.2281061)",820.22
"(42.2045032, -74.2279537)",817.09
"(42.2045389, -74.2278013)",813.06
"(42.20454855, -74.22767103)",811.13
"(42.2045582, -74.22754075)",809.09
"(42.20456785, -74.22741047)",807.07
"(42.2045775, -74.2272802)",805.04
"(42.20456302, -74.22716621)",805.17
"(42.20454855, -74.22705222)",805.24
"(42.20453407, -74.22693824)",805.11
"(42.2045196, -74.22682425)",804.69
"(42.20450512, -74.22671026)",804.19
"(42.20449065, -74.22659627)",803.67
"(42.20447617, -74.22648229)",803.03
"(42.2044617, -74.2263683)",802.07
"(42.20442986, -74.22625626)",802.33
"(42.20439803, -74.22614423)",802.76
"(42.20436619, -74.22603219)",803.15
"(42.20433435, -74.22592015)",803.12
"(42.20430251, -74.22580811)",803.05
"(42.20427067, -74.22569608)",803.13
"(42.20423884, -74.22558404)",802.78
"(42.204207, -74.225472)",801.85
"(42.20418288, -74.22529352)",798.43
"(42.20415875, -74.22511505)",795.28
"(42.20413462, -74.22493658)",792.10
"(42.2041105, -74.2247581)",788.54
"(42.20407286, -74.22467474)",787.86
"(42.20403522, -74.22459138)",787.23
"(42.20399759, -74.22450801)",785.61
"(42.20395995, -74.22442465)",784.16
"(42.20392231, -74.22434129)",782.43
"(42.20388467, -74.22425793)",780.60
"(42.20384704, -74.22417456)",779.07
"(42.2038094, -74.2240912)",777.34
"(42.2037591, -74.22399179)",775.41
"(42.2037088, -74.22389238)",772.85
"(42.2036585, -74.22379296)",770.26
"(42.2036082, -74.22369355)",767.91
"(42.2035579, -74.22359414)",765.71
"(42.2035076, -74.22349472)",763.69
"(42.2034573, -74.22339531)",761.94
"(42.203407, -74.2232959)",760.89
"(42.2034626, -74.2231735)",759.38
"(42.2035182, -74.2230511)",757.74
"(42.2012587, -74.2305303)",965.05
"(42.2012491, -74.2306447)",964.53
"(42.2012862, -74.2307822)",962.70
"(42.2013881, -74.2308364)",959.90
"(42.2014838, -74.230753)",958.09
"(42.201517, -74.23065193)",957.98
"(42.2015502, -74.23055085)",957.62
"(42.2015834, -74.23044977)",957.13
"(42.2016166, -74.2303487)",956.68
"(42.2016525, -74.23025751)",955.69
"(42.2016884, -74.23016632)",954.58
"(42.2017243, -74.23007514)",953.40
"(42.2017602, -74.22998395)",952.07
"(42.2017961, -74.22989276)",950.68
"(42.201832, -74.22980157)",949.49
"(42.2018679, -74.22971039)",948.31
"(42.2019038, -74.2296192)",947.11
"(42.201981, -74.2295629)",944.58
"(42.2020582, -74.2295066)",942.39
"(42.2021462, -74.22956495)",939.58
"(42.2022342, -74.2296233)",936.26
"(42.20226585, -74.22971502)",934.32
"(42.2022975, -74.22980675)",932.58
"(42.20232915, -74.22989847)",930.88
"(42.2023608, -74.2299902)",929.06
"(42.2023747, -74.2300965)",927.49
"(42.2023886, -74.2302028)",925.52
"(42.2024025, -74.2303091)",923.26
"(42.2024164, -74.2304154)",921.15
"(42.20240483, -74.23059152)",919.56
"(42.20239325, -74.23076765)",918.17
"(42.20238167, -74.23094377)",916.73
"(42.2023701, -74.2311199)",915.22
"(42.2023764, -74.23128202)",913.21
"(42.2023827, -74.23144415)",911.08
"(42.202389, -74.23160627)",908.88
