coordinates,elevation
"(44.9213758, -72.5163291)",926.0465087890624
"(44.9215036, -72.51638725)",924.1614990234376
"(44.9216314, -72.5164454)",920.8743896484376
"(44.921729600000006, -72.5165038)",917.7861938476562
"(44.9218278, -72.5165622)",916.0866088867188
"(44.92190765, -72.5166135)",914.8248901367188
"(44.9219875, -72.5166648)",913.96630859375
"(44.9220674, -72.51674679999999)",913.1220092773438
"(44.9221473, -72.5168288)",912.3750610351562
"(44.9222235, -72.51692625)",912.3829956054688
"(44.9222997, -72.5170237)",911.9008178710938
"(44.92237595, -72.51711085)",911.16162109375
"(44.9224522, -72.517198)",910.629638671875
"(44.9225139, -72.5172595)",910.2810668945312
"(44.9225756, -72.517321)",910.3125610351562
"(44.9226482, -72.5173928)",909.8453369140624
"(44.9227208, -72.5174646)",909.1451416015624
"(44.9227934, -72.5175415)",908.5390625
"(44.922866, -72.5176184)",908.3114624023438
"(44.922926, -72.5176389)",907.2783203125
"(44.9230072, -72.5176092)",902.8610229492188
"(44.9231194, -72.5175312)",898.5611572265625
"(44.9259879, -72.5225198)",1012.5377197265624
"(44.926016950000005, -72.522430075)",1011.0612182617188
"(44.926046, -72.52234035000001)",1009.4009399414062
"(44.92607505, -72.522250625)",1006.993896484375
"(44.9261041, -72.5221609)",1005.2866821289062
"(44.926125875000004, -72.52203785)",1001.8875122070312
"(44.926147650000004, -72.5219148)",998.9186401367188
"(44.926169425, -72.52179175)",995.928466796875
"(44.9261912, -72.5216687)",992.71826171875
"(44.926216600000004, -72.521502075)",988.5608520507812
"(44.926242, -72.52133545000001)",984.2940063476562
"(44.9262674, -72.521168825)",979.8270263671876
"(44.9262928, -72.5210022)",974.9740600585938
"(44.926312775, -72.52089325)",972.5276489257812
"(44.92633275, -72.5207843)",969.1358032226562
"(44.926352725, -72.52067535)",966.5220336914062
"(44.9263727, -72.5205664)",963.4740600585938
"(44.926392675, -72.52045745000001)",960.1798706054688
"(44.92641265, -72.52034850000001)",956.9298706054688
"(44.926432625000004, -72.52023955000001)",954.3612670898438
"(44.9264526, -72.5201306)",951.3381958007812
"(44.926468924999995, -72.5200190875)",947.7033081054688
"(44.92648525, -72.51990757499999)",944.3199462890624
"(44.926501575, -72.51979606249999)",941.0805053710938
"(44.9265179, -72.51968455)",937.5553588867188
"(44.926534225, -72.5195730375)",934.1802978515624
"(44.92655055, -72.519461525)",930.4624633789062
"(44.926566875000006, -72.5193500125)",925.4205322265624
"(44.9265832, -72.5192385)",920.79052734375
"(44.9266068, -72.51908725)",914.88134765625
"(44.9266304, -72.518936)",910.0089721679688
"(44.926654, -72.51878475000001)",905.104736328125
"(44.9266776, -72.5186335)",900.5646362304688
"(44.926698474999995, -72.51851558750002)",896.8827514648438
"(44.92671935, -72.51839767500002)",893.4343872070312
"(44.926740225, -72.51827976250001)",890.0345458984375
"(44.9267611, -72.51816185000001)",887.0437622070312
"(44.926781975, -72.51804393750001)",883.7218017578125
"(44.92680285, -72.51792602500001)",880.6675415039062
