coordinates,elevation
"(37.761756, -119.0833681)",2639.40
"(37.7617984, -119.083293)",2638.60
"(37.7618408, -119.0832179)",2637.93
"(37.7618832, -119.0831428)",2637.38
"(37.7619256, -119.0830677)",2636.99
"(37.76199347, -119.08300332)",2636.21
"(37.76206135, -119.08293895)",2635.19
"(37.76212922, -119.08287458)",2632.95
"(37.7621971, -119.0828102)",2629.91
"(37.76225646, -119.08276461)",2626.23
"(37.76231583, -119.08271902)",2623.36
"(37.76237519, -119.08267344)",2620.68
"(37.76243455, -119.08262785)",2619.81
"(37.76249391, -119.08258226)",2618.65
"(37.76255328, -119.08253668)",2617.46
"(37.76261264, -119.08249109)",2616.61
"(37.762672, -119.0824455)",2616.37
"(37.76274197, -119.08243209)",2614.57
"(37.76281195, -119.08241867)",2612.86
"(37.76288193, -119.08240526)",2611.12
"(37.7629519, -119.08239185)",2609.35
"(37.76302188, -119.08237844)",2607.52
"(37.76309185, -119.08236503)",2604.97
"(37.76316182, -119.08235161)",2601.19
"(37.7632318, -119.0823382)",2597.91
"(37.76329965, -119.0822631)",2596.53
"(37.7633675, -119.082188)",2596.81
"(37.76343535, -119.0821129)",2597.80
"(37.7635032, -119.0820378)",2598.96
"(37.76357105, -119.08203242)",2596.23
"(37.7636389, -119.08202705)",2594.09
"(37.76370675, -119.08202167)",2591.09
"(37.7637746, -119.0820163)",2588.02
"(37.76389335, -119.08198948)",2585.05
"(37.7640121, -119.08196265)",2583.66
"(37.76413085, -119.08193583)",2582.54
"(37.7642496, -119.081909)",2580.98
"(37.7643217, -119.08189828)",2579.46
"(37.7643938, -119.08188755)",2577.54
"(37.7644659, -119.08187682)",2574.08
"(37.764538, -119.0818661)",2571.24
"(37.76460585, -119.08184465)",2569.67
"(37.7646737, -119.0818232)",2568.81
"(37.76474155, -119.08180175)",2567.64
"(37.7648094, -119.0817803)",2566.29
"(37.7648621, -119.08172618)",2566.20
"(37.7649148, -119.08167205)",2565.74
"(37.7649675, -119.08161793)",2565.07
"(37.7650202, -119.0815638)",2564.17
"(37.7650729, -119.08150968)",2563.17
"(37.7651256, -119.08145555)",2561.97
"(37.7651783, -119.08140142)",2560.83
"(37.765231, -119.0813473)",2559.56
"(37.7653017, -119.0812985)",2557.65
"(37.7653724, -119.0812497)",2555.87
"(37.76543829, -119.08118873)",2554.63
"(37.76550418, -119.08112775)",2553.33
"(37.76557006, -119.08106678)",2552.11
"(37.76563595, -119.0810058)",2549.50
"(37.76570184, -119.08094482)",2546.52
"(37.76576773, -119.08088385)",2544.54
"(37.76583361, -119.08082287)",2543.01
"(37.7658995, -119.0807619)",2541.51
"(37.7659927, -119.08065213)",2540.18
"(37.7660859, -119.08054235)",2538.30
"(37.7661791, -119.08043258)",2534.48
"(37.7662723, -119.0803228)",2533.15
"(37.76634461, -119.08027401)",2532.36
"(37.76641693, -119.08022523)",2531.36
"(37.76648924, -119.08017644)",2530.50
"(37.76656155, -119.08012765)",2529.44
"(37.76663386, -119.08007886)",2527.99
"(37.76670617, -119.08003007)",2525.81
"(37.76677849, -119.07998129)",2522.61
"(37.7668508, -119.0799325)",2520.70
"(37.76696005, -119.07986745)",2518.85
"(37.7670693, -119.0798024)",2517.26
"(37.76717855, -119.07973735)",2515.93
"(37.7672878, -119.0796723)",2513.91
"(37.76738742, -119.07959913)",2511.15
"(37.76748705, -119.07952595)",2508.90
"(37.76758668, -119.07945277)",2507.75
"(37.7676863, -119.0793796)",2506.53
"(37.76777308, -119.0793227)",2505.39
"(37.76785985, -119.0792658)",2504.25
"(37.76794663, -119.0792089)",2503.04
"(37.7680334, -119.079152)",2501.39
"(37.76811697, -119.0791032)",2499.22
"(37.76820055, -119.0790544)",2496.58
"(37.76828413, -119.0790056)",2495.88
"(37.7683677, -119.0789568)",2495.96
"(37.7684609, -119.07892427)",2494.62
"(37.7685541, -119.07889175)",2493.27
"(37.7686473, -119.07885923)",2491.06
"(37.7687405, -119.0788267)",2487.44
"(37.76882725, -119.07876165)",2484.21
"(37.768914, -119.0786966)",2482.66
"(37.76900075, -119.07863155)",2481.35
"(37.7690875, -119.0785665)",2480.02
"(37.76916785, -119.07852177)",2478.23
"(37.7692482, -119.07847705)",2476.46
"(37.76932855, -119.07843232)",2474.70
"(37.7694089, -119.0783876)",2473.11
"(37.76948282, -119.07834695)",2472.06
