coordinates,elevation
"(39.5999688, -105.9501281)",3005.81
"(39.6000816, -105.9501126)",3004.74
"(39.6001944, -105.9500971)",3002.59
"(39.60026335, -105.9501202)",3000.43
"(39.6003323, -105.9501433)",2997.58
"(39.60040125, -105.9501664)",2995.02
"(39.6004702, -105.9501895)",2992.43
"(39.6005509, -105.95023312)",2989.18
"(39.6006316, -105.95027675)",2985.52
"(39.6007123, -105.95032037)",2981.13
"(39.600793, -105.950364)",2977.51
"(39.60088187, -105.95037055)",2975.04
"(39.60097075, -105.9503771)",2972.22
"(39.60105963, -105.95038365)",2969.39
"(39.6011485, -105.9503902)",2966.51
"(39.60121923, -105.95035642)",2964.62
"(39.60128995, -105.95032265)",2963.28
"(39.60136068, -105.95028888)",2962.29
"(39.6014314, -105.9502551)",2961.01
"(39.60153122, -105.95021094)",2959.05
"(39.60163104, -105.95016678)",2954.15
"(39.60173086, -105.95012261)",2949.77
"(39.60183068, -105.95007845)",2946.25
"(39.60193049, -105.95003429)",2942.11
"(39.60203031, -105.94999012)",2938.51
"(39.60213013, -105.94994596)",2935.32
"(39.60222995, -105.9499018)",2932.75
"(39.60232977, -105.94985764)",2930.19
"(39.60242959, -105.94981348)",2927.00
"(39.60252941, -105.94976931)",2924.11
"(39.60262923, -105.94972515)",2921.38
"(39.60272904, -105.94968099)",2917.06
"(39.60282886, -105.94963682)",2912.59
"(39.60292868, -105.94959266)",2908.15
"(39.6030285, -105.9495485)",2903.85
"(39.6031345, -105.94956055)",2900.55
"(39.6032405, -105.9495726)",2896.90
"(39.6033372, -105.94963545)",2893.37
"(39.6034339, -105.9496983)",2890.28
"(39.60347288, -105.94981232)",2887.84
"(39.60351185, -105.94992635)",2885.31
"(39.60355082, -105.95004038)",2882.69
"(39.6035898, -105.9501544)",2879.70
"(39.60359088, -105.95026953)",2876.80
"(39.60359195, -105.95038465)",2874.71
"(39.60359303, -105.95049977)",2873.05
"(39.6035941, -105.9506149)",2870.96
"(39.60358238, -105.95072477)",2869.05
"(39.60357065, -105.95083465)",2867.61
"(39.60355893, -105.95094453)",2866.29
"(39.6035472, -105.9510544)",2864.94
"(39.6035612, -105.95118023)",2863.65
"(39.6035752, -105.95130605)",2862.04
"(39.6035892, -105.95143187)",2860.93
"(39.6036032, -105.9515577)",2859.84
"(39.60362443, -105.9516478)",2859.17
"(39.60364565, -105.9517379)",2858.40
"(39.60366688, -105.951828)",2857.54
"(39.6036881, -105.9519181)",2856.79
"(39.60373597, -105.95207002)",2853.69
"(39.60378385, -105.95222195)",2849.25
"(39.60383172, -105.95237388)",2845.47
"(39.6038796, -105.9525258)",2842.34
"(39.60392747, -105.95267773)",2839.39
"(39.60397535, -105.95282965)",2836.90
"(39.60402322, -105.95298158)",2835.25
"(39.6040711, -105.9531335)",2834.09
"(39.5795312, -105.9406042)",3548.73
"(39.5794889, -105.94050128)",3548.41
"(39.5794466, -105.94039835)",3547.43
"(39.5794043, -105.94029542)",3546.01
"(39.579362, -105.9401925)",3544.71
"(39.57933815, -105.9400365)",3543.86
"(39.5793143, -105.9398805)",3543.17
"(39.5793823, -105.9397347)",3541.31
"(39.5794503, -105.9395889)",3538.61
"(39.57949917, -105.93951588)",3536.91
"(39.57954805, -105.93944285)",3535.15
