coordinates,elevation
"(43.6019686, -72.7943338)",989.1828002929688
"(43.60188995, -72.794273225)",990.36181640625
"(43.6018113, -72.79421264999999)",991.4063110351562
"(43.60173265, -72.794152075)",992.3087158203124
"(43.601654, -72.7940915)",993.118896484375
"(43.601658687500006, -72.79396561249999)",993.7640380859376
"(43.601663375, -72.793839725)",994.2491455078124
"(43.6016680625, -72.7937138375)",993.283935546875
"(43.601672750000006, -72.79358794999999)",990.4629516601562
"(43.6016774375, -72.7934620625)",986.3123168945312
"(43.601682125, -72.793336175)",981.3057250976562
"(43.601686812500006, -72.79321028749999)",976.63134765625
"(43.6016915, -72.7930844)",971.8359375
"(43.60169745, -72.7929775)",967.5838623046876
"(43.6017034, -72.7928706)",963.3387451171876
"(43.601710749999995, -72.79273896250001)",957.9669799804688
"(43.6017181, -72.792607325)",952.62646484375
"(43.601725449999996, -72.7924756875)",947.5333862304688
"(43.60173279999999, -72.79234405)",942.2293701171876
"(43.60174015, -72.79221241249999)",936.9440307617188
"(43.601747499999995, -72.792080775)",931.957763671875
"(43.60175484999999, -72.79194913750001)",926.9178466796876
"(43.601762199999996, -72.79181750000001)",920.1845703125
"(43.60176955, -72.7916858625)",914.9296875
"(43.6017769, -72.791554225)",910.56640625
"(43.601784249999994, -72.7914225875)",905.8053588867188
"(43.6017916, -72.79129095)",900.9042358398438
"(43.60179895, -72.79115931250001)",896.4214477539062
"(43.6018063, -72.79102767500001)",890.6000366210938
"(43.60181365, -72.7908960375)",884.302001953125
"(43.601821, -72.7907644)",878.8396606445312
"(43.601825471875, -72.79063571875)",873.26611328125
"(43.601829943750005, -72.79050703749999)",867.3504638671875
"(43.60183441562501, -72.79037835624999)",861.0155639648438
"(43.6018388875, -72.790249675)",855.1347045898438
"(43.601843359374996, -72.79012099375001)",849.715087890625
"(43.60184783125, -72.7899923125)",843.3933715820312
"(43.601852303125, -72.78986363125)",835.9880981445312
"(43.601856775, -72.78973495)",828.3489379882812
"(43.601861246875, -72.78960626874999)",821.9149169921875
"(43.601865718750005, -72.78947758749999)",816.2391967773438
"(43.60187019062501, -72.78934890624998)",811.2626342773438
"(43.6018746625, -72.789220225)",806.3427734375
"(43.601879134375, -72.78909154375)",801.451416015625
"(43.60188360625, -72.7889628625)",796.0713500976562
"(43.601888078125, -72.78883418125)",790.9281005859375
"(43.60189255, -72.78870549999999)",786.935302734375
"(43.601897021875004, -72.78857681874999)",782.332763671875
"(43.601901493750006, -72.78844813749998)",777.6203002929688
"(43.60190596562501, -72.78831945624998)",773.0070190429688
"(43.6019104375, -72.78819077499999)",767.4905395507812
"(43.601914909375, -72.78806209375)",760.8853759765625
"(43.60191938125, -72.7879334125)",753.9453125
"(43.601923853125, -72.78780473124999)",747.0341796875
"(43.601928325, -72.78767604999999)",740.2320556640625
"(43.601932796875005, -72.78754736874998)",735.0135498046875
"(43.60193726875, -72.7874186875)",729.7365112304688
"(43.601941740624994, -72.78729000625)",723.5382080078125
"(43.601946212499996, -72.787161325)",716.5940551757812
"(43.601950684375, -72.78703264375)",708.8920288085938
"(43.60195515625, -72.78690396249999)",702.6287231445312
"(43.601959628125, -72.78677528124999)",698.8167724609375
"(43.6019641, -72.7866466)",695.1223754882812
"(43.601969475, -72.786492575)",689.9522094726562
"(43.60197485, -72.78633855)",685.2279663085938
"(43.601980225, -72.786184525)",680.6152954101562
"(43.6019856, -72.7860305)",676.180419921875
"(43.601990975, -72.785876475)",671.7662353515625
"(43.60199635, -72.78572245)",667.9708862304688
"(43.602001725, -72.785568425)",664.2214965820312
"(43.6020071, -72.7854144)",660.7396240234375
"(43.602024825, -72.7852302625)",655.894775390625
"(43.60204255000001, -72.785046125)",650.3623657226562
"(43.60206027500001, -72.7848619875)",645.4502563476562
"(43.602078000000006, -72.78467785)",640.9998168945312
"(43.602095725000005, -72.7844937125)",637.0325317382812
"(43.602113450000004, -72.784309575)",632.1275634765625
"(43.602131175000004, -72.7841254375)",631.6297607421875
"(43.6021489, -72.7839413)",634.0841064453125
"(43.6244036, -72.8172973)",955.57666015625
"(43.62437545, -72.8171564875)",952.96484375
"(43.6243473, -72.81701567500001)",950.3185424804688
"(43.62431915, -72.81687486250001)",947.2467041015624
"(43.624291, -72.81673405000001)",944.19873046875
"(43.62426285, -72.8165932375)",941.6543579101562
"(43.6242347, -72.816452425)",939.24169921875
"(43.62420655, -72.81631161249999)",936.8267822265624
"(43.6241784, -72.8161708)",934.4285888671876
"(43.62417161249999, -72.816046075)",932.2496948242188
"(43.624164824999994, -72.81592135)",929.556396484375
"(43.624158037499996, -72.81579662499999)",926.66748046875
"(43.62415125, -72.8156719)",924.1181030273438
"(43.6241444625, -72.815547175)",921.7744750976562
"(43.624137675, -72.81542245)",919.3037109375
"(43.6241308875, -72.815297725)",916.5621337890624
"(43.6241241, -72.815173)",913.93408203125
"(43.62412895, -72.81502681250001)",911.1488647460938
"(43.6241338, -72.814880625)",908.4429931640624
"(43.624138650000006, -72.8147344375)",905.75634765625
"(43.6241435, -72.81458825)",903.11669921875
"(43.62414835, -72.8144420625)",900.468017578125
"(43.6241532, -72.814295875)",897.767578125
"(43.624158050000005, -72.81414968749999)",895.0556030273438
"(43.6241629, -72.8140035)",892.2603759765625
"(43.62416775, -72.81389085)",889.9571533203125
"(43.6241726, -72.8137782)",887.4899291992188
"(43.624177450000005, -72.81366555)",884.9988403320312
"(43.6241823, -72.81355289999999)",882.6734008789062
"(43.62418715, -72.81344024999999)",880.5745239257812
"(43.624192, -72.8133276)",878.4727172851562
"(43.624196850000004, -72.81321495)",876.2994384765625
"(43.6242017, -72.8131023)",874.153564453125
"(43.624193937499996, -72.812993675)",872.1764526367188
"(43.624186175, -72.81288505)",870.1715698242188
"(43.6241784125, -72.81277642500001)",868.1419067382812
"(43.624170649999996, -72.8126678)",866.1531372070312
"(43.6241628875, -72.81255917499999)",864.160888671875
"(43.624155125, -72.81245055)",862.0404052734375
"(43.6241473625, -72.812341925)",860.0531616210938
"(43.6241396, -72.8122333)",858.1763305664062
"(43.6241366875, -72.8121327125)",856.1009521484375
"(43.624133775000004, -72.812032125)",853.85498046875
"(43.6241308625, -72.8119315375)",851.9349975585938
"(43.62412795, -72.81183095)",850.4732666015625
"(43.6241250375, -72.8117303625)",849.1948852539062
"(43.624122125, -72.811629775)",847.9789428710938
"(43.6241192125, -72.8115291875)",846.7557373046875
"(43.6241163, -72.8114286)",845.3067016601562
"(43.6241240625, -72.8112797375)",842.7514038085938
"(43.624131825, -72.811130875)",840.4765625
"(43.6241395875, -72.8109820125)",838.0630493164062
"(43.62414735, -72.81083315000001)",835.5061645507812
"(43.6241551125, -72.81068428750001)",833.313232421875
"(43.624162874999996, -72.81053542500001)",831.2494506835938
"(43.6241706375, -72.81038656250001)",829.222900390625
"(43.6241784, -72.8102377)",827.1383666992188
"(43.62418035, -72.81010225)",825.0421142578125
"(43.6241823, -72.80996680000001)",823.0543212890625
"(43.62418425, -72.80983135000001)",821.23583984375
"(43.6241862, -72.80969590000001)",819.525146484375
"(43.624188149999995, -72.80956045)",817.869140625
"(43.6241901, -72.809425)",815.91650390625
"(43.624192050000005, -72.80928955)",813.26318359375
"(43.624194, -72.8091541)",810.4065551757812
"(43.624196912500004, -72.8090548625)",808.2589721679688
"(43.624199825000005, -72.808955625)",806.0050659179688
"(43.6242027375, -72.80885638749999)",803.7340087890625
"(43.62420565, -72.80875714999999)",801.4788818359375
"(43.6242085625, -72.8086579125)",799.2952880859375
"(43.624211474999996, -72.808558675)",797.2160034179688
"(43.6242143875, -72.8084594375)",795.1456298828125
"(43.6242173, -72.8083602)",792.9397583007812
"(43.624223125, -72.808196575)",789.035400390625
"(43.62422895, -72.80803295)",785.1124877929688
"(43.624234775000005, -72.807869325)",781.0632934570312
"(43.6242406, -72.8077057)",777.852294921875
"(43.624239625, -72.80755013749999)",774.9595947265625
"(43.624238649999995, -72.80739457499999)",772.0999145507812
"(43.624237674999996, -72.80723901249999)",769.3084716796875
"(43.6242367, -72.80708345)",766.43798828125
"(43.624235725, -72.8069278875)",763.5965576171875
"(43.62423475, -72.806772325)",760.88818359375
"(43.624233775, -72.8066167625)",757.8775024414062
"(43.6242328, -72.8064612)",755.4795532226562
"(43.6242172625, -72.8063485375)",753.8564453125
"(43.624201725, -72.806235875)",752.2005004882812
"(43.6241861875, -72.8061232125)",750.7423706054688
"(43.624170649999996, -72.80601055)",749.5709838867188
"(43.6241551125, -72.8058978875)",748.3842163085938
"(43.624139575, -72.805785225)",746.7615966796875
"(43.624124037499996, -72.8056725625)",744.8529663085938
"(43.6241085, -72.8055599)",743.3078002929688
"(43.6241153, -72.80544993750001)",742.3602905273438
"(43.624122099999994, -72.80533997500001)",741.5782470703125
"(43.624128899999995, -72.8052300125)",740.8212890625
"(43.6241357, -72.80512005)",740.05322265625
"(43.6241425, -72.8050100875)",739.3287353515625
"(43.6241493, -72.804900125)",738.6234130859375
"(43.6241561, -72.80479016250001)",737.9043579101562
"(43.6241629, -72.8046802)",737.0797729492188
"(43.6241823125, -72.80458766250001)",736.4359741210938
"(43.624201725, -72.804495125)",735.7008666992188
"(43.6242211375, -72.8044025875)",735.029541015625
"(43.624240549999996, -72.80431005)",734.4226684570312
"(43.6242599625, -72.8042175125)",733.86181640625
"(43.624279375, -72.80412497500001)",733.2426147460938
"(43.624298787499995, -72.80403243750001)",732.4788818359375
"(43.6243182, -72.8039399)",731.676513671875
"(43.624357024999995, -72.80378164999999)",730.1255493164062
"(43.62439585, -72.80362339999999)",728.2220458984375
"(43.624434675, -72.80346515)",726.2733154296875
"(43.6244735, -72.8033069)",724.2073364257812
"(43.624536612499995, -72.80323179999999)",723.6738891601562
