coordinates,elevation
"(43.1977844, -72.7666719)",550.54
"(43.1978504, -72.76673345)",548.24
"(43.1979164, -72.766795)",545.98
"(43.1979824, -72.76685655)",543.56
"(43.1980484, -72.7669181)",541.08
"(43.19811, -72.76699725)",538.17
"(43.1981716, -72.7670764)",534.98
"(43.198244, -72.7671756)",531.23
"(43.1983202, -72.7672749)",527.56
"(43.198373, -72.7673419)",525.16
"(43.1984239, -72.767409)",522.91
"(43.1984962, -72.7674841)",520.21
"(43.1985881, -72.7675645)",517.16
"(43.19865555, -72.76761685)",515.12
"(43.198723, -72.7676692)",513.06
"(43.19879888, -72.76771258)",510.97
"(43.19887475, -72.76775595)",508.91
"(43.19895063, -72.76779932)",506.82
"(43.1990265, -72.7678427)",504.72
"(43.197861, -72.7662645)",555.30
"(43.19792007, -72.76634158)",552.31
"(43.19797915, -72.76641865)",549.78
"(43.19803823, -72.76649572)",547.24
"(43.1980973, -72.7665728)",544.76
"(43.1981843, -72.76667875)",541.39
"(43.1982713, -72.7667847)",537.24
"(43.19835345, -72.76688795)",532.92
"(43.1984356, -72.7669912)",529.14
"(43.1985197, -72.7670985)",524.95
"(43.1985998, -72.7671951)",521.33
"(43.19864967, -72.7672608)",519.47
"(43.19869955, -72.7673265)",517.57
"(43.19874943, -72.7673922)",515.67
"(43.1987993, -72.7674579)",514.03
"(43.1988555, -72.7675512)",511.84
"(43.1989117, -72.7676445)",509.56
"(43.1989712, -72.76774485)",507.08
"(43.1990307, -72.7678452)",504.61
"(43.19908152, -72.76791495)",503.02
"(43.19913235, -72.7679847)",501.53
"(43.19918318, -72.76805445)",499.99
"(43.199234, -72.7681242)",498.43
"(43.1993105, -72.76823485)",495.74
"(43.199387, -72.7683455)",492.83
"(43.19945815, -72.768432)",490.49
"(43.1995293, -72.7685185)",488.09
"(43.1996202, -72.7686231)",485.36
"(43.1997111, -72.7687277)",483.11
"(43.1997913, -72.7688484)",480.58
"(43.1998715, -72.7689691)",477.90
"(43.19996535, -72.7690844)",474.77
"(43.2000592, -72.7691997)",470.93
"(43.2001159, -72.76926543)",468.68
"(43.2001726, -72.76933115)",466.70
"(43.2002293, -72.76939687)",464.90
"(43.200286, -72.7694626)",463.15
"(43.20034512, -72.76953033)",461.49
"(43.20040425, -72.76959805)",460.04
"(43.20046337, -72.76966577)",458.64
"(43.2005225, -72.7697335)",457.27
"(43.20060595, -72.76981105)",455.64
"(43.2006894, -72.7698886)",454.36
"(43.2007591, -72.7699534)",453.44
"(43.20080848, -72.77001845)",452.58
"(43.20085785, -72.7700835)",451.68
"(43.20090722, -72.77014855)",450.69
"(43.2009566, -72.7702136)",449.48
"(43.2010475, -72.7703477)",446.27
"(43.2011384, -72.7704818)",443.34
"(43.2011972, -72.77056862)",441.88
"(43.201256, -72.77065545)",440.46
"(43.2013148, -72.77074228)",439.04
"(43.2013736, -72.7708291)",437.56
"(43.2014683, -72.77091208)",435.49
"(43.201563, -72.77099505)",433.44
"(43.2016577, -72.77107803)",431.53
"(43.2017524, -72.771161)",429.73
"(43.20185395, -72.77127245)",427.55
"(43.2019555, -72.7713839)",425.31
"(43.20201535, -72.77147385)",423.69
"(43.2020752, -72.7715638)",421.98
"(43.1930188, -72.7598952)",849.19
"(43.1930629, -72.7599515)",848.28
"(43.1931255, -72.7600346)",846.86
