coordinates,elevation
"(47.0238658, -114.0083479)",1969.611572265625
"(47.0238554, -114.008160125)",1966.635986328125
"(47.023845, -114.00797235)",1963.39892578125
"(47.0238346, -114.007784575)",1958.71630859375
"(47.0238242, -114.0075968)",1954.20556640625
"(47.023801575, -114.00746402499999)",1951.569091796875
"(47.02377895, -114.00733125)",1950.8106689453125
"(47.023756325, -114.007198475)",1951.64453125
"(47.0237337, -114.0070657)",1952.8973388671875
"(47.023660575, -114.006903525)",1952.11572265625
"(47.02358745, -114.00674135)",1950.9354248046875
"(47.023514325, -114.006579175)",1949.4923095703125
"(47.0234412, -114.006417)",1948.205322265625
"(47.02339550000001, -114.0063040125)",1947.4490966796875
"(47.023349800000005, -114.00619102499999)",1946.668701171875
"(47.023304100000004, -114.0060780375)",1945.90576171875
"(47.0232584, -114.00596505)",1945.06298828125
"(47.0232127, -114.0058520625)",1944.05224609375
"(47.023167, -114.00573907500001)",1942.89794921875
"(47.0231213, -114.0056260875)",1941.7938232421875
"(47.0230756, -114.0055131)",1940.5921630859373
"(47.0230547, -114.0053573)",1940.73095703125
"(47.0230338, -114.0052015)",1940.56982421875
"(47.023046875000006, -114.00507765)",1941.7152099609373
"(47.023059950000004, -114.00495380000001)",1942.5791015625
"(47.023073025, -114.00482995000002)",1943.2332763671875
"(47.0230861, -114.0047061)",1943.7398681640625
"(47.023079125, -114.00452480000001)",1942.6910400390625
"(47.023072150000004, -114.0043435)",1940.5533447265625
"(47.023065175, -114.0041622)",1938.0465087890625
"(47.0230582, -114.0039809)",1935.2476806640625
"(47.0230286, -114.00382895000001)",1930.8331298828125
"(47.022999, -114.00367700000001)",1926.0546875
"(47.0229694, -114.00352505000001)",1922.8641357421875
"(47.0229398, -114.0033731)",1920.737548828125
"(47.0229006375, -114.00328436250001)",1918.87255859375
"(47.022861475, -114.003195625)",1917.629150390625
"(47.0228223125, -114.0031068875)",1916.610107421875
"(47.02278315, -114.00301815)",1915.1907958984373
"(47.02274398750001, -114.00292941250001)",1913.9227294921875
"(47.022704825000005, -114.002840675)",1912.070556640625
"(47.0226656625, -114.0027519375)",1909.97412109375
"(47.0226265, -114.0026632)",1908.097900390625
"(47.0225747125, -114.002592975)",1905.2921142578125
"(47.022522925000004, -114.00252275)",1902.7291259765625
"(47.022471137500006, -114.002452525)",1900.4580078125
"(47.02241935, -114.0023823)",1898.4969482421875
"(47.022367562499994, -114.00231207499999)",1896.7720947265625
"(47.022315774999996, -114.00224184999999)",1895.2584228515625
"(47.0222639875, -114.00217162499999)",1893.5947265625
"(47.0222122, -114.0021014)",1891.5849609375
"(47.022153875, -114.00197882500001)",1889.450927734375
"(47.02209555, -114.00185625)",1886.84765625
"(47.022037225000005, -114.001733675)",1883.752685546875
"(47.0219789, -114.0016111)",1880.6748046875
"(47.0218953, -114.0015498)",1875.7735595703125
"(47.0218466, -114.0016417)",1872.61474609375
"(47.0218505125, -114.00179874999999)",1871.878173828125
"(47.021854425, -114.00195579999999)",1870.72509765625
"(47.0218583375, -114.00211284999999)",1869.393798828125
"(47.02186225, -114.00226989999999)",1867.7315673828125
"(47.0218661625, -114.00242694999999)",1865.7156982421875
"(47.021870074999995, -114.00258399999998)",1863.8299560546875
"(47.0218739875, -114.00274105)",1862.0247802734373
"(47.0218779, -114.0028981)",1860.3153076171875
"(47.0218779, -114.0029952)",1858.9742431640625
"(47.0217735, -114.0029798)",1852.477783203125
"(47.0216882, -114.0028777)",1848.3056640625
"(47.0216029, -114.0027756)",1844.09033203125
"(47.02155675, -114.002698975)",1842.3446044921875
"(47.0215106, -114.00262235)",1840.549072265625
"(47.021464449999996, -114.002545725)",1838.970947265625
"(47.0214183, -114.0024691)",1837.366943359375
"(47.021351275, -114.00230694999999)",1836.3453369140625
"(47.02128425, -114.0021448)",1835.0621337890625
"(47.021217225, -114.00198265)",1833.285400390625
"(47.0211502, -114.0018205)",1831.1279296875
"(47.021110199999995, -114.0016443)",1830.5755615234373
"(47.0210702, -114.0014681)",1828.5604248046875
"(47.021011, -114.0014834)",1824.8267822265625
"(47.02095615, -114.0016545)",1820.4483642578125
"(47.020901300000006, -114.00182559999999)",1813.488525390625
"(47.02084645000001, -114.00199669999999)",1806.8690185546875
"(47.0207916, -114.0021678)",1802.6552734375
"(47.02077245, -114.00230825)",1800.9527587890625
"(47.0207533, -114.0024487)",1799.360107421875
"(47.020767250000006, -114.00259935)",1799.5653076171875
"(47.0207812, -114.00275)",1799.5908203125
"(47.020831675000004, -114.002924925)",1801.1226806640625
"(47.020882150000006, -114.00309985000001)",1801.9193115234373
"(47.020932625, -114.00327477500001)",1802.32861328125
"(47.0209831, -114.0034497)",1802.501220703125
"(47.02099965000001, -114.003581225)",1801.0762939453125
"(47.021016200000005, -114.00371275)",1799.372802734375
"(47.02103275, -114.003844275)",1798.7528076171875
"(47.0210493, -114.0039758)",1800.5777587890625
"(47.02103885, -114.00411625000001)",1801.869140625
