coordinates,elevation
"(47.3914719, -88.0102134)",394.6629638671875
"(47.3913661, -88.0101658)",391.546630859375
"(47.391239, -88.0102033)",389.6156311035156
"(47.39116455, -88.01022745)",388.7345275878906
"(47.3910901, -88.0102516)",387.93756103515625
"(47.39098115, -88.01027305)",386.1908874511719
"(47.3908722, -88.0102945)",383.3942565917969
"(47.3907451, -88.010273)",377.4664916992188
"(47.39067065, -88.0102301)",373.67529296875
"(47.3905962, -88.0101872)",370.5087890625
"(47.39050175, -88.010147)",367.3327026367188
"(47.3904073, -88.0101068)",363.4870300292969
"(47.3903202, -88.0099619)",359.849609375
"(47.390253, -88.0098707)",357.3777770996094
"(47.3901858, -88.0097795)",354.8059997558594
"(47.39012405, -88.00972585)",352.9114074707031
"(47.3900623, -88.0096722)",351.8613586425781
"(47.3899389, -88.0096025)",351.2768859863281
"(47.389819, -88.0096025)",351.90557861328125
"(47.389719150000005, -88.00962665)",353.9774475097656
"(47.3896193, -88.0096508)",357.2373962402344
"(47.3895285, -88.0096642)",359.4571838378906
"(47.3894377, -88.0096776)",359.923583984375
"(47.389343249999996, -88.00967225)",358.4861145019531
"(47.3892488, -88.0096669)",356.26617431640625
"(47.38914165, -88.00964545)",352.3790283203125
"(47.3890345, -88.009624)",347.5704040527344
"(47.388923750000004, -88.00963200000001)",344.2035827636719
"(47.388813, -88.00964)",340.7333679199219
"(47.3887077, -88.00964805000001)",336.2072448730469
"(47.3886024, -88.0096561)",332.6455993652344
"(47.388488, -88.00964805000001)",329.0328674316406
"(47.3883736, -88.00964)",323.4100952148437
"(47.3882719, -88.0096561)",320.2478942871094
"(47.3881702, -88.0096722)",317.39306640625
"(47.3916791, -88.0136977)",444.0150451660156
"(47.39168239999999, -88.01358395)",445.1562805175781
"(47.3916857, -88.0134702)",444.8552856445313
"(47.3916457, -88.0133737)",443.20355224609375
"(47.3915731, -88.013379)",441.4139709472656
"(47.3914823, -88.0134112)",438.1204833984375
"(47.391377, -88.0134595)",434.3823547363281
"(47.3912971, -88.01354)",432.3770751953125
"(47.3911845, -88.0135936)",428.1383666992188
"(47.3911515, -88.0136401)",427.4773864746094
"(47.3911303, -88.01367)",427.2234802246094
