coordinates,elevation
"(45.3456872, -121.6695902)",2000.46
"(45.34562525, -121.6695311)",2000.57
"(45.3455633, -121.669472)",2000.30
"(45.34550135, -121.6694129)",1999.43
"(45.3454394, -121.6693538)",1997.83
"(45.3453263, -121.66927335)",1993.71
"(45.3452132, -121.6691929)",1989.03
"(45.3451378, -121.66916875)",1986.75
"(45.3450624, -121.6691446)",1984.23
"(45.344987, -121.66912045)",1981.67
"(45.3449116, -121.6690963)",1978.71
"(45.34485128, -121.66901585)",1976.37
"(45.34479095, -121.6689354)",1974.02
"(45.34473062, -121.66885495)",1971.71
"(45.3446703, -121.6687745)",1969.74
"(45.34459865, -121.6686216)",1966.00
"(45.344527, -121.6684687)",1962.18
"(45.34445535, -121.6683158)",1958.44
"(45.3443837, -121.6681629)",1954.68
"(45.34431018, -121.6680905)",1952.12
"(45.34423665, -121.6680181)",1949.39
"(45.34416312, -121.6679457)",1947.19
"(45.3440896, -121.6678733)",1944.38
"(45.3439878, -121.6678277)",1940.40
"(45.343886, -121.6677821)",1935.72
"(45.3437842, -121.6677365)",1931.57
"(45.3436824, -121.6676909)",1928.47
"(45.34358552, -121.66770415)",1926.54
"(45.34348865, -121.6677174)",1924.67
"(45.34339178, -121.66773065)",1922.72
"(45.3432949, -121.6677439)",1920.39
"(45.34319803, -121.66775715)",1917.96
"(45.34310115, -121.6677704)",1915.78
"(45.34300427, -121.66778365)",1913.51
"(45.3429074, -121.6677969)",1912.69
"(45.3436824, -121.6676909)",1928.47
"(45.34362019, -121.6675997)",1926.24
"(45.34355797, -121.6675085)",1924.94
"(45.34349576, -121.6674173)",1924.38
"(45.34343355, -121.6673261)",1924.01
"(45.34337134, -121.6672349)",1924.08
"(45.34330913, -121.6671437)",1923.24
"(45.34324691, -121.6670525)",1922.26
"(45.3431847, -121.6669613)",1921.45
"(45.34311306, -121.66689961)",1920.85
"(45.34304142, -121.66683792)",1919.66
"(45.34296979, -121.66677624)",1917.91
"(45.34289815, -121.66671455)",1916.24
"(45.34282651, -121.66665286)",1914.55
"(45.34275487, -121.66659118)",1913.26
"(45.34268324, -121.66652949)",1911.65
"(45.3426116, -121.6664678)",1911.30
"(45.34256292, -121.66633339)",1910.88
"(45.34251425, -121.66619898)",1910.80
"(45.34246558, -121.66606456)",1911.30
"(45.3424169, -121.66593015)",1910.82
"(45.34236823, -121.66579574)",1912.12
"(45.34231955, -121.66566133)",1911.79
"(45.34227087, -121.66552691)",1910.24
"(45.3422222, -121.6653925)",1909.47
"(45.34218135, -121.66523895)",1908.43
"(45.3421405, -121.6650854)",1907.27
"(45.34212715, -121.66497761)",1907.26
"(45.3421138, -121.66486982)",1907.40
"(45.34210045, -121.66476204)",1907.34
"(45.3420871, -121.66465425)",1907.04
"(45.34207375, -121.66454646)",1906.34
"(45.3420604, -121.66443867)",1905.64
"(45.34204705, -121.66433089)",1904.80
"(45.3420337, -121.6642231)",1903.11
"(45.3420337, -121.6641024)",1899.56
"(45.3420337, -121.6639817)",1896.04
"(45.3419922, -121.66380735)",1892.59
"(45.3419507, -121.663633)",1891.23
"(45.3418551, -121.6635269)",1888.62
"(45.3417595, -121.6634208)",1884.70
"(45.34167876, -121.66337691)",1881.25
"(45.34159802, -121.66333302)",1877.61
"(45.34151729, -121.66328914)",1874.10
"(45.34143655, -121.66324525)",1870.67
"(45.34135581, -121.66320136)",1867.41
"(45.34127507, -121.66315747)",1864.08
"(45.34119434, -121.66311359)",1861.23
"(45.3411136, -121.6630697)",1858.39
"(45.3410269, -121.66299327)",1855.29
"(45.3409402, -121.66291685)",1853.49
"(45.3408535, -121.66284042)",1851.87
"(45.3407668, -121.662764)",1849.58
"(45.3406829, -121.66265805)",1846.30
"(45.340599, -121.6625521)",1843.11
"(45.3405151, -121.66244615)",1839.51
"(45.3404312, -121.6623402)",1835.62
"(45.34038547, -121.66224565)",1833.68
"(45.34033975, -121.6621511)",1832.75
"(45.34029402, -121.66205655)",1830.79
"(45.3402483, -121.661962)",1828.45
"(45.34020257, -121.66186745)",1826.35
"(45.34015685, -121.6617729)",1824.09
"(45.34011112, -121.66167835)",1821.53
"(45.3400654, -121.6615838)",1818.49
"(45.33997612, -121.6614476)",1814.57
"(45.33988685, -121.6613114)",1810.90
"(45.33979757, -121.6611752)",1807.22
"(45.3397083, -121.661039)",1805.85
"(45.33963194, -121.66096255)",1805.59
"(45.33955557, -121.6608861)",1805.29
"(45.33947921, -121.66080965)",1805.71
"(45.33940285, -121.6607332)",1805.81
"(45.33932649, -121.66065675)",1806.18
"(45.33925012, -121.6605803)",1806.24
"(45.33917376, -121.66050385)",1805.95
"(45.3390974, -121.6604274)",1805.67
"(45.3390333, -121.66034291)",1805.17
"(45.3389692, -121.66025842)",1804.65
"(45.3389051, -121.66017394)",1804.19
"(45.338841, -121.66008945)",1803.97
"(45.3387769, -121.66000496)",1803.72
"(45.3387128, -121.65992048)",1803.32
"(45.3386487, -121.65983599)",1802.56
"(45.3385846, -121.6597515)",1801.55
"(45.3385086, -121.65968915)",1800.15
"(45.3384326, -121.6596268)",1799.20
"(45.3417595, -121.6634208)",1884.70
"(45.3417152, -121.66331887)",1882.10
"(45.3416709, -121.66321695)",1879.21
"(45.3416266, -121.66311502)",1876.28
"(45.3415823, -121.6630131)",1873.16
"(45.341538, -121.66291118)",1870.65
"(45.3414937, -121.66280925)",1868.70
"(45.3414494, -121.66270733)",1867.14
"(45.3414051, -121.6626054)",1865.95
"(45.3413608, -121.66250683)",1864.97
"(45.3413165, -121.66240825)",1864.14
"(45.3412722, -121.66230968)",1863.22
"(45.3412279, -121.6622111)",1862.18
"(45.3411836, -121.66211252)",1861.38
"(45.3411393, -121.66201395)",1860.18
"(45.341095, -121.66191538)",1858.52
"(45.3410507, -121.6618168)",1856.79
"(45.34101447, -121.66171622)",1854.69
"(45.34097825, -121.66161565)",1852.10
"(45.34094203, -121.66151508)",1849.41
"(45.3409058, -121.6614145)",1845.80
"(45.34086957, -121.66131393)",1842.33
"(45.34083335, -121.66121335)",1838.96
"(45.34079712, -121.66111277)",1835.15
"(45.3407609, -121.6610122)",1832.04
"(45.34071821, -121.66091799)",1829.46
"(45.34067551, -121.66082378)",1827.31
"(45.34063282, -121.66072956)",1825.45
"(45.34059013, -121.66063535)",1823.57
"(45.34054743, -121.66054114)",1821.72
"(45.34050474, -121.66044693)",1819.81
"(45.34046204, -121.66035271)",1817.82
"(45.34041935, -121.6602585)",1815.56
"(45.34037666, -121.66016429)",1813.67
"(45.34033396, -121.66007007)",1811.67
"(45.34029127, -121.65997586)",1809.58
"(45.34024858, -121.65988165)",1807.81
"(45.34020588, -121.65978744)",1806.09
"(45.34016319, -121.65969322)",1804.73
