coordinates,elevation
"(42.9504236, -72.9158633)",882.7399291992188
"(42.95037255, -72.9157936)",881.9014892578125
"(42.9503215, -72.9157239)",881.0145263671875
"(42.950261625, -72.91556966249999)",879.4657592773438
"(42.950201750000005, -72.91541542499999)",877.9998168945312
"(42.950141875, -72.9152611875)",876.4575805664062
"(42.950082, -72.91510695)",874.8009033203125
"(42.950022125000004, -72.9149527125)",872.641357421875
"(42.94996225, -72.914798475)",870.8006591796875
"(42.949902375, -72.9146442375)",869.5664672851562
"(42.9498425, -72.91449)",869.2568359375
"(42.94985989375, -72.91435378125)",867.2957153320312
"(42.9498772875, -72.9142175625)",864.4088745117188
"(42.94989468125, -72.91408134375)",860.5623168945312
"(42.949912075, -72.913945125)",857.5037231445312
"(42.94992946875, -72.91380890625)",855.1852416992188
"(42.9499468625, -72.9136726875)",850.6671142578125
"(42.94996425625, -72.91353646875)",845.7086791992188
"(42.94998165, -72.91340025)",842.697509765625
"(42.94999904375, -72.91326403125)",838.9364624023438
"(42.9500164375, -72.9131278125)",835.3936157226562
"(42.950033831249996, -72.91299159375)",832.1724243164062
"(42.950051224999996, -72.91285537499999)",828.8767700195312
"(42.950068618749995, -72.91271915624999)",825.5787963867188
"(42.950086012499995, -72.91258293749999)",823.0913696289062
"(42.950103406249994, -72.91244671875)",822.2665405273438
"(42.9501208, -72.9123105)",821.8822021484375
"(42.9584309, -72.9216536)",1069.5029296875
"(42.958356925000004, -72.92169452499999)",1068.918212890625
"(42.95828295, -72.92173545)",1067.9801025390625
"(42.958208975, -72.92177637500001)",1066.732666015625
"(42.958135, -72.9218173)",1065.635498046875
"(42.958054524999994, -72.92180669999999)",1064.26806640625
"(42.95797405, -72.9217961)",1062.776611328125
"(42.957893575, -72.9217855)",1060.9830322265625
"(42.957813099999996, -72.9217749)",1058.993408203125
"(42.957732625, -72.9217643)",1056.1932373046875
"(42.95765215, -72.92175370000001)",1053.266845703125
"(42.957571675, -72.92174310000001)",1050.294677734375
"(42.9574912, -72.9217325)",1047.656494140625
"(42.957396925, -72.921769925)",1045.4195556640625
"(42.95730265, -72.92180735)",1043.4208984375
"(42.957208375, -72.921844775)",1041.3729248046875
"(42.9571141, -72.9218822)",1039.0989990234375
"(42.957019824999996, -72.921919625)",1036.0616455078125
"(42.956925549999994, -72.92195705)",1033.1136474609375
"(42.956831275, -72.92199447499999)",1029.7879638671875
"(42.956737, -72.9220319)",1028.0003662109375
"(42.9587628, -72.9232228)",1087.5355224609375
"(42.958692150000005, -72.92320670000001)",1086.2030029296875
"(42.9586215, -72.9231906)",1084.86279296875
"(42.95853365625, -72.9231731625)",1083.35400390625
"(42.9584458125, -72.923155725)",1081.7694091796875
"(42.95835796875, -72.9231382875)",1079.9525146484375
"(42.958270125, -72.92312085)",1077.8936767578125
"(42.958182281250004, -72.92310341250001)",1075.5130615234375
"(42.9580944375, -72.923085975)",1073.173828125
"(42.95800659375, -72.9230685375)",1070.345703125
"(42.957918750000005, -72.92305110000001)",1067.4993896484375
"(42.95783090625, -72.92303366250002)",1065.381103515625
"(42.9577430625, -72.92301622500001)",1062.62353515625
"(42.957655218750006, -72.9229987875)",1059.24853515625
"(42.957567375, -72.92298135000001)",1055.7913818359375
"(42.95747953125, -72.92296391250001)",1052.15087890625
"(42.95739168750001, -72.922946475)",1047.8173828125
"(42.957303843750005, -72.92292903750001)",1043.8438720703125
"(42.957216, -72.9229116)",1041.7283935546875
"(42.957156125, -72.92280163750002)",1039.5262451171875
"(42.95709625, -72.92269167500001)",1037.3994140625
"(42.957036375, -72.9225817125)",1035.8935546875
"(42.956976499999996, -72.92247175)",1034.4853515625
"(42.956916625, -72.9223617875)",1033.0802001953125
"(42.95685675, -72.92225182499999)",1031.4296875
"(42.956796874999995, -72.92214186249998)",1029.7064208984375
"(42.956737, -72.9220319)",1028.0003662109375
"(42.95664375, -72.921939425)",1025.921142578125
"(42.95655049999999, -72.92184695)",1023.74951171875
"(42.95645724999999, -72.921754475)",1021.077880859375
"(42.95636399999999, -72.921662)",1018.4346923828124
"(42.956270749999995, -72.921569525)",1015.58740234375
"(42.956177499999995, -72.92147705)",1012.5298461914062
"(42.956084249999996, -72.92138457499999)",1009.2548217773438
"(42.955991, -72.9212921)",1006.4976806640624
"(42.95594585, -72.92121968750001)",1004.84619140625
"(42.9559007, -72.92114727500001)",1003.4225463867188
"(42.955855549999995, -72.9210748625)",1001.9410400390624
"(42.9558104, -72.92100245)",1000.5933837890624
"(42.95576525, -72.9209300375)",999.2351684570312
"(42.95572009999999, -72.920857625)",997.7515258789062
"(42.955674949999995, -72.9207852125)",996.3535766601562
"(42.9556298, -72.9207128)",995.3819580078124
"(42.955566, -72.92063635)",993.9091186523438
"(42.9555022, -72.9205599)",992.0205688476562
"(42.9554384, -72.92048345)",990.359130859375
"(42.9553746, -72.92040700000001)",988.961181640625
"(42.9553108, -72.92033055000002)",987.262451171875
"(42.955247, -72.92025410000001)",986.0047607421876
"(42.9551832, -72.92017765)",984.6790771484376
"(42.9551194, -72.9201012)",983.0183715820312
"(42.955059525, -72.92003481875)",981.3757934570312
"(42.954999650000005, -72.9199684375)",979.4201049804688
"(42.954939775, -72.91990205625001)",978.023681640625
"(42.9548799, -72.919835675)",976.787109375
"(42.954820025000004, -72.91976929375)",974.96533203125
"(42.95476015, -72.9197029125)",973.235595703125
"(42.954700275, -72.91963653125)",971.5107421875
"(42.9546404, -72.91957015)",970.40576171875
"(42.954580525, -72.91950376874999)",969.5960693359376
"(42.95452065, -72.9194373875)",968.9434814453124
"(42.954460775, -72.91937100625)",968.1937866210938
"(42.954400899999996, -72.919304625)",967.2798461914062
"(42.954341025, -72.91923824375)",965.916015625
"(42.95428115, -72.91917186250001)",964.5640258789062
"(42.954221274999995, -72.91910548125)",963.2261352539062
"(42.9541614, -72.9190391)",962.3411254882812
"(42.954063218749994, -72.91904811875)",961.1422119140624
"(42.9539650375, -72.9190571375)",959.6762084960938
"(42.953866856249995, -72.91906615625001)",957.6480102539062
"(42.95376867499999, -72.919075175)",955.2949829101562
"(42.953670493749996, -72.91908419375)",952.633056640625
"(42.95357231249999, -72.9190932125)",950.0818481445312
"(42.95347413124999, -72.91910223125001)",947.7996826171876
"(42.953375949999995, -72.91911125)",945.4548950195312
"(42.95327776875, -72.91912026874999)",943.24951171875
"(42.953179587499996, -72.9191292875)",940.7399291992188
"(42.95308140624999, -72.91913830625)",938.4332885742188
"(42.952983225, -72.919147325)",936.1221313476562
"(42.95288504375, -72.91915634374999)",933.9924926757812
"(42.9527868625, -72.9191653625)",932.1209106445312
"(42.952688681249995, -72.91917438125)",930.8333740234376
"(42.9525905, -72.9191834)",929.9979248046876
"(42.9592496, -72.9227614)",1092.580322265625
"(42.95919465, -72.92286335)",1092.17333984375
"(42.9591397, -72.9229653)",1091.1668701171875
"(42.959120049999996, -72.92306719999999)",1090.973876953125
"(42.9591004, -72.9231691)",1091.8275146484375
"(42.959016, -72.923182525)",1090.8568115234375
"(42.9589316, -72.92319595000001)",1089.5987548828125
"(42.9588472, -72.923209375)",1088.539306640625
"(42.9587628, -72.9232228)",1087.5355224609375
"(42.9586962, -72.9233664)",1086.9466552734375
"(42.958657375, -72.9234418)",1086.3798828125
"(42.95861855, -72.9235172)",1085.4981689453125
"(42.958579725, -72.9235926)",1084.366943359375
"(42.9585409, -72.923668)",1083.469482421875
"(42.9584574, -72.9237814)",1081.6253662109375
"(42.9583761375, -72.9238402375)",1079.5203857421875
"(42.958294875, -72.923899075)",1077.522705078125
"(42.9582136125, -72.92395791249999)",1075.9197998046875
"(42.95813235, -72.92401674999999)",1073.3421630859375
"(42.958051087499996, -72.9240755875)",1069.75146484375
"(42.957969825, -72.924134425)",1066.3211669921875
"(42.9578885625, -72.92419326250001)",1063.309326171875
"(42.9578073, -72.9242521)",1061.0367431640625
"(42.9577028, -72.9243171)",1060.9742431640625
"(42.9576, -72.9242553)",1060.06787109375
"(42.957499, -72.9241946375)",1058.5643310546875
"(42.957398, -72.924133975)",1056.5511474609375
"(42.957297, -72.92407331250001)",1053.8284912109375
"(42.957195999999996, -72.92401265000001)",1050.637451171875
"(42.957094999999995, -72.9239519875)",1047.21630859375
"(42.956993999999995, -72.923891325)",1044.3302001953125
"(42.956892999999994, -72.9238306625)",1040.3214111328125
"(42.956792, -72.92377)",1037.0484619140625
"(42.956705131250004, -72.92374853750002)",1033.493896484375
"(42.9566182625, -72.92372707500002)",1030.1302490234375
"(42.95653139375, -72.92370561250002)",1027.279296875
"(42.956444524999995, -72.92368415000001)",1023.9695434570312
"(42.95635765624999, -72.92366268750001)",1021.125
"(42.956270787499996, -72.92364122500001)",1017.6396484375
"(42.95618391875, -72.92361976250001)",1013.3748779296876
"(42.95609705, -72.92359830000001)",1009.283203125
"(42.956010181249994, -72.92357683750001)",1006.1350708007812
"(42.9559233125, -72.923555375)",1003.68115234375
"(42.95583644375, -72.9235339125)",1002.3121948242188
"(42.955749575, -72.92351245)",1001.3963623046876
"(42.955662706249996, -72.9234909875)",1000.1703491210938
"(42.9555758375, -72.923469525)",998.9085693359376
"(42.955488968750004, -72.9234480625)",998.1583862304688
"(42.9554021, -72.9234266)",997.6295166015624
"(42.95533388125, -72.92336021874999)",996.1941528320312
"(42.9552656625, -72.9232938375)",994.3206176757812
"(42.955197443749995, -72.92322745625)",992.4547729492188
"(42.955129225, -72.923161075)",990.0686645507812
"(42.955061006250006, -72.92309469374999)",988.131591796875
"(42.954992787500004, -72.9230283125)",986.1017456054688
"(42.95492456875, -72.92296193125)",985.0698852539062
"(42.95485635, -72.92289554999999)",983.9415283203124
"(42.95478813125, -72.92282916874998)",982.8526000976562
"(42.954719912499996, -72.92276278749999)",981.789306640625
"(42.954651693749994, -72.92269640625)",980.111572265625
"(42.954583475, -72.92263002499999)",978.7551879882812
"(42.954515256250005, -72.92256364375)",977.527099609375
"(42.9544470375, -72.9224972625)",975.9075927734376
"(42.95437881875, -72.92243088125)",974.5194091796876
"(42.9543106, -72.9223645)",972.864013671875
"(42.954256625, -72.92221570000001)",969.875244140625
"(42.95420265, -72.9220669)",966.79736328125
"(42.954148675, -72.9219181)",963.7285766601562
"(42.9540947, -72.9217693)",961.2854614257812
"(42.954040725, -72.92162049999999)",958.4961547851562
"(42.95398675, -72.9214717)",957.599609375
"(42.953932775, -72.9213229)",956.5420532226562
"(42.9538788, -72.9211741)",955.7471923828124
"(42.953822849999995, -72.92111441875)",954.8320922851562
"(42.9537669, -72.9210547375)",953.9520874023438
"(42.95371095, -72.92099505625)",953.214599609375
"(42.953655, -72.920935375)",952.42431640625
"(42.953599049999994, -72.92087569374999)",951.6112060546876
"(42.9535431, -72.9208160125)",950.7086791992188
"(42.95348715, -72.92075633125)",949.4417114257812
"(42.9534312, -72.92069665)",948.142822265625
"(42.95337524999999, -72.92063696874999)",947.0386352539062
"(42.9533193, -72.9205772875)",946.17578125
"(42.95326335, -72.92051760625)",945.443115234375
"(42.9532074, -72.920457925)",944.7435302734376
"(42.95315145, -72.92039824375)",944.0652465820312
"(42.9530955, -72.9203385625)",943.2008666992188
"(42.95303955, -72.92027888125)",942.4439086914062
"(42.9529836, -72.9202192)",941.514404296875
"(42.9529344625, -72.920089725)",939.1448974609376
"(42.952885325, -72.91996025)",936.5496215820312
"(42.9528361875, -72.91983077500001)",935.0632934570312
"(42.95278705, -72.9197013)",934.215576171875
"(42.9527379125, -72.91957182499999)",933.31494140625
"(42.952688775, -72.91944235)",932.3289794921876
"(42.9526396375, -72.919312875)",931.2317504882812
"(42.9525905, -72.9191834)",929.9979248046876
"(42.952556200000004, -72.9190983)",929.1287231445312
"(42.9525219, -72.9190132)",928.15576171875
"(42.9524876, -72.91892809999999)",926.917724609375
