coordinates,elevation
"(41.833211, -73.3052007)",450.1356201171875
"(41.8332799, -73.3051483)",451.1327209472656
"(41.8333488, -73.3050959)",450.8435974121094
"(41.83342225, -73.30511440000001)",449.8526611328125
"(41.8334957, -73.3051329)",448.396728515625
"(41.83354275, -73.305202225)",447.1807861328125
"(41.8335898, -73.30527155)",445.90179443359375
"(41.83363685, -73.305340875)",444.3748779296875
"(41.8336839, -73.3054102)",442.4663391113281
"(41.833706899999996, -73.30553345)",440.5534362792969
"(41.8337299, -73.3056567)",438.8271179199219
"(41.83380795, -73.305706)",436.0965576171875
"(41.833886, -73.3057553)",433.1740112304688
"(41.833952575, -73.30577070000001)",430.958740234375
"(41.83401915, -73.3057861)",428.893310546875
"(41.834085725, -73.3058015)",426.7405090332031
"(41.8341523, -73.3058169)",423.0184326171875
"(41.83426935, -73.3058785)",414.3786010742188
"(41.8343864, -73.3059401)",408.7986145019531
"(41.8345012, -73.3060202)",404.3844299316406
"(41.834616, -73.3061003)",401.5138244628906
"(41.83467795, -73.30626054999999)",399.2118835449219
"(41.8347399, -73.3064208)",397.4129028320313
"(41.834791550000006, -73.3065086)",396.1017761230469
"(41.8348432, -73.30659639999999)",394.5016784667969
"(41.83489485, -73.30668419999999)",392.8034973144531
"(41.8349465, -73.306772)",391.1510620117188
"(41.834998150000004, -73.306837475)",389.6609497070313
"(41.8350498, -73.30690295)",388.1440734863281
"(41.835101449999996, -73.306968425)",386.5925598144531
"(41.8351531, -73.3070339)",385.0119018554688
"(41.83520475, -73.30709937499999)",383.3909606933594
"(41.8352564, -73.30716484999999)",381.8097534179688
"(41.835308049999995, -73.307230325)",380.3770751953125
"(41.8353597, -73.3072958)",379.08349609375
"(41.835418812499995, -73.307368975)",377.6386413574219
"(41.835477925, -73.30744215000001)",376.1197509765625
"(41.8355370375, -73.30751532500001)",374.48486328125
"(41.83559615, -73.30758850000001)",372.7936401367188
"(41.8356552625, -73.307661675)",371.0058288574219
"(41.835714375, -73.30773485)",369.2704162597656
"(41.835773487500006, -73.307808025)",367.6354675292969
"(41.8358326, -73.3078812)",365.8680114746094
"(41.8358951625, -73.3079651625)",363.5916137695313
"(41.835957725, -73.308049125)",360.6234436035156
"(41.8360202875, -73.3081330875)",357.8802185058594
"(41.83608285, -73.30821705)",355.3787536621094
"(41.836145412499995, -73.3083010125)",352.6910705566406
"(41.836207974999994, -73.308384975)",350.128662109375
"(41.8362705375, -73.3084689375)",347.8487243652344
"(41.8363331, -73.3085529)",345.423095703125
"(41.8363985125, -73.30862145)",343.00567626953125
"(41.836463925000004, -73.30869)",340.7916259765625
"(41.836529337500004, -73.30875855)",338.7551574707031
"(41.83659475, -73.3088271)",336.8846435546875
"(41.8366601625, -73.30889565)",335.1376342773437
"(41.836725575, -73.30896419999999)",333.6468811035156
"(41.8367909875, -73.30903275)",332.26611328125
"(41.8368564, -73.3091013)",330.9313659667969
"(41.8369092, -73.3091968)",329.5108947753906
"(41.836962, -73.3092923)",328.4791259765625
"(41.8370148, -73.3093878)",327.68017578125
"(41.8370676, -73.3094833)",326.9672546386719
"(41.8370768, -73.30964355)",326.1974182128906
"(41.837086, -73.3098038)",325.0377197265625
"(41.8341575, -73.3066044)",411.54833984375
"(41.83426540000001, -73.30668145)",406.9398498535156
"(41.8343733, -73.3067585)",403.74066162109375
"(41.8344281, -73.3068262)",402.1201477050781
"(41.8344829, -73.3068939)",400.5361328125
"(41.8345377, -73.3069616)",399.0370788574219
"(41.8345925, -73.3070293)",397.5839538574219
"(41.834679449999996, -73.30714605)",394.9594421386719
"(41.8347664, -73.3072628)",391.9566040039063
"(41.834837750000005, -73.307351525)",389.7649841308594
"(41.834909100000004, -73.30744025)",387.6318054199219
"(41.83498045, -73.307528975)",385.5710144042969
"(41.8350518, -73.3076177)",383.5680847167969
"(41.835127475, -73.307712275)",381.7757873535156
"(41.83520315, -73.30780684999999)",380.4709167480469
"(41.835278825, -73.307901425)",379.1322937011719
"(41.8353545, -73.307996)",377.245849609375
"(41.835424075000006, -73.3080789)",375.1212158203125
"(41.835493650000004, -73.3081618)",372.9620666503906
"(41.835563225, -73.30824469999999)",370.5904541015625
"(41.8356328, -73.3083276)",368.1152648925781
"(41.835698925, -73.30840115000001)",366.0422058105469
"(41.83576505, -73.3084747)",363.149169921875
"(41.835831174999996, -73.30854825)",359.76593017578125
"(41.8358973, -73.3086218)",356.6752014160156
"(41.8359834, -73.3087257)",352.9934387207031
"(41.8360695, -73.3088296)",349.62030029296875
"(41.8361556, -73.3089335)",346.5430603027344
"(41.8362417, -73.3090374)",342.8826904296875
"(41.836312175, -73.309119125)",340.4098815917969
"(41.836382650000004, -73.30920085)",337.9220275878906
"(41.836453125000006, -73.309282575)",335.3197937011719
"(41.8365236, -73.3093643)",333.21734619140625
"(41.836607099999995, -73.309453025)",331.1444702148437
"(41.8366906, -73.30954175)",329.2191772460937
"(41.8367741, -73.309630475)",327.4814453125
"(41.8368576, -73.3097192)",326.02801513671875
"(41.8371879, -73.3098955)",324.1734313964844
"(41.83722095, -73.3099866)",323.6595153808594
"(41.837254, -73.3100777)",323.2226867675781
"(41.83727315, -73.3102178)",321.9643859863281
"(41.8372923, -73.3103579)",319.8851623535156
"(41.83729925, -73.3105003)",317.2411499023437
"(41.8373062, -73.3106427)",314.2672424316406
"(41.837327099999996, -73.31079215)",310.40252685546875
"(41.837348, -73.3109416)",306.764404296875
"(41.8374167, -73.31104085000001)",304.1391296386719
"(41.8374854, -73.3111401)",301.617919921875
"(41.8375541, -73.31123935)",299.2957458496094
"(41.8376228, -73.3113386)",297.37615966796875
"(41.837681950000004, -73.31139462499999)",296.1298828125
"(41.8377411, -73.31145065)",294.72564697265625
"(41.83780025, -73.311506675)",293.15118408203125
"(41.8378594, -73.3115627)",291.90106201171875
"(41.837915100000004, -73.31161875000001)",290.9759216308594
"(41.8379708, -73.3116748)",290.0774230957031
"(41.83801255, -73.31182425)",288.0251770019531
"(41.8380543, -73.3119737)",285.91094970703125
"(41.8380921375, -73.31206359999999)",285.1049194335937
"(41.838129975, -73.3121535)",284.3513488769531
"(41.838167812500004, -73.3122434)",283.6770324707031
"(41.838205650000006, -73.3123333)",283.15216064453125
"(41.83824348750001, -73.31242320000001)",282.7388610839844
"(41.838281325000004, -73.3125131)",282.36016845703125
"(41.8383191625, -73.312603)",281.973876953125
"(41.838357, -73.3126929)",281.6139221191406
"(41.837007, -73.3100216)",323.1508483886719
"(41.836996549999995, -73.31017105000001)",321.78887939453125
"(41.8369861, -73.3103205)",319.7744140625
"(41.837022625, -73.31048512500001)",316.91778564453125
"(41.83705915, -73.31064975000001)",314.16070556640625
"(41.837095675, -73.310814375)",311.15740966796875
"(41.8371322, -73.310979)",307.96197509765625
"(41.83719135, -73.31107065)",306.1720275878906
"(41.837250499999996, -73.3111623)",304.2704467773437
"(41.837309649999995, -73.31125395000001)",302.04815673828125
"(41.8373688, -73.31134560000001)",300.2657165527344
"(41.837427950000006, -73.31143725000001)",298.8090515136719
"(41.837487100000004, -73.31152890000001)",297.57720947265625
"(41.83754625, -73.31162055000001)",296.4881591796875
"(41.8376054, -73.3117122)",294.9109191894531
"(41.83768325, -73.31184353750001)",292.1946105957031
