coordinates,elevation
"(42.5439096, -71.4490164)",65.22057342529297
"(42.5439096, -71.4490164)",65.22057342529297
"(42.543832075, -71.44906076250001)",66.07861328125
"(42.54375455, -71.449105125)",67.14253997802734
"(42.543677025, -71.4491494875)",68.02278900146484
"(42.5435995, -71.44919385)",68.72612762451172
"(42.543521975, -71.4492382125)",69.4262924194336
"(42.543444449999996, -71.449282575)",70.16304016113281
"(42.543366925, -71.44932693749999)",71.0018310546875
"(42.5432894, -71.4493713)",71.88562774658203
"(42.5431886, -71.4493847)",73.3199691772461
"(42.543068, -71.449323)",75.91046905517578
"(42.5429455, -71.4493096)",78.6304931640625
"(42.54287735, -71.44933105000001)",80.17826080322266
"(42.5428092, -71.4493525)",81.86077117919922
"(42.54273805, -71.4493807)",83.69746398925781
"(42.5426669, -71.4494089)",85.39276123046875
"(42.5426234, -71.4493955)",86.94554138183594
"(42.54254435, -71.4493673)",89.38786315917969
"(42.5424653, -71.4493391)",92.03897857666016
"(42.5423843, -71.4493204)",94.43224334716795
"(42.54229535, -71.4493633)",95.62102508544922
"(42.5422064, -71.4494062)",96.72965240478516
"(42.5421254, -71.44946250000001)",97.40579223632812
"(42.5420444, -71.4495188)",97.90462493896484
"(42.541976700000006, -71.44955435)",98.38854217529295
"(42.541909000000004, -71.4495899)",98.74018096923828
"(42.5418413, -71.44962545000001)",98.94141387939452
"(42.5417736, -71.449661)",99.14989471435548
"(42.5416778, -71.44969185)",99.50052642822266
"(42.541582, -71.4497227)",99.8205795288086
"(42.5414703, -71.4497562)",100.35557556152344
"(42.5413586, -71.4497897)",101.12811279296876
"(42.541274650000005, -71.44981385)",101.72466278076172
"(42.5411907, -71.449838)",102.38067626953124
"(42.54108, -71.4497683)",105.39913940429688
"(42.5409634, -71.4496851)",108.55680084228516
"(42.5409397, -71.4496074)",110.68614196777344
"(42.5409693, -71.4495162)",112.41178894042967
"(42.5410622, -71.4494974)",111.51449584960938
"(42.5411551, -71.4494062)",112.3061294555664
"(42.541187699999995, -71.44930965)",113.99151611328124
"(42.5412203, -71.4492131)",115.68251037597656
"(42.5412391, -71.44910445)",117.4477081298828
"(42.5412579, -71.4489958)",118.66004943847656
"(42.54127565, -71.44890355000001)",119.384033203125
"(42.5412934, -71.4488113)",120.0098876953125
"(42.5413564, -71.4488581)",118.60787963867188
"(42.54131995, -71.44895109999999)",118.18314361572266
"(42.5412835, -71.4490441)",117.6055908203125
"(42.54126575, -71.44914735)",116.18134307861328
"(42.541248, -71.4492506)",114.35765075683594
