coordinates,elevation
"(39.2415245, -120.1398078)",2623.65
"(39.24159528, -120.13983885)",2623.38
"(39.24166606, -120.1398699)",2622.83
"(39.24173684, -120.13990095)",2622.08
"(39.24180762, -120.139932)",2621.29
"(39.24187841, -120.13996305)",2619.76
"(39.24194919, -120.1399941)",2617.91
"(39.24201997, -120.14002515)",2616.02
"(39.24209075, -120.1400562)",2614.13
"(39.24216153, -120.14008725)",2611.99
"(39.24223231, -120.1401183)",2609.93
"(39.24230309, -120.14014935)",2607.93
"(39.24237387, -120.1401804)",2606.04
"(39.24244466, -120.14021145)",2604.34
"(39.24251544, -120.1402425)",2602.80
"(39.24258622, -120.14027355)",2601.46
"(39.242657, -120.1403046)",2600.29
"(39.2427858, -120.14031532)",2598.79
"(39.2429146, -120.14032605)",2597.56
"(39.2430434, -120.14033677)",2595.63
"(39.2431722, -120.1403475)",2593.86
"(39.243301, -120.14035822)",2590.64
"(39.2434298, -120.14036895)",2587.82
"(39.2435586, -120.14037967)",2586.18
"(39.2436874, -120.1403904)",2584.39
"(39.24378503, -120.14038504)",2582.80
"(39.24388266, -120.14037967)",2580.89
"(39.24398029, -120.14037431)",2578.60
"(39.24407792, -120.14036895)",2575.94
"(39.24417556, -120.14036359)",2573.03
"(39.24427319, -120.14035822)",2569.95
"(39.24437082, -120.14035286)",2567.18
"(39.24446845, -120.1403475)",2565.21
"(39.24456608, -120.14034214)",2563.16
"(39.24466371, -120.14033677)",2560.97
"(39.24476134, -120.14033141)",2558.47
"(39.24485897, -120.14032605)",2556.40
"(39.24495661, -120.14032069)",2554.09
"(39.24505424, -120.14031532)",2553.08
"(39.24515187, -120.14030996)",2551.86
"(39.2452495, -120.1403046)",2550.38
"(39.2453222, -120.14028583)",2548.92
"(39.2453949, -120.14026705)",2547.50
"(39.2454676, -120.14024828)",2546.19
"(39.2455403, -120.1402295)",2545.00
"(39.245613, -120.14021073)",2543.89
"(39.2456857, -120.14019195)",2542.69
"(39.2457584, -120.14017318)",2541.50
"(39.2458311, -120.1401544)",2540.34
"(39.2459038, -120.14013562)",2539.18
"(39.2459765, -120.14011685)",2537.84
"(39.2460492, -120.14009807)",2536.04
"(39.2461219, -120.1400793)",2534.01
"(39.2461946, -120.14006052)",2532.11
"(39.2462673, -120.14004175)",2530.40
"(39.24634, -120.14002297)",2528.63
"(39.2464127, -120.1400042)",2526.72
"(39.24653733, -120.13995055)",2522.83
