coordinates,elevation
"(43.1550842, -71.7947007)",388.127685546875
"(43.155036499999994, -71.79455595000002)",386.7184753417969
"(43.1549888, -71.79441120000001)",384.87310791015625
"(43.1549411, -71.79426645000001)",383.6336975097656
"(43.1548934, -71.7941217)",381.86334228515625
"(43.154816749999995, -71.79400960000001)",380.7864990234375
"(43.1547401, -71.7938975)",379.6879577636719
"(43.15466345, -71.79378539999999)",378.44146728515625
"(43.1545868, -71.7936733)",376.6198425292969
"(43.154541662499994, -71.793584575)",375.0677795410156
"(43.154496525, -71.79349585)",373.6461486816406
"(43.154451387499996, -71.793407125)",372.1612548828125
"(43.154406249999994, -71.7933184)",370.7505493164063
"(43.1543611125, -71.793229675)",369.2320251464844
"(43.154315974999996, -71.79314095000001)",367.5710754394531
"(43.15427083749999, -71.793052225)",365.953369140625
"(43.1542257, -71.7929635)",364.3290710449219
"(43.1541839625, -71.79285142500001)",362.2120056152344
"(43.154142225, -71.79273935)",360.4797058105469
"(43.1541004875, -71.792627275)",358.7884521484375
"(43.15405875, -71.7925152)",357.4419860839844
"(43.15401701249999, -71.79240312499999)",356.1799621582031
"(43.15397527499999, -71.79229104999999)",354.79150390625
"(43.153933537499995, -71.79217897499998)",353.5553894042969
"(43.1538918, -71.7920669)",351.88970947265625
"(43.1538730625, -71.791968825)",350.28857421875
"(43.153854325, -71.79187074999999)",348.5040588378906
"(43.1538355875, -71.79177267499999)",346.5575561523437
"(43.15381685, -71.7916746)",344.5907897949219
"(43.1537981125, -71.791576525)",342.38677978515625
"(43.153779375, -71.79147845)",340.3551940917969
"(43.1537606375, -71.791380375)",338.5863952636719
"(43.1537419, -71.7912823)",336.9970703125
"(43.1537717125, -71.791170225)",334.98614501953125
"(43.153801525, -71.79105815)",332.73016357421875
"(43.153831337499994, -71.790946075)",330.5836486816406
"(43.15386115, -71.790834)",328.4752502441406
"(43.1538909625, -71.79072192500001)",326.41778564453125
"(43.153920775, -71.79060985000001)",324.67352294921875
"(43.153950587500006, -71.790497775)",322.5542907714844
"(43.1539804, -71.7903857)",320.5007629394531
"(43.1540349125, -71.79031915)",318.7190246582031
"(43.154089425, -71.7902526)",317.1985778808594
"(43.1541439375, -71.79018605)",315.8089294433594
"(43.15419845, -71.7901195)",314.7528686523437
"(43.1542529625, -71.79005295)",313.765869140625
"(43.154307475, -71.7899864)",313.07635498046875
"(43.1543619875, -71.78991985)",312.4609680175781
"(43.1544165, -71.7898533)",311.8358764648437
"(43.154537425, -71.78979725)",311.0395202636719
"(43.154658350000005, -71.78974120000001)",310.15655517578125
"(43.154779275, -71.78968515)",309.2802124023437
"(43.1549002, -71.7896291)",308.3115234375
"(43.154987500000004, -71.78958505)",307.5970458984375
"(43.1550748, -71.789541)",306.9403381347656
"(43.1549246, -71.7938367)",376.5343933105469
"(43.15488845, -71.793659725)",374.3722229003906
"(43.1548523, -71.79348275000001)",370.7184448242188
"(43.15481615, -71.79330577500001)",367.2014465332031
"(43.15478, -71.7931288)",364.0620727539063
"(43.1547903375, -71.79298546250001)",361.5608215332031
"(43.154800675000004, -71.792842125)",359.1582946777344
"(43.154811012500005, -71.7926987875)",357.1707458496094
"(43.154821350000006, -71.79255545000001)",354.9157409667969
"(43.15483168750001, -71.7924121125)",352.30255126953125
