coordinates,elevation
"(41.375691, -111.771484)",2656.236083984375
"(41.375756, -111.771444)",2655.626220703125
"(41.375821, -111.771404)",2653.932861328125
"(41.375926, -111.771444)",2650.96533203125
"(41.376031, -111.771484)",2648.539794921875
"(41.376096000000004, -111.771529)",2647.118408203125
"(41.376161, -111.771574)",2645.204833984375
"(41.376251, -111.771654)",2642.76708984375
"(41.37633600000001, -111.771729)",2640.51806640625
"(41.37642100000001, -111.771804)",2638.245361328125
"(41.376506000000006, -111.771879)",2635.908447265625
"(41.376591000000005, -111.771954)",2633.488525390625
"(41.376676, -111.772029)",2630.908203125
"(41.376761, -111.772104)",2628.36865234375
"(41.376846, -111.772179)",2626.509521484375
"(41.376931, -111.772254)",2624.761474609375
"(41.3769931, -111.772179)",2624.417236328125
"(41.3770552, -111.772104)",2625.525634765625
"(41.3771195, -111.7720263)",2626.741455078125
"(41.3771945, -111.772014125)",2626.459228515625
"(41.3772695, -111.77200195)",2625.804931640625
"(41.3773445, -111.77198977500001)",2624.811279296875
"(41.3774195, -111.7719776)",2623.609619140625
"(41.3775045, -111.7719161)",2622.576904296875
"(41.3775895, -111.7718546)",2621.111328125
"(41.377695599999996, -111.77180985)",2618.118896484375
"(41.3778017, -111.7717651)",2613.28515625
"(41.377886524999994, -111.771749825)",2608.306396484375
"(41.377971349999996, -111.77173454999999)",2603.27783203125
"(41.378056175, -111.771719275)",2599.112060546875
"(41.378141, -111.771704)",2595.23876953125
"(41.378265999999996, -111.771639)",2591.88427734375
"(41.378391, -111.771574)",2590.1630859375
"(41.3784586875, -111.77154135)",2590.205078125
"(41.378526375, -111.7715087)",2590.7548828125
"(41.3785940625, -111.77147605)",2591.37744140625
"(41.37866175, -111.77144340000001)",2592.221923828125
"(41.3787294375, -111.77141075)",2594.1689453125
"(41.378797125, -111.7713781)",2595.8701171875
"(41.3788648125, -111.77134545000001)",2597.272705078125
"(41.3789325, -111.7713128)",2597.725341796875
"(41.379003587499994, -111.7713315625)",2598.1181640625
"(41.379074675, -111.771350325)",2598.177001953125
"(41.3791457625, -111.7713690875)",2597.430419921875
"(41.37921685, -111.77138785)",2595.8544921875
"(41.379287937499996, -111.7714066125)",2592.9111328125
"(41.379359025, -111.771425375)",2590.019775390625
"(41.3794301125, -111.7714441375)",2587.714111328125
"(41.3795012, -111.7714629)",2586.26611328125
"(41.3795283625, -111.7715457125)",2585.390625
"(41.379555525, -111.77162852500001)",2584.585205078125
"(41.379582687500005, -111.77171133750001)",2583.83837890625
