,coordinates,elevation
0,"(37.624435, -107.8164212)",2842.92578125
1,"(37.6243888, -107.81635213749999)",2842.522705078125
2,"(37.6243426, -107.816283075)",2842.11376953125
3,"(37.6242964, -107.8162140125)",2841.7119140625
4,"(37.6242502, -107.81614495)",2841.0830078125
5,"(37.624204, -107.81607588749999)",2840.420654296875
6,"(37.6241578, -107.81600682499999)",2839.38720703125
7,"(37.6241116, -107.8159377625)",2838.166259765625
8,"(37.6240654, -107.8158687)",2836.601318359375
9,"(37.6240654, -107.815729225)",2829.9619140625
10,"(37.6240654, -107.81558975)",2820.88330078125
11,"(37.6240654, -107.815450275)",2812.97705078125
12,"(37.6240654, -107.8153108)",2806.786376953125
13,"(37.624006975, -107.81525045000001)",2804.73681640625
14,"(37.623948549999994, -107.8151901)",2802.421875
15,"(37.623890124999996, -107.81512975)",2799.775390625
16,"(37.6238317, -107.8150694)",2796.889892578125
17,"(37.623773275, -107.81500905)",2793.684326171875
18,"(37.62371485, -107.8149487)",2790.24169921875
19,"(37.623656425, -107.81488835)",2786.23291015625
20,"(37.623598, -107.814828)",2782.803955078125
21,"(37.623539575, -107.81476765000001)",2779.88818359375
22,"(37.62348115, -107.81470730000001)",2777.645751953125
23,"(37.623422725000005, -107.81464695000001)",2775.502685546875
24,"(37.623364300000006, -107.81458660000001)",2773.244140625
25,"(37.62330587500001, -107.81452625000001)",2770.895263671875
26,"(37.62324745000001, -107.81446590000002)",2768.226318359375
27,"(37.623189025, -107.81440555)",2765.411865234375
28,"(37.6231306, -107.8143452)",2762.389892578125
29,"(37.6231178625, -107.81422717500001)",2756.569091796875
30,"(37.623105125, -107.81410915000001)",2749.64306640625
31,"(37.6230923875, -107.813991125)",2741.517578125
32,"(37.62307965, -107.8138731)",2732.595703125
33,"(37.6230669125, -107.81375507499999)",2723.106689453125
34,"(37.623054175, -107.81363705)",2711.27880859375
35,"(37.6230414375, -107.813519025)",2699.630859375
36,"(37.6230287, -107.813401)",2693.536376953125
0,"(37.617559, -107.8267865)",3173.217041015625
1,"(37.61752715, -107.826637)",3173.033203125
2,"(37.6174953, -107.8264875)",3172.84228515625
3,"(37.61746345, -107.82633799999999)",3172.6513671875
4,"(37.6174316, -107.8261885)",3172.4697265625
5,"(37.6174302, -107.8261817)",3172.462158203125
6,"(37.6174541, -107.82610023125001)",3172.09716796875
7,"(37.617478000000006, -107.82601876250001)",3171.5751953125
8,"(37.61750190000001, -107.82593729375)",3170.739013671875
9,"(37.6175258, -107.825855825)",3169.38330078125
10,"(37.6175497, -107.82577435625001)",3167.48876953125
11,"(37.6175736, -107.8256928875)",3165.478271484375
12,"(37.6175975, -107.82561141875)",3163.488037109375
13,"(37.617621400000004, -107.82552995)",3161.44580078125
14,"(37.61764530000001, -107.82544848125)",3159.397216796875
15,"(37.6176692, -107.82536701250001)",3157.47265625
16,"(37.6176931, -107.82528554375)",3155.594482421875
17,"(37.617717, -107.825204075)",3153.705810546875
18,"(37.6177409, -107.82512260625)",3151.822998046875
19,"(37.6177648, -107.8250411375)",3149.978271484375
20,"(37.617788700000006, -107.82495966875)",3148.13818359375
21,"(37.6178126, -107.8248782)",3146.4560546875
22,"(37.617884625, -107.8247927)",3144.005615234375
