coordinates,elevation
"(44.9351497, -70.5091522)",1217.86
"(44.9352425, -70.509089)",1216.99
"(44.9353353, -70.5090258)",1216.34
"(44.9354281, -70.5089626)",1215.15
"(44.9355209, -70.5088994)",1214.17
"(44.93557705, -70.5088181)",1214.47
"(44.9356332, -70.5087368)",1214.36
"(44.93574545, -70.50866565)",1212.67
"(44.9358577, -70.5085945)",1211.46
"(44.9359325, -70.50852335)",1210.77
"(44.9360073, -70.5084522)",1209.23
"(44.93605625, -70.508355)",1208.42
"(44.9361052, -70.5082578)",1207.03
"(44.93615555, -70.50817225)",1206.12
"(44.9362059, -70.5080867)",1204.90
"(44.93625625, -70.50800115)",1204.59
"(44.9363066, -70.5079156)",1203.51
"(44.93639078, -70.50778755)",1203.66
"(44.93647495, -70.5076595)",1203.04
"(44.93655913, -70.50753145)",1201.15
"(44.9366433, -70.5074034)",1199.04
"(44.93669485, -70.5073027)",1198.43
"(44.9367464, -70.507202)",1196.96
"(44.93679795, -70.5071013)",1196.68
"(44.9368495, -70.5070006)",1196.08
"(44.93690125, -70.50687487)",1197.17
"(44.936953, -70.50674915)",1198.07
"(44.93700475, -70.50662342)",1198.43
"(44.9370565, -70.5064977)",1198.55
"(44.9371353, -70.50636357)",1198.32
"(44.9372141, -70.50622945)",1198.18
"(44.9372929, -70.50609533)",1198.35
"(44.9373717, -70.5059612)",1199.07
"(44.93741779, -70.50588993)",1199.07
"(44.93746387, -70.50581865)",1198.93
"(44.93750996, -70.50574737)",1198.84
"(44.93755605, -70.5056761)",1198.62
"(44.93760214, -70.50560483)",1197.62
"(44.93764823, -70.50553355)",1196.54
"(44.93769431, -70.50546227)",1196.53
"(44.9377404, -70.505391)",1196.12
"(44.9377882, -70.5053171)",1195.54
"(44.9378708, -70.50517)",1196.55
"(44.93793195, -70.5051121)",1197.12
"(44.9379931, -70.5050542)",1197.53
"(44.9380923, -70.5049832)",1196.69
"(44.9381518, -70.50486765)",1197.51
"(44.9382113, -70.5047521)",1197.55
"(44.9382948, -70.504633)",1197.71
"(44.9383783, -70.5045139)",1198.40
"(44.93849565, -70.50444735)",1197.77
"(44.938613, -70.5043808)",1197.48
"(44.93873365, -70.5043236)",1197.88
"(44.9388543, -70.5042664)",1197.53
"(44.93891588, -70.5042187)",1196.74
"(44.93897745, -70.504171)",1196.41
"(44.93903902, -70.5041233)",1196.22
"(44.9391006, -70.5040756)",1196.11
"(44.93916217, -70.5040279)",1195.93
"(44.93922375, -70.5039802)",1195.86
"(44.93928533, -70.5039325)",1195.56
"(44.9393469, -70.5038848)",1195.92
"(44.9393469, -70.5038848)",1195.92
"(44.93942095, -70.5038513)",1195.67
"(44.939495, -70.5038178)",1196.00
"(44.9396061, -70.50378425)",1194.22
"(44.9397172, -70.5037507)",1193.71
"(44.939814, -70.5037266)",1192.98
"(44.9398994, -70.5037453)",1190.73
"(44.9399589, -70.50384715)",1186.36
"(44.9400184, -70.503949)",1183.48
"(44.94009775, -70.50402838)",1180.69
"(44.9401771, -70.50410775)",1177.25
"(44.94025645, -70.50418713)",1173.39
"(44.9403358, -70.5042665)",1168.94
"(44.9404091, -70.5042584)",1166.89
"(44.9404796, -70.504293)",1163.90
"(44.9405228, -70.504358)",1160.82
"(44.9405592, -70.5044539)",1157.52
"(44.9405956, -70.5045498)",1153.96
"(44.94066395, -70.5045887)",1150.41
"(44.9407323, -70.5046276)",1146.91
"(44.94080065, -70.5046665)",1143.25
"(44.940869, -70.5047054)",1139.58
"(44.94093735, -70.5047443)",1135.81
"(44.9410057, -70.5047832)",1132.02
"(44.94107405, -70.5048221)",1128.34
"(44.9411424, -70.504861)",1125.53
"(44.9412427, -70.5048533)",1122.68
"(44.941343, -70.5048456)",1118.92
"(44.94139727, -70.5049755)",1113.72
"(44.94145155, -70.5051054)",1108.46
"(44.94150582, -70.5052353)",1102.98
"(44.9415601, -70.5053652)",1096.11
"(44.9416474, -70.5054135)",1090.15
"(44.9417347, -70.5054618)",1085.50
"(44.94180495, -70.50546715)",1082.79
"(44.9418752, -70.5054725)",1079.82
"(44.94194545, -70.50547785)",1077.15
"(44.9420157, -70.5054832)",1074.39
"(44.94206045, -70.50556622)",1070.22
"(44.9421052, -70.50564925)",1066.24
"(44.94214995, -70.50573227)",1062.18
"(44.9421947, -70.5058153)",1057.88
"(44.94223197, -70.50591175)",1053.34
"(44.94226925, -70.5060082)",1048.78
