coordinates,elevation
"(41.1973355, -111.8580829)",2382.67138671875
"(41.19740415, -111.8580507)",2382.21533203125
"(41.1974728, -111.8580185)",2381.6796875
"(41.197567649999996, -111.85799302500001)",2380.696533203125
"(41.1976625, -111.85796755000001)",2379.251220703125
"(41.19775735, -111.85794207500001)",2377.6552734375
"(41.1978522, -111.85791660000001)",2375.984375
"(41.197947049999996, -111.85789112500001)",2374.49755859375
"(41.1980419, -111.85786565000001)",2373.18701171875
"(41.19813675, -111.857840175)",2371.953125
"(41.1982316, -111.8578147)",2370.6318359375
"(41.198272, -111.857761)",2369.616943359375
"(41.1982639, -111.8576967)",2369.0390625
"(41.1982235, -111.8576323)",2368.788818359375
"(41.19816095, -111.85758132500001)",2368.704833984375
"(41.1980984, -111.85753035)",2368.469482421875
"(41.19803585, -111.857479375)",2368.3115234375
"(41.1979733, -111.8574284)",2368.047607421875
"(41.1979491, -111.8573533)",2367.0185546875
"(41.1979733, -111.8572782)",2365.570068359375
"(41.1980298, -111.8572568)",2364.7353515625
"(41.198150874999996, -111.857275575)",2364.1962890625
"(41.19827195, -111.85729435)",2363.72119140625
"(41.198393025, -111.857313125)",2363.355712890625
"(41.1985141, -111.8573319)",2362.72802734375
"(41.1985908, -111.85736945)",2361.7724609375
"(41.1986675, -111.857407)",2359.822021484375
"(41.1987442, -111.85744455)",2356.9462890625
"(41.1988209, -111.8574821)",2354.805908203125
"(41.1989016, -111.8574713)",2353.088134765625
"(41.1989662, -111.8574445)",2352.043701171875
"(41.1990308, -111.8574177)",2351.297607421875
"(41.1991115, -111.8573211)",2350.8310546875
"(41.1992084, -111.8572514)",2350.052490234375
"(41.1993053, -111.8571817)",2349.396728515625
"(41.199434600000004, -111.85713204999999)",2347.68798828125
"(41.1995639, -111.8570824)",2345.643798828125
"(41.199680875, -111.857037475)",2343.882080078125
"(41.199797849999996, -111.85699255)",2342.108642578125
"(41.19991482499999, -111.856947625)",2340.470458984375
"(41.2000318, -111.8569027)",2338.819580078125
"(41.2001529, -111.85684905000001)",2336.55126953125
"(41.200274, -111.85679540000001)",2334.5234375
"(41.2003951, -111.85674175)",2333.254638671875
"(41.2005162, -111.8566881)",2332.29833984375
"(41.2006211, -111.8566989)",2331.29443359375
"(41.2006534, -111.8567311)",2330.476806640625
"(41.2006615, -111.8568062)",2329.096435546875
"(41.20063725, -111.8569081)",2327.642822265625
"(41.200613, -111.85701)",2326.38916015625
"(41.200542375, -111.85714680000001)",2325.873291015625
"(41.20047175, -111.8572836)",2325.638671875
"(41.200401125, -111.8574204)",2325.576904296875
"(41.2003305, -111.8575572)",2325.448974609375
"(41.200278, -111.8576752)",2324.76171875
"(41.2002255, -111.8577932)",2323.5087890625
"(41.20011855, -111.8578522)",2324.65234375
"(41.200011599999996, -111.8579112)",2324.55712890625
"(41.19990464999999, -111.85797020000001)",2323.136474609375
"(41.1997977, -111.8580292)",2320.616943359375
"(41.19972505, -111.85811505000001)",2317.46435546875
"(41.1996524, -111.8582009)",2315.639404296875
"(41.199604, -111.8583189)",2314.717041015625
"(41.1995929, -111.8584396)",2313.8046875
"(41.199581800000004, -111.8585603)",2312.961669921875
"(41.1995707, -111.85868099999999)",2312.11279296875
"(41.1995596, -111.8588017)",2311.20703125
"(41.1995485, -111.85892240000001)",2310.131103515625
"(41.1995374, -111.85904310000001)",2308.964599609375
"(41.1995263, -111.8591638)",2307.5673828125
"(41.1995152, -111.8592845)",2305.976318359375
"(41.1995362, -111.85941249999999)",2304.325439453125
"(41.1995572, -111.8595405)",2303.189697265625
"(41.1995846, -111.85970755)",2302.75732421875
"(41.199612, -111.8598746)",2303.969970703125
"(41.1996766, -111.8600248)",2305.595458984375
"(41.199745199999995, -111.8600677)",2306.38916015625
"(41.1998138, -111.8601106)",2307.051025390625
"(41.19990665, -111.8601321)",2307.40673828125
"(41.1999995, -111.8601536)",2307.453369140625
"(41.20008125, -111.86017855)",2307.376220703125
"(41.200163, -111.8602035)",2307.20361328125
"(41.2004524, -111.8660317)",2411.69384765625
"(41.200346275, -111.86606929999999)",2413.73046875
"(41.20024015, -111.8661069)",2415.9990234375
"(41.200134025, -111.8661445)",2418.12646484375
"(41.2000279, -111.8661821)",2420.060546875
"(41.199959275, -111.866214275)",2421.23779296875
"(41.19989065, -111.86624645)",2422.02001953125
"(41.199822025, -111.866278625)",2422.744140625
"(41.1997534, -111.8663108)",2423.491943359375
"(41.19964845, -111.86639124999999)",2426.078369140625
"(41.1995435, -111.8664717)",2430.36669921875
"(41.1994628, -111.8664932)",2433.05615234375
"(41.1993821, -111.8664717)",2433.521240234375
"(41.19928925, -111.8664288)",2432.750732421875
"(41.1991964, -111.8663859)",2431.7802734375
"(41.1991318, -111.8663752)",2431.423583984375
"(41.1990753, -111.8664288)",2432.0810546875
"(41.199043, -111.86653075)",2433.68603515625
"(41.1990107, -111.8666327)",2434.996337890625
"(41.1989381, -111.8667507)",2436.227294921875
"(41.19886545, -111.8667668)",2436.091064453125
"(41.1987928, -111.8667829)",2436.319091796875
"(41.198717112500006, -111.86678155000001)",2436.455810546875
"(41.198641425000005, -111.86678020000001)",2436.8740234375
"(41.198565737500005, -111.86677885)",2437.65966796875
"(41.198490050000004, -111.86677750000001)",2438.760498046875
"(41.1984143625, -111.86677615)",2439.78125
"(41.198338675, -111.8667748)",2440.75830078125
"(41.1982629875, -111.86677345000001)",2441.678955078125
"(41.1981873, -111.8667721)",2442.48779296875
"(41.1981066, -111.8668472)",2443.93603515625
"(41.1980259, -111.8669223)",2445.084716796875
"(41.1979532, -111.8669545)",2445.939453125
"(41.1978563, -111.8669223)",2446.4091796875
"(41.1977756, -111.8668526)",2445.56787109375
"(41.1976949, -111.8667829)",2444.8154296875
"(41.197624250000004, -111.866756075)",2445.3447265625
"(41.197553600000006, -111.86672924999999)",2446.011962890625
"(41.19748295000001, -111.866702425)",2446.44384765625
"(41.1974123, -111.8666756)",2446.86572265625
"(41.197329550000006, -111.866603175)",2446.799072265625
"(41.1972468, -111.86653075)",2448.1083984375
"(41.19716405, -111.866458325)",2450.423095703125
"(41.1970813, -111.8663859)",2452.014404296875
"(41.19697635, -111.8663591)",2453.621337890625
"(41.1968714, -111.8663323)",2454.5771484375
"(41.19678865, -111.86634035)",2455.703857421875
"(41.1967059, -111.86634839999999)",2457.1044921875
"(41.19662315, -111.86635645)",2458.762939453125
"(41.1965404, -111.8663645)",2460.54296875
"(41.1964516, -111.86634839999999)",2462.779052734375
"(41.1963628, -111.8663323)",2466.415771484375
"(41.19624175, -111.8662572)",2468.4345703125
"(41.1961207, -111.8661821)",2467.805419921875
"(41.196052075, -111.8661821)",2468.257080078125
