coordinates,elevation
"(39.1899569, -106.9654012)",3089.82
"(39.19000264, -106.96530195)",3088.03
"(39.19004837, -106.9652027)",3086.13
"(39.19009411, -106.96510345)",3082.04
"(39.19013985, -106.9650042)",3078.44
"(39.19018559, -106.96490495)",3075.88
"(39.19023132, -106.9648057)",3074.37
"(39.19027706, -106.96470645)",3072.39
"(39.1903228, -106.9646072)",3069.76
"(39.1904101, -106.96451602)",3066.35
"(39.1904974, -106.96442485)",3065.00
"(39.1905847, -106.96433368)",3063.61
"(39.190672, -106.9642425)",3061.73
"(39.19071774, -106.96417812)",3060.28
"(39.19076347, -106.96411375)",3058.62
"(39.19080921, -106.96404938)",3056.79
"(39.19085495, -106.963985)",3055.27
"(39.19090069, -106.96392063)",3054.13
"(39.19094642, -106.96385625)",3053.14
"(39.19099216, -106.96379187)",3052.03
"(39.1910379, -106.9637275)",3050.73
"(39.19111274, -106.96358534)",3046.87
"(39.19118758, -106.96344318)",3042.58
"(39.19126241, -106.96330101)",3039.74
"(39.19133725, -106.96315885)",3038.10
"(39.19141209, -106.96301669)",3035.26
"(39.19148693, -106.96287452)",3031.30
"(39.19156176, -106.96273236)",3027.64
"(39.1916366, -106.9625902)",3023.83
"(39.19171975, -106.96253655)",3020.45
"(39.1918029, -106.9624829)",3017.04
"(39.1918944, -106.96249365)",3014.44
"(39.1919859, -106.9625044)",3011.99
"(39.19206905, -106.96252585)",3010.15
"(39.1921522, -106.9625473)",3008.31
"(39.19224365, -106.96260095)",3006.60
"(39.1923351, -106.9626546)",3005.13
"(39.19242655, -106.96270825)",3003.65
"(39.192518, -106.9627619)",3002.15
"(39.19264275, -106.9627941)",2999.40
"(39.1927675, -106.9628263)",2996.38
"(39.19284234, -106.96282093)",2994.47
"(39.19291718, -106.96281555)",2992.78
"(39.19299201, -106.96281018)",2991.33
"(39.19306685, -106.9628048)",2989.85
"(39.19314169, -106.96279943)",2988.23
"(39.19321652, -106.96279405)",2986.48
"(39.19329136, -106.96278867)",2984.70
"(39.1933662, -106.9627833)",2982.84
"(39.19345765, -106.96276185)",2980.99
"(39.1935491, -106.9627404)",2979.47
"(39.19364055, -106.96271895)",2977.97
"(39.193732, -106.9626975)",2976.03
"(39.19381307, -106.96264386)",2973.43
"(39.19389415, -106.96259023)",2970.42
"(39.19397523, -106.96253659)",2967.72
"(39.1940563, -106.96248295)",2965.27
"(39.19413737, -106.96242931)",2962.73
"(39.19421845, -106.96237568)",2959.98
"(39.19429953, -106.96232204)",2957.25
"(39.1943806, -106.9622684)",2954.58
"(39.19444193, -106.96221609)",2952.36
"(39.19450325, -106.96216377)",2950.18
"(39.19456458, -106.96211146)",2947.97
"(39.1946259, -106.96205915)",2945.64
"(39.19468723, -106.96200684)",2943.19
"(39.19474855, -106.96195453)",2940.41
"(39.19480988, -106.96190221)",2936.82
"(39.1948712, -106.9618499)",2932.79
"(39.19494239, -106.96181034)",2929.10
"(39.19501359, -106.96177078)",2926.66
"(39.19508478, -106.96173121)",2924.69
"(39.19515598, -106.96169165)",2922.83
"(39.19522717, -106.96165209)",2920.98
"(39.19529836, -106.96161253)",2919.15
"(39.19536956, -106.96157296)",2917.26
"(39.19544075, -106.9615334)",2915.23
"(39.19551194, -106.96149384)",2912.92
"(39.19558314, -106.96145428)",2910.46
"(39.19565433, -106.96141471)",2908.04
"(39.19572553, -106.96137515)",2905.69
"(39.19579672, -106.96133559)",2903.39
"(39.19586791, -106.96129602)",2901.27
"(39.19593911, -106.96125646)",2899.22
"(39.1960103, -106.9612169)",2897.15
"(39.19610384, -106.96114381)",2894.24
"(39.19619737, -106.96107072)",2891.38
"(39.19629091, -106.96099764)",2888.40
"(39.19638445, -106.96092455)",2885.44
"(39.19647799, -106.96085146)",2882.41
"(39.19657152, -106.96077837)",2879.13
"(39.19666506, -106.96070529)",2875.10
"(39.1967586, -106.9606322)",2870.84
"(39.19685214, -106.96055911)",2866.35
"(39.19694567, -106.96048602)",2861.14
"(39.19703921, -106.96041294)",2855.96
"(39.19713275, -106.96033985)",2851.28
"(39.19722629, -106.96026676)",2846.84
"(39.19731982, -106.96019367)",2842.37
"(39.19741336, -106.96012059)",2837.23
"(39.1975069, -106.9600475)",2832.57
"(39.19759421, -106.9599563)",2829.91
"(39.19768153, -106.9598651)",2828.72
"(39.19776884, -106.9597739)",2827.77
"(39.19785615, -106.9596827)",2827.00
"(39.19794346, -106.9595915)",2826.43
"(39.19803077, -106.9595003)",2825.82
"(39.19811809, -106.9594091)",2825.04
"(39.1982054, -106.9593179)",2824.33
"(39.19830932, -106.95922939)",2823.32
"(39.19841325, -106.95914088)",2822.21
"(39.19851717, -106.95905236)",2820.96
"(39.1986211, -106.95896385)",2819.43
"(39.19872503, -106.95887534)",2817.00
"(39.19882895, -106.95878683)",2812.70
"(39.19893287, -106.95869831)",2808.02
"(39.1990368, -106.9586098)",2802.28
"(39.19913398, -106.95854409)",2796.10
"(39.19923115, -106.95847837)",2791.57
"(39.19932833, -106.95841266)",2787.96
"(39.1994255, -106.95834695)",2784.07
"(39.19952268, -106.95828124)",2780.40
"(39.19961985, -106.95821552)",2776.88
"(39.19971702, -106.95814981)",2772.68
"(39.1998142, -106.9580841)",2768.40
"(39.1999015, -106.95801436)",2764.35
"(39.1999888, -106.95794462)",2760.19
"(39.2000761, -106.95787489)",2757.15
"(39.2001634, -106.95780515)",2755.41
"(39.2002507, -106.95773541)",2753.80
"(39.200338, -106.95766568)",2751.41
"(39.2004253, -106.95759594)",2749.08
"(39.2005126, -106.9575262)",2747.65
"(39.2005874, -106.95738675)",2744.66
"(39.2006622, -106.9572473)",2738.79
"(39.20070377, -106.95708635)",2731.79
"(39.20074535, -106.9569254)",2727.10
"(39.20078693, -106.95676445)",2722.36
"(39.2008285, -106.9566035)",2719.48
"(39.2008784, -106.95650695)",2718.40
"(39.2009283, -106.9564104)",2717.64
"(39.20103845, -106.9563192)",2716.22
"(39.2011486, -106.956228)",2714.30
"(39.1983218, -106.968137)",2870.82
"(39.19838623, -106.96816785)",2870.22
"(39.19845066, -106.9681987)",2869.55
"(39.19851509, -106.96822955)",2868.87
"(39.19857952, -106.9682604)",2868.20
"(39.19864396, -106.96829125)",2867.52
"(39.19870839, -106.9683221)",2866.64
"(39.19877282, -106.96835295)",2865.67
"(39.19883725, -106.9683838)",2864.65
"(39.19890168, -106.96841465)",2863.72
"(39.19896611, -106.9684455)",2862.80
"(39.19903054, -106.96847635)",2861.88
"(39.19909497, -106.9685072)",2860.90
"(39.19915941, -106.96853805)",2859.88
"(39.19922384, -106.9685689)",2858.85
"(39.19928827, -106.96859975)",2857.82
"(39.1993527, -106.9686306)",2856.74
"(39.1994691, -106.96864668)",2854.69
"(39.1995855, -106.96866275)",2851.55
"(39.1997019, -106.96867882)",2848.27
"(39.1998183, -106.9686949)",2845.10
"(39.19994302, -106.96865735)",2841.72
"(39.20006775, -106.9686198)",2837.62
"(39.20019248, -106.96858225)",2833.60
"(39.2003172, -106.9685447)",2829.70
"(39.20040035, -106.9685018)",2827.05
"(39.2004835, -106.9684589)",2824.32
"(39.20056665, -106.968416)",2821.61
"(39.2006498, -106.9683731)",2819.05
"(39.20071452, -106.9683076)",2817.35
"(39.20077925, -106.9682421)",2815.97
"(39.20084397, -106.9681766)",2814.64
"(39.2009087, -106.9681111)",2813.11
"(39.199229, -106.9609743)",2811.00
"(39.19933245, -106.96095615)",2809.56
"(39.1994359, -106.960938)",2808.10
"(39.19953567, -106.96098627)",2806.48
"(39.19963545, -106.96103455)",2804.37
"(39.19973522, -106.96108283)",2801.96
"(39.199835, -106.9611311)",2799.40
"(39.19988072, -106.9612062)",2798.11
"(39.19992645, -106.9612813)",2796.87
"(39.19997217, -106.9613564)",2795.70
"(39.2000179, -106.9614315)",2794.75
"(39.20010105, -106.9614637)",2793.03
"(39.2001842, -106.9614959)",2791.42
"(39.2002839, -106.9614959)",2789.25
"(39.20036496, -106.96144761)",2787.07
"(39.20044603, -106.96139933)",2784.84
"(39.20052709, -106.96135104)",2782.75
"(39.20060815, -106.96130275)",2780.78
"(39.20068921, -106.96125446)",2778.97
"(39.20077027, -106.96120618)",2777.17
"(39.20085134, -106.96115789)",2775.39
"(39.2009324, -106.9611096)",2773.48
"(39.20103218, -106.96116325)",2770.99
"(39.20113195, -106.9612169)",2767.89
"(39.20123172, -106.96127055)",2764.12
"(39.2013315, -106.9613242)",2760.51
"(39.2014479, -106.96123838)",2757.04
"(39.2015643, -106.96115255)",2754.16
"(39.2016807, -106.96106672)",2751.49
"(39.2017971, -106.9609809)",2749.03
"(39.20190765, -106.96100322)",2746.65
"(39.2020182, -106.96102555)",2744.58
"(39.20212875, -106.96104787)",2742.92
"(39.2022393, -106.9610702)",2741.45
"(39.1890891, -106.9629509)",3024.31
"(39.18915195, -106.9629087)",3022.97
"(39.1892148, -106.9628665)",3021.66
"(39.18931043, -106.96282493)",3020.11
"(39.18940605, -106.96278335)",3018.53
"(39.18950168, -106.96274177)",3016.55
"(39.1895973, -106.9627002)",3014.43
"(39.18969293, -106.96265863)",3012.39
"(39.18978855, -106.96261705)",3010.75
"(39.18988418, -106.96257547)",3009.38
"(39.1899798, -106.9625339)",3007.98
"(39.1900276, -106.96246685)",3006.76
"(39.1900754, -106.9623998)",3005.48
"(39.1901232, -106.96233275)",3004.10
"(39.190171, -106.9622657)",3002.66
"(39.1902053, -106.96218925)",3001.37
"(39.1902396, -106.9621128)",2999.71
"(39.1902739, -106.96203635)",2997.19
"(39.1903082, -106.9619599)",2994.23
"(39.1903425, -106.96188345)",2991.42
"(39.1903768, -106.961807)",2988.99
"(39.1904111, -106.96173055)",2986.87
"(39.1904454, -106.9616541)",2985.05
"(39.1905005, -106.96158169)",2982.91
"(39.1905556, -106.96150927)",2980.69
"(39.1906107, -106.96143686)",2978.30
"(39.1906658, -106.96136445)",2975.47
"(39.1907209, -106.96129204)",2972.35
"(39.190776, -106.96121963)",2969.25
"(39.1908311, -106.96114721)",2966.41
"(39.1908862, -106.9610748)",2964.10
"(39.19097246, -106.96099299)",2962.43
"(39.19105873, -106.96091118)",2961.29
"(39.19114499, -106.96082936)",2960.13
"(39.19123125, -106.96074755)",2958.72
"(39.19131751, -106.96066574)",2957.25
"(39.19140377, -106.96058393)",2955.98
"(39.19149004, -106.96050211)",2954.93
"(39.1915763, -106.9604203)",2953.94
"(39.19165945, -106.96035861)",2953.18
"(39.1917426, -106.96029692)",2952.58
"(39.19182575, -106.96023524)",2952.34
"(39.1919089, -106.96017355)",2951.31
"(39.19199205, -106.96011186)",2950.65
"(39.1920752, -106.96005018)",2949.65
"(39.19215835, -106.95998849)",2948.28
"(39.1922415, -106.9599268)",2946.82
"(39.19230179, -106.95987315)",2944.82
"(39.19236208, -106.9598195)",2942.94
"(39.19242236, -106.95976585)",2941.18
"(39.19248265, -106.9597122)",2939.93
"(39.19254294, -106.95965855)",2938.80
"(39.19260322, -106.9596049)",2937.77
"(39.19266351, -106.95955125)",2936.67
"(39.1927238, -106.9594976)",2935.42
"(39.1927924, -106.9594842)",2935.24
"(39.192861, -106.9594708)",2934.82
"(39.1929296, -106.9594574)",2934.18
"(39.1929982, -106.959444)",2933.20
"(39.193123, -106.9595084)",2932.11
"(39.19322275, -106.9595942)",2930.48
"(39.1933225, -106.95968)",2927.34
"(39.19338488, -106.95977387)",2925.19
"(39.19344725, -106.95986775)",2923.23
"(39.19350963, -106.95996163)",2921.72
"(39.193572, -106.9600555)",2920.73
"(39.1936593, -106.96009845)",2917.96
"(39.1937466, -106.9601414)",2915.49
"(39.1938699, -106.9601274)",2912.08
"(39.1921854, -106.9620752)",3000.61
"(39.1922644, -106.96193975)",2994.80
"(39.1923434, -106.9618043)",2988.98
"(39.1924224, -106.96166885)",2983.90
"(39.1925014, -106.9615334)",2978.85
"(39.1925804, -106.96139795)",2973.80
"(39.1926594, -106.9612625)",2968.70
"(39.1927384, -106.96112705)",2964.05
"(39.1928174, -106.9609916)",2960.53
"(39.19287975, -106.9609165)",2958.20
"(39.1929421, -106.9608414)",2955.98
"(39.19300445, -106.9607663)",2953.80
"(39.1930668, -106.9606912)",2951.15
"(39.19316719, -106.96062073)",2947.01
"(39.19326758, -106.96055025)",2943.04
"(39.19336796, -106.96047978)",2938.99
"(39.19346835, -106.9604093)",2934.30
"(39.19356874, -106.96033883)",2929.57
"(39.19366912, -106.96026835)",2923.14
"(39.19376951, -106.96019788)",2916.11
"(39.1938699, -106.9601274)",2912.08
"(39.19394043, -106.96008601)",2909.60
"(39.19401095, -106.96004462)",2907.00
"(39.19408148, -106.96000323)",2904.37
"(39.194152, -106.95996184)",2901.83
"(39.19422253, -106.95992045)",2899.43
"(39.19429305, -106.95987906)",2897.00
