coordinates,elevation
"(40.4534308, -106.7740604)",2760.469970703125
"(40.4535107, -106.7740904)",2760.37841796875
"(40.4536077, -106.7740704)",2760.218994140625
"(40.4537124, -106.7740229)",2759.965576171875
"(40.4537789, -106.7739479)",2759.59375
"(40.4538037, -106.7738429)",2759.53173828125
"(40.4537923, -106.7736953)",2760.086181640625
"(40.4537666, -106.77355779999999)",2760.4873046875
"(40.4537409, -106.7734203)",2760.65478515625
"(40.4537124, -106.7732978)",2760.6142578125
"(40.4536629, -106.7731752)",2760.732421875
"(40.453621049999995, -106.77309145)",2760.74267578125
"(40.4535792, -106.7730077)",2760.643798828125
"(40.45351355, -106.77290145)",2760.684814453125
"(40.4534479, -106.7727952)",2760.46142578125
"(40.4533699, -106.77269015)",2760.269775390625
"(40.4532919, -106.7725851)",2759.9619140625
"(40.4532324, -106.7725077)",2759.762451171875
"(40.4531656, -106.77248615)",2759.726806640625
"(40.4530988, -106.7724646)",2759.731201171875
"(40.453032, -106.77244304999999)",2759.393310546875
"(40.4529652, -106.7724215)",2758.971435546875
"(40.4529426, -106.7724142)",2758.808837890625
"(40.4528674, -106.7723917)",2758.188232421875
"(40.4527922, -106.7723692)",2757.694091796875
"(40.4526819, -106.7722892)",2758.079345703125
"(40.452616250000005, -106.77225545)",2758.11572265625
"(40.4525506, -106.7722217)",2758.21630859375
"(40.4524212, -106.7722017)",2757.557861328125
"(40.4523337, -106.77219545)",2756.857177734375
"(40.4522462, -106.7721892)",2756.00341796875
"(40.452136749999994, -106.7721967)",2754.48828125
"(40.4520273, -106.7722042)",2752.942138671875
"(40.45190839999999, -106.77219295)",2751.575927734375
"(40.4517895, -106.7721817)",2749.7861328125
"(40.45168674999999, -106.77214169999999)",2748.479736328125
"(40.451584, -106.7721017)",2746.945068359375
"(40.45149365, -106.77204169999999)",2745.764404296875
"(40.4514033, -106.7719817)",2744.0859375
"(40.4513405, -106.7719079)",2743.32470703125
"(40.4512777, -106.7718341)",2742.16650390625
"(40.4512358, -106.77174285000001)",2741.80322265625
"(40.4511939, -106.7716516)",2741.212158203125
"(40.4511806, -106.77155785)",2741.61669921875
"(40.4511673, -106.7714641)",2741.689208984375
"(40.45116445, -106.77134905)",2741.65185546875
"(40.4511616, -106.771234)",2741.121337890625
"(40.451154, -106.771139)",2740.318603515625
"(40.4511464, -106.771044)",2739.40673828125
"(40.4511245, -106.77095525)",2738.089111328125
"(40.4511026, -106.7708665)",2737.149169921875
"(40.451036, -106.7707264)",2735.6875
"(40.4509485, -106.7706014)",2734.732177734375
"(40.4508838, -106.7705464)",2733.9697265625
"(40.4508191, -106.7704914)",2733.76611328125
"(40.4507287, -106.77043515)",2733.216552734375
"(40.4506383, -106.7703789)",2732.899169921875
"(40.450567899999996, -106.770337625)",2732.677734375
"(40.4504975, -106.77029635)",2732.568115234375
"(40.4504271, -106.770255075)",2732.558837890625
"(40.4503567, -106.7702138)",2732.587158203125
"(40.45028155, -106.770185675)",2732.13037109375
"(40.4502064, -106.77015755)",2731.86767578125
"(40.45013125, -106.770129425)",2731.659912109375
"(40.4500561, -106.7701013)",2731.378173828125
"(40.449959525, -106.77007442499999)",2730.87158203125
"(40.449862949999996, -106.77004754999999)",2730.423095703125
"(40.449766374999996, -106.77002067499998)",2729.839599609375
"(40.4496698, -106.7699938)",2729.405517578125
"(40.44959655, -106.76997879999999)",2728.951416015625
"(40.4495233, -106.7699638)",2728.44482421875
"(40.4493901, -106.7699713)",2726.211669921875
