coordinates,elevation
"(44.5216965, -72.786615)",614.70
"(44.52177097, -72.7866673)",612.94
"(44.52184545, -72.7867196)",611.87
"(44.52191992, -72.7867719)",610.69
"(44.5219944, -72.7868242)",609.98
"(44.5221195, -72.7868805)",608.54
"(44.5222446, -72.7869368)",608.34
"(44.52233065, -72.78692605)",606.95
"(44.5224167, -72.7869153)",605.44
"(44.52250275, -72.78690455)",604.05
"(44.5225888, -72.7868938)",602.74
"(44.52271692, -72.78689112)",600.77
"(44.52284505, -72.78688845)",599.21
"(44.52297318, -72.78688578)",596.86
"(44.5231013, -72.7868831)",594.18
"(44.52321987, -72.78690187)",591.65
"(44.52333845, -72.78692065)",589.31
"(44.52345702, -72.78693942)",586.81
"(44.5235756, -72.7869582)",583.98
"(44.5236865, -72.78699307)",581.76
"(44.5237974, -72.78702795)",579.80
"(44.5239083, -72.78706283)",577.79
"(44.5240192, -72.7870977)",575.98
"(44.52410525, -72.78715403)",575.23
"(44.5241913, -72.78721035)",574.09
"(44.52427735, -72.78726668)",572.82
"(44.5243634, -72.787323)",571.85
"(44.5244638, -72.78739542)",570.80
"(44.5245642, -72.78746785)",569.77
"(44.5246646, -72.78754027)",569.06
"(44.524765, -72.7876127)",568.24
"(44.5248654, -72.78768512)",567.66
"(44.5249658, -72.78775755)",566.44
"(44.5250662, -72.78782997)",565.22
"(44.5251666, -72.7879024)",565.13
"(44.5252763, -72.787973)",564.07
"(44.525386, -72.7880436)",562.34
"(44.5254957, -72.7881142)",560.68
"(44.5256054, -72.7881848)",558.90
"(44.52571105, -72.7882528)",556.36
"(44.5258167, -72.7883208)",554.05
"(44.52588459, -72.78837176)",552.95
"(44.52595247, -72.78842273)",552.50
"(44.52602036, -72.78847369)",551.82
"(44.52608825, -72.78852465)",551.91
"(44.52615614, -72.78857561)",550.92
"(44.52622403, -72.78862657)",550.45
"(44.52629191, -72.78867754)",549.58
"(44.5263598, -72.7887285)",548.72
"(44.52647931, -72.78879152)",546.89
"(44.52659883, -72.78885455)",545.38
"(44.52671834, -72.78891757)",544.61
"(44.52683785, -72.7889806)",543.68
"(44.52695736, -72.78904363)",542.84
"(44.52707687, -72.78910665)",541.61
"(44.52719639, -72.78916968)",539.58
"(44.5273159, -72.7892327)",537.55
"(44.52739048, -72.78925953)",536.03
"(44.52746505, -72.78928635)",534.48
"(44.52753963, -72.78931317)",532.72
"(44.5276142, -72.78934)",531.00
"(44.5277404, -72.7894044)",527.71
"(44.5278666, -72.7894688)",525.07
"(44.5279431, -72.78951707)",523.56
"(44.5280196, -72.78956535)",522.70
"(44.5280961, -72.78961363)",521.69
"(44.5281726, -72.7896619)",520.18
"(44.5282376, -72.78971555)",519.38
"(44.5283026, -72.7897692)",518.24
"(44.5283676, -72.78982285)",517.68
"(44.5284326, -72.7898765)",517.02
"(44.5284957, -72.78992745)",516.07
"(44.5285588, -72.7899784)",515.34
"(44.5286219, -72.79002935)",514.32
"(44.528685, -72.7900803)",514.12
"(44.528773, -72.79010175)",513.14
"(44.528861, -72.7901232)",512.44
"(44.5289757, -72.7901125)",511.32
"(44.5290904, -72.7901018)",510.51
"(44.52917645, -72.79009643)",510.27
"(44.5292625, -72.79009105)",510.27
"(44.52934855, -72.79008568)",510.10
"(44.5294346, -72.7900803)",509.83
"(44.52952255, -72.79007495)",509.54
"(44.5296105, -72.7900696)",508.92
"(44.52969465, -72.7901125)",508.80
"(44.5297788, -72.7901554)",508.64
"(44.5298476, -72.79024125)",508.62
"(44.5299164, -72.7903271)",507.80
"(44.53000055, -72.79043435)",506.24
"(44.5300847, -72.7905416)",505.96
"(44.5302071, -72.7906167)",504.81
"(44.5303333, -72.7906382)",503.64
"(44.5304595, -72.7906597)",502.71
"(44.530529, -72.79066225)",502.36
"(44.5305985, -72.7906648)",502.15
"(44.5306747, -72.7906471)",501.89
"(44.5307509, -72.7906294)",501.73
"(44.5308352, -72.79061855)",501.59
"(44.5309195, -72.7906077)",501.25
"(44.5310302, -72.7906135)",500.56
"(44.5311409, -72.7906193)",499.68
"(44.53121805, -72.7906512)",499.47
"(44.5312952, -72.7906831)",499.32
"(44.5313983, -72.7906957)",499.32
"(44.53146465, -72.7907437)",499.83
"(44.531531, -72.7907917)",500.37
"(44.5316417, -72.7908432)",500.00
"(44.5317673, -72.7908585)",499.13
"(44.531875, -72.7908172)",498.73
"(44.5319585, -72.7907026)",497.63
"(44.5320103, -72.7905576)",496.14
"(44.5320792, -72.7904074)",494.66
"(44.5321528, -72.7902926)",494.02
"(44.5322537, -72.7902899)",494.35
"(44.5323275, -72.79035025)",495.06
"(44.5324013, -72.7904106)",496.02
"(44.5324644, -72.79044948)",496.21
"(44.5325275, -72.79048835)",496.44
"(44.5325906, -72.79052723)",497.09
"(44.5326537, -72.7905661)",497.21
"(44.53271872, -72.79059695)",497.97
"(44.53278375, -72.7906278)",498.43
"(44.53284878, -72.79065865)",498.91
"(44.5329138, -72.7906895)",499.60
"(44.5329941, -72.7906895)",499.63
"(44.5330744, -72.7906895)",499.93
"(44.5331661, -72.7905715)",498.23
"(44.5332264, -72.790461)",497.28
"(44.5332225, -72.790343)",495.66
"(44.5332044, -72.7902121)",493.66
"(44.53318525, -72.7900726)",491.56
"(44.5331661, -72.7899331)",489.83
"(44.5331601, -72.7898687)",489.26
"(44.5346392, -72.8132059)",1035.09
"(44.53456198, -72.81320393)",1032.75
"(44.53448475, -72.81320195)",1030.35
"(44.53440753, -72.81319998)",1027.43
"(44.5343303, -72.813198)",1025.60
"(44.53425028, -72.81316648)",1021.50
"(44.53417025, -72.81313495)",1017.23
"(44.53409022, -72.81310343)",1014.60
"(44.5340102, -72.8130719)",1012.86
"(44.5339063, -72.8129557)",1008.13
"(44.5338024, -72.8128395)",1004.89
"(44.5336985, -72.8127233)",1000.79
"(44.5335946, -72.8126071)",996.88
"(44.53354685, -72.81252634)",994.93
"(44.5334991, -72.81244557)",992.67
"(44.53345135, -72.81236481)",990.70
"(44.5334036, -72.81228405)",988.10
"(44.53335585, -72.81220329)",985.79
"(44.5333081, -72.81212252)",983.19
"(44.53326035, -72.81204176)",980.50
"(44.5332126, -72.811961)",977.64
"(44.5331789, -72.8118704)",974.63
"(44.5331452, -72.8117798)",971.41
"(44.5331115, -72.8116892)",968.72
"(44.5330778, -72.8115986)",966.49
"(44.5331003, -72.8115001)",964.43
"(44.5331228, -72.8114016)",962.39
"(44.533061, -72.81130705)",960.28
"(44.5329992, -72.8112125)",958.62
"(44.53290935, -72.81111402)",956.49
"(44.5328195, -72.81101555)",954.65
"(44.53272965, -72.81091708)",952.43
"(44.5326398, -72.8108186)",949.31
"(44.5325571, -72.81069835)",946.11
"(44.5324744, -72.8105781)",943.31
"(44.5323917, -72.81045785)",940.47
"(44.532309, -72.8103376)",937.81
"(44.5322195, -72.81024632)",935.06
"(44.53213, -72.81015505)",932.82
"(44.5320405, -72.81006378)",929.92
"(44.531951, -72.8099725)",926.56
"(44.5318615, -72.80988122)",924.54
"(44.531772, -72.80978995)",922.03
"(44.5316825, -72.80969868)",919.38
"(44.531593, -72.8096074)",916.69
"(44.53149595, -72.80950252)",912.75
"(44.5313989, -72.80939765)",909.94
"(44.53130185, -72.80929277)",907.92
"(44.5312048, -72.8091879)",905.42
"(44.53113575, -72.80906485)",901.98
"(44.5310667, -72.8089418)",898.99
"(44.5242896, -72.8031438)",991.81
"(44.5243495, -72.8030439)",984.15
"(44.5244094, -72.802944)",976.41
"(44.5244693, -72.8028441)",969.32
"(44.5245292, -72.8027442)",962.40
"(44.52459943, -72.80259055)",953.30
"(44.52466965, -72.8024369)",944.34
"(44.52473988, -72.80228325)",935.60
"(44.5248101, -72.8021296)",927.75
"(44.52485925, -72.80203703)",922.84
"(44.5249084, -72.80194445)",918.00
"(44.52495755, -72.80185188)",913.05
"(44.5250067, -72.8017593)",909.22
"(44.52505585, -72.80166672)",905.67
"(44.525105, -72.80157415)",901.50
"(44.52515415, -72.80148157)",896.90
"(44.5252033, -72.801389)",891.64
"(44.52524963, -72.8012846)",886.65
"(44.52529595, -72.8011802)",881.81
"(44.52534227, -72.8010758)",877.20
"(44.5253886, -72.8009714)",872.52
"(44.52546617, -72.80089587)",867.38
"(44.52554375, -72.80082035)",862.26
"(44.52562133, -72.80074482)",857.55
"(44.5256989, -72.8006693)",852.79
"(44.5205155, -72.7959033)",827.45
"(44.52063235, -72.79589825)",826.96
"(44.5207492, -72.7958932)",827.38
"(44.5208175, -72.79581)",825.30
"(44.5208858, -72.7957268)",823.54
"(44.52093255, -72.7956209)",821.46
"(44.5209793, -72.795515)",819.04
"(44.5211087, -72.7954898)",818.89
"(44.5211985, -72.7955393)",819.84
"(44.52123445, -72.79537225)",816.89
"(44.5212704, -72.7952052)",813.10
"(44.52131198, -72.7951075)",811.01
"(44.52135355, -72.7950098)",808.78
"(44.52139512, -72.7949121)",806.44
"(44.5214367, -72.7948144)",803.88
"(44.52145805, -72.794723)",801.29
"(44.5214794, -72.7946316)",798.34
"(44.52150075, -72.7945402)",795.37
"(44.5215221, -72.7944488)",792.68
"(44.52152098, -72.79426602)",787.21
"(44.52151985, -72.79408325)",781.59
"(44.52151873, -72.79390048)",775.66
"(44.5215176, -72.7937177)",771.24
"(44.52156365, -72.79357273)",768.48
"(44.5216097, -72.79342775)",765.88
"(44.52165575, -72.79328277)",761.08
"(44.5217018, -72.7931378)",755.88
"(44.5217122, -72.79304395)",752.96
"(44.5217226, -72.7929501)",750.14
"(44.521733, -72.79285625)",747.38
"(44.5217434, -72.7927624)",744.97
"(44.52175855, -72.79262545)",741.72
"(44.5217737, -72.7924885)",737.30
"(44.52177482, -72.79231832)",733.73
"(44.52177595, -72.79214815)",729.85
"(44.52177708, -72.79197798)",725.42
"(44.5217782, -72.7918078)",720.74
"(44.52181753, -72.79171798)",717.97
"(44.52185685, -72.79162815)",715.12
"(44.52189617, -72.79153833)",712.20
"(44.5219355, -72.7914485)",709.29
"(44.52199111, -72.79138469)",706.97
"(44.52204672, -72.79132087)",704.91
"(44.52210234, -72.79125706)",703.34
"(44.52215795, -72.79119325)",701.83
"(44.52221356, -72.79112944)",700.19
"(44.52226918, -72.79106562)",698.38
"(44.52232479, -72.79100181)",696.50
"(44.5223804, -72.790938)",694.66
"(44.52246466, -72.79085211)",691.59
"(44.52254893, -72.79076622)",687.94
"(44.52263319, -72.79068034)",684.04
"(44.52271745, -72.79059445)",680.18
"(44.52280171, -72.79050856)",675.83
"(44.52288598, -72.79042268)",671.26
"(44.52297024, -72.79033679)",666.58
"(44.5230545, -72.7902509)",661.47
"(44.52316854, -72.79016581)",655.50
"(44.52328257, -72.79008072)",649.99
"(44.52339661, -72.78999564)",645.06
"(44.52351065, -72.78991055)",640.11
"(44.52362469, -72.78982546)",634.71
"(44.52373873, -72.78974038)",629.31
"(44.52385276, -72.78965529)",624.71
"(44.5239668, -72.7895702)",620.74
"(44.52405274, -72.78948511)",617.51
"(44.52413867, -72.78940002)",614.14
"(44.52422461, -72.78931494)",610.27
"(44.52431055, -72.78922985)",606.45
"(44.52439649, -72.78914476)",602.30
"(44.52448243, -72.78905968)",598.44
"(44.52456836, -72.78897459)",594.89
"(44.5246543, -72.7888895)",591.44
"(44.5246908, -72.7888355)",589.67
"(44.52476327, -72.78872826)",587.05
"(44.52483575, -72.78862102)",584.63
"(44.52490823, -72.78851379)",581.71
"(44.5249807, -72.78840655)",578.26
"(44.52505317, -72.78829931)",574.79
"(44.52512565, -72.78819208)",570.53
"(44.52519813, -72.78808484)",566.82
"(44.5252706, -72.7879776)",564.24
"(44.5242724, -72.8071439)",1090.68
"(44.52431643, -72.8070191)",1087.10
"(44.52436045, -72.8068943)",1084.75
"(44.52440447, -72.8067695)",1082.08
"(44.5244485, -72.8066447)",1078.57
"(44.52450805, -72.80649)",1074.48
"(44.5245676, -72.8063353)",1067.60
"(44.52459405, -72.8061933)",1063.98
"(44.5246205, -72.8060513)",1059.58
"(44.52466422, -72.80591897)",1053.34
"(44.52470795, -72.80578665)",1046.86
"(44.52475168, -72.80565432)",1039.36
"(44.5247954, -72.805522)",1031.95
"(44.52483795, -72.80540987)",1026.40
"(44.5248805, -72.80529775)",1019.80
"(44.52492305, -72.80518563)",1014.11
"(44.5249656, -72.8050735)",1008.62
"(44.52501766, -72.80496821)",1002.49
"(44.52506973, -72.80486293)",995.76
"(44.52512179, -72.80475764)",989.02
"(44.52517385, -72.80465235)",981.83
"(44.52522591, -72.80454706)",974.82
"(44.52527798, -72.80444178)",968.33
"(44.52533004, -72.80433649)",961.94
"(44.5253821, -72.8042312)",956.61
"(44.5241943, -72.8090576)",1094.13
"(44.5242861, -72.8091273)",1091.97
"(44.5243779, -72.809197)",1088.89
