coordinates,elevation
"(43.0946629, -72.9106791)",965.4264526367188
"(43.09474362500001, -72.91058085)",964.448486328125
"(43.09482435, -72.9104826)",963.88525390625
"(43.094905075, -72.91038434999999)",963.5429077148438
"(43.0949858, -72.9102861)",963.09716796875
"(43.0950397, -72.91012825)",961.0188598632812
"(43.0950936, -72.9099704)",957.9653930664062
"(43.09513705, -72.90985515)",954.5444946289062
"(43.0951805, -72.9097399)",950.7460327148438
"(43.09523565, -72.90965985)",948.2227172851562
"(43.0952908, -72.9095798)",945.6525268554688
"(43.09534295, -72.90948215)",943.9883422851562
"(43.0953951, -72.9093845)",942.6148681640624
"(43.0954735, -72.9092939)",942.285400390625
"(43.0955519, -72.9092033)",942.8792724609376
"(43.09560156249999, -72.9091392375)",943.485595703125
"(43.095651225, -72.909075175)",942.6920166015624
"(43.0957008875, -72.9090111125)",942.9225463867188
"(43.09575055, -72.90894705)",942.0985717773438
"(43.095800212499995, -72.9088829875)",942.0494384765624
"(43.095849875, -72.90881892499999)",941.5611572265624
"(43.0958995375, -72.90875486249999)",941.736083984375
"(43.0959492, -72.9086908)",941.357666015625
"(43.09601465, -72.908604)",941.46142578125
"(43.0960801, -72.9085172)",941.4572143554688
"(43.096171075, -72.9083966)",941.4664306640624
"(43.09626205, -72.908276)",941.6586303710938
"(43.096353025, -72.9081554)",941.2470092773438
"(43.096444, -72.9080348)",941.7368774414062
"(43.0947385, -72.9170982)",1136.7269287109375
"(43.094683950000004, -72.9169311)",1135.1688232421875
"(43.0946294, -72.916764)",1134.088134765625
"(43.0945478, -72.9167043)",1133.788330078125
"(43.0944845, -72.9165469)",1131.8948974609375
"(43.0899552, -72.8999819)",751.2714233398438
"(43.089941025, -72.899837325)",748.6925048828125
"(43.08992685, -72.89969275)",745.23095703125
"(43.089912674999994, -72.899548175)",741.4071655273438
"(43.0898985, -72.8994036)",737.4122314453125
"(43.0898770375, -72.8993155)",735.640869140625
"(43.089855575, -72.8992274)",734.10107421875
"(43.0898341125, -72.8991393)",732.3779907226562
"(43.08981265, -72.8990512)",730.7861328125
"(43.0897911875, -72.8989631)",729.806640625
"(43.089769725, -72.898875)",729.06396484375
"(43.089748262499995, -72.8987869)",728.1488037109375
"(43.0897268, -72.8986988)",727.1835327148438
"(43.08968125, -72.89861645)",726.3292846679688
"(43.0896357, -72.8985341)",725.9953002929688
"(43.08959015000001, -72.89845175)",725.6514892578125
"(43.0895446, -72.8983694)",725.2459716796875
"(43.089538725, -72.89823795000001)",724.2727661132812
"(43.08953285, -72.89810650000001)",723.43505859375
"(43.089526975, -72.89797505000001)",722.3616943359375
"(43.0895211, -72.8978436)",720.6385498046875
"(43.089531875, -72.89774170000001)",719.3843994140625
"(43.08954265, -72.89763980000001)",718.2880859375
"(43.089553425, -72.8975379)",717.3914794921875
"(43.0895642, -72.897436)",716.4005737304688
"(43.0896171, -72.89727775)",714.2501220703125
"(43.08967, -72.8971195)",711.2506103515625
"(43.089764025, -72.89705512500001)",708.9066772460938
"(43.089858050000004, -72.89699075)",704.1837768554688
"(43.089952075, -72.89692637499999)",701.9571533203125
"(43.0900461, -72.896862)",700.022216796875
"(43.0901166, -72.8967547)",698.7105102539062
"(43.0901871, -72.8966474)",699.2611694335938
"(43.09021158125, -72.89646903125)",698.6319580078125
"(43.0902360625, -72.89629066250001)",697.0136108398438
"(43.09026054375, -72.89611229375001)",696.0132446289062
"(43.090285025, -72.89593392500001)",694.8351440429688
"(43.09030950625, -72.89575555625001)",693.7960205078125
"(43.0903339875, -72.89557718750001)",693.27392578125
"(43.090358468750004, -72.89539881875001)",692.219482421875
"(43.090382950000006, -72.89522045000001)",690.9992065429688
"(43.09040743125001, -72.89504208125001)",690.0767211914062
"(43.09043191250001, -72.89486371250001)",689.651123046875
"(43.09045639375, -72.89468534375001)",689.1466674804688
"(43.090480875000004, -72.89450697500001)",687.7389526367188
"(43.090505356250006, -72.89432860625001)",686.5162963867188
"(43.0905298375, -72.89415023750001)",685.6458129882812
"(43.09055431875, -72.89397186875001)",684.25634765625
"(43.0905788, -72.8937935)",681.6204223632812
"(43.090625825000004, -72.89365939999999)",679.9684448242188
"(43.090672850000004, -72.8935253)",678.634765625
"(43.090719875000005, -72.8933912)",678.125732421875
"(43.0907669, -72.8932571)",677.2798461914062
"(43.090860199999995, -72.893146625)",676.5590209960938
