coordinates,elevation
"(44.1730904, -72.9058002)",598.66
"(44.1731952, -72.9056851)",595.55
"(44.1733, -72.90557)",591.89
"(44.17332525, -72.90548175)",590.20
"(44.1733505, -72.9053935)",588.98
"(44.17337575, -72.90530525)",587.89
"(44.173401, -72.905217)",585.87
"(44.17345475, -72.9051315)",583.92
"(44.1735085, -72.905046)",581.82
"(44.17356225, -72.9049605)",579.31
"(44.173616, -72.904875)",577.41
"(44.1737105, -72.904825)",574.99
"(44.173805, -72.904775)",572.48
"(44.1739195, -72.904701)",569.19
"(44.174034, -72.904627)",566.24
"(44.1741395, -72.904525)",563.22
"(44.174245, -72.904423)",559.66
"(44.1743145, -72.90430525)",557.59
"(44.174384, -72.9041875)",554.54
"(44.1744535, -72.90406975)",552.19
"(44.174523, -72.903952)",549.70
"(44.174568, -72.9038325)",548.22
"(44.174613, -72.903713)",545.11
"(44.174658, -72.9035935)",542.99
"(44.174703, -72.903474)",541.18
"(44.17474975, -72.903382)",539.15
"(44.1747965, -72.90329)",536.55
"(44.17484325, -72.903198)",534.31
"(44.17489, -72.903106)",531.86
"(44.17495625, -72.903034)",529.70
"(44.1750225, -72.902962)",526.89
"(44.17508875, -72.90289)",524.50
"(44.175155, -72.902818)",522.38
"(44.17522075, -72.902721)",519.72
"(44.1752865, -72.902624)",517.19
"(44.17535225, -72.902527)",514.63
"(44.175418, -72.90243)",512.21
"(44.1754865, -72.90232175)",509.71
"(44.175555, -72.9022135)",507.40
"(44.1756235, -72.90210525)",505.25
"(44.175692, -72.901997)",503.28
"(44.17575625, -72.901888)",500.95
"(44.1758205, -72.901779)",497.42
"(44.17588475, -72.90167)",494.12
"(44.175949, -72.901561)",491.34
"(44.17601675, -72.9014765)",489.24
"(44.1760845, -72.901392)",487.61
"(44.17615225, -72.9013075)",486.42
"(44.17622, -72.901223)",485.57
"(44.1762915, -72.9011075)",484.38
"(44.176363, -72.900992)",483.29
"(44.1764345, -72.9008765)",481.59
"(44.176506, -72.900761)",478.88
"(44.17657675, -72.9006575)",476.41
"(44.1766475, -72.900554)",473.41
"(44.17671825, -72.9004505)",470.96
"(44.176789, -72.900347)",468.90
"(44.1768375, -72.9001945)",466.62
"(44.176886, -72.900042)",464.36
"(44.176906, -72.8998925)",462.59
"(44.176926, -72.899743)",461.39
"(44.1648099, -72.9289573)",1143.08
"(44.16486595, -72.92878815)",1141.07
"(44.164922, -72.928619)",1138.27
"(44.164956, -72.9284815)",1134.94
"(44.16499, -72.928344)",1130.65
"(44.16503075, -72.92824275)",1126.08
"(44.1650715, -72.9281415)",1120.68
"(44.16511225, -72.92804025)",1115.17
"(44.165153, -72.927939)",1109.60
"(44.1651885, -72.92785525)",1105.15
"(44.165224, -72.9277715)",1101.18
"(44.1652595, -72.92768775)",1097.56
"(44.165295, -72.927604)",1094.15
"(44.16534525, -72.9274905)",1090.06
"(44.1653955, -72.927377)",1086.16
"(44.16544575, -72.9272635)",1082.23
"(44.165496, -72.92715)",1078.19
"(44.1655445, -72.92704225)",1074.63
"(44.165593, -72.9269345)",1071.04
"(44.1656415, -72.92682675)",1067.68
"(44.16569, -72.926719)",1066.03
"(44.1657445, -72.92658475)",1059.63
"(44.165799, -72.9264505)",1054.87
"(44.1658535, -72.92631625)",1047.95
"(44.165908, -72.926182)",1040.61
"(44.16596, -72.92605175)",1033.23
"(44.166012, -72.9259215)",1025.63
"(44.166064, -72.92579125)",1018.44
"(44.166116, -72.925661)",1012.55
"(44.16616175, -72.92556475)",1008.11
"(44.1662075, -72.9254685)",1003.34
"(44.16625325, -72.92537225)",999.62
"(44.166299, -72.925276)",996.68
"(44.16634525, -72.92515025)",993.54
"(44.1663915, -72.9250245)",989.24
"(44.16643775, -72.92489875)",985.28
"(44.166484, -72.924773)",982.27
"(44.16651925, -72.9246915)",979.86
"(44.1665545, -72.92461)",978.13
"(44.16658975, -72.9245285)",976.29
"(44.166625, -72.924447)",974.04
"(44.166668, -72.92433875)",970.08
"(44.166711, -72.9242305)",966.96
"(44.166754, -72.92412225)",964.72
"(44.166797, -72.924014)",961.06
"(44.16685125, -72.92387475)",957.50
"(44.1669055, -72.9237355)",954.26
"(44.16695975, -72.92359625)",951.88
"(44.167014, -72.923457)",950.42
"(44.16705925, -72.92334925)",948.35
"(44.1671045, -72.9232415)",945.99
"(44.16714975, -72.92313375)",944.35
"(44.167195, -72.923026)",942.35
"(44.16724675, -72.92290275)",938.95
"(44.1672985, -72.9227795)",936.56
"(44.16735025, -72.92265625)",933.34
"(44.167402, -72.922533)",931.20
"(44.1674675, -72.9223735)",929.01
"(44.167533, -72.922214)",926.84
"(44.17191, -72.90978)",629.14
"(44.17191375, -72.90964512)",629.07
"(44.1719175, -72.90951025)",628.56
"(44.17192125, -72.90937537)",627.85
"(44.171925, -72.9092405)",627.35
"(44.17192875, -72.90910562)",626.73
"(44.1719325, -72.90897075)",626.32
"(44.17193625, -72.90883587)",626.07
"(44.17194, -72.908701)",625.88
"(44.1719685, -72.90857425)",625.33
"(44.171997, -72.9084475)",624.92
"(44.1720255, -72.90832075)",624.40
"(44.172054, -72.908194)",623.85
"(44.17212225, -72.9080575)",622.79
"(44.1721905, -72.907921)",621.70
"(44.17225875, -72.9077845)",620.46
"(44.172327, -72.907648)",619.25
"(44.1723785, -72.90755687)",618.36
"(44.17243, -72.90746575)",617.53
"(44.1724815, -72.90737463)",616.53
"(44.172533, -72.9072835)",615.47
"(44.1725845, -72.90719238)",614.37
"(44.172636, -72.90710125)",613.24
"(44.1726875, -72.90701012)",612.02
"(44.172739, -72.906919)",610.64
"(44.17278988, -72.90685725)",609.31
"(44.17284075, -72.9067955)",607.79
"(44.17289163, -72.90673375)",606.24
"(44.1729425, -72.906672)",604.72
"(44.17299338, -72.90661025)",603.26
"(44.17304425, -72.9065485)",601.68
"(44.17309513, -72.90648675)",600.06
"(44.173146, -72.906425)",598.17
"(44.1732579, -72.9063614)",594.62
"(44.1733698, -72.9062978)",591.15
"(44.1648099, -72.9289573)",1143.08
"(44.16491945, -72.92892015)",1142.04
"(44.165029, -72.928883)",1140.40
"(44.165106, -72.9288475)",1138.40
"(44.165183, -72.928812)",1135.70
"(44.16524525, -72.9287305)",1132.63
"(44.1653075, -72.928649)",1128.67
"(44.16536975, -72.9285675)",1124.21
"(44.165432, -72.928486)",1119.44
"(44.165475, -72.928412)",1115.77
"(44.165518, -72.928338)",1112.08
"(44.165561, -72.928264)",1108.21
"(44.165604, -72.92819)",1104.39
"(44.16566275, -72.92811025)",1099.26
"(44.1657215, -72.9280305)",1093.93
"(44.16578025, -72.92795075)",1088.05
"(44.165839, -72.927871)",1082.27
"(44.16592225, -72.9277945)",1076.38
"(44.1660055, -72.927718)",1071.57
"(44.16608875, -72.9276415)",1066.32
"(44.166172, -72.927565)",1061.95
"(44.1662715, -72.92748025)",1057.04
"(44.166371, -72.9273955)",1051.73
"(44.1664705, -72.92731075)",1044.92
"(44.16657, -72.927226)",1038.79
"(44.1666645, -72.9271725)",1034.14
"(44.166759, -72.927119)",1029.69
"(44.1668535, -72.9270655)",1025.23
"(44.166948, -72.927012)",1020.76
"(44.16702475, -72.92695425)",1017.41
"(44.1671015, -72.9268965)",1014.21
"(44.16717825, -72.92683875)",1010.86
"(44.167255, -72.926781)",1007.88
"(44.1673485, -72.92664675)",1001.39
"(44.167442, -72.9265125)",995.97
"(44.1675355, -72.92637825)",989.79
"(44.167629, -72.926244)",982.84
"(44.1676907, -72.92617625)",979.04
"(44.1677524, -72.9261085)",975.42
"(44.1764762, -72.9190867)",812.16
"(44.1764141, -72.91903785)",810.80
"(44.176352, -72.918989)",809.20
"(44.1762775, -72.9189435)",807.40
"(44.176203, -72.918898)",805.41
"(44.176097, -72.9188685)",802.93
"(44.175991, -72.918839)",799.90
"(44.1759005, -72.9188345)",797.76
"(44.17581, -72.91883)",795.56
"(44.175728, -72.9187515)",792.85
"(44.175646, -72.918673)",789.72
"(44.175634, -72.918505)",785.71
"(44.1756625, -72.9183785)",783.39
"(44.175691, -72.918252)",781.79
"(44.1757185, -72.9181395)",780.79
"(44.175746, -72.918027)",779.83
"(44.175745, -72.9179)",778.27
"(44.175744, -72.917773)",776.67
"(44.175731, -72.917672)",775.16
"(44.175718, -72.917571)",773.50
"(44.175713, -72.917469)",771.88
"(44.175694, -72.917336)",769.48
"(44.17569, -72.91723)",767.90
"(44.175696, -72.91712)",766.27
"(44.175676, -72.917)",764.11
"(44.175657, -72.91688)",762.04
"(44.175624, -72.916727)",758.72
"(44.175578, -72.916661)",756.47
"(44.175536, -72.916561)",754.07
"(44.175501, -72.916414)",751.49
"(44.175466, -72.916333)",749.66
"(44.175372, -72.916201)",745.79
"(44.175347, -72.916177)",744.79
"(44.175281, -72.916121)",742.64
"(44.175215, -72.916065)",740.13
"(44.175157, -72.915959)",737.64
"(44.175118, -72.915863)",735.22
"(44.175064, -72.915728)",732.24
"(44.175048, -72.915598)",729.52
"(44.17506, -72.915472)",728.10
"(44.175058, -72.915368)",726.61
"(44.175064, -72.915215)",724.19
"(44.175087, -72.915088)",722.12
"(44.175102, -72.914936)",718.87
"(44.175113, -72.914806)",716.20
"(44.175134, -72.914666)",714.11
"(44.175148, -72.914574)",712.36
"(44.175182, -72.914479)",711.23
"(44.1752265, -72.914388)",709.59
"(44.175271, -72.914297)",708.04
"(44.175313, -72.914173)",704.83
"(44.175336, -72.91403)",700.86
"(44.175331, -72.913892)",697.03
"(44.175271, -72.91376)",693.38
"(44.175163, -72.913687)",691.01
"(44.175056, -72.913692)",689.95
"(44.174988, -72.9137225)",689.51
"(44.17492, -72.913753)",689.02
"(44.174824, -72.913841)",687.79
"(44.174741, -72.913946)",686.62
"(44.174695, -72.914048)",686.88
"(44.1746395, -72.9141255)",686.96
"(44.174584, -72.914203)",686.35
"(44.174538, -72.914277)",686.49
"(44.174492, -72.914351)",685.66
"(44.174413, -72.91443)",684.22
"(44.174334, -72.914509)",682.25
"(44.174222, -72.91451)",679.33
"(44.174195, -72.914362)",676.00
"(44.1742125, -72.914203)",673.31
"(44.17423, -72.914044)",670.62
"(44.174218, -72.913885)",667.67
"(44.174207, -72.91371)",664.65
"(44.174194, -72.913549)",662.26
"(44.174199, -72.913381)",659.86
"(44.174174, -72.913243)",657.02
"(44.174162, -72.91309)",653.97
"(44.1741755, -72.9129945)",652.29
"(44.174189, -72.912899)",650.81
"(44.1742375, -72.9128175)",649.65
"(44.174286, -72.912736)",648.28
"(44.174312, -72.912643)",646.83
"(44.174338, -72.91255)",645.15
"(44.174341, -72.9124515)",642.96
"(44.174344, -72.912353)",640.62
"(44.174302, -72.912269)",638.49
"(44.17426, -72.912185)",636.63
"(44.1741975, -72.9120675)",633.65
"(44.174135, -72.91195)",630.43
"(44.174127, -72.91195)",630.27
"(44.174048, -72.911882)",627.92
"(44.173969, -72.911814)",624.92
"(44.173891, -72.911706)",621.00
"(44.1738805, -72.911592)",618.29
"(44.17387, -72.911478)",615.65
"(44.173912, -72.911313)",612.66
"(44.173984, -72.911214)",611.57
"(44.174056, -72.911115)",610.56
"(44.1741488, -72.9110282)",609.60
"(44.1742416, -72.9109414)",608.42
"(44.1743463, -72.9108556)",607.40
"(44.17440785, -72.91076545)",606.21
"(44.1744694, -72.9106753)",605.11
"(44.1745217, -72.9105938)",604.17
"(44.174574, -72.9105123)",602.25
"(44.1746325, -72.91043505)",601.22
"(44.174691, -72.9103578)",599.84
"(44.174763, -72.910245)",597.37
"(44.1748135, -72.9101675)",596.23
"(44.174864, -72.91009)",594.68
"(44.174962, -72.909966)",592.19
"(44.17501425, -72.9098915)",590.71
"(44.1750665, -72.909817)",589.34
"(44.1751404, -72.9096711)",586.49
"(44.1751835, -72.909508)",583.92
"(44.1751835, -72.90939645)",581.62
"(44.1751835, -72.9092849)",579.36
"(44.175176, -72.909121)",576.24
"(44.1751828, -72.90895405)",573.51
"(44.1751896, -72.9087871)",570.44
"(44.1752019, -72.90869265)",569.01
"(44.1752142, -72.9085982)",567.40
"(44.1752316, -72.9084996)",565.27
"(44.175249, -72.908401)",563.59
"(44.1752905, -72.9083255)",562.28
"(44.175332, -72.90825)",560.48
"(44.175363, -72.908206)",559.74
