coordinates,elevation
"(45.0408368, -70.3083482)",825.6010131835938
"(45.0409221, -70.3083616)",823.73486328125
"(45.0410074, -70.308375)",821.7753295898438
"(45.0411069, -70.3083549)",820.1669311523438
"(45.0412064, -70.3083348)",819.0877685546875
"(45.0413059, -70.3083147)",818.1744995117188
"(45.0414054, -70.3082946)",817.0580444335938
"(45.041502050000005, -70.308282525)",815.419677734375
"(45.0415987, -70.30827045)",813.5238037109375
"(45.04169535, -70.308258375)",811.4624633789062
"(45.041792, -70.3082463)",809.1292724609375
"(45.041882025, -70.30823960000001)",806.7199096679688
"(45.04197205, -70.30823290000001)",804.3217163085938
"(45.042062075000004, -70.30822620000001)",801.9563598632812
"(45.0421521, -70.3082195)",800.154541015625
"(45.04224495, -70.3082168)",798.5523681640625
"(45.0423378, -70.3082141)",797.2078247070312
"(45.0424619375, -70.30819733749999)",795.6904296875
"(45.042586075, -70.308180575)",793.6832885742188
"(45.0427102125, -70.3081638125)",791.1688232421875
"(45.04283435, -70.30814705)",787.9884643554688
"(45.0429584875, -70.3081302875)",784.4544067382812
"(45.043082625, -70.30811352500001)",780.3438720703125
"(45.0432067625, -70.30809676250001)",775.9346313476562
"(45.0433309, -70.30808)",771.3784790039062
"(45.0434105, -70.308067925)",768.4624633789062
"(45.0434901, -70.30805585)",765.4265747070312
"(45.0435697, -70.308043775)",761.9790649414062
"(45.0436493, -70.3080317)",759.2740478515625
"(45.0437289, -70.308019625)",756.978515625
"(45.0438085, -70.30800755)",754.764892578125
"(45.043888100000004, -70.307995475)",752.8952026367188
"(45.0439677, -70.3079834)",751.082275390625
"(45.044055825, -70.307972)",748.7998046875
"(45.044143950000006, -70.3079606)",746.2840576171875
"(45.044232075000004, -70.3079492)",743.3880615234375
"(45.0443202, -70.30793779999999)",740.332275390625
"(45.044408325, -70.30792639999999)",737.1817626953125
"(45.04449645, -70.307915)",733.9174194335938
"(45.044584575, -70.3079036)",730.3286743164062
"(45.0446727, -70.3078922)",726.994140625
"(45.044746125, -70.3078801375)",723.9938354492188
"(45.04481955, -70.307868075)",720.42919921875
"(45.044892974999996, -70.3078560125)",717.082763671875
"(45.0449664, -70.30784395)",714.408935546875
"(45.045039825, -70.3078318875)",712.0604858398438
"(45.04511325, -70.307819825)",710.0227661132812
"(45.045186675, -70.3078077625)",708.2747802734375
"(45.0452601, -70.3077957)",706.4366455078125
"(45.045376649999994, -70.30778095)",703.1156616210938
"(45.045493199999996, -70.3077662)",700.0291748046875
"(45.04560975, -70.30775145000001)",697.3189086914062
"(45.0457263, -70.3077367)",694.6664428710938
"(45.045815399999995, -70.3077152)",692.3302001953125
"(45.0459045, -70.3076937)",690.4810791015625
"(45.0404388, -70.3076884)",843.0894165039062
"(45.040549799999994, -70.30761235)",841.3123168945312
"(45.0406608, -70.30753630000001)",839.7237548828125
"(45.0407718, -70.30746025)",837.9511108398438
"(45.0408828, -70.3073842)",835.8268432617188
"(45.0409678, -70.3073479)",834.4664306640625
"(45.041055799999995, -70.3073143)",832.9107666015625
"(45.0411438, -70.3072807)",831.0763549804688
"(45.04124805, -70.3072646)",828.3308715820312
"(45.0413523, -70.3072485)",825.0978393554688
"(45.0414603, -70.30725925)",821.6305541992188
"(45.0415683, -70.30727)",818.0086059570312
"(45.04165675, -70.30728525)",814.8146362304688
"(45.0417452, -70.3073005)",811.8889770507812
"(45.0491639, -70.304856)",613.6740112304688
"(45.0492625, -70.3049096)",611.7647705078125
"(45.04934205, -70.3049445)",610.3746337890625
"(45.0494216, -70.3049794)",608.8143310546875
"(45.0495448, -70.30500085)",606.4990844726562
"(45.049668, -70.3050223)",604.0658569335938
"(45.0497855, -70.3050384)",601.7899780273438
"(45.049903, -70.3050545)",599.2052001953125
"(45.04999775, -70.3050652)",597.3836669921875
"(45.0500925, -70.3050759)",595.6306762695312
"(45.050175874999994, -70.30508395000001)",594.2958984375
"(45.050259249999996, -70.305092)",593.5736694335938
"(45.050342625, -70.30510005)",593.4774169921875
"(45.050426, -70.3051081)",592.4337768554688
"(45.05050085, -70.3051215)",590.9114379882812
"(45.050575699999996, -70.3051349)",589.2927856445312
"(45.05065055, -70.3051483)",587.67822265625
"(45.0507254, -70.3051617)",586.0365600585938
"(45.05082015, -70.3051966)",583.8493041992188
"(45.0509149, -70.3052315)",581.7296142578125
"(45.050996375, -70.305248925)",579.8715209960938
"(45.05107785, -70.30526635000001)",577.9646606445312
"(45.051159325, -70.305283775)",576.1815185546875
"(45.0512408, -70.3053012)",573.4901123046875
"(45.051309025, -70.305321325)",571.7249145507812
"(45.05137725, -70.30534145)",570.3151245117188
"(45.051445475, -70.305361575)",569.144287109375
"(45.0515137, -70.3053817)",568.141357421875
"(45.0516433, -70.3053982)",566.6163330078125
"(45.0517729, -70.3054147)",565.4655151367188
"(45.0519025, -70.3054312)",563.9844360351562
"(45.0520321, -70.3054477)",562.2706909179688
"(45.05211355, -70.30559065)",560.9859008789062
"(45.052195, -70.3057336)",558.1963500976562
"(45.052276449999994, -70.30587655)",557.288818359375
"(45.0523579, -70.3060195)",556.5194091796875
"(45.040729, -70.3068513)",839.7496948242188
"(45.040646975, -70.30686477500001)",841.1805419921875
"(45.040564950000004, -70.30687825000001)",842.7821655273438
"(45.040482925000006, -70.30689172500001)",844.2260131835938
"(45.0404009, -70.3069052)",845.1063842773438
"(45.0405032, -70.3068623)",844.0125732421875
"(45.0406018, -70.3067872)",841.92431640625
"(45.0406719, -70.3067523)",840.6419067382812
"(45.040742, -70.3067174)",839.5244140625
"(45.04081405, -70.30660474999999)",838.597412109375
"(45.0408861, -70.3064921)",836.5152587890625
"(45.04097515, -70.30647065)",834.4983520507812
"(45.0410642, -70.3064492)",832.532470703125
"(45.04117415, -70.3064492)",828.6390380859375
"(45.0412841, -70.3064492)",825.7421875
"(45.0413864, -70.3064492)",822.2249145507812
"(45.0414887, -70.3064492)",818.7850952148438
"(45.0415816, -70.30643309999999)",816.56396484375
"(45.0416745, -70.306417)",814.1504516601562
"(45.041752200000005, -70.30638479999999)",812.2760620117188
"(45.0418299, -70.3063526)",810.3147583007812
"(45.0419346125, -70.3063447375)",807.0225219726562
"(45.042039325000005, -70.306336875)",804.2058715820312
"(45.0421440375, -70.3063290125)",800.692626953125
"(45.04224875, -70.30632115)",795.9231567382812
"(45.0423534625, -70.3063132875)",791.1109619140625
"(45.042458175, -70.306305425)",787.2109985351562
"(45.0425628875, -70.30629756249999)",782.8178100585938
"(45.0426676, -70.3062897)",776.7053833007812
"(45.0427344, -70.30626337499999)",772.5712890625
"(45.0428012, -70.30623705)",769.3983764648438
"(45.042868, -70.306210725)",765.9345703125
"(45.0429348, -70.3061844)",762.6337890625
"(45.0430016, -70.30615807500001)",760.0509643554688
"(45.043068399999996, -70.30613175)",758.3665771484375
"(45.043135199999995, -70.306105425)",756.83447265625
"(45.043202, -70.3060791)",755.2630615234375
"(45.0448083, -70.3122605)",731.5379638671875
"(45.0447975, -70.3121538)",731.3474731445312
"(45.04478435, -70.31202395)",730.7365112304688
"(45.0447712, -70.3118941)",729.06396484375
"(45.0448167, -70.3118029)",725.7659912109375
"(45.0448622, -70.3117117)",723.7261352539062
"(45.04495885, -70.31165805)",721.2453002929688
"(45.0450555, -70.3116044)",718.8184204101562
"(45.045118, -70.3115481)",716.8327026367188
"(45.0451805, -70.3114918)",715.0049438476562
"(45.04517865, -70.31136035)",713.59033203125
"(45.0451768, -70.3112289)",711.9860229492188
"(45.0450896, -70.311127)",712.6627807617188
"(45.044991, -70.3110358)",712.458740234375
"(45.044915200000005, -70.3109714)",710.889404296875
"(45.0448394, -70.310907)",710.28076171875
"(45.044756050000004, -70.3108668)",710.3695068359375
"(45.0446727, -70.3108266)",711.287353515625
"(45.04461205, -70.31078099999999)",711.0564575195312
"(45.0445514, -70.3107354)",710.785888671875
"(45.044483150000005, -70.310671)",709.977783203125
"(45.0444149, -70.3106066)",710.3466796875
"(45.0443808, -70.3104242)",708.5933227539062
"(45.04436945, -70.3103062)",705.7147216796875
"(45.0443581, -70.3101882)",703.4983520507812
"(45.044354299999995, -70.3100675)",704.9439086914062
"(45.0443505, -70.3099468)",706.7593994140625
"(45.04440735, -70.30987705000001)",706.9461059570312
"(45.0444642, -70.3098073)",707.3930053710938
"(45.0445381, -70.30972415)",707.2059326171875
"(45.044612, -70.309641)",706.8460083007812
"(45.044663150000005, -70.30957395)",706.6046142578125
"(45.0447143, -70.3095069)",706.8682250976562
"(45.044788249999996, -70.30942375000001)",706.3773193359375
"(45.0448622, -70.3093406)",705.045166015625
"(45.0449645, -70.3092548)",703.5872802734375
"(45.0450479, -70.3091958)",702.4668579101562
"(45.04513695, -70.30915555)",700.9721069335938
"(45.045226, -70.3091153)",700.4913940429688
"(45.045290449999996, -70.30901605)",700.4071044921875
"(45.0453549, -70.3089168)",699.6475219726562
"(45.045424999999994, -70.3088015)",699.2299194335938
"(45.0454951, -70.3086862)",698.4296875
"(45.04555575, -70.3085816)",697.6784057617188
"(45.0456164, -70.308477)",696.6052856445312
"(45.04566945, -70.30836165)",696.0570678710938
"(45.0457225, -70.3082463)",694.9774169921875
"(45.0457775, -70.30810679999999)",693.7388916015625
"(45.0458325, -70.3079673)",691.96240234375
"(45.0458685, -70.3078305)",691.3797607421875
