coordinates,elevation
"(43.6614957, -72.5489197)",409.07
"(43.66156945, -72.54904845)",408.44
"(43.6616432, -72.5491772)",406.29
"(43.66171695, -72.54930595)",403.26
"(43.6617907, -72.5494347)",400.11
"(43.66177517, -72.54959563)",398.35
"(43.66175965, -72.54975655)",396.09
"(43.66174412, -72.54991748)",393.73
"(43.6617286, -72.5500784)",391.41
"(43.66168202, -72.5502125)",390.00
"(43.66163545, -72.5503466)",388.24
"(43.66158887, -72.5504807)",386.45
"(43.6615423, -72.5506148)",384.58
"(43.6614802, -72.55071138)",383.72
"(43.6614181, -72.55080795)",382.94
"(43.661356, -72.55090452)",382.38
"(43.6612939, -72.5510011)",381.93
"(43.66126675, -72.55108692)",381.37
"(43.6612396, -72.55117275)",380.87
"(43.66121245, -72.55125858)",380.46
"(43.6611853, -72.5513444)",380.21
"(43.6611853, -72.55145705)",379.68
"(43.6611853, -72.5515697)",379.22
"(43.6611853, -72.55168235)",378.70
"(43.6611853, -72.551795)",377.98
"(43.66121245, -72.55191303)",376.45
"(43.6612396, -72.55203105)",374.58
"(43.66126675, -72.55214907)",372.68
"(43.6612939, -72.5522671)",370.86
"(43.66132108, -72.5523851)",369.12
"(43.66134825, -72.5525031)",367.46
"(43.66137543, -72.5526211)",365.93
"(43.6614026, -72.5527391)",364.56
"(43.66147245, -72.55286785)",362.74
"(43.6615423, -72.5529966)",361.02
"(43.6616374, -72.55303685)",359.56
"(43.6617325, -72.5530771)",357.74
"(43.6618101, -72.55305968)",356.55
"(43.6618877, -72.55304225)",355.36
"(43.6619653, -72.55302482)",354.07
"(43.6620429, -72.5530074)",352.40
"(43.6621312, -72.5529457)",350.37
"(43.6622195, -72.552884)",348.02
"(43.6623078, -72.5528223)",345.37
"(43.6623961, -72.5527606)",342.66
"(43.66246595, -72.55269623)",340.71
"(43.6625358, -72.55263185)",339.19
"(43.66260565, -72.55256747)",337.69
"(43.6626755, -72.5525031)",336.14
"(43.66274535, -72.5524119)",334.47
"(43.6628152, -72.5523207)",332.68
"(43.66288505, -72.5522295)",331.17
"(43.6629549, -72.5521383)",330.07
"(43.66302475, -72.5521222)",328.78
"(43.6630946, -72.5521061)",327.60
"(43.66316445, -72.55209)",326.52
"(43.6632343, -72.5520739)",325.51
"(43.6633546, -72.55204173)",323.89
"(43.6634749, -72.55200955)",322.11
"(43.6635952, -72.55197738)",320.05
"(43.6637155, -72.5519452)",317.92
"(43.66382205, -72.55188135)",316.14
"(43.6639286, -72.5518175)",314.11
"(43.66399175, -72.5517797)",312.82
"(43.6640549, -72.5517419)",311.50
"(43.66411805, -72.5517041)",310.22
"(43.6641812, -72.5516663)",309.10
"(43.66423553, -72.55160996)",308.35
"(43.66428985, -72.55155362)",307.84
"(43.66434418, -72.55149729)",307.66
"(43.6643985, -72.55144095)",307.69
"(43.66445283, -72.55138461)",308.07
"(43.66450715, -72.55132828)",308.47
"(43.66456147, -72.55127194)",308.70
"(43.6646158, -72.5512156)",308.68
"(43.66467401, -72.55116733)",308.34
"(43.66473222, -72.55111905)",307.77
"(43.66479044, -72.55107077)",307.12
"(43.66484865, -72.5510225)",306.50
"(43.66490686, -72.55097423)",305.77
"(43.66496507, -72.55092595)",304.95
"(43.66502329, -72.55087767)",304.03
"(43.6650815, -72.5508294)",302.99
"(43.66516687, -72.55073285)",301.44
"(43.66525225, -72.5506363)",299.84
"(43.66533762, -72.55053975)",298.24
"(43.665423, -72.5504432)",296.64
"(43.66549285, -72.55034127)",295.35
"(43.6655627, -72.55023935)",294.01
"(43.66563255, -72.55013743)",292.63
"(43.6657024, -72.5500355)",291.17
"(43.6657412, -72.54993358)",290.02
"(43.66578, -72.54983165)",288.65
"(43.6658188, -72.54972972)",286.96
"(43.6658576, -72.5496278)",284.45
"(43.6658576, -72.5494454)",281.20
"(43.6658576, -72.549263)",278.24
"(43.66584596, -72.54916108)",276.95
"(43.66583433, -72.54905915)",275.74
"(43.66582269, -72.54895723)",274.61
"(43.66581105, -72.5488553)",273.58
"(43.66579941, -72.54875337)",272.62
"(43.66578777, -72.54865145)",271.71
"(43.66577614, -72.54854952)",270.78
"(43.6657645, -72.5484476)",269.84
"(43.66574509, -72.548343)",268.91
"(43.66572568, -72.5482384)",267.89
"(43.66570626, -72.5481338)",266.74
