coordinates,elevation
"(43.6606936, -114.4048166)",2741.98
"(43.660713, -114.40496468)",2742.61
"(43.6607324, -114.40511275)",2742.95
"(43.6607518, -114.40526082)",2742.91
"(43.6607712, -114.4054089)",2742.52
"(43.66087029, -114.40548569)",2740.67
"(43.66096938, -114.40556247)",2738.17
"(43.66106846, -114.40563926)",2735.29
"(43.66116755, -114.40571605)",2732.22
"(43.66126664, -114.40579284)",2728.87
"(43.66136572, -114.40586963)",2725.23
"(43.66146481, -114.40594641)",2721.32
"(43.6615639, -114.4060232)",2717.05
"(43.66164527, -114.40605741)",2713.58
"(43.66172664, -114.40609161)",2709.84
"(43.66180801, -114.40612582)",2705.88
"(43.66188938, -114.40616003)",2701.65
"(43.66197074, -114.40619423)",2697.27
"(43.66205211, -114.40622844)",2692.79
"(43.66213348, -114.40626264)",2688.31
"(43.66221485, -114.40629685)",2683.85
"(43.66229622, -114.40633106)",2679.31
"(43.66237759, -114.40636526)",2674.69
"(43.66245896, -114.40639947)",2670.00
"(43.66254032, -114.40643368)",2665.21
"(43.66262169, -114.40646788)",2660.54
"(43.66270306, -114.40650209)",2655.96
"(43.66278443, -114.40653629)",2651.37
"(43.6628658, -114.4065705)",2646.97
"(43.6629946, -114.4066246)",2640.39
"(43.66306467, -114.40660985)",2636.81
"(43.66313473, -114.40659509)",2633.25
"(43.6632048, -114.40658034)",2629.71
"(43.66327486, -114.40656559)",2626.28
"(43.66334493, -114.40655083)",2623.03
"(43.66341499, -114.40653608)",2619.79
"(43.66348506, -114.40652133)",2616.54
"(43.66355513, -114.40650658)",2613.16
"(43.66362519, -114.40649182)",2609.66
"(43.66369526, -114.40647707)",2606.03
"(43.66376532, -114.40646232)",2602.27
"(43.66383539, -114.40644756)",2598.39
"(43.66390545, -114.40643281)",2594.47
"(43.66397552, -114.40641806)",2590.57
"(43.66404558, -114.4064033)",2586.69
"(43.66411565, -114.40638855)",2582.86
"(43.66418572, -114.4063738)",2579.14
"(43.66425578, -114.40635904)",2575.43
"(43.66432585, -114.40634429)",2571.71
"(43.66439591, -114.40632954)",2568.00
"(43.66446598, -114.40631478)",2564.32
"(43.66453604, -114.40630003)",2560.58
"(43.66460611, -114.40628528)",2556.85
"(43.66467617, -114.40627052)",2553.19
"(43.66474624, -114.40625577)",2549.66
"(43.66481631, -114.40624102)",2546.33
"(43.66488637, -114.40622627)",2543.14
"(43.66495644, -114.40621151)",2540.03
"(43.6650265, -114.40619676)",2536.95
"(43.66509657, -114.40618201)",2533.79
"(43.66516663, -114.40616725)",2530.55
"(43.6652367, -114.4061525)",2527.32
"(43.66534639, -114.40612038)",2522.22
"(43.66545608, -114.40608825)",2516.92
"(43.66556576, -114.40605613)",2511.92
"(43.66567545, -114.406024)",2507.46
"(43.66578514, -114.40599187)",2503.53
"(43.66589483, -114.40595975)",2499.96
"(43.66600451, -114.40592763)",2496.36
"(43.6661142, -114.4058955)",2492.51
"(43.66622856, -114.405862)",2488.37
"(43.66634293, -114.4058285)",2484.18
"(43.66645729, -114.405795)",2479.71
"(43.66657165, -114.4057615)",2475.26
"(43.66668601, -114.405728)",2470.76
"(43.66680038, -114.4056945)",2466.18
"(43.66691474, -114.405661)",2461.89
"(43.6670291, -114.4056275)",2457.56
"(43.66713775, -114.40557386)",2453.81
"(43.6672464, -114.40552023)",2450.02
"(43.66735505, -114.40546659)",2446.05
"(43.6674637, -114.40541295)",2442.02
"(43.66757235, -114.40535931)",2437.97
"(43.667681, -114.40530567)",2433.71
"(43.66778965, -114.40525204)",2428.87
"(43.6678983, -114.4051984)",2423.59
"(43.66801199, -114.40513286)",2417.97
"(43.66812567, -114.40506733)",2412.41
"(43.66823936, -114.40500179)",2406.69
"(43.66835305, -114.40493625)",2400.54
"(43.66846674, -114.40487071)",2393.97
"(43.66858043, -114.40480517)",2387.56
"(43.66869411, -114.40473964)",2381.54
"(43.6688078, -114.4046741)",2375.75
"(43.66887471, -114.40463603)",2372.27
"(43.66894163, -114.40459796)",2368.76
"(43.66900854, -114.40455989)",2365.13
"(43.66907545, -114.40452182)",2361.49
"(43.66914236, -114.40448376)",2357.85
"(43.66920928, -114.40444569)",2354.27
"(43.66927619, -114.40440762)",2350.78
"(43.6693431, -114.40436955)",2347.26
"(43.66941001, -114.40433148)",2343.68
"(43.66947693, -114.40429341)",2340.07
"(43.66954384, -114.40425534)",2336.48
"(43.66961075, -114.40421728)",2332.91
"(43.66967766, -114.40417921)",2329.42
"(43.66974458, -114.40414114)",2326.02
"(43.66981149, -114.40410307)",2322.65
"(43.6698784, -114.404065)",2319.24
"(43.6698784, -114.404065)",2319.24
"(43.6699573, -114.40401775)",2315.25
"(43.6700362, -114.4039705)",2311.18
"(43.6701151, -114.40392325)",2306.89
"(43.670194, -114.403876)",2302.54
"(43.6702729, -114.40382875)",2298.04
"(43.6703518, -114.4037815)",2293.49
"(43.6704307, -114.40373425)",2289.15
"(43.6705096, -114.403687)",2285.58
"(43.6705885, -114.40363975)",2282.39
"(43.6706674, -114.4035925)",2279.15
"(43.6707463, -114.40354525)",2276.00
"(43.6708252, -114.403498)",2271.87
