,coordinates,elevation
0,"(44.4610929, -70.8509912)",431.3538818359375
1,"(44.461039299999996, -70.85086785)",431.1849365234375
2,"(44.4609857, -70.8507445)",430.1377868652344
3,"(44.460920650000006, -70.850605)",429.8408203125
4,"(44.4608556, -70.8504655)",428.6670227050781
5,"(44.4608173, -70.85035285000001)",426.6165771484375
6,"(44.460779, -70.8502402)",423.42303466796875
7,"(44.4607943, -70.85009)",419.4312438964844
8,"(44.4608785, -70.849972)",415.728759765625
9,"(44.46095125, -70.84995054999999)",413.7145690917969
10,"(44.461024, -70.8499291)",412.410888671875
11,"(44.46111975, -70.8499291)",410.9766845703125
12,"(44.4612155, -70.8499291)",409.2149353027344
13,"(44.4613303, -70.8499291)",406.86810302734375
14,"(44.4613839, -70.8498432)",404.95941162109375
15,"(44.4613839, -70.84973055)",403.6529541015625
16,"(44.4613839, -70.8496179)",401.916748046875
17,"(44.46133795, -70.84947844999999)",399.5787658691406
18,"(44.461292, -70.849339)",396.9677734375
19,"(44.4612882, -70.84923169999999)",395.1769714355469
20,"(44.4612844, -70.8491244)",393.2569580078125
21,"(44.4613533, -70.84902785)",390.3330383300781
22,"(44.4614222, -70.8489313)",387.130615234375
23,"(44.461537050000004, -70.84884545)",384.7412109375
24,"(44.4616519, -70.8487596)",382.8628845214844
25,"(44.4617515, -70.8487167)",381.4197082519531
0,"(44.4613609, -70.8511414)",429.3943176269531
1,"(44.461460450000004, -70.8510824)",426.0666198730469
2,"(44.461560000000006, -70.8510234)",421.7706298828125
3,"(44.46165955000001, -70.85096440000001)",418.8487243652344
4,"(44.4617591, -70.8509054)",414.60614013671875
5,"(44.461845725, -70.85086047499999)",411.6910095214844
6,"(44.46193235, -70.85081555)",408.9577941894531
7,"(44.462018975, -70.850770625)",406.284423828125
8,"(44.4621056, -70.8507257)",403.274169921875
9,"(44.462192225, -70.850680775)",401.3590393066406
10,"(44.462278850000004, -70.85063585)",399.3710632324219
11,"(44.462365475, -70.850590925)",398.0945739746094
12,"(44.4624521, -70.85054600000001)",396.3118591308594
13,"(44.462538725, -70.85050107500001)",394.0657653808594
14,"(44.462625349999996, -70.85045615000001)",390.812744140625
15,"(44.462711975, -70.85041122500002)",387.7171630859375
16,"(44.4627986, -70.8503663)",385.20111083984375
17,"(44.462885225, -70.850321375)",382.1512145996094
18,"(44.46297185, -70.85027645)",378.6417541503906
19,"(44.463058475, -70.850231525)",375.67999267578125
20,"(44.4631451, -70.8501866)",372.4520568847656
21,"(44.4632470375, -70.85013429375)",368.63751220703125
22,"(44.463348975, -70.8500819875)",364.6138916015625
23,"(44.4634509125, -70.85002968125)",360.1478576660156
24,"(44.46355285, -70.84997737500001)",357.36309814453125
25,"(44.4636547875, -70.84992506875001)",354.39404296875
26,"(44.463756724999996, -70.84987276250001)",352.0655212402344
27,"(44.4638586625, -70.84982045625)",347.8493957519531
28,"(44.4639606, -70.84976815)",343.3591613769531
29,"(44.4640625375, -70.84971584375)",340.6877136230469
30,"(44.464164475000004, -70.84966353749999)",340.0232849121094
31,"(44.4642664125, -70.84961123125)",338.8807678222656
32,"(44.46436835, -70.849558925)",336.9255065917969
33,"(44.4644702875, -70.84950661875)",335.51593017578125
34,"(44.464572225, -70.8494543125)",333.6941223144531
35,"(44.4646741625, -70.84940200625)",330.2540283203125
36,"(44.4647761, -70.8493497)",327.9352111816406
37,"(44.464850275, -70.8493101375)",326.4250183105469
38,"(44.46492445, -70.849270575)",324.7625427246094
39,"(44.464998625, -70.84923101250001)",322.81170654296875
40,"(44.4650728, -70.84919145)",320.8668212890625
41,"(44.465146975, -70.8491518875)",319.2427062988281
42,"(44.465221150000005, -70.84911232500001)",317.372314453125
43,"(44.465295325, -70.84907276250001)",315.4972839355469
44,"(44.4653695, -70.84903320000001)",314.2830810546875
45,"(44.465443675, -70.8489936375)",313.2949523925781
46,"(44.46551785, -70.84895407500001)",312.2245178222656
47,"(44.465592025, -70.84891451250002)",310.78521728515625
48,"(44.4656662, -70.84887495000001)",309.7521667480469
49,"(44.465740375, -70.8488353875)",308.6665954589844
50,"(44.465814550000005, -70.84879582500001)",307.0397033691406
51,"(44.465888725, -70.84875626250002)",305.02777099609375
52,"(44.4659629, -70.84871670000001)",302.7840270996094
