coordinates,elevation
"(44.6825621, -116.1491775)",2043.89
"(44.68258117, -116.14904875)",2042.94
"(44.68260025, -116.14892)",2041.95
"(44.68261933, -116.14879125)",2040.92
"(44.6826384, -116.1486625)",2039.95
"(44.6826748, -116.1484894)",2038.76
"(44.6826962, -116.14838785)",2037.83
"(44.6827176, -116.1482863)",2036.04
"(44.682739, -116.14818475)",2033.45
"(44.6827604, -116.1480832)",2030.70
"(44.68279855, -116.14796517)",2027.89
"(44.6828367, -116.14784715)",2025.14
"(44.68287485, -116.14772913)",2021.74
"(44.682913, -116.1476111)",2017.94
"(44.68298165, -116.14754138)",2015.87
"(44.6830503, -116.14747165)",2013.88
"(44.68311895, -116.14740192)",2012.11
"(44.6831876, -116.1473322)",2010.85
"(44.68325245, -116.1473)",2010.37
"(44.6833173, -116.1472678)",2009.46
"(44.68338215, -116.1472356)",2008.10
"(44.683447, -116.1472034)",2006.22
"(44.6835309, -116.14718195)",2003.69
"(44.6836148, -116.1471605)",1999.38
"(44.6836987, -116.14713905)",1994.80
"(44.6837826, -116.1471176)",1992.77
"(44.68385507, -116.1470425)",1991.67
"(44.68392755, -116.1469674)",1991.94
"(44.68400003, -116.1468923)",1991.93
"(44.6840725, -116.1468172)",1991.35
"(44.68412971, -116.14673673)",1990.02
"(44.68418692, -116.14665625)",1988.18
"(44.68424414, -116.14657578)",1986.60
"(44.68430135, -116.1464953)",1985.39
"(44.68435856, -116.14641482)",1984.43
"(44.68441577, -116.14633435)",1983.21
"(44.68447299, -116.14625387)",1981.77
"(44.6845302, -116.1461734)",1980.48
"(44.68459122, -116.1460232)",1978.09
"(44.68465225, -116.145873)",1976.65
"(44.68471328, -116.1457228)",1972.81
"(44.6847743, -116.1455726)",1968.00
"(44.68482005, -116.14541167)",1963.71
"(44.6848658, -116.14525075)",1959.59
"(44.68491155, -116.14508982)",1955.41
"(44.6849573, -116.1449289)",1951.38
"(44.68501833, -116.14488062)",1950.04
"(44.68507935, -116.14483235)",1948.65
"(44.68514037, -116.14478408)",1947.15
"(44.6852014, -116.1447358)",1945.50
"(44.68530438, -116.1447197)",1944.00
"(44.68540735, -116.1447036)",1942.15
"(44.68551032, -116.1446875)",1940.50
"(44.6856133, -116.1446714)",1939.85
"(44.6857201, -116.14457485)",1939.21
"(44.6858269, -116.1444783)",1940.10
"(44.6859337, -116.14438175)",1941.02
"(44.6860405, -116.1442852)",1941.01
"(44.68610915, -116.14417255)",1939.11
"(44.6861778, -116.1440599)",1938.06
"(44.68624645, -116.14394725)",1937.72
"(44.6863151, -116.1438346)",1936.39
"(44.68636659, -116.14375145)",1934.94
"(44.68641807, -116.1436683)",1933.08
"(44.68646956, -116.14358515)",1930.92
"(44.68652105, -116.143502)",1928.53
"(44.68657254, -116.14341885)",1926.11
"(44.68662403, -116.1433357)",1923.53
"(44.68667551, -116.14325255)",1920.78
"(44.686727, -116.1431694)",1918.15
"(44.68679565, -116.14309966)",1916.04
"(44.6868643, -116.14302993)",1914.32
"(44.68693295, -116.14296019)",1913.51
"(44.6870016, -116.14289045)",1913.61
"(44.68707025, -116.14282071)",1914.05
"(44.6871389, -116.14275098)",1914.15
"(44.68720755, -116.14268124)",1914.15
"(44.6872762, -116.1426115)",1914.12
"(44.68733341, -116.14251494)",1912.76
"(44.68739062, -116.14241838)",1911.31
"(44.68744784, -116.14232181)",1909.59
"(44.68750505, -116.14222525)",1907.62
"(44.68756226, -116.14212869)",1905.70
"(44.68761947, -116.14203213)",1904.00
"(44.68767669, -116.14193556)",1902.62
"(44.6877339, -116.141839)",1901.51
"(44.68778729, -116.14176658)",1900.61
"(44.68784067, -116.14169415)",1899.66
"(44.68789406, -116.14162173)",1898.46
"(44.68794745, -116.1415493)",1897.14
"(44.68800084, -116.14147688)",1895.84
"(44.68805423, -116.14140445)",1894.49
"(44.68810761, -116.14133202)",1893.12
"(44.688161, -116.1412596)",1891.35
"(44.68822418, -116.14116606)",1888.57
"(44.68828735, -116.14107252)",1885.54
"(44.68835052, -116.14097899)",1882.26
"(44.6884137, -116.14088545)",1879.24
"(44.68847687, -116.14079191)",1877.00
"(44.68854005, -116.14069837)",1875.32
"(44.68860323, -116.14060484)",1873.49
"(44.6886664, -116.1405113)",1871.36
"(44.6887407, -116.1404013)",1868.83
"(44.68879791, -116.14033425)",1867.55
"(44.68885512, -116.1402672)",1866.52
"(44.68891234, -116.14020015)",1865.56
"(44.68896955, -116.1401331)",1864.38
"(44.68902676, -116.14006605)",1862.70
"(44.68908398, -116.139999)",1860.77
"(44.68914119, -116.13993195)",1858.88
"(44.6891984, -116.1398649)",1857.08
"(44.6892823, -116.13985415)",1856.21
"(44.6893662, -116.1398434)",1854.94
"(44.68945772, -116.13983268)",1852.98
"(44.68954925, -116.13982195)",1850.69
"(44.68964078, -116.13981123)",1848.35
"(44.6897323, -116.1398005)",1845.99
"(44.68980095, -116.13973613)",1843.38
"(44.6898696, -116.13967175)",1840.96
"(44.68993825, -116.13960737)",1838.96
"(44.6900069, -116.139543)",1837.05
"(44.69011367, -116.13945718)",1834.33
"(44.69022045, -116.13937135)",1832.14
"(44.69032723, -116.13928553)",1830.34
"(44.690434, -116.1391997)",1829.10
"(44.6903865, -116.13903085)",1827.36
"(44.690339, -116.138862)",1825.73
"(44.6902492, -116.1387841)",1824.87
"(44.6901594, -116.1387062)",1823.77
"(44.69009837, -116.1386311)",1822.51
"(44.69003735, -116.138556)",1820.95
"(44.68997633, -116.1384809)",1819.48
"(44.6899153, -116.1384058)",1818.54
"(44.6898543, -116.1383146)",1817.62
"(44.6897933, -116.1382234)",1816.72
"(44.6897323, -116.1381322)",1815.46
"(44.6896713, -116.138041)",1813.33
"(44.68956832, -116.13803028)",1812.11
"(44.68946535, -116.13801955)",1811.09
"(44.68936238, -116.13800883)",1809.98
"(44.6892594, -116.1379981)",1808.68
"(44.6891526, -116.13792835)",1806.00
"(44.6890458, -116.1378586)",1805.58
"(44.688939, -116.13778885)",1805.89
"(44.6888322, -116.1377191)",1805.68
"(44.68873305, -116.13761182)",1804.06
"(44.6886339, -116.13750455)",1802.20
"(44.68853475, -116.13739727)",1799.93
"(44.6884356, -116.13729)",1797.63
"(44.68838602, -116.1371827)",1795.45
"(44.68833645, -116.1370754)",1793.92
"(44.68828687, -116.1369681)",1792.96
"(44.6882373, -116.1368608)",1793.15
"(44.68825255, -116.1366784)",1794.49
"(44.6882678, -116.136496)",1796.07
"(44.6883535, -116.1363856)",1795.37
"(44.6884509, -116.13626)",1793.71
"(44.688428, -116.13613125)",1793.11
"(44.6884051, -116.1360025)",1792.16
"(44.6883822, -116.13587375)",1790.77
"(44.6883593, -116.135745)",1788.79
"(44.68828685, -116.13560552)",1787.52
"(44.6882144, -116.13546605)",1786.14
"(44.68814195, -116.13532657)",1784.35
"(44.6880695, -116.1351871)",1781.73
"(44.6880161, -116.13511737)",1780.58
"(44.6879627, -116.13504765)",1779.76
"(44.6879093, -116.13497792)",1779.21
"(44.6878559, -116.1349082)",1778.81
"(44.68781012, -116.134758)",1776.96
"(44.68776435, -116.1346078)",1775.38
"(44.68771858, -116.1344576)",1773.69
"(44.6876728, -116.1343074)",1771.42
"(44.68765755, -116.13418935)",1769.21
"(44.6876423, -116.1340713)",1767.32
"(44.68756223, -116.13394255)",1767.22
"(44.68748215, -116.1338138)",1765.86
"(44.68740208, -116.13368505)",1763.27
"(44.687322, -116.1335563)",1760.08
"(44.68724952, -116.13345975)",1757.49
"(44.68717705, -116.1333632)",1754.73
"(44.68710458, -116.13326665)",1752.82
"(44.6870321, -116.1331701)",1751.08
"(44.68698253, -116.13306818)",1748.40
"(44.68693295, -116.13296625)",1746.49
"(44.68688338, -116.13286433)",1744.51
"(44.6868338, -116.1327624)",1742.15
"(44.6867537, -116.13271948)",1743.21
"(44.6866736, -116.13267655)",1744.19
"(44.6865935, -116.13263362)",1745.01
"(44.6865134, -116.1325907)",1745.79
"(44.68641805, -116.1325317)",1745.92
"(44.6863227, -116.1324727)",1745.94
"(44.68622735, -116.1324137)",1745.53
"(44.686132, -116.1323547)",1744.28
"(44.68605193, -116.13228498)",1742.24
"(44.68597185, -116.13221525)",1740.60
"(44.68589178, -116.13214552)",1738.60
"(44.6858117, -116.1320758)",1736.24
"(44.6857316, -116.13205432)",1735.82
"(44.6856515, -116.13203285)",1735.51
"(44.6855714, -116.13201137)",1735.27
"(44.6854913, -116.1319899)",1734.78
"(44.68540549, -116.13201672)",1735.69
"(44.68531968, -116.13204355)",1736.08
"(44.68523386, -116.13207037)",1736.27
"(44.68514805, -116.1320972)",1735.90
"(44.68506224, -116.13212402)",1734.68
"(44.68497643, -116.13215085)",1732.72
"(44.68489061, -116.13217768)",1730.45
"(44.6848048, -116.1322045)",1728.17
"(44.68469418, -116.13229032)",1727.23
"(44.68458355, -116.13237615)",1727.19
"(44.68447292, -116.13246197)",1728.11
"(44.6843623, -116.1325478)",1729.21
"(44.68429556, -116.13257194)",1729.25
"(44.68422882, -116.13259607)",1729.32
"(44.68416209, -116.13262021)",1729.29
"(44.68409535, -116.13264435)",1729.12
"(44.68402861, -116.13266849)",1728.78
"(44.68396188, -116.13269263)",1728.19
"(44.68389514, -116.13271676)",1727.39
"(44.6838284, -116.1327409)",1726.37
"(44.68373043, -116.13276623)",1724.23
"(44.68363245, -116.13279155)",1721.59
"(44.68353448, -116.13281688)",1719.09
"(44.6834365, -116.1328422)",1717.63
"(44.68334757, -116.13286518)",1716.84
"(44.68325865, -116.13288815)",1716.17
"(44.68316972, -116.13291112)",1715.42
"(44.6830808, -116.1329341)",1714.51
"(44.68299307, -116.13301992)",1713.84
"(44.68290535, -116.13310575)",1712.47
"(44.68281762, -116.13319157)",1710.42
"(44.6827299, -116.1332774)",1708.09
"(44.68263075, -116.1333847)",1704.52
"(44.6825316, -116.133492)",1701.28
"(44.68247247, -116.13354564)",1698.94
"(44.68241335, -116.13359927)",1696.81
"(44.68235422, -116.13365291)",1694.83
"(44.6822951, -116.13370655)",1693.91
"(44.68223597, -116.13376019)",1692.82
"(44.68217685, -116.13381383)",1692.07
"(44.68211772, -116.13386746)",1691.06
"(44.6820586, -116.1339211)",1690.50
"(44.68198231, -116.13401497)",1690.78
"(44.68190603, -116.13410885)",1690.91
"(44.68182974, -116.13420272)",1690.66
"(44.68175345, -116.1342966)",1690.40
"(44.68167716, -116.13439048)",1690.06
"(44.68160088, -116.13448435)",1689.47
"(44.68152459, -116.13457823)",1688.31
"(44.6814483, -116.1346721)",1685.73
"(44.68132625, -116.1347472)",1678.59
"(44.6812042, -116.1348223)",1677.59
"(44.681147, -116.13475257)",1676.47
"(44.6810898, -116.13468285)",1676.80
"(44.6810326, -116.13461312)",1677.91
"(44.6809754, -116.1345434)",1679.48
"(44.68099445, -116.13440927)",1677.17
"(44.6810135, -116.13427515)",1675.62
"(44.68103255, -116.13414103)",1674.65
"(44.6810516, -116.1340069)",1673.47
"(44.68106305, -116.13383525)",1671.71
"(44.6810745, -116.1336636)",1669.49
"(44.68108595, -116.13349195)",1665.87
"(44.6810974, -116.1333203)",1661.86
"(44.68105925, -116.13319692)",1661.56
"(44.6810211, -116.13307355)",1662.36
"(44.68098295, -116.13295018)",1662.06
"(44.6809448, -116.1328268)",1661.25
"(44.68089523, -116.13270877)",1661.43
"(44.68084565, -116.13259075)",1661.13
"(44.68079607, -116.13247272)",1660.38
"(44.6807465, -116.1323547)",1659.34
"(44.68074267, -116.13224205)",1656.95
"(44.68073885, -116.1321294)",1654.70
"(44.68073502, -116.13201675)",1652.56
"(44.6807312, -116.1319041)",1650.58
"(44.68068925, -116.13182364)",1650.18
"(44.6806473, -116.13174317)",1649.22
"(44.68060535, -116.13166271)",1647.95
"(44.6805634, -116.13158225)",1646.61
"(44.68052145, -116.13150179)",1645.29
"(44.6804795, -116.13142133)",1644.05
"(44.68043755, -116.13134086)",1642.78
"(44.6803956, -116.1312604)",1641.65
"(44.68034601, -116.13117992)",1640.84
"(44.68029642, -116.13109945)",1640.04
"(44.68024684, -116.13101897)",1639.13
"(44.68019725, -116.1309385)",1638.04
"(44.68014766, -116.13085803)",1636.64
"(44.68009808, -116.13077755)",1635.17
"(44.68004849, -116.13069708)",1633.92
"(44.6799989, -116.1306166)",1632.65
"(44.67992453, -116.1305871)",1632.68
"(44.67985015, -116.1305576)",1632.61
"(44.67977577, -116.1305281)",1632.34
"(44.6797014, -116.1304986)",1631.78
"(44.67962703, -116.1304691)",1631.00
"(44.67955265, -116.1304396)",1630.17
"(44.67947827, -116.1304101)",1629.30
"(44.6794039, -116.1303806)",1628.38
"(44.67932761, -116.13037791)",1628.17
"(44.67925132, -116.13037522)",1627.90
"(44.67917504, -116.13037254)",1627.61
"(44.67909875, -116.13036985)",1627.32
"(44.67902246, -116.13036716)",1627.01
"(44.67894617, -116.13036447)",1626.60
"(44.67886989, -116.13036179)",1625.90
"(44.6787936, -116.1303591)",1624.97
"(44.678705, -116.1303103)",1623.24
"(44.6786164, -116.1302615)",1621.34
"(44.6784999, -116.13019725)",1618.95
"(44.6783834, -116.130133)",1616.69
"(44.6782853, -116.13006075)",1614.40
"(44.6781872, -116.1299885)",1612.10
"(44.6780891, -116.12991625)",1610.26
"(44.677991, -116.129844)",1609.09
"(44.6779, -116.129832)",1608.87
"(44.677809, -116.12982)",1608.76
"(44.677718, -116.129808)",1608.64
"(44.677627, -116.129796)",1608.60
"(44.67755625, -116.12973775)",1608.12
"(44.6774855, -116.1296795)",1607.59
"(44.67741475, -116.12962125)",1606.90
"(44.677344, -116.129563)",1606.04
"(44.6772725, -116.1295065)",1604.97
"(44.677201, -116.12945)",1603.76
"(44.6771255, -116.12949425)",1604.48
"(44.67705, -116.1295385)",1605.23
"(44.6769745, -116.12958275)",1606.02
"(44.676899, -116.129627)",1606.81
"(44.676789, -116.129713)",1607.74
"(44.676679, -116.129799)",1608.04
"(44.6766305, -116.12972875)",1606.96
"(44.676582, -116.1296585)",1605.96
"(44.6765335, -116.12958825)",1604.92
"(44.676485, -116.129518)",1604.03
"(44.676438, -116.12944775)",1603.28
"(44.676391, -116.1293775)",1602.65
"(44.676344, -116.12930725)",1602.02
"(44.676297, -116.129237)",1601.27
"(44.67619812, -116.12922363)",1601.09
"(44.67609925, -116.12921025)",1600.78
"(44.67600037, -116.12919688)",1600.38
"(44.6759015, -116.1291835)",1599.84
"(44.67580262, -116.12917013)",1599.24
"(44.67570375, -116.12915675)",1598.60
"(44.67560487, -116.12914338)",1598.00
"(44.675506, -116.12913)",1597.56
"(44.67542512, -116.12915037)",1597.44
"(44.67534425, -116.12917075)",1597.46
"(44.67526338, -116.12919113)",1597.41
"(44.6751825, -116.1292115)",1597.41
"(44.67510162, -116.12923188)",1597.45
"(44.67502075, -116.12925225)",1597.44
"(44.67493987, -116.12927262)",1597.26
"(44.674859, -116.129293)",1596.97
"(44.67478817, -116.12920633)",1594.99
"(44.67471735, -116.12911965)",1592.88
"(44.67464652, -116.12903298)",1590.58
"(44.6745757, -116.1289463)",1588.23
