coordinates,elevation
"(36.5908919, -105.4608579)",3059.63
"(36.59084205, -105.4607299)",3059.54
"(36.5907922, -105.4606019)",3059.63
"(36.5907429, -105.46051575)",3059.80
"(36.5906936, -105.4604296)",3059.70
"(36.5906527, -105.460498)",3061.25
"(36.59055874, -105.46042625)",3062.97
"(36.59046478, -105.4603545)",3064.96
"(36.59037081, -105.46028275)",3066.79
"(36.59027685, -105.460211)",3068.14
"(36.59018289, -105.46013925)",3069.25
"(36.59008892, -105.4600675)",3069.79
"(36.58999496, -105.45999575)",3070.99
"(36.589901, -105.459924)",3072.50
"(36.5898475, -105.4598091)",3072.99
"(36.589794, -105.4596942)",3073.62
"(36.58981485, -105.4595877)",3072.90
"(36.5898357, -105.4594812)",3071.93
"(36.58985655, -105.4593747)",3070.68
"(36.5898774, -105.4592682)",3069.56
"(36.5899301, -105.45921151)",3068.00
"(36.5899828, -105.45915482)",3066.76
"(36.5900355, -105.45909814)",3065.67
"(36.5900882, -105.45904145)",3064.67
"(36.5901409, -105.45898476)",3063.78
"(36.5901936, -105.45892808)",3062.90
"(36.5902463, -105.45887139)",3062.73
"(36.590299, -105.4588147)",3062.81
"(36.5904096, -105.45878075)",3060.87
"(36.5905202, -105.4587468)",3057.93
"(36.5906013, -105.4587681)",3056.11
"(36.5906824, -105.4587894)",3054.68
"(36.5907635, -105.4588107)",3053.12
"(36.5908446, -105.458832)",3051.67
"(36.5909746, -105.45887332)",3049.33
"(36.5911046, -105.45891465)",3046.97
"(36.5912346, -105.45895597)",3044.12
"(36.5913646, -105.4589973)",3041.62
"(36.59145135, -105.4590249)",3040.02
"(36.5915381, -105.4590525)",3038.95
"(36.59166495, -105.45904282)",3036.99
"(36.5917918, -105.45903315)",3034.03
"(36.59191865, -105.45902347)",3031.19
"(36.5920455, -105.4590138)",3029.19
"(36.59215857, -105.45899855)",3028.37
"(36.59227165, -105.4589833)",3027.87
"(36.59238473, -105.45896805)",3026.80
"(36.5924978, -105.4589528)",3024.85
"(36.59255348, -105.45890533)",3024.97
"(36.59260915, -105.45885785)",3024.64
"(36.59266482, -105.45881037)",3023.99
"(36.5927205, -105.4587629)",3022.85
"(36.59278605, -105.45864707)",3023.36
"(36.5928516, -105.45853125)",3022.93
"(36.59291715, -105.45841542)",3021.90
"(36.5929827, -105.4582996)",3019.88
"(36.59301595, -105.45815225)",3018.04
"(36.5930492, -105.4580049)",3015.49
"(36.59306213, -105.45790578)",3013.98
"(36.59307505, -105.45780665)",3012.41
"(36.59308798, -105.45770753)",3011.08
"(36.5931009, -105.4576084)",3009.55
"(36.5931289, -105.4575009)",3008.04
"(36.5931569, -105.4573934)",3006.33
"(36.5931849, -105.4572859)",3004.60
"(36.5932129, -105.4571784)",3003.49
"(36.5932664, -105.45706375)",3000.34
"(36.5933199, -105.4569491)",2997.60
"(36.5933734, -105.45683445)",2994.17
"(36.5934269, -105.4567198)",2991.82
"(36.59344015, -105.45657985)",2990.35
"(36.5934534, -105.4564399)",2988.48
"(36.59346665, -105.45629995)",2986.73
"(36.5934799, -105.45616)",2985.08
"(36.593493, -105.45602722)",2982.68
"(36.5935061, -105.45589445)",2980.60
"(36.5935192, -105.45576167)",2979.16
"(36.5935323, -105.4556289)",2980.14
"(36.5935488, -105.4554626)",2981.36
"(36.59356648, -105.45537531)",2980.73
"(36.59358415, -105.45528803)",2979.95
"(36.59360183, -105.45520074)",2978.75
"(36.5936195, -105.45511345)",2977.22
"(36.59363717, -105.45502616)",2975.67
"(36.59365485, -105.45493887)",2974.05
"(36.59367253, -105.45485159)",2973.42
"(36.5936902, -105.4547643)",2972.77
"(36.59370815, -105.45465502)",2971.80
"(36.5937261, -105.45454575)",2970.52
"(36.59374405, -105.45443647)",2969.15
"(36.593762, -105.4543272)",2968.20
"(36.59377995, -105.45421792)",2966.85
"(36.5937979, -105.45410865)",2964.82
"(36.59381585, -105.45399937)",2962.72
"(36.5938338, -105.4538901)",2960.46
"(36.5938262, -105.45379972)",2960.28
"(36.5938186, -105.45370935)",2959.70
"(36.593811, -105.45361897)",2958.59
"(36.5938034, -105.4535286)",2957.13
"(36.59379, -105.4533705)",2954.77
"(36.59377061, -105.45322969)",2952.97
"(36.59375122, -105.45308888)",2951.01
"(36.59373184, -105.45294806)",2950.10
"(36.59371245, -105.45280725)",2948.85
"(36.59369306, -105.45266644)",2947.02
"(36.59367367, -105.45252562)",2944.43
"(36.59365429, -105.45238481)",2941.77
"(36.5936349, -105.452244)",2940.05
"(36.59360585, -105.452125)",2939.25
"(36.5935768, -105.452006)",2938.33
"(36.5935674, -105.45186595)",2936.59
"(36.593558, -105.4517259)",2935.41
"(36.5935533, -105.4516158)",2934.58
"(36.5935486, -105.4515057)",2933.37
"(36.5935787, -105.4514194)",2929.90
"(36.5935639, -105.4512566)",2927.95
"(36.59354613, -105.45116672)",2928.06
"(36.59352835, -105.45107685)",2927.93
"(36.59351057, -105.45098698)",2926.91
"(36.5934928, -105.4508971)",2925.80
"(36.5934745, -105.45076712)",2923.93
"(36.5934562, -105.45063715)",2922.77
"(36.5934379, -105.45050718)",2921.38
"(36.5934196, -105.4503772)",2920.60
"(36.5934239, -105.4502109)",2917.19
"(36.5934282, -105.4500446)",2913.23
"(36.5934582, -105.4499642)",2910.15
"(36.5934882, -105.4498838)",2908.08
"(36.593505, -105.4498392)",2907.25
"(36.5906936, -105.4604296)",3059.70
"(36.5906297, -105.46033595)",3060.14
"(36.5905658, -105.4602423)",3060.75
"(36.59052958, -105.46016433)",3060.68
"(36.59049335, -105.46008635)",3059.95
"(36.59045713, -105.46000838)",3058.70
"(36.5904209, -105.4599304)",3056.27
"(36.59034775, -105.45989985)",3055.93
"(36.5902746, -105.4598693)",3056.02
"(36.59021975, -105.4598161)",3056.29
"(36.5901649, -105.4597629)",3058.02
"(36.5901503, -105.459633)",3057.57
"(36.59016975, -105.45951655)",3056.11
"(36.5901892, -105.4594001)",3054.99
"(36.5902366, -105.45928745)",3055.75
"(36.590284, -105.4591748)",3057.29
"(36.59034812, -105.45912302)",3055.79
"(36.59041225, -105.45907125)",3054.55
"(36.59047638, -105.45901947)",3053.37
"(36.5905405, -105.4589677)",3052.69
"(36.59063465, -105.458949)",3050.61
"(36.5907288, -105.4589303)",3049.80
"(36.59081688, -105.4589591)",3048.12
"(36.59090495, -105.4589879)",3046.83
"(36.59099302, -105.4590167)",3045.84
"(36.5910811, -105.4590455)",3044.70
"(36.5795223, -105.457046)",3432.79
"(36.57956148, -105.45716515)",3432.93
"(36.57960065, -105.4572843)",3428.83
"(36.57963983, -105.45740345)",3424.33
"(36.579679, -105.4575226)",3422.13
"(36.57975007, -105.45757625)",3421.06
"(36.57982115, -105.4576299)",3420.04
"(36.57989223, -105.45768355)",3419.42
"(36.5799633, -105.4577372)",3418.52
"(36.5800473, -105.45772915)",3418.48
"(36.5801313, -105.4577211)",3418.08
"(36.5802153, -105.45771305)",3416.06
"(36.5802993, -105.457705)",3413.16
"(36.5803833, -105.45769695)",3410.46
"(36.5804673, -105.4576889)",3407.87
"(36.5805513, -105.45768085)",3405.41
"(36.5806353, -105.4576728)",3403.13
"(36.58075807, -105.4576862)",3399.55
"(36.58088085, -105.4576996)",3394.18
"(36.58100363, -105.457713)",3385.83
"(36.5811264, -105.4577264)",3379.51
"(36.58119855, -105.45774786)",3377.20
"(36.5812707, -105.45776932)",3375.29
"(36.58134285, -105.45779079)",3373.32
"(36.581415, -105.45781225)",3371.16
"(36.58148715, -105.45783371)",3369.07
"(36.5815593, -105.45785517)",3367.02
"(36.58163145, -105.45787664)",3364.92
"(36.5817036, -105.4578981)",3362.90
