coordinates,elevation
"(37.910167, -107.8296221)",3413.281005859375
"(37.91011075, -107.82956784999999)",3414.82373046875
"(37.9100545, -107.8295136)",3416.15087890625
"(37.910013649999996, -107.82940865)",3417.033935546875
"(37.9099728, -107.8293037)",3417.760986328125
"(37.909963, -107.8291695)",3418.260986328125
"(37.9100039, -107.8290405)",3417.84033203125
"(37.91006885, -107.8289546)",3416.640380859375
"(37.9101338, -107.8288687)",3415.130126953125
"(37.9102001, -107.8288043)",3412.840576171875
"(37.9102664, -107.8287399)",3410.281005859375
"(37.91036235, -107.82868619999999)",3406.44921875
"(37.9104583, -107.8286325)",3402.781494140625
"(37.910548125000005, -107.828609125)",3399.626708984375
"(37.91063795, -107.82858575)",3396.43212890625
"(37.910727775, -107.828562375)",3393.144775390625
"(37.9108176, -107.828539)",3389.700439453125
"(37.91089895, -107.828529)",3386.2890625
"(37.9109803, -107.828519)",3382.833984375
"(37.91105725, -107.82853324999999)",3380.344970703125
"(37.9111342, -107.8285475)",3379.33251953125
"(37.9112006, -107.82858594999999)",3378.29345703125
"(37.911267, -107.8286244)",3377.359619140625
"(37.911328600000004, -107.828662125)",3376.0537109375
"(37.9113902, -107.82869984999999)",3374.7080078125
"(37.911451799999995, -107.82873757499999)",3373.248291015625
"(37.9115134, -107.8287753)",3372.012939453125
"(37.911582249999995, -107.8287987)",3371.37548828125
"(37.9116511, -107.8288221)",3370.995849609375
"(37.911775, -107.8288348)",3371.267822265625
"(37.9119073, -107.8288367)",3371.7236328125
"(37.912001599999996, -107.8288628)",3371.36474609375
"(37.9120959, -107.8288889)",3370.894775390625
"(37.912208199999995, -107.82892229999999)",3370.162109375
"(37.9123205, -107.8289557)",3369.226806640625
"(37.912407349999995, -107.82898374999999)",3368.3251953125
"(37.9124942, -107.8290118)",3367.275390625
"(37.912564175, -107.829041125)",3366.021728515625
"(37.91263415, -107.82907045)",3364.482177734375
"(37.912704125000005, -107.829099775)",3362.85302734375
"(37.9127741, -107.8291291)",3361.133544921875
"(37.912838750000006, -107.829169175)",3359.19287109375
"(37.912903400000005, -107.82920924999999)",3357.39794921875
"(37.91296805, -107.82924932499999)",3355.793212890625
"(37.9130327, -107.8292894)",3354.2939453125
"(37.913102800000004, -107.82934605)",3352.39697265625
"(37.9131729, -107.8294027)",3350.40771484375
"(37.913230299999995, -107.82945665)",3348.57470703125
"(37.9132877, -107.8295106)",3346.726318359375
"(37.913353674999996, -107.82955297500001)",3345.06787109375
"(37.913419649999994, -107.82959535)",3343.42822265625
"(37.91348562499999, -107.829637725)",3341.8525390625
"(37.9135516, -107.8296801)",3340.3134765625
"(37.9136655, -107.8297533)",3337.533203125
"(37.913746675, -107.82978929999999)",3335.766845703125
"(37.913827850000004, -107.8298253)",3334.088623046875
"(37.913909025, -107.8298613)",3332.3642578125
"(37.9139902, -107.8298973)",3330.222900390625
"(37.9140671, -107.82993435)",3327.263671875
"(37.914144, -107.8299714)",3323.7294921875
"(37.914220900000004, -107.83000845000001)",3320.505126953125
"(37.9142978, -107.8300455)",3317.74560546875
"(37.914407, -107.83008534999999)",3313.10400390625
"(37.9145162, -107.8301252)",3307.863525390625
"(37.914587749999995, -107.83014245)",3305.248291015625
"(37.9146593, -107.8301597)",3304.22021484375
"(37.9147457, -107.8301716)",3303.14111328125
"(37.914832, -107.8301621)",3302.79345703125
"(37.9115134, -107.8287753)",3372.012939453125
"(37.9115857, -107.82886065)",3369.572998046875
"(37.911658, -107.828946)",3368.17236328125
