coordinates,elevation
"(43.9590945, -71.5552186)",1169.37
"(43.9591246, -71.55525)",1169.66
"(43.9592426, -71.5553193)",1169.84
"(43.9593606, -71.5553886)",1169.76
"(43.9594093, -71.555389)",1169.35
"(43.9594484, -71.5553396)",1168.28
"(43.95947272, -71.55519477)",1166.03
"(43.95949705, -71.55504995)",1163.73
"(43.95952137, -71.55490513)",1161.37
"(43.9595457, -71.5547603)",1158.92
"(43.959565, -71.55466105)",1157.00
"(43.9595843, -71.5545618)",1154.92
"(43.9596036, -71.55446255)",1152.80
"(43.9596229, -71.5543633)",1150.63
"(43.9596422, -71.5542265)",1147.67
"(43.9596615, -71.5540897)",1144.21
"(43.9596808, -71.5539529)",1140.22
"(43.9597001, -71.5538161)",1136.36
"(43.95970205, -71.55371955)",1133.85
"(43.959704, -71.553623)",1131.28
"(43.95970595, -71.55352645)",1128.67
"(43.9597079, -71.5534299)",1126.05
"(43.95970015, -71.5532636)",1121.74
"(43.9596924, -71.5530973)",1117.37
"(43.95971555, -71.5529739)",1113.76
"(43.9597387, -71.5528505)",1110.36
"(43.9597812, -71.55268425)",1106.52
"(43.9598237, -71.552518)",1102.96
"(43.95983723, -71.55241607)",1100.81
"(43.95985075, -71.55231415)",1098.58
"(43.95986428, -71.55221223)",1096.00
"(43.9598778, -71.5521103)",1093.05
"(43.9599029, -71.5519574)",1088.53
"(43.959928, -71.5518045)",1084.50
"(43.9599531, -71.5516516)",1080.79
"(43.9599782, -71.5514987)",1077.18
"(43.95998592, -71.55138872)",1074.85
"(43.95999365, -71.55127875)",1072.53
"(43.96000138, -71.55116878)",1070.13
"(43.9600091, -71.5510588)",1067.68
"(43.9600091, -71.5509086)",1064.72
"(43.9600091, -71.5507584)",1062.22
"(43.9600284, -71.55061895)",1060.13
"(43.9600477, -71.5504795)",1058.64
"(43.960094, -71.55031855)",1056.96
"(43.9601403, -71.5501576)",1055.17
"(43.9601712, -71.5500074)",1053.58
"(43.9602021, -71.5498572)",1052.32
"(43.9587888, -71.5466064)",1008.08
"(43.95877335, -71.54672978)",1008.99
"(43.9587579, -71.54685315)",1009.49
"(43.95874245, -71.54697653)",1009.67
"(43.958727, -71.5470999)",1009.68
"(43.9587019, -71.54719645)",1008.94
"(43.9586768, -71.547293)",1007.93
"(43.9586517, -71.54738955)",1006.56
"(43.9586266, -71.5474861)",1004.96
"(43.95859185, -71.5476229)",1002.70
"(43.9585571, -71.5477597)",1000.34
"(43.95852235, -71.5478965)",997.72
"(43.9584876, -71.5480333)",995.30
"(43.95843355, -71.54811377)",991.96
"(43.9583795, -71.54819425)",988.97
"(43.95832545, -71.54827472)",986.27
"(43.9582714, -71.5483552)",983.64
"(43.95821348, -71.54843835)",980.54
"(43.95815555, -71.5485215)",977.46
"(43.95809763, -71.54860465)",975.54
"(43.9580397, -71.5486878)",975.15
"(43.95797017, -71.5487468)",973.71
"(43.95790065, -71.5488058)",972.61
"(43.95783112, -71.5488648)",971.61
"(43.9577616, -71.5489238)",970.91
"(43.9576863, -71.54895867)",969.12
"(43.957611, -71.54899355)",967.32
"(43.9575357, -71.54902843)",965.33
"(43.9574604, -71.5490633)",963.33
"(43.95736775, -71.54908475)",960.79
"(43.9572751, -71.5491062)",959.13
"(43.9572017, -71.5490873)",957.41
"(43.9571283, -71.5490684)",955.77
"(43.9590945, -71.5552186)",1169.37
"(43.9590304, -71.5551285)",1168.37
"(43.9589956, -71.5550402)",1167.26
"(43.9589608, -71.5549519)",1166.14
"(43.9589332, -71.5548612)",1164.97
"(43.95890155, -71.55475695)",1163.74
"(43.9588699, -71.5546527)",1162.48
"(43.95883515, -71.5544891)",1160.45
"(43.9588004, -71.5543255)",1157.78
"(43.9587309, -71.5542558)",1156.31
"(43.9586228, -71.5542611)",1156.52
"(43.95854555, -71.5542611)",1156.23
"(43.9584683, -71.5542611)",1155.41
"(43.9584104, -71.5541646)",1152.41
"(43.9583718, -71.5540358)",1148.65
"(43.9583795, -71.55394195)",1146.28
"(43.9583872, -71.5538481)",1144.10
"(43.95841761, -71.5537522)",1142.12
"(43.95844802, -71.5536563)",1140.05
"(43.95847844, -71.5535604)",1137.73
"(43.95850885, -71.5534645)",1135.27
"(43.95853926, -71.5533686)",1132.40
"(43.95856967, -71.5532727)",1129.20
"(43.95860009, -71.5531768)",1125.92
"(43.9586305, -71.5530809)",1122.82
"(43.95867685, -71.5529334)",1118.95
"(43.9587232, -71.5527859)",1115.63
"(43.9587647, -71.5526813)",1113.38
"(43.9588062, -71.5525767)",1111.17
"(43.9588477, -71.5524721)",1108.69
"(43.9588892, -71.5523675)",1105.60
"(43.9589365, -71.55224947)",1101.97
"(43.9589838, -71.55213145)",1098.52
"(43.9590311, -71.55201343)",1095.46
"(43.9590784, -71.5518954)",1092.62
"(43.95911895, -71.55178678)",1090.11
"(43.9591595, -71.55167815)",1087.55
"(43.95920005, -71.55156952)",1085.02
"(43.9592406, -71.5514609)",1082.34
"(43.9593372, -71.5513912)",1080.47
"(43.9594125, -71.55136165)",1079.57
"(43.9594878, -71.5513321)",1078.57
"(43.959565, -71.5512034)",1075.37
"(43.9596422, -71.5510747)",1072.23
"(43.9607779, -71.5426531)",912.73
"(43.96084247, -71.54256852)",910.23
"(43.96090705, -71.54248395)",907.82
"(43.96097162, -71.54239938)",905.52
"(43.9610362, -71.5423148)",903.38
"(43.96109605, -71.54215655)",899.75
"(43.9611559, -71.5419983)",895.95
"(43.96121575, -71.54184005)",892.61
"(43.9612756, -71.5416818)",889.55
"(43.96131003, -71.5415978)",887.72
"(43.96134445, -71.5415138)",885.84
"(43.96137887, -71.5414298)",883.82
"(43.9614133, -71.5413458)",881.90
"(43.9614503, -71.54125547)",880.17
