coordinates,elevation
"(44.36321, -73.8907493)",985.11
"(44.3631371, -73.89066345)",981.96
"(44.3630642, -73.8905776)",978.73
"(44.3630067, -73.89051325)",976.09
"(44.3629492, -73.8904489)",974.92
"(44.3628648, -73.8903684)",973.82
"(44.3627804, -73.8902879)",972.38
"(44.36271905, -73.8902182)",970.27
"(44.3626577, -73.8901485)",967.55
"(44.36259635, -73.89006265)",965.16
"(44.362535, -73.8899768)",963.66
"(44.36248898, -73.88990438)",962.62
"(44.36244295, -73.88983195)",961.27
"(44.36239692, -73.88975953)",959.45
"(44.3623509, -73.8896871)",957.47
"(44.36231635, -73.88957985)",954.19
"(44.3622818, -73.8894726)",950.77
"(44.36223195, -73.88932235)",944.58
"(44.3621821, -73.8891721)",938.40
"(44.3629875, -73.8957811)",1167.01
"(44.3629185, -73.8957704)",1165.00
"(44.3628495, -73.8957597)",1163.10
"(44.36276895, -73.89573555)",1160.70
"(44.3626884, -73.8957114)",1158.96
"(44.36260785, -73.89568725)",1157.32
"(44.3625273, -73.8956631)",1155.40
"(44.3624391, -73.8956309)",1153.41
"(44.3623509, -73.8955987)",1152.13
"(44.3622753, -73.8955692)",1150.55
"(44.3623202, -73.8954592)",1145.90
"(44.3624199, -73.89534655)",1141.59
"(44.3625196, -73.8952339)",1139.54
"(44.362604, -73.8951159)",1136.33
"(44.3626884, -73.8949979)",1133.83
"(44.3658868, -73.8938821)",1035.94
"(44.36584465, -73.89376945)",1035.80
"(44.3658025, -73.8936568)",1034.93
"(44.36575645, -73.89351195)",1034.93
"(44.3657104, -73.8933671)",1033.05
"(44.3656491, -73.8932062)",1030.44
"(44.36556085, -73.8931472)",1028.66
"(44.3654726, -73.8930882)",1025.78
"(44.36541125, -73.89304795)",1023.90
"(44.3653499, -73.8930077)",1022.77
"(44.36528855, -73.89296745)",1021.81
"(44.3652272, -73.8929272)",1021.56
"(44.36515435, -73.89281455)",1020.07
"(44.3650815, -73.8927019)",1018.68
"(44.3650163, -73.8926322)",1018.07
"(44.3649511, -73.8925625)",1016.67
"(44.36490505, -73.8924659)",1015.50
"(44.364859, -73.8923693)",1014.64
"(44.36479765, -73.8922942)",1013.95
"(44.3647363, -73.8922191)",1013.40
"(44.3646481, -73.89213865)",1013.22
"(44.3645599, -73.8920582)",1012.57
"(44.3644832, -73.89196165)",1011.13
"(44.3644065, -73.8918651)",1010.55
"(44.3643298, -73.891849)",1010.79
"(44.3642531, -73.8918329)",1010.75
"(44.3623125, -73.8990958)",1276.52
"(44.36228185, -73.89900995)",1274.69
"(44.3622512, -73.8989241)",1273.25
"(44.36222815, -73.89882755)",1271.98
"(44.3622051, -73.898731)",1270.35
"(44.3622051, -73.8985593)",1269.22
"(44.36219745, -73.89846275)",1267.28
"(44.3621898, -73.8983662)",1264.98
"(44.36215145, -73.898275)",1261.46
"(44.3621131, -73.8981838)",1257.98
"(44.36207475, -73.8980819)",1254.68
"(44.3620364, -73.89798)",1251.39
"(44.3620364, -73.8978298)",1246.76
"(44.3620786, -73.89774395)",1243.92
"(44.3621208, -73.8976581)",1240.13
"(44.3621898, -73.8974972)",1231.97
"(44.3622588, -73.8973363)",1225.28
"(44.36230865, -73.89717535)",1217.47
"(44.3623585, -73.8970144)",1211.18
"(44.36235085, -73.89685375)",1203.23
"(44.3623432, -73.8966931)",1195.68
"(44.362301, -73.89654825)",1189.88
"(44.3622588, -73.8964034)",1184.15
"(44.36220895, -73.8962639)",1178.25
"(44.3621591, -73.8961244)",1172.34
"(44.36207475, -73.89599565)",1166.94
"(44.3619904, -73.8958669)",1161.40
"(44.36192903, -73.89576768)",1155.56
"(44.36186765, -73.89566845)",1151.06
"(44.36180627, -73.89556923)",1146.25
"(44.3617449, -73.89547)",1142.08
"(44.36169313, -73.89538147)",1138.48
"(44.36164135, -73.89529295)",1134.17
"(44.36158957, -73.89520443)",1130.62
"(44.3615378, -73.8951159)",1126.67
"(44.3614803, -73.89496035)",1119.14
"(44.3614228, -73.8948048)",1113.05
"(44.36139595, -73.8946546)",1108.09
"(44.3613691, -73.8945044)",1101.70
"(44.36136525, -73.894381)",1097.62
"(44.3613614, -73.8942576)",1093.24
"(44.36138055, -73.8941235)",1088.54
"(44.3613997, -73.8939894)",1083.45
"(44.36143425, -73.89387675)",1078.33
"(44.3614688, -73.8937641)",1074.89
"(44.36150523, -73.89367827)",1071.91
"(44.36154165, -73.89359245)",1069.51
"(44.36157807, -73.89350663)",1066.60
"(44.3616145, -73.8934208)",1064.13
"(44.36167588, -73.8933296)",1062.31
"(44.36173725, -73.8932384)",1059.93
"(44.36179863, -73.8931472)",1057.75
"(44.36186, -73.893056)",1055.76
"(44.3623125, -73.8935495)",1077.12
"(44.36226265, -73.89348245)",1074.25
"(44.3622128, -73.8934154)",1071.73
"(44.36216295, -73.89334835)",1069.22
"(44.3621131, -73.8932813)",1066.89
"(44.36206535, -73.89320688)",1064.29
"(44.3620176, -73.89313245)",1061.34
"(44.36196985, -73.89305802)",1057.90
"(44.3619221, -73.8929836)",1054.32
"(44.3618797, -73.892824)",1048.38
"(44.3618373, -73.8926644)",1042.66
"(44.3618238, -73.89255845)",1038.87
"(44.3618103, -73.8924525)",1033.94
"(44.3617968, -73.89234655)",1029.02
"(44.3617833, -73.8922406)",1024.40
"(44.3617622, -73.8921199)",1018.72
"(44.3617411, -73.8919992)",1013.31
"(44.36172, -73.8918785)",1007.79
"(44.3616989, -73.8917578)",1001.56
"(44.3616874, -73.89160225)",993.99
"(44.3616759, -73.8914467)",986.41
"(44.36169505, -73.89131795)",980.86
"(44.3617142, -73.8911892)",975.74
"(44.36174297, -73.8910658)",971.62
"(44.36177175, -73.8909424)",968.77
"(44.36180052, -73.890819)",966.51
"(44.3618293, -73.8906956)",964.92
"(44.36187915, -73.8905508)",963.23
