coordinates,elevation
"(48.5107035, -114.3331365)",1795.32
"(48.5107739, -114.33311774)",1794.49
"(48.5108443, -114.33309897)",1793.62
"(48.5109147, -114.33308021)",1792.72
"(48.5109851, -114.33306145)",1791.71
"(48.5110555, -114.33304269)",1790.65
"(48.5111259, -114.33302392)",1789.36
"(48.5111963, -114.33300516)",1788.02
"(48.5112667, -114.3329864)",1786.89
"(48.51136277, -114.33298515)",1785.12
"(48.51145885, -114.3329839)",1783.50
"(48.51155492, -114.33298265)",1782.09
"(48.511651, -114.3329814)",1780.73
"(48.51174708, -114.33298015)",1779.35
"(48.51184315, -114.3329789)",1777.74
"(48.51193923, -114.33297765)",1775.69
"(48.5120353, -114.3329764)",1773.42
"(48.51213304, -114.3329464)",1771.75
"(48.51223078, -114.3329164)",1769.49
"(48.51232851, -114.3328864)",1767.72
"(48.51242625, -114.3328564)",1765.47
"(48.51252399, -114.3328264)",1762.72
"(48.51262173, -114.3327964)",1760.38
"(48.51271946, -114.3327664)",1758.13
"(48.5128172, -114.3327364)",1755.79
"(48.51288842, -114.33269389)",1754.29
"(48.51295965, -114.33265138)",1752.44
"(48.51303087, -114.33260886)",1750.73
"(48.5131021, -114.33256635)",1749.09
"(48.51317332, -114.33252384)",1747.66
"(48.51324455, -114.33248133)",1746.09
"(48.51331577, -114.33243881)",1744.53
"(48.513387, -114.3323963)",1743.19
"(48.51346838, -114.33235085)",1740.48
"(48.51354975, -114.3323054)",1738.18
"(48.51363112, -114.33225995)",1736.05
"(48.5137125, -114.3322145)",1734.87
"(48.5137894, -114.33215963)",1734.62
"(48.5138663, -114.33210475)",1734.52
"(48.5139432, -114.33204988)",1734.04
"(48.5140201, -114.331995)",1733.41
"(48.5141215, -114.33192265)",1731.71
"(48.5142229, -114.3318503)",1730.00
"(48.5143243, -114.33177795)",1728.63
"(48.5144257, -114.3317056)",1727.53
"(48.5145271, -114.33163325)",1726.57
"(48.5146285, -114.3315609)",1725.89
"(48.5147299, -114.33148855)",1725.36
"(48.5148313, -114.3314162)",1724.55
"(48.51494307, -114.33134173)",1723.37
"(48.51505485, -114.33126725)",1721.73
"(48.51516662, -114.33119278)",1719.25
"(48.5152784, -114.3311183)",1716.83
"(48.51536495, -114.33105423)",1715.35
"(48.5154515, -114.33099015)",1714.21
"(48.51553805, -114.33092607)",1713.65
"(48.5156246, -114.330862)",1713.13
"(48.51571115, -114.33079792)",1712.02
"(48.5157977, -114.33073385)",1710.80
"(48.51588425, -114.33066978)",1709.64
"(48.5159708, -114.3306057)",1707.99
"(48.51604482, -114.33056341)",1705.48
"(48.51611885, -114.33052113)",1702.73
"(48.51619288, -114.33047884)",1700.50
"(48.5162669, -114.33043655)",1698.71
"(48.51634092, -114.33039426)",1697.07
"(48.51641495, -114.33035197)",1695.45
"(48.51648898, -114.33030969)",1693.90
"(48.516563, -114.3302674)",1692.56
"(48.5026125, -114.3365071)",1982.33
"(48.50272515, -114.33643957)",1978.78
"(48.5028378, -114.33637205)",1975.88
"(48.50295045, -114.33630453)",1973.83
