coordinates,elevation
"(44.2490656, -71.2247192)",1209.67
"(44.24914438, -71.22470175)",1210.71
"(44.24922315, -71.2246843)",1211.25
"(44.24930193, -71.22466685)",1211.84
"(44.2493807, -71.2246494)",1212.48
"(44.24944988, -71.22467355)",1211.91
"(44.24951905, -71.2246977)",1211.45
"(44.24958822, -71.22472185)",1210.32
"(44.2496574, -71.224746)",1208.94
"(44.24970575, -71.22467065)",1209.64
"(44.2497541, -71.2245953)",1209.74
"(44.2498085, -71.22451031)",1209.36
"(44.2498629, -71.22442532)",1208.70
"(44.2499173, -71.22434034)",1208.60
"(44.2499717, -71.22425535)",1208.25
"(44.2500261, -71.22417036)",1207.47
"(44.2500805, -71.22408537)",1206.56
"(44.2501349, -71.22400039)",1205.72
"(44.2501893, -71.2239154)",1204.71
"(44.2502479, -71.22381885)",1202.58
"(44.2503065, -71.2237223)",1200.72
"(44.2503651, -71.22362575)",1199.10
"(44.2504237, -71.2235292)",1197.82
"(44.2504967, -71.2234474)",1195.68
"(44.2505697, -71.2233656)",1193.49
"(44.2506396, -71.2233071)",1190.38
"(44.2506719, -71.2232598)",1188.80
"(44.2507364, -71.2232295)",1186.28
"(44.2508009, -71.2231992)",1184.28
"(44.2508927, -71.2231711)",1182.50
"(44.2509958, -71.22327815)",1178.30
"(44.2510989, -71.2233852)",1174.18
"(44.251202, -71.22349225)",1170.89
"(44.2513051, -71.2235993)",1169.00
"(44.2513638, -71.2237054)",1168.72
"(44.2514272, -71.2237162)",1168.69
"(44.2514849, -71.2236893)",1168.35
"(44.2515387, -71.22360485)",1167.55
"(44.2515925, -71.2235204)",1166.45
"(44.2516648, -71.2234793)",1165.93
"(44.25178187, -71.223526)",1165.50
"(44.25189895, -71.2235727)",1164.36
"(44.25201603, -71.2236194)",1162.90
"(44.2521331, -71.2236661)",1160.89
"(44.25225018, -71.2237128)",1156.90
"(44.25236725, -71.2237595)",1152.66
"(44.25248433, -71.2238062)",1148.49
"(44.2526014, -71.2238529)",1144.35
"(44.25266233, -71.22380099)",1142.73
"(44.25272325, -71.22374909)",1141.13
"(44.25278418, -71.22369718)",1140.11
"(44.2528451, -71.22364527)",1139.05
"(44.25290603, -71.22359337)",1138.22
"(44.25296695, -71.22354146)",1137.45
"(44.25302788, -71.22348956)",1136.91
"(44.2530888, -71.22343765)",1136.12
"(44.25314973, -71.22338574)",1135.38
"(44.25321065, -71.22333384)",1134.44
"(44.25327157, -71.22328193)",1133.30
"(44.2533325, -71.22323002)",1132.35
"(44.25339342, -71.22317812)",1131.28
"(44.25345435, -71.22312621)",1130.94
"(44.25351527, -71.22307431)",1131.04
"(44.2535762, -71.2230224)",1131.58
"(44.25360656, -71.22314968)",1129.76
"(44.25363692, -71.22327695)",1127.34
"(44.25366729, -71.22340423)",1124.57
"(44.25369765, -71.2235315)",1121.45
"(44.25372801, -71.22365878)",1118.12
"(44.25375838, -71.22378605)",1114.93
"(44.25378874, -71.22391332)",1112.23
"(44.2538191, -71.2240406)",1109.66
"(44.25392826, -71.22404104)",1107.49
"(44.25403742, -71.22404147)",1104.79
"(44.25414659, -71.22404191)",1102.07
"(44.25425575, -71.22404235)",1099.40
"(44.25436491, -71.22404279)",1096.90
"(44.25447408, -71.22404323)",1094.70
"(44.25458324, -71.22404366)",1092.47
"(44.2546924, -71.2240441)",1089.97
"(44.2547775, -71.2239844)",1088.80
"(44.2548489, -71.2239316)",1087.66
"(44.254911, -71.22388205)",1086.78
"(44.2549731, -71.2238325)",1085.78
"(44.2550352, -71.22378295)",1085.21
"(44.2550973, -71.2237334)",1084.67
"(44.25521898, -71.22371392)",1082.36
"(44.25534065, -71.22369445)",1079.98
"(44.25546232, -71.22367498)",1077.30
"(44.255584, -71.2236555)",1074.69
"(44.25565496, -71.22359977)",1073.50
"(44.25572593, -71.22354405)",1071.65
"(44.25579689, -71.22348833)",1069.29
"(44.25586785, -71.2234326)",1066.97
"(44.25593881, -71.22337687)",1064.44
"(44.25600977, -71.22332115)",1061.86
"(44.25608074, -71.22326542)",1059.45
"(44.2561517, -71.2232097)",1057.67
"(44.25626525, -71.22329105)",1053.88
"(44.2563788, -71.2233724)",1050.22
"(44.25637735, -71.22346844)",1049.64
"(44.2563759, -71.22356448)",1048.88
"(44.25637445, -71.22366051)",1048.11
"(44.256373, -71.22375655)",1047.52
"(44.25637155, -71.22385259)",1046.69
"(44.2563701, -71.22394863)",1045.77
"(44.25636865, -71.22404466)",1044.88
"(44.2563672, -71.2241407)",1043.98
"(44.25633953, -71.2242647)",1043.29
"(44.25631185, -71.2243887)",1041.97
"(44.25628418, -71.2245127)",1039.70
"(44.2562565, -71.2246367)",1037.71
"(44.25624765, -71.2247878)",1034.76
"(44.2562388, -71.2249389)",1031.66
"(44.25622995, -71.22509)",1028.97
"(44.2562211, -71.2252411)",1026.61
"(44.2562211, -71.2252411)",1026.61
"(44.25626837, -71.22536295)",1024.34
"(44.25631565, -71.2254848)",1021.40
"(44.25636292, -71.22560665)",1017.37
"(44.2564102, -71.2257285)",1013.51
"(44.25640445, -71.22584785)",1011.92
"(44.2563987, -71.2259672)",1010.96
"(44.2563353, -71.22605035)",1010.51
"(44.2562719, -71.2261335)",1010.22
"(44.25620275, -71.2261442)",1010.36
"(44.2561336, -71.2261549)",1010.53
"(44.25607475, -71.22621685)",1010.13
"(44.2560159, -71.2262788)",1009.85
"(44.25595705, -71.22634075)",1009.17
"(44.2558982, -71.2264027)",1008.87
"(44.25582265, -71.2264978)",1008.01
"(44.2557471, -71.2265929)",1007.23
"(44.25578295, -71.22650243)",1008.20
"(44.2558188, -71.22641195)",1009.44
"(44.25585465, -71.22632147)",1011.19
"(44.2558905, -71.226231)",1013.16
"(44.2559143, -71.22613152)",1015.38
"(44.2559381, -71.22603205)",1017.41
"(44.2559619, -71.22593258)",1018.83
"(44.2559857, -71.2258331)",1019.95
"(44.2558577, -71.2269019)",1002.80
"(44.2558577, -71.2269019)",1002.80
"(44.2558024, -71.2267474)",1005.26
"(44.2557471, -71.2265929)",1007.23
"(44.25564225, -71.2266905)",1006.56
"(44.2555374, -71.2267881)",1005.88
"(44.25549325, -71.226964)",1004.22
"(44.2554491, -71.2271399)",1003.15
"(44.25551655, -71.22711845)",1003.11
"(44.255584, -71.227097)",1002.80
"(44.25567426, -71.22708176)",1002.50
"(44.25576453, -71.22706652)",1002.63
"(44.25585479, -71.22705129)",1002.24
"(44.25594505, -71.22703605)",1001.03
"(44.25603531, -71.22702081)",999.41
"(44.25612557, -71.22700558)",997.81
"(44.25621584, -71.22699034)",996.23
"(44.2563061, -71.2269751)",994.62
"(44.256376, -71.2269629)",993.48
"(44.2564459, -71.2269507)",992.61
"(44.2565158, -71.2269385)",991.91
"(44.2565857, -71.2269263)",991.13
"(44.2566876, -71.22689785)",990.02
"(44.2567895, -71.2268694)",989.19
"(44.2568096, -71.2268579)",989.13
"(44.25687883, -71.22681807)",988.46
"(44.25694805, -71.22677825)",987.10
"(44.25701727, -71.22673843)",985.61
"(44.2570865, -71.2266986)",984.05
"(44.25717968, -71.22666201)",982.53
"(44.25727285, -71.22662543)",981.50
"(44.25736602, -71.22658884)",980.76
"(44.2574592, -71.22655225)",979.83
"(44.25755238, -71.22651566)",978.59
"(44.25764555, -71.22647908)",977.09
"(44.25773872, -71.22644249)",974.94
"(44.2578319, -71.2264059)",972.58
"(44.25790033, -71.2263876)",970.87
"(44.25796875, -71.2263693)",969.11
"(44.25803717, -71.226351)",967.45
"(44.2581056, -71.2263327)",966.26
"(44.25817403, -71.2263144)",965.36
"(44.25824245, -71.2262961)",964.69
"(44.25831087, -71.2262778)",964.15
"(44.2583793, -71.2262595)",963.71
"(44.2584681, -71.22625545)",962.66
"(44.2585569, -71.2262514)",961.52
"(44.2586457, -71.22624735)",960.31
"(44.2587345, -71.2262433)",958.90
"(44.25878838, -71.22618027)",958.48
"(44.25884225, -71.22611725)",957.71
"(44.25889612, -71.22605422)",956.71
"(44.25895, -71.2259912)",955.75
"(44.2589769, -71.2259662)",955.15
"(44.2590619, -71.22588708)",953.06
"(44.2591469, -71.22580795)",950.82
"(44.2592319, -71.22572883)",948.08
"(44.2593169, -71.2256497)",944.97
"(44.25937042, -71.22559203)",942.65
"(44.25942394, -71.22553436)",940.22
"(44.25947746, -71.22547669)",938.63
"(44.25953098, -71.22541903)",937.66
"(44.25958449, -71.22536136)",936.98
"(44.25963801, -71.22530369)",936.27
"(44.25969153, -71.22524602)",935.38
"(44.25974505, -71.22518835)",934.40
"(44.25979857, -71.22513068)",933.23
"(44.25985209, -71.22507301)",931.74
"(44.25990561, -71.22501534)",930.49
"(44.25995912, -71.22495767)",928.85
"(44.26001264, -71.22490001)",927.98
"(44.26006616, -71.22484234)",926.90
"(44.26011968, -71.22478467)",925.77
"(44.2601732, -71.224727)",924.96
"(44.26024235, -71.22465587)",923.71
"(44.2603115, -71.22458475)",922.76
"(44.26038065, -71.22451362)",922.05
"(44.2604498, -71.2244425)",920.82
"(44.2564102, -71.2257285)",1013.51
"(44.2564953, -71.2257363)",1011.68
"(44.2565804, -71.2257441)",1010.14
"(44.2566721, -71.22570545)",1008.94
"(44.2567638, -71.2256668)",1007.82
"(44.256836, -71.22558978)",1007.30
"(44.2569082, -71.22551275)",1007.08
"(44.2569804, -71.22543573)",1006.59
"(44.2570526, -71.2253587)",1005.42
"(44.2571702, -71.2253336)",1002.38
"(44.2572878, -71.2253085)",999.41
"(44.25738595, -71.2252776)",997.52
"(44.2574841, -71.2252467)",996.39
"(44.25758012, -71.2251978)",995.28
"(44.25767615, -71.2251489)",994.05
"(44.25777217, -71.2251)",992.97
"(44.2578682, -71.2250511)",991.57
"(44.25795565, -71.22504705)",989.89
"(44.2580431, -71.225043)",988.09
"(44.2581108, -71.225099)",986.11
"(44.2581785, -71.225155)",983.99
"(44.25828415, -71.2252221)",980.61
"(44.2583898, -71.2252892)",976.40
"(44.25844985, -71.2254008)",973.74
"(44.2585099, -71.2255124)",971.82
"(44.25857665, -71.22563545)",969.95
"(44.2586434, -71.2257585)",967.29
"(44.25872677, -71.22581042)",964.56
"(44.25881015, -71.22586235)",961.62
"(44.25889353, -71.22591428)",958.41
"(44.2589769, -71.2259662)",955.15
"(44.2604498, -71.2244425)",920.82
"(44.2604216, -71.22455029)",920.91
"(44.2603934, -71.22465808)",921.38
"(44.2603652, -71.22476586)",921.50
"(44.260337, -71.22487365)",920.63
"(44.2603088, -71.22498144)",919.59
"(44.2602806, -71.22508923)",918.28
"(44.2602524, -71.22519701)",916.80
"(44.2602242, -71.2253048)",915.61
"(44.26018975, -71.22542615)",914.42
"(44.2601553, -71.2255475)",912.71
"(44.26020625, -71.2256593)",909.94
"(44.2602572, -71.2257711)",906.43
"(44.260346, -71.2257752)",904.81
"(44.2604348, -71.2257793)",903.21
"(44.2605469, -71.22570815)",901.75
"(44.260659, -71.225637)",899.59
"(44.26072525, -71.22556585)",898.18
"(44.2607915, -71.2254947)",896.03
"(44.26085775, -71.22542355)",893.75
"(44.260924, -71.2253524)",891.76
"(44.26100505, -71.2252462)",889.98
"(44.2610861, -71.22514)",888.45
"(44.2611477, -71.2250592)",887.77
"(44.2612093, -71.2249784)",887.70
"(44.26128938, -71.2249113)",886.75
"(44.26136945, -71.2248442)",885.50
"(44.26144953, -71.2247771)",884.21
"(44.2615296, -71.22471)",882.54
"(44.26158638, -71.22463988)",881.12
"(44.26164315, -71.22456975)",878.89
"(44.26169993, -71.22449962)",875.73
"(44.2617567, -71.2244295)",873.76
"(44.26180983, -71.22436445)",872.11
"(44.26186295, -71.2242994)",871.17
"(44.26191608, -71.22423435)",870.58
"(44.2619692, -71.2241693)",869.62
"(44.2620449, -71.22409002)",867.98
"(44.2621206, -71.22401075)",866.09
"(44.2621963, -71.22393148)",863.39
"(44.262272, -71.2238522)",861.11
"(44.26231858, -71.22373533)",860.20
"(44.26236515, -71.22361845)",859.07
"(44.26241172, -71.22350158)",858.18
"(44.2624583, -71.2233847)",857.02
"(44.26249542, -71.22326985)",856.21
"(44.26253255, -71.223155)",854.63
"(44.26256968, -71.22304015)",852.34
"(44.2626068, -71.2229253)",849.68
"(44.26263595, -71.2227769)",846.03
"(44.2626651, -71.2226285)",841.71
"(44.26266215, -71.22245575)",839.23
"(44.2626592, -71.222283)",837.09
"(44.26264392, -71.22215088)",835.84
"(44.26262865, -71.22201875)",834.35
"(44.26261338, -71.22188662)",833.03
"(44.2625981, -71.2217545)",832.09
"(44.2625792, -71.2215817)",830.52
"(44.2625603, -71.2214089)",828.19
"(44.2625166, -71.2212341)",827.78
