lift_id,for_display,lat,lon,elevation,slope,index
130101416,True,45.17098760,-84.94134550,231.76,0.00,0
130101416,True,45.17075705,-84.94143000,233.40,3.54,1
130101416,True,45.17052650,-84.94151450,235.51,4.56,2
130101416,True,45.17014930,-84.94165280,238.69,4.20,3
130101416,True,45.16985553,-84.94176047,243.48,8.08,4
130101416,True,45.16956175,-84.94186815,247.28,6.43,5
130101416,True,45.16926797,-84.94197583,243.18,-6.93,6
130101416,True,45.16897420,-84.94208350,251.70,14.17,7
130101416,True,45.16866680,-84.94219620,261.35,15.29,8
130101416,True,45.16824250,-84.94235170,265.53,4.90,9
130101416,True,45.16793782,-84.94246340,270.78,8.53,10
130101416,True,45.16763315,-84.94257510,277.53,10.92,11
130101416,True,45.16732848,-84.94268680,282.93,8.77,12
130101416,True,45.16702380,-84.94279850,291.01,13.00,13
130101416,True,45.16662010,-84.94294650,299.06,9.85,14
130101416,True,45.16624080,-84.94308550,309.98,14.07,15
130101416,True,45.16594015,-84.94319715,315.24,8.65,16
130101416,True,45.16563950,-84.94330880,312.79,-4.06,17
130101416,True,45.16526660,-84.94344720,322.92,13.30,18
130101416,True,45.16521060,-84.94346800,324.30,12.10,19
130101416,True,45.16515450,-84.94348880,325.12,7.25,20
130101416,True,45.16485803,-84.94359887,324.83,-0.49,21
130101416,True,45.16456155,-84.94370895,326.13,2.18,22
130101416,True,45.16426508,-84.94381903,331.99,9.76,23
130101416,True,45.16396860,-84.94392910,337.65,9.43,24
130101416,True,45.16374670,-84.94401310,341.38,8.31,25
130101416,True,45.16347140,-84.94411720,344.40,5.45,26
130101416,True,45.16310160,-84.94425210,346.90,3.37,27
130101417,True,45.16859190,-84.93796320,226.63,0.00,0
130101417,True,45.16845430,-84.93811320,227.17,1.60,1
130101417,True,45.16817398,-84.93841882,230.06,4.20,2
130101417,True,45.16789365,-84.93872445,233.45,4.93,3
130101417,True,45.16761332,-84.93903008,238.25,6.96,4
130101417,True,45.16733300,-84.93933570,240.45,3.20,5
130101417,True,45.16712595,-84.93956145,240.77,0.63,6
130101417,True,45.16691890,-84.93978720,242.00,2.43,7
130101417,True,45.16666460,-84.94006440,245.19,5.11,8
130101417,True,45.16641030,-84.94034160,249.28,6.54,9
130101417,True,45.16622535,-84.94054325,253.40,9.02,10
130101417,True,45.16604040,-84.94074490,257.89,9.82,11
130101417,True,45.16586580,-84.94093530,260.42,5.90,12
130101417,True,45.16566505,-84.94115410,262.20,3.62,13
