lift_id,for_display,lat,lon,elevation,slope,index
256966143,True,44.52109570,-85.99013140,242.75,0.00,0
256966143,True,44.52131977,-85.99025002,244.66,4.10,1
256966143,True,44.52154385,-85.99036865,247.12,5.28,2
256966143,True,44.52176792,-85.99048727,249.64,5.41,3
256966143,True,44.52199200,-85.99060590,251.91,4.87,4
256966144,True,44.52108030,-85.99044880,243.36,0.00,0
256966144,True,44.52121210,-85.99051660,244.49,4.14,1
256966145,True,44.52076400,-85.99096030,242.54,0.00,0
256966145,True,44.52103640,-85.99126540,246.03,5.14,1
256966145,True,44.52123210,-85.99148450,252.01,12.12,2
256966145,True,44.52142780,-85.99170360,261.19,18.25,3
256966145,True,44.52162580,-85.99192525,272.77,22.35,4
256966145,True,44.52182380,-85.99214690,285.35,24.06,5
256966145,True,44.52217080,-85.99253540,305.01,21.71,6
256966145,True,44.52248580,-85.99298010,318.86,15.57,7
256967160,True,44.51997100,-85.99228510,249.55,0.00,0
256967160,True,44.52017560,-85.99263920,252.34,4.42,1
256967160,True,44.52045480,-85.99312220,260.50,9.40,2
256967160,True,44.52063020,-85.99342575,264.94,8.16,3
256967160,True,44.52080560,-85.99372930,267.69,5.07,4
256967160,True,44.52095157,-85.99398185,268.43,1.64,5
256967160,True,44.52109755,-85.99423440,270.25,4.04,6
256967160,True,44.52124353,-85.99448695,272.07,4.04,7
256967160,True,44.52138950,-85.99473950,274.02,4.33,8
256967160,True,44.52167035,-85.99522550,277.29,3.77,9
256967160,True,44.52195120,-85.99571150,281.27,4.59,10
256967160,True,44.52211070,-85.99598750,283.40,4.32,11
256967160,True,44.52227020,-85.99626350,287.53,8.34,12
256967160,True,44.52242970,-85.99653950,291.70,8.42,13
256967160,True,44.52258920,-85.99681550,295.47,7.62,14
256967160,True,44.52277135,-85.99713073,300.21,8.38,15
256967160,True,44.52295350,-85.99744595,306.65,11.32,16
256967160,True,44.52313565,-85.99776117,313.23,11.56,17
256967160,True,44.52331780,-85.99807640,325.09,20.24,18
256967160,True,44.52359350,-85.99855340,343.60,20.82,19
256967162,True,44.51812400,-85.99370140,242.30,0.00,0
256967162,True,44.51826205,-85.99399695,243.39,2.23,1
256967162,True,44.51840010,-85.99429250,246.70,6.74,2
256967162,True,44.51853685,-85.99456105,251.61,10.63,3
256967162,True,44.51867360,-85.99482960,259.73,17.24,4
256967162,True,44.51883255,-85.99515660,271.45,20.48,5
256967162,True,44.51899150,-85.99548360,285.86,24.67,6
256967162,True,44.51920240,-85.99595210,303.00,21.31,7
256967162,True,44.51940810,-85.99640300,317.39,18.73,8
256967162,True,44.51951870,-85.99674400,326.67,17.35,9
256967162,True,44.51963590,-85.99701490,330.62,8.94,10
256967163,True,44.52336620,-86.00233270,281.77,0.00,0
256967163,True,44.52348960,-86.00197690,285.64,7.03,1
256967163,True,44.52360410,-86.00164690,290.57,9.62,2
256967163,True,44.52371860,-86.00131690,296.19,10.93,3
256967163,True,44.52384965,-86.00093915,305.47,15.57,4
256967163,True,44.52398070,-86.00056140,315.51,16.78,5
256967163,True,44.52411515,-86.00017385,322.56,11.66,6
256967163,True,44.52424960,-85.99978630,331.64,14.88,7
256967163,True,44.52436900,-85.99944210,342.06,18.95,8
256967164,True,44.52976550,-85.99875280,270.87,0.00,0
256967164,True,44.52934930,-85.99887730,274.87,4.83,1
256967164,True,44.52901190,-85.99897385,280.81,8.82,2
256967164,True,44.52867450,-85.99907040,287.34,9.68,3
256967164,True,44.52833970,-85.99916625,292.56,7.82,4
256967164,True,44.52800490,-85.99926210,301.52,13.27,5
256967164,True,44.52764420,-85.99936535,308.89,10.21,6
256967164,True,44.52728350,-85.99946860,322.59,18.50,7
256967164,True,44.52694310,-85.99956610,332.03,13.73,8
256967164,True,44.52678540,-85.99961120,337.81,17.90,9
562088687,True,44.52549720,-86.00330770,289.50,0.00,0
562088687,True,44.52554130,-86.00281730,292.87,4.92,1
562088687,True,44.52557730,-86.00246240,297.98,10.19,2
562088687,True,44.52561330,-86.00210750,303.65,11.28,3
562088687,True,44.52564925,-86.00175265,311.34,15.14,4
562088687,True,44.52568520,-86.00139780,317.43,12.10,5
562088687,True,44.52572025,-86.00105190,322.94,11.25,6
562088687,True,44.52575530,-86.00070600,328.97,12.28,7
562088687,True,44.52578140,-86.00044820,331.85,7.94,8
1026564410,True,44.51952130,-85.99322610,251.52,0.00,0
1026564410,True,44.51969250,-85.99372900,256.80,6.81,1
1026564410,True,44.51981580,-85.99413940,266.28,15.03,2
1026564410,True,44.51995260,-85.99463960,276.25,13.21,3
1026564410,True,44.52010170,-85.99516270,284.78,10.81,4
1026564410,True,44.52024900,-85.99570450,292.49,9.52,5
1026564410,True,44.52040480,-85.99628380,301.38,10.27,6
1026564410,True,44.52048755,-85.99659425,306.48,10.98,7
1026564410,True,44.52057030,-85.99690470,312.91,13.75,8
1026564410,True,44.52063720,-85.99717030,317.46,11.52,9
1026564410,True,44.52070610,-85.99743580,320.31,7.25,10
