lift_id,for_display,lat,lon,elevation,slope,index
208286544,True,43.41888340,-89.62975320,290.24,0.00,0
208286544,True,43.41905955,-89.62997035,293.35,6.75,1
208286544,True,43.41923570,-89.63018750,298.00,10.04,2
208286544,True,43.41948412,-89.63049375,303.52,8.47,3
208286544,True,43.41973255,-89.63080000,309.02,8.44,4
208286544,True,43.41998098,-89.63110625,319.63,15.96,5
208286544,True,43.42022940,-89.63141250,331.05,17.12,6
208286544,True,43.42046105,-89.63169800,342.13,17.78,7
208286544,True,43.42069270,-89.63198350,353.77,18.60,8
208286544,True,43.42088100,-89.63221565,359.81,12.14,9
208286544,True,43.42106930,-89.63244780,363.54,7.55,10
208286544,True,43.42138990,-89.63284300,369.67,7.30,11
208286544,True,43.42171050,-89.63323820,377.56,9.36,12
208286544,True,43.42188570,-89.63345430,383.10,11.97,13
208286544,True,43.42217770,-89.63381420,389.41,8.24,14
256892316,True,43.41812420,-89.63005970,285.47,0.00,0
256892316,True,43.41813150,-89.63043520,287.27,3.41,1
256892316,True,43.41813880,-89.63081070,292.68,10.10,2
256892316,True,43.41814610,-89.63118620,292.77,0.17,3
256892316,True,43.41815340,-89.63156170,298.91,11.45,4
256892317,True,43.41852360,-89.62981020,286.11,0.00,0
256892317,True,43.41858790,-89.63035740,289.75,4.65,1
256892317,True,43.41865220,-89.63090460,296.43,8.48,2
256892318,True,43.41897920,-89.62939670,290.58,0.00,0
256892318,True,43.41924810,-89.62973590,295.96,7.55,1
256892318,True,43.41955590,-89.63012430,303.37,9.07,2
256892318,True,43.41973817,-89.63035424,308.88,11.34,3
256892318,True,43.41992045,-89.63058417,315.98,14.47,4
256892318,True,43.42010272,-89.63081411,325.00,18.16,5
256892318,True,43.42028500,-89.63104405,333.63,17.43,6
256892318,True,43.42046728,-89.63127399,343.63,19.99,7
256892318,True,43.42064955,-89.63150393,351.32,15.63,8
256892318,True,43.42083183,-89.63173386,357.38,12.44,9
256892318,True,43.42101410,-89.63196380,361.54,8.60,10
256892318,True,43.42118842,-89.63218373,365.12,7.76,11
256892318,True,43.42136275,-89.63240365,368.15,6.57,12
256892318,True,43.42153708,-89.63262357,371.50,7.27,13
256892318,True,43.42171140,-89.63284350,375.58,8.83,14
256892318,True,43.42196790,-89.63316705,383.46,11.51,15
256892318,True,43.42222440,-89.63349060,391.26,11.41,16
256892319,True,43.41885800,-89.62839240,287.71,0.00,0
256892319,True,43.41920480,-89.62840800,292.83,7.56,1
256892319,True,43.41957800,-89.62842470,294.22,1.92,2
256892319,True,43.41993120,-89.62844055,297.70,5.05,3
256892319,True,43.42028440,-89.62845640,302.26,6.63,4
256892319,True,43.42064905,-89.62847275,310.87,11.98,5
256892319,True,43.42101370,-89.62848910,321.62,14.84,6
256892319,True,43.42136550,-89.62850485,332.71,15.83,7
256892319,True,43.42171730,-89.62852060,345.73,18.40,8
256892319,True,43.42199790,-89.62853320,354.51,15.71,9
256892319,True,43.42227850,-89.62854580,360.98,11.71,10
256892319,True,43.42265130,-89.62856250,366.85,8.06,11
256892319,True,43.42302235,-89.62857915,371.08,5.84,12
256892319,True,43.42339340,-89.62859580,377.06,8.25,13
256892319,True,43.42376945,-89.62861265,380.11,4.16,14
256892319,True,43.42414550,-89.62862950,382.87,3.77,15
256892319,True,43.42454040,-89.62864725,387.58,6.13,16
256892319,True,43.42493530,-89.62866500,392.71,6.65,17
256892319,True,43.42534915,-89.62868355,399.83,8.79,18
256892319,True,43.42576300,-89.62870210,409.32,11.66,19
256892319,True,43.42619570,-89.62872150,417.46,9.60,20
256892320,True,43.42384890,-89.63425040,379.03,0.00,0
256892320,True,43.42404635,-89.63404305,381.28,4.67,1
256892320,True,43.42424380,-89.63383570,383.23,4.04,2
256892320,True,43.42443945,-89.63363025,385.02,3.74,3
256892320,True,43.42463510,-89.63342480,386.99,4.12,4
256892320,True,43.42491080,-89.63313520,389.71,4.03,5
256892320,True,43.42510510,-89.63293115,391.32,3.39,6
256892320,True,43.42529940,-89.63272710,392.99,3.53,7
256892320,True,43.42549370,-89.63252305,394.79,3.78,8
256892320,True,43.42568800,-89.63231900,396.84,4.31,9
256892320,True,43.42587440,-89.63212325,399.84,6.57,10
256892320,True,43.42606080,-89.63192750,403.06,7.02,11
256892320,True,43.42624405,-89.63173505,406.56,7.79,12
256892320,True,43.42642730,-89.63154260,409.60,6.76,13
256892320,True,43.42669950,-89.63125680,413.20,5.41,14
256892320,True,43.42697160,-89.63097100,416.10,4.35,15
256892320,True,43.42706700,-89.63087080,416.86,3.26,16
256892321,True,43.41912020,-89.62653850,284.96,0.00,0
256892321,True,43.41953510,-89.62650660,291.31,7.82,1
256892321,True,43.41995000,-89.62647470,300.10,10.77,2
256892321,True,43.42018745,-89.62645645,304.92,10.33,3
256892321,True,43.42042490,-89.62643820,309.72,10.30,4
256892321,True,43.42064990,-89.62642085,315.52,13.02,5
256892321,True,43.42087490,-89.62640350,321.57,13.57,6
256892321,True,43.42111215,-89.62638530,326.71,11.02,7
256892321,True,43.42134940,-89.62636710,333.94,15.30,8
256892321,True,43.42165585,-89.62634350,341.23,12.06,9
256892321,True,43.42196230,-89.62631990,350.63,15.41,10
256892321,True,43.42240450,-89.62628590,367.49,18.89,11
256892321,True,43.42267375,-89.62626520,372.75,9.94,12
256892321,True,43.42294300,-89.62624450,377.76,9.49,13
256892321,True,43.42328030,-89.62621855,378.68,1.41,14
256892321,True,43.42361760,-89.62619260,382.16,5.28,15
256892321,True,43.42400060,-89.62616310,385.76,4.83,16
256892321,True,43.42430790,-89.62613950,388.86,5.18,17
256892321,True,43.42461785,-89.62611565,393.96,8.40,18
256892321,True,43.42492780,-89.62609180,401.74,12.70,19
256892321,True,43.42522550,-89.62606890,410.32,14.50,20
256892321,True,43.42552320,-89.62604600,419.36,15.25,21
256892321,True,43.42584385,-89.62602135,423.90,7.24,22
256892321,True,43.42616450,-89.62599670,427.89,6.39,23
256892324,True,43.41920460,-89.62484380,284.46,0.00,0
256892324,True,43.41945190,-89.62484965,287.81,6.93,1
256892324,True,43.41969920,-89.62485550,292.39,9.45,2
256892324,True,43.41993630,-89.62486110,295.94,7.67,3
256892324,True,43.42017340,-89.62486670,298.53,5.62,4
256892324,True,43.42051620,-89.62487480,304.74,9.24,5
256892324,True,43.42085900,-89.62488290,313.69,13.22,6
256892324,True,43.42120965,-89.62489115,322.97,13.38,7
256892324,True,43.42156030,-89.62489940,335.51,17.83,8
256892324,True,43.42189200,-89.62490725,350.14,21.64,9
256892324,True,43.42222370,-89.62491510,359.89,14.80,10
256892324,True,43.42263310,-89.62492475,367.12,9.02,11
256892324,True,43.42304250,-89.62493440,375.78,10.77,12
256892324,True,43.42348890,-89.62494500,381.54,6.62,13
256892324,True,43.42393425,-89.62495550,384.95,3.94,14
256892324,True,43.42437960,-89.62496600,390.30,6.16,15
256892324,True,43.42472120,-89.62497405,396.16,8.78,16
256892324,True,43.42506280,-89.62498210,407.08,16.03,17
256892324,True,43.42537810,-89.62498955,415.93,14.16,18
256892324,True,43.42569340,-89.62499700,422.12,10.01,19
256892324,True,43.42600870,-89.62500445,427.14,8.14,20
256892324,True,43.42632400,-89.62501190,432.95,9.42,21
256892325,True,43.41938680,-89.62298250,288.41,0.00,0
256892325,True,43.41944670,-89.62298820,288.38,-0.22,1
256892325,True,43.41978680,-89.62302080,292.92,6.82,2
256892325,True,43.41999710,-89.62304090,299.50,15.69,3
256892325,True,43.42033920,-89.62307360,309.65,14.90,4
256892325,True,43.42068130,-89.62310630,321.47,17.21,5
256892325,True,43.42085690,-89.62312310,328.47,19.70,6
256892325,True,43.42113650,-89.62314980,339.57,19.59,7
256892325,True,43.42143520,-89.62317840,344.93,9.14,8
256892325,True,43.42176795,-89.62321020,346.93,3.09,9
256892325,True,43.42210070,-89.62324200,356.81,14.92,10
256892325,True,43.42232860,-89.62326380,363.56,14.87,11
256892325,True,43.42267950,-89.62329740,371.41,11.35,12
256892325,True,43.42289500,-89.62331800,374.68,7.77,13
256892325,True,43.42300100,-89.62332810,376.28,7.69,14
