lift_id,for_display,lat,lon,elevation,slope,index
27631212,True,42.74954150,-106.34374020,2233.65,0.00,0
27631212,True,42.74928265,-106.34341655,2237.50,5.63,1
27631212,True,42.74902380,-106.34309290,2245.58,11.69,2
27631212,True,42.74879620,-106.34280840,2256.49,17.63,3
27631212,True,42.74856860,-106.34252390,2267.75,18.14,4
27631212,True,42.74837865,-106.34228645,2276.46,16.90,5
27631212,True,42.74818870,-106.34204900,2282.94,12.73,6
27631212,True,42.74797800,-106.34178560,2292.58,16.86,7
27631212,True,42.74776730,-106.34152220,2303.97,19.71,8
27631212,True,42.74759440,-106.34130605,2312.18,17.46,9
27631212,True,42.74742150,-106.34108990,2319.76,16.20,10
27631212,True,42.74724860,-106.34087375,2329.26,20.00,11
27631212,True,42.74707570,-106.34065760,2340.74,23.73,12
27631212,True,42.74676920,-106.34027450,2357.61,20.04,13
27631212,True,42.74644185,-106.33986530,2376.37,20.79,14
27631212,True,42.74611450,-106.33945610,2391.60,17.13,15
27631212,True,42.74593590,-106.33923290,2398.20,13.76,16
27631212,True,42.74573780,-106.33898520,2402.62,8.42,17
27631212,True,42.74542620,-106.33859580,2408.50,7.13,18
27631212,True,42.74527440,-106.33840670,2411.78,8.15,19
27631216,True,42.74986240,-106.33990940,2278.45,0.00,0
27631216,True,42.74956060,-106.33973160,2277.93,-0.82,1
27631216,True,42.74933635,-106.33959980,2286.37,17.27,2
27631216,True,42.74911210,-106.33946800,2297.82,22.86,3
27631216,True,42.74893550,-106.33936410,2302.04,11.14,4
27631216,True,42.74870680,-106.33922970,2307.80,11.75,5
27631216,True,42.74847810,-106.33909530,2315.01,14.59,6
27631216,True,42.74812590,-106.33888825,2326.73,15.37,7
27631216,True,42.74777370,-106.33868120,2339.79,17.02,8
27631216,True,42.74743875,-106.33848430,2351.31,15.85,9
27631216,True,42.74710380,-106.33828740,2366.18,20.13,10
27631216,True,42.74670310,-106.33805185,2376.04,11.48,11
27631216,True,42.74630240,-106.33781630,2391.47,17.64,12
27631216,True,42.74603215,-106.33765745,2400.23,14.98,13
27631216,True,42.74576190,-106.33749860,2405.86,9.77,14
27631216,True,42.74552780,-106.33736160,2411.35,10.96,15
27631222,True,42.74414440,-106.34058490,2388.94,0.00,0
27631222,True,42.74402376,-106.34028856,2390.44,3.10,1
27631222,True,42.74390313,-106.33999223,2395.47,10.32,2
27631222,True,42.74378249,-106.33969589,2401.18,11.66,3
27631222,True,42.74366185,-106.33939955,2407.14,12.15,4
27631222,True,42.74354121,-106.33910321,2412.75,11.47,5
27631222,True,42.74342058,-106.33880687,2417.43,9.59,6
27631222,True,42.74329994,-106.33851054,2420.25,5.82,7
27631222,True,42.74317930,-106.33821420,2421.58,2.77,8
