lift_id,for_display,lat,lon,elevation,slope,index
767350053,True,44.92902710,-116.16422490,1583.61,0.00,0
767350053,True,44.92888536,-116.16381456,1587.97,6.92,1
767350053,True,44.92874361,-116.16340421,1597.55,14.92,2
767350053,True,44.92860187,-116.16299387,1606.61,14.15,3
767350053,True,44.92846013,-116.16258353,1614.41,12.24,4
767350053,True,44.92831838,-116.16217318,1621.40,11.00,5
767350053,True,44.92817664,-116.16176284,1629.32,12.43,6
767350053,True,44.92803489,-116.16135249,1637.43,12.71,7
767350053,True,44.92789315,-116.16094215,1646.58,14.28,8
767350053,True,44.92775141,-116.16053181,1655.66,14.18,9
767350053,True,44.92760966,-116.16012146,1663.98,13.03,10
767350053,True,44.92746792,-116.15971112,1671.78,12.24,11
767350053,True,44.92732618,-116.15930077,1677.83,9.55,12
767350053,True,44.92718443,-116.15889043,1683.94,9.65,13
767350053,True,44.92704269,-116.15848009,1688.98,7.98,14
767350053,True,44.92690094,-116.15806974,1695.35,10.05,15
767350053,True,44.92675920,-116.15765940,1700.37,7.95,16
