lift_id,for_display,lat,lon,elevation,slope,index
127271496,True,47.12778290,-88.55953550,200.87,0.00,0
127271496,True,47.12820488,-88.55954245,208.62,9.38,1
127271496,True,47.12862685,-88.55954940,211.06,2.98,2
127271496,True,47.12904882,-88.55955635,214.65,4.37,3
127271496,True,47.12947080,-88.55956330,221.76,8.62,4
127271496,True,47.12970028,-88.55956707,226.30,10.08,5
127271496,True,47.12992975,-88.55957085,230.36,9.05,6
127271496,True,47.13015922,-88.55957463,233.59,7.20,7
127271496,True,47.13038870,-88.55957840,237.79,9.35,8
127271496,True,47.13060220,-88.55956920,244.33,15.41,9
127271496,True,47.13088664,-88.55955694,255.36,19.22,10
127271496,True,47.13117107,-88.55954467,268.10,21.93,11
127271496,True,47.13145551,-88.55953241,283.41,25.82,12
127271496,True,47.13173995,-88.55952015,299.09,26.36,13
127271496,True,47.13202439,-88.55950789,309.80,18.70,14
127271496,True,47.13230882,-88.55949562,315.44,10.11,15
127271496,True,47.13259326,-88.55948336,323.81,14.81,16
127271496,True,47.13287770,-88.55947110,324.75,1.70,17
127271497,True,47.12744410,-88.56170720,199.25,0.00,0
127271497,True,47.12772350,-88.56174185,204.22,9.07,1
127271497,True,47.12800290,-88.56177650,209.93,10.38,2
127271497,True,47.12842650,-88.56182910,213.38,4.17,3
127271497,True,47.12870290,-88.56186340,215.10,3.20,4
127271497,True,47.12897930,-88.56189770,219.10,7.37,5
127271497,True,47.12929675,-88.56193710,224.04,7.94,6
127271497,True,47.12961420,-88.56197650,231.02,11.15,7
127271497,True,47.12980230,-88.56199980,234.12,8.40,8
127271497,True,47.13019165,-88.56204815,245.04,14.11,9
127271497,True,47.13058100,-88.56209650,260.24,19.28,10
127271497,True,47.13088535,-88.56213425,275.21,23.80,11
127271497,True,47.13118970,-88.56217200,285.15,16.31,12
127271497,True,47.13158425,-88.56222095,297.69,15.90,13
127271497,True,47.13197880,-88.56226990,314.31,20.68,14
127271497,True,47.13225000,-88.56230360,324.74,19.02,15
127271498,True,47.12752650,-88.55881730,196.31,0.00,0
127271498,True,47.12771810,-88.55874590,199.89,9.25,1
127271498,True,47.12808850,-88.55860790,207.21,9.78,2
127271498,True,47.12813590,-88.55859030,207.33,1.26,3
127271498,True,47.12818890,-88.55857050,207.19,-1.36,4
127271498,True,47.12855590,-88.55843380,207.64,0.62,5
127271498,True,47.12880928,-88.55833940,210.74,6.09,6
127271498,True,47.12906265,-88.55824500,214.80,7.95,7
127271498,True,47.12931603,-88.55815060,219.18,8.57,8
127271498,True,47.12956940,-88.55805620,225.82,12.87,9
127271498,True,47.12998180,-88.55790255,237.53,13.91,10
127271498,True,47.13039420,-88.55774890,248.78,13.37,11
127271498,True,47.13069557,-88.55763660,260.58,18.86,12
127271498,True,47.13099695,-88.55752430,273.57,20.59,13
127271498,True,47.13129833,-88.55741200,289.50,24.74,14
127271498,True,47.13159970,-88.55729970,305.09,24.27,15
127271498,True,47.13168070,-88.55726960,308.70,21.21,16
127271498,True,47.13175950,-88.55724020,312.56,23.17,17
127271498,True,47.13192540,-88.55717840,317.82,15.44,18
