lift_id,for_display,lat,lon,elevation,slope,index
48664305,True,40.37921560,-111.59083240,2124.03,0.00,0
48664305,True,40.37896365,-111.59092165,2124.81,1.53,1
48664305,True,40.37871170,-111.59101090,2130.05,10.23,2
48664305,True,40.37845975,-111.59110015,2136.12,11.83,3
48664305,True,40.37820780,-111.59118940,2142.47,12.33,4
48664305,True,40.37790015,-111.59129855,2151.72,14.63,5
48664305,True,40.37759250,-111.59140770,2164.26,19.49,6
48664305,True,40.37724935,-111.59152940,2178.42,19.71,7
48664305,True,40.37690620,-111.59165110,2195.25,23.06,8
48664305,True,40.37657835,-111.59176735,2218.29,31.39,9
48664305,True,40.37625050,-111.59188360,2238.76,28.47,10
48664305,True,40.37592780,-111.59199805,2254.57,23.04,11
48664305,True,40.37560510,-111.59211250,2268.39,20.39,12
48664305,True,40.37528500,-111.59222605,2278.79,15.76,13
48664305,True,40.37496490,-111.59233960,2286.07,11.16,14
48664305,True,40.37453820,-111.59249090,2299.54,15.33,15
48664305,True,40.37411150,-111.59264220,2313.22,15.56,16
48664305,True,40.37369255,-111.59279080,2327.82,16.83,17
48664305,True,40.37327360,-111.59293940,2343.09,17.56,18
48664305,True,40.37288495,-111.59307725,2360.50,21.25,19
48664305,True,40.37249630,-111.59321510,2382.60,26.27,20
48664305,True,40.37213325,-111.59334385,2394.97,16.48,21
48664305,True,40.37177020,-111.59347260,2407.22,16.33,22
48664305,True,40.37153935,-111.59355445,2414.50,15.32,23
48664305,True,40.37130850,-111.59363630,2421.28,14.29,24
48664305,True,40.37107765,-111.59371815,2428.15,14.49,25
48664305,True,40.37084680,-111.59380000,2434.98,14.41,26
48664305,True,40.37041945,-111.59395155,2448.20,15.04,27
48664305,True,40.36999210,-111.59410310,2461.25,14.84,28
48664305,True,40.36975397,-111.59418755,2470.22,18.12,29
48664305,True,40.36951585,-111.59427200,2481.29,21.98,30
48664305,True,40.36927773,-111.59435645,2493.86,24.62,31
48664305,True,40.36903960,-111.59444090,2506.61,24.93,32
48664305,True,40.36887300,-111.59450020,2512.82,17.92,33
48664306,True,40.37805920,-111.58402070,2016.89,0.00,0
48664306,True,40.37792470,-111.58427670,2016.35,-1.19,1
48664306,True,40.37770030,-111.58471135,2009.96,-8.17,2
48664306,True,40.37747590,-111.58514600,2028.85,23.00,3
48664306,True,40.37733665,-111.58540535,2048.50,36.17,4
48664306,True,40.37719740,-111.58566470,2069.38,37.85,5
48664306,True,40.37701310,-111.58601640,2096.22,36.58,6
48664306,True,40.37686600,-111.58629710,2115.35,33.54,7
48664306,True,40.37671890,-111.58657780,2131.19,28.76,8
48664306,True,40.37649245,-111.58700995,2164.48,36.84,9
48664306,True,40.37626600,-111.58744210,2191.03,30.86,10
48664306,True,40.37602100,-111.58790960,2216.56,27.97,11
48664306,True,40.37577600,-111.58837710,2245.08,30.68,12
48664306,True,40.37559580,-111.58872100,2252.64,12.07,13
48664306,True,40.37541560,-111.58906490,2274.40,31.61,14
48664306,True,40.37523540,-111.58940880,2299.84,35.73,15
48664306,True,40.37505520,-111.58975270,2321.81,31.86,16
48664306,True,40.37482270,-111.59019630,2340.90,22.71,17
48664306,True,40.37474030,-111.59035350,2344.96,14.09,18
48664306,True,40.37449900,-111.59081460,2354.26,11.11,19
48877954,True,40.39110650,-111.58024660,1874.84,0.00,0
48877954,True,40.39089095,-111.58069635,1878.09,4.14,1
48877954,True,40.39067540,-111.58114610,1882.81,5.98,2
48877954,True,40.39045985,-111.58159585,1887.48,5.93,3
48877954,True,40.39024430,-111.58204560,1894.06,8.31,4
257804182,True,40.38754910,-111.57893260,1917.79,0.00,0
257804182,True,40.38724010,-111.57915260,1926.53,12.61,1
257804182,True,40.38696865,-111.57934575,1937.42,17.60,2
257804182,True,40.38669720,-111.57953890,1947.49,16.34,3
257804182,True,40.38630390,-111.57982100,1962.74,17.02,4
257804182,True,40.38591340,-111.58010220,1973.39,12.13,5
257804182,True,40.38561460,-111.58031740,1982.89,14.07,6
257804182,True,40.38529975,-111.58054415,1987.05,5.94,7
257804182,True,40.38498490,-111.58077090,1992.57,7.87,8
257804182,True,40.38468220,-111.58098890,2001.18,12.64,9
257804182,True,40.38437950,-111.58120690,2011.62,15.21,10
257804182,True,40.38418125,-111.58134970,2018.37,15.04,11
257804182,True,40.38398300,-111.58149250,2024.72,14.16,12
257804182,True,40.38378563,-111.58163462,2030.50,13.02,13
257804182,True,40.38358825,-111.58177675,2033.54,6.92,14
257804182,True,40.38339088,-111.58191887,2038.12,10.37,15
257804182,True,40.38319350,-111.58206100,2043.25,11.59,16
257804182,True,40.38288040,-111.58228650,2054.69,16.07,17
257804182,True,40.38256730,-111.58251200,2066.74,16.88,18
257804182,True,40.38224090,-111.58274705,2077.50,14.57,19
257804182,True,40.38191450,-111.58298210,2090.59,17.54,20
257804182,True,40.38165605,-111.58317030,2102.65,20.15,21
257804182,True,40.38139760,-111.58335850,2111.74,15.47,22
916017074,True,40.39156430,-111.57920000,1858.77,0.00,0
916017074,True,40.39134797,-111.57946854,1863.73,8.52,1
916017074,True,40.39113164,-111.57973707,1872.98,15.61,2
916017074,True,40.39091531,-111.58000561,1878.67,9.76,3
916017074,True,40.39069897,-111.58027415,1881.47,4.83,4
916017074,True,40.39048264,-111.58054269,1886.71,8.99,5
916017074,True,40.39026631,-111.58081123,1895.46,14.81,6
916017074,True,40.39004998,-111.58107976,1901.98,11.15,7
916017074,True,40.38983365,-111.58134830,1907.53,9.51,8
916017074,True,40.38961732,-111.58161684,1911.60,7.02,9
916017074,True,40.38940099,-111.58188537,1916.81,8.94,10
916017074,True,40.38918466,-111.58215391,1921.97,8.86,11
916017074,True,40.38896833,-111.58242245,1924.26,3.95,12
916017074,True,40.38875199,-111.58269099,1931.11,11.69,13
916017074,True,40.38853566,-111.58295952,1940.82,16.35,14
916017074,True,40.38831933,-111.58322806,1949.92,15.37,15
916017074,True,40.38810300,-111.58349660,1960.69,18.03,16
916017074,True,40.38788667,-111.58376514,1972.09,19.00,17
916017074,True,40.38767034,-111.58403367,1975.38,5.66,18
916017074,True,40.38745401,-111.58430221,1977.30,3.33,19
916017074,True,40.38723768,-111.58457075,1974.59,-4.69,20
916017074,True,40.38702134,-111.58483929,1978.28,6.36,21
916017074,True,40.38680501,-111.58510782,1983.47,8.92,22
916017074,True,40.38658868,-111.58537636,1988.96,9.41,23
916017074,True,40.38637235,-111.58564490,1996.15,12.25,24
916017074,True,40.38615602,-111.58591344,2001.28,8.81,25
916017074,True,40.38593969,-111.58618197,2008.48,12.27,26
916017074,True,40.38572336,-111.58645051,2014.86,10.92,27
916017074,True,40.38550703,-111.58671905,2019.21,7.47,28
916017074,True,40.38529069,-111.58698759,2023.93,8.11,29
916017074,True,40.38507436,-111.58725612,2031.69,13.19,30
916017074,True,40.38485803,-111.58752466,2035.85,7.16,31
916017074,True,40.38464170,-111.58779320,2040.77,8.45,32
916017074,True,40.38446620,-111.58801110,2045.91,10.84,33
916017074,True,40.38415421,-111.58839834,2065.50,22.31,34
916017074,True,40.38384222,-111.58878558,2098.17,34.39,35
916017074,True,40.38353024,-111.58917281,2120.22,24.79,36
916017074,True,40.38321825,-111.58956005,2158.23,38.53,37
916017074,True,40.38290626,-111.58994729,2188.33,32.23,38
916017074,True,40.38259428,-111.59033453,2215.07,29.25,39
916017074,True,40.38228229,-111.59072176,2236.40,24.08,40
916017074,True,40.38197030,-111.59110900,2257.08,23.42,41
916017075,True,40.37954330,-111.59061500,2125.19,0.00,0
916017075,True,40.37982829,-111.59067137,2146.06,33.07,1
916017075,True,40.38011327,-111.59072775,2169.19,35.83,2
916017075,True,40.38039826,-111.59078412,2189.23,32.01,3
916017075,True,40.38068325,-111.59084050,2208.37,30.84,4
916017075,True,40.38096824,-111.59089687,2224.14,26.20,5
916017075,True,40.38125323,-111.59095325,2237.92,23.28,6
916017075,True,40.38153821,-111.59100962,2248.38,18.06,7
916017075,True,40.38182320,-111.59106600,2254.97,11.64,8
