lift_id,for_display,lat,lon,elevation,slope,index
256898644,True,45.34865710,-92.61570440,294.98,0.00,0
256898644,True,45.34839406,-92.61591896,294.55,-0.72,1
256898644,True,45.34813103,-92.61613352,298.45,6.59,2
256898644,True,45.34786799,-92.61634809,305.69,12.12,3
256898644,True,45.34760495,-92.61656265,313.43,12.93,4
256898644,True,45.34734191,-92.61677721,319.93,10.92,5
256898644,True,45.34707887,-92.61699178,323.53,6.09,6
256898644,True,45.34681584,-92.61720634,331.38,13.10,7
256898644,True,45.34655280,-92.61742090,335.12,6.33,8
256898645,True,45.35034420,-92.61732190,291.83,0.00,0
256898645,True,45.35007060,-92.61778650,290.86,-1.17,1
256898645,True,45.34986950,-92.61812790,293.97,5.12,2
256898645,True,45.34966840,-92.61846930,302.98,14.50,3
256898645,True,45.34948390,-92.61878260,308.70,10.16,4
256898645,True,45.34929940,-92.61909590,314.36,10.05,5
256898645,True,45.34907355,-92.61947940,323.70,13.43,6
256898645,True,45.34884770,-92.61986290,334.68,15.69,7
256898645,True,45.34868115,-92.62014565,340.50,11.40,8
256898645,True,45.34851460,-92.62042840,347.20,13.08,9
256898645,True,45.34833910,-92.62072640,355.25,14.84,10
256898646,True,45.35049790,-92.61834480,291.35,0.00,0
256898646,True,45.35017010,-92.61877270,299.60,9.47,1
256898646,True,45.34986170,-92.61917520,310.71,13.43,2
256898646,True,45.34964020,-92.61946430,317.31,11.18,3
256898646,True,45.34946815,-92.61968890,322.09,10.42,4
256898646,True,45.34929610,-92.61991350,326.75,10.18,5
256898646,True,45.34910940,-92.62015720,332.32,11.19,6
256898646,True,45.34892270,-92.62040090,338.44,12.25,7
256898646,True,45.34862930,-92.62078370,348.88,13.28,8
256898646,True,45.34840410,-92.62107770,356.13,12.03,9
256898647,True,45.35079810,-92.61883900,292.85,0.00,0
256898647,True,45.35064465,-92.61909993,296.21,7.20,1
256898647,True,45.35049120,-92.61936085,302.57,13.45,2
256898647,True,45.35033775,-92.61962177,306.43,8.27,3
256898647,True,45.35018430,-92.61988270,310.49,8.67,4
256898648,True,45.35101300,-92.61976370,297.65,0.00,0
256898648,True,45.35076420,-92.62023610,304.65,8.63,1
256898648,True,45.35052920,-92.62068220,313.37,11.32,2
256898648,True,45.35030050,-92.62111630,321.83,11.28,3
256898648,True,45.35005400,-92.62158420,329.81,9.90,4
256898648,True,45.34990140,-92.62187390,335.52,11.41,5
256898648,True,45.34974880,-92.62216360,341.63,12.20,6
256898648,True,45.34960920,-92.62242855,343.53,4.21,7
256898648,True,45.34946960,-92.62269350,344.51,2.16,8
256898648,True,45.34928933,-92.62303572,346.93,4.15,9
256898648,True,45.34910905,-92.62337795,351.85,8.37,10
256898648,True,45.34892877,-92.62372017,357.53,9.65,11
256898648,True,45.34874850,-92.62406240,360.40,4.91,12
256898649,True,45.35126550,-92.62150230,308.39,0.00,0
256898649,True,45.35101057,-92.62195265,315.30,8.70,1
256898649,True,45.35075565,-92.62240300,325.71,12.97,2
256898649,True,45.35050073,-92.62285335,333.54,9.83,3
256898649,True,45.35024580,-92.62330370,339.72,7.78,4
256898650,True,45.35299420,-92.62336410,306.75,0.00,0
256898650,True,45.35266848,-92.62343065,309.26,3.92,1
256898650,True,45.35234275,-92.62349720,312.22,4.62,2
256898650,True,45.35201702,-92.62356375,317.74,8.58,3
256898650,True,45.35169130,-92.62363030,322.82,7.90,4
256898651,True,45.35231010,-92.62025270,297.81,0.00,0
256898651,True,45.35207640,-92.62018970,298.99,2.55,1
256898651,True,45.35182730,-92.62012260,302.43,6.95,2
256898651,True,45.35157820,-92.62005550,303.24,1.65,3
