lift_id,for_display,lat,lon,elevation,slope,index
256882333,True,45.49072540,-92.70681790,237.87,0.00,0
256882333,True,45.49058140,-92.70708955,239.10,2.65,1
256882333,True,45.49043740,-92.70736120,240.80,3.66,2
256882333,True,45.49018800,-92.70783190,252.42,14.17,3
256882333,True,45.49001085,-92.70816615,261.66,15.80,4
256882333,True,45.48983370,-92.70850040,275.77,23.36,5
256882333,True,45.48965655,-92.70883465,284.33,14.69,6
256882333,True,45.48947940,-92.70916890,289.64,9.22,7
256882333,True,45.48932295,-92.70946405,294.06,8.72,8
256882333,True,45.48916650,-92.70975920,298.92,9.57,9
256882333,True,45.48895630,-92.71015580,302.04,4.60,10
256882333,True,45.48877835,-92.71049155,301.30,-1.29,11
256882333,True,45.48860040,-92.71082730,305.59,7.44,12
256882333,True,45.48845385,-92.71110380,312.02,13.39,13
256882333,True,45.48830730,-92.71138030,318.11,12.71,14
256882334,True,45.48996090,-92.70626900,237.53,0.00,0
256882334,True,45.48974880,-92.70678500,239.74,2.71,1
256882334,True,45.48955800,-92.70724910,246.41,9.03,2
256882334,True,45.48944150,-92.70753250,255.48,19.51,3
256882334,True,45.48932500,-92.70781590,263.77,17.93,4
256882334,True,45.48920920,-92.70809760,272.91,19.76,5
256882334,True,45.48909340,-92.70837930,282.60,20.83,6
256882334,True,45.48900450,-92.70859560,288.04,15.56,7
256882334,True,45.48886810,-92.70892735,291.53,6.65,8
256882334,True,45.48873170,-92.70925910,295.37,7.30,9
256882334,True,45.48859650,-92.70958800,301.42,11.50,10
256882334,True,45.48846130,-92.70991690,309.31,14.87,11
256882334,True,45.48826790,-92.71038740,317.94,11.46,12
256882335,True,45.48869540,-92.70583400,237.86,0.00,0
256882335,True,45.48861530,-92.70636430,242.04,5.65,1
256882335,True,45.48856500,-92.70669735,247.98,12.61,2
256882335,True,45.48851470,-92.70703040,252.93,10.56,3
256882335,True,45.48846375,-92.70736760,259.77,14.26,4
256882335,True,45.48841280,-92.70770480,269.82,20.49,5
256882335,True,45.48836255,-92.70803745,277.57,16.30,6
256882335,True,45.48831230,-92.70837010,286.49,18.58,7
256882335,True,45.48825915,-92.70872175,293.43,13.90,8
256882335,True,45.48820600,-92.70907340,299.27,11.77,9
256882335,True,45.48813710,-92.70952950,310.66,17.39,10
256882335,True,45.48805420,-92.71007840,318.93,10.70,11
256882336,True,45.48773950,-92.70553420,240.19,0.00,0
256882336,True,45.48759165,-92.70580838,243.47,6.94,1
256882336,True,45.48744380,-92.70608255,248.67,10.91,2
256882336,True,45.48729595,-92.70635672,253.05,9.24,3
256882336,True,45.48714810,-92.70663090,256.09,6.43,4
256882337,True,45.48751440,-92.70494470,237.49,0.00,0
256882337,True,45.48726060,-92.70535380,239.95,3.29,1
256882337,True,45.48711090,-92.70559510,244.47,10.22,2
256882337,True,45.48696120,-92.70583640,249.14,10.53,3
256882337,True,45.48679280,-92.70610785,252.56,6.91,4
256882337,True,45.48662440,-92.70637930,256.49,7.91,5
256882337,True,45.48645875,-92.70664630,265.48,17.94,6
256882337,True,45.48629310,-92.70691330,275.36,19.56,7
256882337,True,45.48599640,-92.70739150,292.37,18.86,8
256882337,True,45.48582710,-92.70766450,294.34,3.97,9
256882338,True,45.48646580,-92.70538560,244.80,0.00,0
256882338,True,45.48623315,-92.70553025,248.46,7.39,1
256882338,True,45.48600050,-92.70567490,253.14,9.42,2
256882338,True,45.48559700,-92.70584870,259.80,8.09,3
256882338,True,45.48522530,-92.70598960,272.91,17.04,4
256882338,True,45.48481860,-92.70609920,285.56,15.37,5
504490734,True,45.48775910,-92.70555980,240.26,0.00,0
504490734,True,45.48761018,-92.70583245,243.62,7.11,1
504490734,True,45.48746125,-92.70610510,248.75,10.77,2
504490734,True,45.48731232,-92.70637775,253.12,9.21,3
504490734,True,45.48716340,-92.70665040,256.19,6.49,4
504490737,True,45.48803550,-92.70554460,238.63,0.00,0
504490737,True,45.48785620,-92.70588660,242.09,5.93,1
504491070,True,45.48441050,-92.70647650,285.41,0.00,0
504491070,True,45.48466015,-92.70668897,287.26,3.27,1
504491070,True,45.48490980,-92.70690145,287.88,1.10,2
504491070,True,45.48515945,-92.70711393,289.37,2.64,3
504491070,True,45.48540910,-92.70732640,291.83,4.35,4
