,coordinates,elevation
0,"(44.0478431, -71.6278223)",510.9115295410156
1,"(44.04789935, -71.62777009999999)",509.2785949707031
2,"(44.0479556, -71.6277179)",507.3975524902344
3,"(44.04801185, -71.6276657)",505.5295715332031
4,"(44.0480681, -71.6276135)",504.3475646972656
5,"(44.04812435, -71.6275613)",503.1661071777344
6,"(44.0481806, -71.6275091)",501.846923828125
7,"(44.04823685, -71.6274569)",500.3140869140625
8,"(44.0482931, -71.6274047)",498.5177917480469
9,"(44.048380550000005, -71.6273557)",496.0093994140625
10,"(44.048468, -71.62730669999999)",493.61920166015625
11,"(44.048555449999995, -71.6272577)",491.1499328613281
12,"(44.0486429, -71.6272087)",488.7904968261719
13,"(44.0487249, -71.6271365)",486.13983154296875
14,"(44.0488483, -71.62712845)",483.2394714355469
15,"(44.0489717, -71.6271204)",480.8646240234375
16,"(44.0490951, -71.62711235)",478.56927490234375
17,"(44.0492185, -71.6271043)",475.90521240234375
18,"(44.04930428750001, -71.6271177125)",473.7620544433594
19,"(44.049390075000005, -71.627131125)",471.0606689453125
20,"(44.0494758625, -71.6271445375)",468.9581298828125
21,"(44.04956165, -71.62715795)",467.8281555175781
22,"(44.0496474375, -71.6271713625)",466.5959167480469
23,"(44.049733225, -71.62718477499999)",464.9309387207031
24,"(44.049819012499995, -71.6271981875)",463.01519775390625
25,"(44.0499048, -71.6272116)",461.102294921875
26,"(44.0500301, -71.6271955)",457.8952331542969
27,"(44.0501554, -71.62717939999999)",454.7289733886719
28,"(44.0502807, -71.62716329999999)",451.89593505859375
29,"(44.050406, -71.6271472)",447.9234924316406
30,"(44.050492750000004, -71.62708549999999)",444.5589599609375
31,"(44.0505795, -71.62702379999999)",441.7184143066406
32,"(44.05066625, -71.62696209999999)",439.2557678222656
33,"(44.050753, -71.6269004)",436.40594482421875
34,"(44.050841675, -71.626882975)",433.79852294921875
35,"(44.05093035, -71.62686554999999)",431.3797607421875
36,"(44.051019025, -71.626848125)",429.00274658203125
37,"(44.0511077, -71.6268307)",426.819580078125
38,"(44.051196375, -71.626813275)",424.7525329589844
39,"(44.051285050000004, -71.62679585000001)",422.3657531738281
